"Download Date","Awarding Office","FAIN","Award Number","Recipient Name","Action Date (Date Terminated)","Total Amount Obligated","Total Amount Expended","Total Payment Amount (As of Termination)","Unliquidated Obligations (As of Termination)","Award Title","Presidential Action","For Cause (Put X if applicable)","Organization City","Organization State","Organization Country","PI Names","Funding Institutes","Project Terms"
"2025-04-24","NIH","U54CA267730","5U54CA267730-04","Florida State University","2025-04-08","$4,540,406.00","$0.00","0","$4,540,406.00","Fostering Institutional Resources For Science Transformation: The Florida-First Health-Science Briga...","N/A - Departmental Authority","-","TALLAHASSEE","FL","UNITED STATES","Frank Y. Wong","NCI - National Cancer Institute","Address; Behavioral Sciences; Committee Members; Communication; Communities; Data; Development; Education; Educational aspects; Effectiveness; Ensure;..."
"2025-04-24","NIH","U54CA267738","5U54CA267738-04","Cornell University","2025-04-08","$5,133,450.00","$0.00","0","$5,133,450.00","Cornell First","N/A - Departmental Authority","-","ITHACA","NY","UNITED STATES","Avery  August; Michael I. Kotlikoff","NCI - National Cancer Institute","Academy; Address; Adopted; Advocate; Area; Biological; Climate; Cognitive; Communication; Communities; Country; Development; Development Plans; Develo..."
"2025-04-24","NIH","U54CA267746","5U54CA267746-04","University Of Alabama At Birmingham","2025-04-08","$3,481,168.00","$0.00","0","$3,481,168.00","Uab/Tuskegee Faculty Institutional Recruitment For Sustainable Transformation (Uab/Tu First) Partner...","N/A - Departmental Authority","-","BIRMINGHAM","AL","UNITED STATES","ISABEL C SCARINCI","NCI - National Cancer Institute","Achievement; Achievement Attainment; Alabama; Collaborations; Common Data Element; Communication; Communities; Data; Data Collection; Development; EXT..."
"2025-04-24","NIH","U54CA267776","5U54CA267776-04","Icahn School Of Medicine At Mount Sinai","2025-04-08","$5,539,229.00","$0.00","0","$5,539,229.00","Nih First Cohort Cluster Hiring Initiative At Icahn School Of Medicine At Mount Sinai","N/A - Departmental Authority","-","NEW YORK","NY","UNITED STATES","Emma Katherine Tara Benn; Kirk N Campbell; ERIC J. NESTLER; Lynne D. Richardson","OD - NIH Office of the Director","Acceleration; Address; Advisory Committees; Appointment; Award; Biomedical Research; Black; Black race; Career Mobility; Climate; Cognitive Discrimina..."
"2025-04-24","NIH","U54CA267789","5U54CA267789-04","San Diego State University","2025-04-08","$4,668,857.00","$0.00","0","$4,668,857.00","Sdsu Fuerte: Faculty United Towards Excellence In Research And Transformational Engagement","N/A - Departmental Authority","-","SAN DIEGO","CA","UNITED STATES","Mark Brian Reed","NCI - National Cancer Institute","2019-nCoV vaccine; Acceleration; Accountability; Affect; American; Area; Biomedical Research; COVID crisis; COVID epidemic; COVID pandemic; COVID-19 c..."
"2025-04-24","NIH","U54CA272163","5U54CA272163-03","Northwestern University At Chicago","2025-04-08","$5,115,797.00","$0.00","0","$5,115,797.00","Nurture: Northwestern University Recruitment To Transform Under-Representation And Achieve Equity","N/A - Departmental Authority","-","CHICAGO","IL","UNITED STATES","KRISTI  HOLMES","NCI - National Cancer Institute","Accountability; Area; Attitude; Behavior; Biomedical Research; Collaborations; Common Data Element; Communication; Communities; Complex; Data; Data Co..."
"2025-04-24","NIH","U54CA272167","5U54CA272167-03","University Of New Mexico","2025-04-08","$5,003,395.00","$0.00","0","$5,003,395.00","Unm First: Promoting Inclusive Excellence In Neuroscience And Data Science","N/A - Departmental Authority","-","ALBUQUERQUE","NM","UNITED STATES","JANE ELLEN  SMITH","NCI - National Cancer Institute","Adopted; Aging; American Indian; American Indians; Area; Arts; Career Mobility; Cognitive Discrimination; Communities; Data; Data Science; Department ..."
"2025-04-24","NIH","U54CA272205","5U54CA272205-03","University Of Maryland Baltimore","2025-04-08","$4,381,567.00","$0.00","0","$4,381,567.00","University Of Maryland First Program","N/A - Departmental Authority","-","BALTIMORE","MD","UNITED STATES","Jessica  Brown","NCI - National Cancer Institute","Address; Area; Award; Baltimore; Biomedical Research; Cancer Biology; Climate; Communicable Diseases; Communities; County; Engineering; Evaluation; Fa..."
"2025-04-24","NIH","U54CA272220","5U54CA272220-03","University Of California, San Diego","2025-04-08","$5,226,640.00","$0.00","0","$5,226,640.00","Uc San Diego First Program","N/A - Departmental Authority","-","LA JOLLA","CA","UNITED STATES","Joann  Trejo","NCI - National Cancer Institute","Administrator; Adopted; Advanced Development; Advisory Committees; Affinity; Area; Biochemistry; Biologic Sciences; Biological Chemistry; Biological S..."
"2025-04-24","NIH","U54CA280805","5U54CA280805-02","University Of Michigan At Ann Arbor","2025-04-08","$5,101,670.00","$343,189.87","343189.87","$4,758,480.13","Michigan Program For Advancing Cultural Transformation (M Pact) In Biomedical And Health Sciences","N/A - Departmental Authority","-","ANN ARBOR","MI","UNITED STATES","ROBERT M SELLERS","NCI - National Cancer Institute","driving; Automobile Driving; Communication; Communities; Dedications; Faculty; Goals; Institutionalization; Leadership; Learning; Mentors; Michigan; U..."
"2025-04-24","NIH","U54CA280868","5U54CA280868-02","Ut Southwestern Medical Center","2025-04-08","$5,279,722.00","$948,531.79","948531.79","$4,331,190.21","The Medical District Utsw-D First Program","N/A - Departmental Authority","-","DALLAS","TX","UNITED STATES","HELEN L YIN","NCI - National Cancer Institute","University Medical Centers; Academic Medical Centers; bio-engineered; bio-engineers; bioengineering; biological engineering; Biomedical Engineering; B..."
"2025-04-24","NIH","U54CA280922","5U54CA280922-02","University Of Texas El Paso","2025-04-08","$4,984,399.00","$1,788,799.51","1788799.51","$3,195,599.49","Utep First: United Toward Equity And Progress: Faculty Institutional Recruitment For Sustainable Tra...","N/A - Departmental Authority","-","EL PASO","TX","UNITED STATES","Deana  Pennington","NCI - National Cancer Institute","AAAS; Achievement; Achievement Attainment; Administrator; Adopted; Adoption; American Association for the Advancement of Science; Behavior; Biomedical..."
"2025-04-24","NIH","UC2CA293569","1UC2CA293569-01","University Of Michigan At Ann Arbor","2025-04-07","$749,329.00","$272,459.59","272459.59","$476,869.41","Partners In Research: Building Capacity For Community- Driven Research To Advance Health Equity","N/A - Departmental Authority","-","ANN ARBOR","MI","UNITED STATES","Justin Edward Heinze; Roshanak  Mehdipanah","OD - NIH Office of the Director","Address; Advocate; Area; Behavior; Cognitive Discrimination; Collaborations; Communication; Communities; Community Health; Community Health Care; Comm..."
"2025-04-24","NIH","UC2CA293782","1UC2CA293782-01","University Of Maryland Baltimore","2025-04-07","$1,467,395.00","$578,704.60","578704.6","$888,690.40","Compass Health Equity Research Hub At Umb","N/A - Departmental Authority","-","BALTIMORE","MD","UNITED STATES","C. DANIEL  MULLINS","OD - NIH Office of the Director","Academia; Academy; Acceleration; Address; Award; Baltimore; Baptist Church; Baptists; CHESI; Caring; Clinical Research; Clinical Sciences; Clinical St..."
"2025-04-24","NIH","UC2CA293786","1UC2CA293786-01","Yale University","2025-04-07","$914,210.00","$268,489.80","268489.8","$645,720.20","Compass Health Equity Research Hub At Yale","N/A - Departmental Authority","-","NEW HAVEN","CT","UNITED STATES","Marcella  Nunez-Smith; Carol Renee Oladele","OD - NIH Office of the Director","Acceleration; Address; Area; Biometrics; Biometry; Biostatistics; CHESI; Collaborations; Communities; Community-Led Health Equity Structural Intervent..."
"2025-04-24","NIH","UC2CA293834","1UC2CA293834-01","New York University School Of Medicine","2025-04-07","$750,000.00","$257,232.93","257232.93","$492,767.07","The Shhare Community Project: The Shared Hub For Health Action Research And Equity In Community-Led ...","N/A - Departmental Authority","-","NEW YORK","NY","UNITED STATES","Brian  Elbel; Ayana  Jordan; CHAU  TRINH-SHEVRIN; Lorna  Thorpe","OD - NIH Office of the Director","Action Research; Address; Area; CHESI; Collaborations; Communities; Community Health Aides; Community of Practice; Community-Led Health Equity Structu..."
"2025-04-24","NIH","UC2CA293850","1 UC2CA293850-01","University Of Mississippi Med Ctr","2025-04-07","$948,531.00","$141,274.30","141274.3","$807,256.70","Southeast Center For Health Achievement And Growth In Equity (Seachange) Hub","N/A - Departmental Authority","-","JACKSON","MS","UNITED STATES","Caroline E. Compretta","OD - NIH Office of the Director","Achievement; Achievement Attainment; Address; Alabama; Arkansas; CHESI; Clinic; Collaborations; Communities; Community Outreach; Community of Practice..."
"2025-04-24","NIH","U24NR021014","5U24NR021014-02","Drexel University","2025-04-07","$5,500,444.00","$2,844,087.83","2844087.83","$2,656,356.17","Advancing Health Equity Through Innovative Community Capacity Building, Data Science & Delivering Co...","N/A - Departmental Authority","-","PHILADELPHIA","PA","UNITED STATES","Amy  Carroll-Scott; Ana Victoria Diez Roux; Jan Marie Eberth","OD - NIH Office of the Director","Address; Adherence; Affinity; Aggregated Data; Back; CHESI; COVID crisis; COVID epidemic; COVID pandemic; COVID-19 crisis; COVID-19 epidemic; COVID-19..."
"2025-04-24","NIH","OT2OD035592","1OT2OD035592-01","Southeast Arizona Area Health Education Center","2025-04-07","$1,124,750.00","$1,124,750.00","1124750","$0.00","Proyecto Juntos","N/A - Departmental Authority","-","NOGALES","AZ","UNITED STATES","Gail  Emrick","OD - NIH Office of the Director","stigma; Intervention Strategies; interventional strategy; improved; Phase; Investigators; Researchers; Research Resources; Position; Intervention; soc..."
"2025-04-24","NIH","OT2OD035592","3OT2OD035592-01S1","Southeast Arizona Area Health Education Center","2025-04-07","$375,000.00","$78,069.10","78069.1","$296,930.90","Proyecto Juntos","N/A - Departmental Authority","-","NOGALES","AZ","UNITED STATES","Gail  Emrick","OD - NIH Office of the Director","21+ years old; Acceleration; Address; Adult; Adult Human; Area Health Education Centers; Arizona; Border City; Border Community; Border Town; COVID cr..."
"2025-04-24","NIH","OT2OD035605","1OT2 OD035605-01","Delta Health Alliance, Inc.","2025-04-07","$1,124,930.00","$1,020,267.58","1020267.58","$104,662.42","Partnership To Optimize Equity In Maternal And Infant Health","N/A - Departmental Authority","-","STONEVILLE","MS","UNITED STATES","Karen Comer Matthews","OD - NIH Office of the Director","Affect; Birth; Parturition; Child; 0-11 years old; Child Youth; Children (0-21); kids; youngster; Chronic Disease; Chronic Illness; chronic disorder; ..."
"2025-04-24","NIH","OT2OD035605","3OT2OD035605-01S1","Delta Health Alliance, Inc.","2025-04-07","$374,616.00","$0.00","0","$374,616.00","Partnership To Optimize Equity In Maternal And Infant Health","N/A - Departmental Authority","-","STONEVILLE","MS","UNITED STATES","Karen Comer Matthews","OD - NIH Office of the Director","0-11 years old; Access to Care; Address; Adolescent Pregnancy; Advocate; Affect; Area; Birth; Businesses; COVID-19 vaccination; Child; Child Youth; Ch..."
"2025-04-24","NIH","OT2OD035606","1OT2OD035606-01","Campesinos Sin Fronteras","2025-04-07","$1,125,000.00","$1,125,000.00","1125000","$0.00","Achieving Equity In Farmworker Health Through Community- Led Research","N/A - Departmental Authority","-","SOMERTON","AZ","UNITED STATES","Emma  Torres","OD - NIH Office of the Director","Intervention Strategies; interventional strategy; Injury; Series; injuries; Intervention; social; Participant; member; Outcome; Address; Process; depr..."
"2025-04-24","NIH","OT2OD035606","3OT2OD035606-01S1","Campesinos Sin Fronteras","2025-04-07","$375,000.00","$23,550.83","23550.83","$351,449.17","Achieving Equity In Farmworker Health Through Community- Led Research","N/A - Departmental Authority","-","SOMERTON","AZ","UNITED STATES","Emma  Torres","OD - NIH Office of the Director","Address; Arizona; Chronic Disease; Chronic Illness; Collaborations; Communities; Community Health Aides; Competence; Economics; Environmental Exposure..."
"2025-04-24","NIH","OT2OD035609","1OT2OD035609-01","Bronxworks, Inc.","2025-04-07","$1,125,000.00","$854,312.94","854312.94","$270,687.06","Healthy And Livable Bronx Partnership","N/A - Departmental Authority","-","BRONX","NY","UNITED STATES","Jennifer  March; Eileen  Torres","OD - NIH Office of the Director","21+ years old; Adult Human; adulthood; Adult; Affect; ages; Age; Anxiety; Asbestos; Behavior; Books; Child; 0-11 years old; Child Youth; Children (0-2..."
"2025-04-24","NIH","OT2OD035609","3OT2OD035609-01S1","Bronxworks, Inc.","2025-04-07","$375,000.00","$0.00","0","$375,000.00","Healthy And Livable Bronx Partnership","N/A - Departmental Authority","-","BRONX","NY","UNITED STATES","Jennifer  March; Eileen  Torres","OD - NIH Office of the Director","0-11 years old; 21+ years old; Abscission; Access to Care; Address; Administrator; Adult; Adult Human; Advocacy; Affect; Age; Anxiety; Asbestos; Behav..."
"2025-04-24","NIH","OT2OD035636","1OT2OD035636-01","Nc State Dept/Hlth & Human Services","2025-04-07","$1,124,902.00","$627,848.08","627848.08","$497,053.92","Agricultural Workers Digital Equity Initiative","N/A - Departmental Authority","-","RALEIGH","NC","UNITED STATES","Tania Corina Connaughton-Espino; Elizabeth  Freeman","OD - NIH Office of the Director","agricultural; Agriculture; Censuses; Chronic Disease; Chronic Illness; chronic disorder; Communication; Communities; Community Health Aides; community..."
"2025-04-24","NIH","OT2OD035636","3OT2OD035636-01S1","Nc State Dept/Hlth & Human Services","2025-04-07","$375,000.00","$0.00","0","$375,000.00","Agricultural Workers Digital Equity Initiative","N/A - Departmental Authority","-","RALEIGH","NC","UNITED STATES","Tania Corina Connaughton-Espino; Elizabeth  Freeman","OD - NIH Office of the Director","Access to Care; Address; Agricultural Workers; Agriculture; Area; Censuses; Chronic; Chronic Disease; Chronic Illness; Clinic; Communication; Communit..."
"2025-04-24","NIH","OT2OD035677","1OT2OD035677-01","Grupo Nexos Inc.","2025-04-07","$1,125,000.00","$1,016,496.14","1016496.14","$108,503.86","Puerto Rico Collaborative Advancement Of Research, Innovations, Best Practices And Equity For Childr...","N/A - Departmental Authority","-","SAN JUAN","PR","UNITED STATES","Cristina  Adames; Rivera  Eric; Marizaida  Sanchez; Lili M. Sardiñas","OD - NIH Office of the Director","21+ years old; Adult Human; adulthood; Adult; Affect; Attention; Child; 0-11 years old; Child Youth; Children (0-21); kids; youngster; Communities; Cr..."
"2025-04-24","NIH","OT2OD035677","3OT2OD035677-01S1","Grupo Nexos Inc.","2025-04-07","$375,000.00","$0.00","0","$375,000.00","Puerto Rico Collaborative Advancement Of Research, Innovations, Best Practices And Equity For Childr...","N/A - Departmental Authority","-","SAN JUAN","PR","UNITED STATES","Cristina  Adames; Rivera  Eric; Marizaida  Sanchez; Lili M. Sardiñas","OD - NIH Office of the Director","0-11 years old; 21+ years old; Address; Adult; Adult Human; Affect; Attention; Behavioral; Care Givers; Caregivers; Categories; Child; Child Youth; Ch..."
"2025-04-24","NIH","OT2OD035746","1OT2OD035746-01","Face Addiction Now","2025-04-07","$1,120,637.00","$1,096,493.50","1096493.5","$24,143.50","Creating Statewide Community Partnerships: Spanning Boundaries Between Public Health, Emergency Hous...","N/A - Departmental Authority","-","Clinton Twp","MI","UNITED STATES","Raymond  Waller","OD - NIH Office of the Director","Automobile Driving; driving; Communities; Community Services; Continuity of Patient Care; Continuity of Care; Continuum of Care; Emergency Situation; ..."
"2025-04-24","NIH","OT2OD035746","3OT2OD035746-01S1","Face Addiction Now","2025-04-07","$375,000.00","$0.00","0","$375,000.00","Creating Statewide Community Partnerships: Spanning Boundaries Between Public Health, Emergency Hous...","N/A - Departmental Authority","-","Clinton Twp","MI","UNITED STATES","Raymond  Waller","OD - NIH Office of the Director","Access to Care; Accident and Emergency department; Active Follow-up; Address; Area; Automobile Driving; Behavioral; Caring; Causality; Chronic; Chroni..."
"2025-04-24","NIH","OT2OD035764","1OT2OD035764-01","Arkansas Cancer Coalition","2025-04-07","$1,124,585.00","$573,304.83","573304.83","$551,280.17","Cancer In Your Community: Strategies To Reduce Cancer And Chronic Disease In The Arkansas Delta","N/A - Departmental Authority","-","LITTLE ROCK","AR","UNITED STATES","Miriam N. Karanja; Trena  Mitchell","OD - NIH Office of the Director","Arkansas; Black race; Black; Breast; Malignant Neoplasms; Cancers; Malignant Tumor; malignancy; neoplasm/cancer; Chronic Disease; Chronic Illness; chr..."
"2025-04-24","NIH","OT2OD035764","3OT2OD035764-01S1","Arkansas Cancer Coalition","2025-04-07","$375,000.00","$0.00","0","$375,000.00","Cancer In Your Community: Strategies To Reduce Cancer And Chronic Disease In The Arkansas Delta","N/A - Departmental Authority","-","LITTLE ROCK","AR","UNITED STATES","Miriam N. Karanja; Trena  Mitchell","OD - NIH Office of the Director","Active Follow-up; Address; African American group; African American individual; African American people; African American population; African American..."
"2025-04-24","NIH","OT2OD035801","1OT2OD035801-01","Access Health Inc","2025-04-07","$1,124,981.00","$1,043,279.29","1043279.29","$81,701.71","Strengthening Community-Driven Safety-Net Interventions To Improve Health And Economic Equity","N/A - Departmental Authority","-","MUSKEGON","MI","UNITED STATES","Samantha  Cornell","OD - NIH Office of the Director","Affect; Child Care; Puericulture; Communities; Economics; economic; Educational Status; Educational Achievement; educational level; training achieveme..."
