Grant Number,project_title,termination_date,org_name,org_city,org_state,org_district,usaspending_obligated,award_type,directorate_abbrev,directorate,division,nsf_program_name,nsf_url,usaspending_url,nsf_startdate,nsf_expected_end_date,org_zip,org_uei,abstract,in_cruz_list
2327488,Postdoctoral Fellowship: STEMEdIPRF: Understanding instructor and student concepts of race to measure the prevalence of race essentialism in biology education,2025-04-18,Auburn University,AUBURN,AL,AL03,$283448,Standard Grant,EDU,STEM Education,Graduate Education,Postdoctoral Fellowships,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2327488,https://www.usaspending.gov/award/ASST_NON_2327488_4900,2024-01-01,2025-12-31,368490001,DMQNDJDHTDG4,"Race essentialism is the incorrect belief that race is an inherent biological characteristic resulting in distinct race categories. While race essentialism has been shown to be correlated with increased bias, stereotypes, and prejudice, improving student understandings of race has been shown to lower these distorted beliefs. This project is designed to serve the national interest by assessing beliefs about race of STEM instructors and students, increasing awareness of intersectionality, and developing recommendations targeting misconceptions about race in the classroom. These recommendations will ultimately inform improvements in STEM education which is of significance to teaching race and ethnicity and could result in more accurate understandings of race in society.       This project measures undergraduate biology instructors’ and students’ concepts of race and combine this information with existing biology education literature and recommendations from experts in diversity, equity, and inclusion to create comprehensive guidelines for teaching race and ancestry in undergraduate biology through anti-essentialist and culturally relevant lenses. Racial biases directly harm historically marginalized and excluded communities, but little is known about how race concepts are perceived by individual faculty and students or reinforced by curricular materials. While virtually all current research supports a socially constructed view of race, race essentialism is still prevalent among the public and within scientific research. STEM educators in biology are in a unique position to counteract essentialist views of race and have a positive impact on both our students as well as the broader society. This project is designed to accomplish the following goals: (1) Explore the educational practices and beliefs of STEM instructors who teach biology, (2) Analyze the race concepts of undergraduate biology students and how they respond to instruction on these topics, (3) Expand upon instructor and student race concepts (1&2) with in-depth interviews of students and instructors, and (4) Create and disseminate new guidelines to address these issues by identifying gaps and missteps in biology education related to race. This project will improve STEM Education by creating a summary of the ways race and ancestry are taught in biology courses and by developing guidelines and recommendations that target specific race misconceptions.     This project is supported by NSF’s STEM Education Postdoctoral Research Fellowship (STEM Ed PRF) Program with co-funding from The Kaleta A. Doolin Foundation. The STEM Education Postdoctoral Research Fellowship (STEM Ed PRF) program that aims to enhance the research knowledge, skills, and practices of recent doctorates in STEM, STEM education, education, and related disciplines to advance their preparation to engage in fundamental and applied research that advances knowledge within the field. The Kaleta A. Doolin Foundation through a partnership with the National Science Foundation seeks to promote greater diversity within the STEM/STEM education research workforce.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2224593,Collaborative Research: Reimagining Educator Learning Pathways Through Storywork for Racial Equity in STEM,2025-04-18,Northwestern University,EVANSTON,IL,IL09,$1034751,Standard Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,AISL,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2224593,https://www.usaspending.gov/award/ASST_NON_2224593_4900,2023-06-15,2028-05-31,602080001,EXZVPWZBLUE8,"There is a pressing need for STEM educator learning models to substantively consider the diversity of STEM practices and values across social and cultural contexts, as well as how STEM fields are adapting to this diversity. As educators seek more meaningful approaches to equity that integrate everyday pedagogies, there is a further need to address how these pedagogies often reproduce inequitable STEM structures. This collaborative project seeks to address these challenges by designing, implementing, and studying an educator learning model that helps educators recognize and transform the moment-to-moment learning interactions that perpetuate racial inequalities across a myriad of STEM contexts. The project therefore aims to achieve two primary outcomes. First, to deepen educators' capacity to mediate the moment-to-moment tensions that arise between STEM concepts and practices privileged in schools, and those that attend to students' cultural and intellectual lives; and second, to generate knowledge on how to systematically support educators as they wrestle with the conceptual and ethical complexities of unjust STEM teaching and learning.    This three-year study is structured around a series of modules grounded in storywork, an Indigenous knowledge-systems approach to centering minoritized learners' language, history, phenomenon-based storylines, and their racialized experiences of systemic racism when co-designing STEM learning opportunities. Through long-standing partnerships between project leaders and K-12 and higher education STEM educators serving Indigenous, Black, and Latinx youth and families, the iterative design of modules is informed by the analysis of educator learning trajectories when codesigning through storywork. In addition to incorporating modules into higher education programs (e.g., teacher education and various STEM disciplinary courses), broadly sharing resources and tools with communities, practitioners, and researchers through multimedia outlets as well as academic and practitioner-facing publications and presentations, the project has the potential to inform foundational theory on developing highly adaptable approaches for more racially- and educationally- just educator-student interactions in STEM spaces.     This collaborative project is funded through the Racial Equity in STEM Education program (EDU Racial Equity). The program supports research and practice projects that investigate how considerations of racial equity factor into the improvement of science, technology, engineering, and mathematics (STEM) education and workforce. Awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the STEM enterprise. This program aligns with NSF's core value of supporting outstanding researchers and innovative thinkers from across the Nation's diversity of demographic groups, regions, and types of organizations. Programs across EDU contribute funds to the Racial Equity program in recognition of the alignment of its projects with the collective research and development thrusts of the four divisions of the directorate.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2131508,SaTC: CORE: Medium: Learning Code(s): Community-Centered Design of Automated Content Moderation,2025-04-18,"University of Maryland, College Park",COLLEGE PARK,MD,MD04,$780000,Standard Grant,CISE,Computer and Information Science and Engineering,Computer and Network Systems,DASS-Dsgng Accntble SW Systms,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2131508,https://www.usaspending.gov/award/ASST_NON_2131508_4900,2021-10-01,2025-09-30,207425100,NPU8ULVAAS23,"Online platforms bring out the best and worst of free speech: while they help us make connections and share ideas, they can also facilitate hate speech and extremism. Content moderators work to enforce community rules designed to mitigate these negative behaviors, but face a high burden from repeated exposure to toxic content.  In principle, automated tools that use natural language processing (NLP) and machine learning (ML) techniques could ease this burden.  However, current NLP and ML techniques can be circumvented by determined posters through the use of subtle and coded language, and the moderation tools that use them are often hard for moderators to configure for their community's norms, policies, and moderation practices.  This project leverages the fact that communities already make and enforce diverse speech policies online to 1) teach software to learn nuance from the decisions moderators make in existing communities; 2) support moderators by not only flagging content, but also suggesting decisions and providing explanations for those decisions; and 3) provide auditing tools that help community members know that moderators are acting in accordance with norms and policies.  In doing this research, the team will develop tools to support healthier online communities, particularly volunteer-led communities, by strengthening policy enforcement, enabling better working conditions for online moderators (who are often from marginalized communities), creating more flexible software responses to community policies, and supporting adaptability to future regulation of content moderation.      To achieve these goals, the cross-disciplinary project team is conducting cycles the involve empirical needs-finding studies with moderators, development of NLP and ML-based tools, evaluation, and iterative improvement of those tools. The project's empirical studies will advance knowledge of how ``machine-in-the-loop'' moderation (where automated tools make or support moderation decisions) impacts moderator working conditions and online participant experiences, as well as informing evaluation mechanisms for measuring the success of the ML tools at respecting online community policies and identifying unwritten community norms. The project's design process will make fundamental progress in ML algorithms that learn from few labels using justifications provided by moderators, as well as improving explanations for machine decisions based on human rationales. Together, these advances produce new design methods for ML tools that adapt to complex written policies and identify unwritten social norms, serving multiple stakeholders accountably and transparently.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",
2225362,Quantitative Research Methods for STEM Education Scholars Program,2025-04-18,"University of Maryland, College Park",COLLEGE PARK,MD,MD04,$998969,Standard Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,ECR:BCSER Capcity STEM Ed Rscr,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2225362,https://www.usaspending.gov/award/ASST_NON_2225362_4900,2022-08-15,2025-07-31,207425100,NPU8ULVAAS23,"Despite the persistent under representation of individuals from underserved populations in STEM, there are not enough scholars and early career researchers trained to adequately study the issues.  This training institute project will target early career scholars with research foci on issues of access and equity of underrepresented populations in STEM within either K-12 or postsecondary settings. The goal of the training institute is to focus on and improve education research study design, methods of measurement, and data analytical approaches for 60 early career scholars over three cohorts. Each scholar's work will make valuable and immediate contributions to the literature around issues such as STEM education access, achievement gaps, and workforce diversity.      This research institute involves a year-long training of three cohorts of 20 Quantitative Research Methods (QRM) scholars via two intensive institutes on fundamental issues in research design, analysis, measurement, with both in-person and remote collaborative activities and meetings with their assigned methods mentor and graduate student facilitator. Year-long interactions include live-stream workshops, regular meetings with methods mentors, and a social network infrastructure to improve participant's skills in design and execution of research in STEM Education. Each QRM scholar will be expected to work on a proposed study/activity during the year while they are being mentored, this may be in collaboration with other scholars. The year will culminate with a capstone conference, where the scholars present their work from the past year.    The project is supported by NSF's EHR Core Research Building Capacity in STEM Education Research (ECR:BCSER) program, which is designed to build investigators’ capacity to carry out high-quality STEM education research.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2304106,INCLUDES DDLP: Creating Opportunities in the Mathematical Sciences through Equity and INclusion (COME-IN),2025-04-18,"University of Maryland, College Park",COLLEGE PARK,MD,MD04,$599948,Continuing Grant,EDU,STEM Education,Equity for Excellence in STEM,Eddie Bernice Johnson INCLUDES,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2304106,https://www.usaspending.gov/award/ASST_NON_2304106_4900,2023-10-01,2025-09-30,207425100,NPU8ULVAAS23,"To strengthen the economic and technological future of the U.S., there is a need to increase the number of well-trained STEM (science, technology, engineering, and mathematics) students at universities and colleges. This must occur while the number of college-aged students in the U.S. is decreasing. Thus, relying on just serving the types of students who have majored in STEM fields in the past is inadequate. Instead, there is a need to recruit and retain students who have not typically studied STEM disciplines. This can be achieved through diversity, inclusion, and broadening participation (DIB) efforts. Yet, colleges and universities will never fully address DIB challenges unless they are addressed in mathematics and statistics. Mathematics and statistics departments impact essentially every STEM student who enters the university. Given the mathematical sciences' departments unique role in educating essentially all students who enter higher education, it is crucial for all STEM disciplines that the mathematical sciences address DIB issues in STEM education. To do this, TPSE Math (Transforming Post-Secondary Education Math) will pilot a two-year DIB Math/Stat Leadership Institute to train mathematicians and statisticians as DIB consultants and provide support to mathematics and statistics departments to work on a DIB improvement project. The DIB Math/Stat Leadership Institute will facilitate mathematics and statistics departments in higher education in developing environments that are more diverse and inclusive while broadening participation. This will impact a broad group of individuals connected with the department including undergraduate students, graduate students, post-docs, faculty, and staff, of different races, ethnicities, gender identities, nationalities, and disability status. Also, this will involve a diverse set of departments such as those at two-year, four-year principally undergraduate institutions, and research-intensive institutions.      Because of their enormous service role, mathematics and statistics departments impact essentially every STEM student who enters a college or university. To help these departments successfully advance their efforts toward diversity, inclusion, and broadening participation in STEM education, TPSE Math created a set of resources tailored to the mathematical sciences, called the COME-IN tool. COME-IN was developed in partnership with the AAAS SEA Change initiative. In this project, TPSE Math plans a 2-year DIB Math/Stat Leadership Institute as a pilot to test the viability of small departmental teams using the COME-IN DIB tools along with math/stat DIB consultants as catalysts for transformational change in mathematical sciences departments. This DIB Math/Stat Leadership Institute will consist of four interrelated components: building a foundation to improve DIB efforts in mathematical sciences departments, training DIB consultants, establishing a community and network of institutions working in collaboration on DIB improvements in the mathematical sciences communities, and evaluating these efforts. TPSE Math will continue to partner with the AAAS SEA Change initiative and partner with math/stat professional organizations such as the Mathematics Association of America and the NSF INCLUDES National Network. The long-term vision is to pilot, test, modify, and expand the DIB Math/Stat Leadership Institute, which will establish the resulting program as a model for the mathematical sciences communities to improve DIB efforts. This project is funded by NSF’s Eddie Bernice Johnson Inclusion across the Nation of Communities of Learners of Underrepresented Discoverers in Engineering and Science (INCLUDES) Initiative, which seeks to motivate and accelerate collaborative infrastructure building to advance and sustain systemic change to broaden participation in STEM at scale.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2309311,Collaborative Research: Evaluating Access: How a Multi-Institutional Network Promotes Equity and Cultural Change through Expanding Student Voice,2025-04-18,"University of Maryland, College Park",COLLEGE PARK,MD,MD04,$70000,Continuing Grant,MPS,Mathematical and Physical Sciences,Physics,Integrative Activities in Phys,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2309311,https://www.usaspending.gov/award/ASST_NON_2309311_4900,2024-02-01,2027-01-31,207425100,NPU8ULVAAS23,"Addressing the critical issue of representation and equity in the physical sciences requires meaningful cultural change. The Access Network, founded in 2015, directly addresses this national priority by connecting institutions with student-led, equity-oriented programs to share and disseminate research-based strategies and provide support for overcoming common barriers. Through mentored intersite student cohorts and an annual Assembly, Access fosters community, develops student leaders, reinforces institutional memory, and provides a national context, all important factors for sustainability and scalability. At the Network’s core is a unique philosophy that recognizes and elevates students as drivers of change, recognizing them as powerful members of the STEM community and the future leaders of physics.  An innovative evaluation partnership among external evaluators, educational research faculty within the network, and internal student evaluation fellows will document the network’s impacts on student leaders, local sites and individual departments. These activities combine a student-driven, community-based approach with the expertise of external evaluators, resulting in a more complete picture of the model.    This work will directly support students in the Network, at individual institutions, and beyond by: (i) continuously improving Network activities that support the professional development and retention of junior scientists from diverse backgrounds, (ii) cultivating new student leaders, and (iii) growing a repository of materials and best practices that will increase the efficacy of local sites. It will advance knowledge of equity-focused change in the physical sciences and develop infrastructure for robust evaluation to document, understand, and promote Network aspects crucial to success. The novel evaluation partnership proposed among external evaluators, internal evaluation mentors, and student evaluation advance the conception of participatory evaluation and sets a model for programmatic evaluation. More effectively supporting sites in local evaluation enables their sustainability, as they can better understand and communicate their impacts to local stakeholders. Insights from evaluation activities not only result in a more complete picture of the Access Network model, informing improvements to the network, but also benefit others wishing to enact equity-focused cultural change in STEM. The knowledge about effective programs will be especially helpful for those enacting shared leadership models, expanding the critical role students can play in transforming communities.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2140987,SBP: CAREER: Inferior and foreign racial stereotypes give rise to exploitative and exclusionary discrimination,2025-04-18,"University of Maryland, College Park",COLLEGE PARK,MD,MD04,$485350,Continuing Grant,SBE,"""Social, Behavioral and Economic Sciences""",Behavioral and Cognitive Sciences,SBP-Science of Broadening Part,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2140987,https://www.usaspending.gov/award/ASST_NON_2140987_4900,2022-09-01,2027-08-31,207425100,NPU8ULVAAS23,"Many racial and ethnic groups in the U.S. experience discrimination. However, groups confront different types of discrimination, which creates a problem that may not have merely one solution. Some discriminatory actions and practices involve taking advantage of racial and ethnic groups in ways that benefit some Americans and keep relative group status and economic positions stratified (i.e., exploitation). Other discriminatory actions and practices involve preserving traditional notions of what it means to be American and denying racial and ethnic groups their own American national identity (i.e., exclusion). The current project examines when and why these different forms of racial and ethnic discrimination are likely to occur, as well as the self-reinforcing nature of discrimination.     The broad aim of this research is to provide important insights into the complex nature of racial and ethnic discrimination. Seven studies employ survey and experimental methods to investigate the cognitive, motivational, and social factors that lead to the exploitation and exclusion of racial and ethnic groups. First, this research tests specific predictions of the racial and ethnic stereotypes that tend to cause unique forms of discrimination. Perceiving a group as low status likely gives rise to exploitation, whereas perceiving a group as culturally foreign gives rise to exclusion. Second, this research examines the individual differences and social contexts that motivate some Americans to maintain socioeconomic differences between groups and preserve dominant cultural values and practices. Third, this research explores how exposure to existing patterns of exploitation and exclusion reinforce stereotypes about group status and cultural foreignness; those stereotypes, in turn, reproduce the same patterns of discrimination. This project advances an understanding of the psychological mechanisms of racial discrimination, provides mentorship opportunities to young researchers of color, and develops educational activities that foster awareness of racism. The project will contribute to precise and group-specific efforts that can reduce discrimination.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2145783,CAREER: Combating Censorship from within the Network,2025-04-18,University of Colorado at Boulder,Boulder,CO,CO02,$458019,Continuing Grant,CISE,Computer and Information Science and Engineering,Computer and Network Systems,Secure &Trustworthy Cyberspace,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2145783,https://www.usaspending.gov/award/ASST_NON_2145783_4900,2022-05-01,2027-04-30,803090001,SPVKK1RC2MZ3,"Over half of the world’s Internet population live in countries that censor political, social, or religious content online, and authoritarian governments continue to design and deploy increasingly sophisticated censorship systems. Internet censorship is thus a significant and growing threat, making research into circumvention technologies an important priority. While in the past proxies and (Virtual Private Networks) VPNs could be used to circumvent censorship, today, censors use complex techniques to find and block existing circumvention resources. This project proposes new ways to study and combat Internet censorship around the world by adopting a perspective similar to the censor’s themselves, and leveraging Internet infrastructure in non-censoring countries. First, this infrastructure will be used to measure “normal” Internet traffic, so that circumvention proxies can learn what to mimic in order to camouflage their activity and evade detection. Second, this project will use those findings and the network infrastructure itself to create new kinds of proxies that are harder for censors to block. Studying and combatting censorship from the network perspective will help level the playing field between censors and circumvention tool developers, ultimately supporting Internet users’ autonomy and access to information globally, including the billions of people worldwide living in repressively censored regions.    This work will use network taps deployed at (Internet Service Providers) ISPs and Internet Exchange Points (IXPs) in non-censoring countries to measure popular Internet protocols and how they are used in practice, develop novel ways to detect new and emerging forms of censorship, and explore how existing proxies and circumvention strategies can be improved using ISP data. Building on the growing Refraction Networking deployment, this work also investigates new ways that the ISP perspective can be used to combat censorship directly, such as improvements in Refraction transports to better resist active probing attacks from censors,  implementing peer-to-peer proxy protocols that are harder for censors to detect and block, and finding ways to directly make censorship more expensive for governments in practice.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",
2301964,AccelNet-Design: Global Futures Oriented Research Collective on Education for Sustainability (G-FORCES),2025-04-18,Arizona State University,TEMPE,AZ,AZ04,$250000,Standard Grant,OD,Office of the Director,International Science and Engineering,AccelNet - Accelerating Resear,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2301964,https://www.usaspending.gov/award/ASST_NON_2301964_4900,2023-09-01,2025-08-31,852813670,NTLHJXM55KZ6,"The multifaceted nature and urgency of the climate crisis require interdisciplinary and collaborative approaches to transform education — and consequently stimulate cultural shifts — toward more sustainable global futures. This challenge cannot be solved through research solely focused on technical solutions, but requires a critical interrogation of underlying assumptions about knowledge, education, and social change. The Global Futures Oriented Research Collective on Education for Sustainability (G-FORCES) aims to bring together international sustainability-oriented research networks from the natural sciences, social sciences, and humanities to rearticulate the role of education for planetary sustainability in formal and non-formal lifelong learning settings. G-FORCES aims not merely to improve, but to fundamentally reshape the relationship between education and sustainability research across global networks in ways that effectively integrate different knowledge ecosystems, bridge the research-practice divide, and prioritize education for planetary wellbeing and ecological justice.     G-FORCES is a dynamic, multi-team collaboration across representatives from 10 diverse, globally leading research networks that share a common commitment to mobilize the power of education for planetary sustainability. Leveraging design approaches that enable structured but robust collaboration across networks, G-FORCES establishes a shared vision and strategic operational links across established research communities to engage in transdisciplinary convergence research that advances a comprehensive vision of sustainability education and climate literacy – encompassing scientific, energy, media, and ecological literacy – under a unified framework. Furthermore, it aims to maximize the impact of research on education policy and practice, create enduring local-to-global networks of scholarship and action, and address institutional barriers and structural limitations that presently limit integrated interdisciplinary climate research by creating new opportunities for inclusive research leadership for early-career scholars and from historically marginalized populations, particularly from the global South. Starting with a mapping exercise to identify gaps, connections, and synergies between networks, project activities will include annual research assemblies to set agendas for potential convergence research; a series of virtual co-design workshops to develop operational mechanisms for collaboration; and ongoing knowledge mobilization activities to engage relevant stakeholders to promote the transformation of  educational systems for planetary sustainability. In addition to generating innovative research synergies and creating new spaces for sharing knowledge across different research networks, G-FORCES  enhances connectivity among the world's leading scholars and education practitioners in enacting change.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
2148014,CAREER - Transforming Science Teaching and Learning through Empowering Teachers and Students as Climate Justice Action Researchers and Change Agents,2025-04-18,San Jose State University Foundation,SAN JOSE,CA,CA18,$610031,Continuing Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,Discovery Research K-12,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2148014,https://www.usaspending.gov/award/ASST_NON_2148014_4900,2022-03-15,2027-02-28,951125569,LJBXV5VF2BT9,"This project supports school-based science teachers and students in conducting community-based science research on the causes and effects of extreme heat/urban islands in racially and ethnically diverse communities. Doing research of this nature in schools is important, as students’ opportunities to engage in community-based science research usually occur in out-of-school contexts. Teachers will participate in professional learning experiences that support their development of content knowledge, scientific research practices, and critical pedagogies needed to design and implement research projects in their classroom. Students will identify locally-relevant issues related to this phenomenon, conduct investigations to explore the issue, share their findings through arts-based community narratives, and advocate for change. This project will broaden access to empowering youth-centered approaches that support learning and identity construction in science. Educational activities culminating from this research include the development a graduate-level course focused on climate justice action research as well as curricular materials for K-12 classroom use by teachers and students. This CAREER award is funded by the Discovery Research preK-12 program (DRK-12) which seeks to significantly enhance the learning and teaching of science, technology, engineering, and mathematics (STEM) by preK-12 students and teachers, through research and development of innovative resources, models and tools. Projects in the DRK-12 program build on fundamental research in STEM education and prior research and development efforts that provide theoretical and empirical justification for proposed projects. This project is also supported by the Racial Equity in STEM Education program (EHR Racial Equity). The program supports projects that advance racial equity in STEM education and workforce development through research and practice.     Qualitative and quantitative measures will be employed to study how 40 teachers across 4 cohorts develop their capacity to lead students in studying urban heat islands, an issue germane to their community. The research will explore how student participation in this action research shapes learning and identity construction in science. This project presents a novel approach to school-based science teaching and learning by empowering teachers and students as climate action researchers and change agents. The research will aid in the development of a hub for justice-centered science education and will also yield school-based materials and professional development activities that examine the interwoven nature of climate justice and racial justice. Further, project findings will support a transformative science teacher education model that empowers teachers as designers, equity advocates, and leaders in community-engaged science research.         This award is funded in whole or in part under the American Rescue Plan Act of 2021 (Public Law 117-2).    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",checked
