id,term,context,title,agency,classification,explanation
1,accessible,"y stress, minority stressor, mortality, nonbinary, novel, pilot test, prevent, primary outcome, programs, recruit, reduced alcohol use, secondary outcome, sexual minority youth, skills, social media, social stigma, stressor, systematic review, theories, treatment arm, underage drinking, uptake, web-accessible",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,SCIENTIFIC,"""Web-accessible"" refers to the technical accessibility of the intervention, specifically its availability online.
"
2,accessible,"cd consortium-wide common data element development, collection, integration,  curation, analysis, and sharing using existing well-developed national data coordinating and collection  center resources and expertise forming a research coordination & data management (rcdm) unit  providing a secure and accessible data warehouse hub for rd-mcd consortium data, and technical assist-  ance and guidance on: implementing multiple data standards and cross-study instruments including phenx  toolkit collections (e.g. social determinants of health (sdoh)); and up-to-date rd-mcd information, tools,  and resources via",Research Coordinating Center to Reduce Disparities in Multiple Chronic Diseases (RCC RD-MCD),NIH,SCIENTIFIC,"The term 'accessible' refers to a data warehouse being readily available for use, which is a technical aspect of data management in a scientific research context.
"
3,accessible,"he process is expensive and invasive. alternatively, gender- affirming voice and communication training (gavt) guided by a speech-language pathologist (slp) can be effective, but is time-consuming, costly, and has additional barriers such as lack of qualified gavt providers. one way to provide more accessible gavt would be through smartphone- or computer-based software that delivers information about voice, suggests exercises, and provides feedback on exercise performance. however, while some smartphone apps have been developed for gavt, they are limited in scope and not accepted by transgender people. ",Improving the accessibility of transgender voice training with visual-acoustic biofeedback,NIH,POLITICAL,"The term ""accessible"" refers to removing barriers (cost, time, lack of providers) that prevent transgender people from receiving gender-affirming voice and communication training, which directly relates to social and identity-based needs.
"
4,accessible,"y health and health disparities would enhance health services to minority populations and reduce health disparities. most health care practitioners are not trained in social science frameworks, and most social scientists who do related research do not know how to translate their research to make it accessible and actionable by clinicians. this project contributes to reducing health disparities by organizing an interdisciplinary conference to bridge social science and clinical knowledge of health in minority populations - especially immigrant populations. the conference will be attended by social scienti",SOCIAL MEDICINE CASES FOR HEALTH EQUITY,NIH,SCIENTIFIC,"The text discusses making research ""accessible and actionable"" for clinicians, referring to the practical application and understanding of research findings, a scientific and practical consideration.
"
5,accessible,"comorbid health conditions that increase their risk for severe covid-19 complications12, and are at greater risk from sars-cov-2 variants due to lower vaccination rates and fewer vaccination mandates33,40. thus, interventions to increase vaccine uptake in rural areas are greatly needed. as the most accessible healthcare professional in rural areas4,5 and one of the most trusted sources of medication information16, community pharmacists are well-positioned to address vaccine hesitancy with underserved, rural populations. because vaccination conversations are sensitive and often politically charged, pharm",Addressing COVID 19 Vaccine Hesitancy in Rural Community Pharmacies Reducing Disparities Through an Implementation Science Approach,NIH,SCIENTIFIC,"The text describes pharmacists as the ""most accessible healthcare professional,"" referring to the ease with which rural populations can reach and interact with them. This is related to healthcare access, a factor often studied in scientific and epidemiological research.
"
6,accessible,"or prep were not interested in starting it; of those who did start prep, only 5.8% remained on prep after 3 months. clearly, innovative interventions that optimize the prep continuum of care for diverse gbmsm and tw are needed. we propose here a theoretically-grounded (in the imb model), effective, accessible and sustainable mhealth prep care continuum intervention for gbmsm and tw, called estep (electronic support to engage with prep). the estep webapp will be tailored by sexuality and gender status and include a set of interactive components delivered before in-person hiv testing (e.g., prep informati",eSTEP: An integrated mHealth intervention to engage high-risk individuals along the full PrEP care continuum,NIH,SCIENTIFIC,"The term ""accessible"" is used to describe a desirable characteristic of the proposed mHealth intervention (eSTEP). In the context of a scientific grant proposal, accessibility refers to the ease with which the target population (GBMSM and TW) can use and benefit from the intervention, likely encompassing factors like user-friendliness, affordability, and availability, all within a scientific or health-related context.
"
7,accessible,"ased participatory research approach. it is led by an interdisciplinary research team, including researchers and experts with lived experiences of disabilities and collaboration with national organizations of people with disabilities. study material, data collection, and findings will be disability-accessible and available in plain language english, spanish and american sign language. we will present our findings at professional meetings and in publications in peer-reviewed journals, and share results with participants by posting briefs, presenting at disability conferences, and holding webinars with ou","Disability, diversity and trust in precision medicine research: stakeholdersengagement",NIH,POLITICAL,"The term ""disability-accessible"" refers to making study materials, data collection, and findings usable by people with disabilities, aligning with social and political concerns regarding inclusion and equal access.
"
8,accessible,"isorders. at the last competitive review in nov 2013 the reviewers concluded that, “the program, now in its fifteenth year, has many important strengths including a well-structured curriculum, the range of expertise and qualifications of the faculty, effective leadership and the wealth of resources accessible to trainees through the affiliated departments and programs. the program has a clear and compelling rationale for its focus on late life, both in terms of clinical problems unique to the elderly and methodological and conceptual challenges in conducting research with this age group. however, the pr",Research Training in Late-Life NeuroPsychiatric Disorders,NIH,SCIENTIFIC,"The term 'accessible' refers to resources available to trainees, which is relevant to the scientific training program being reviewed.
"
9,accessible,"like s antigens that will be used in a step-wise improvement approach in vaccination and protection studies. collectively, the data generated by this team will (a) identify immunological correlates of anti-cov breadth expected to inform vaccine design; (b) define the most conserved targets on cov s accessible to the human adaptive immune system and mechanistic insights into their recognition; (c) generate novel immunogens incorporating b and t cell strategies informed by (a-c) above; and (d) test them in the context of program-optimized delivery methods to maximize breadth of protective, durable cov imm",Discovering Durable Pan-Coronavirus Immunity,NIH,SCIENTIFIC,"""Accessible"" refers to the conserved targets on coronavirus S proteins being reachable or available for interaction with the human adaptive immune system. This is a scientific/biological concept.
"
10,accessible,"populations, senior citizens, members of lgbtq+ communities, and rural/frontier residents across the intermountain west, in order to: ensure that many voices are heard throughout the research life cycle; (potential) research participants are informed, engaged, and supported so that participation is accessible to all; and findings are translated into care that supports health equity. through our resources and services, we will provide stakeholder engagement, study design and analysis, informatics, ethics, and clinical research infrastructure to the utah ctsi community (including patients, community membe",CTSA UM1 Program at University of Utah,NIH,POLITICAL,"The context emphasizes inclusivity and health equity for vulnerable populations, suggesting a concern with social and political aspects of access to research participation.
"
