id,term,context,title,agency,classification,explanation
1,accessible,"collaborative research: accessible computational thinking in elementary science classes within and across culturally and linguistically diverse contexts currently, students who are white, affluent, and identify as male tend to develop a greater interest in and pursuit of science and computing-related careers compared to their black,",Collaborative Research: Accessible Computational Thinking in Elementary Science Classes within and across Culturally and Linguistically Diverse Contexts,NSF,POLITICAL,"The term 'accessible' refers to making computational thinking more equitable across different demographic groups (race, socioeconomic status, and gender). This implies a focus on social equity and addressing disparities, which is a political context.
"
2,accessible,"empathy and understanding for a broad range of student populations in engineering education. qualitative research presents a promising tool for centering the voices and experiences of students, but researchers’ typical long form journal publications for disseminating qualitative research are not an accessible and compelling medium. to increase collective impact, more accessible, innovative, and timely dissemination strategies are needed. podcasts and youtube clips can be used to disseminate research findings with more immediacy and personalization than written text. in this study, we will feature these ",Collaborative Research: Audio for Inclusion: Uncovering Marginalized Student Narratives to Provide Insight to Faculty on the Known Unknowns of Inclusion,NSF,POLITICAL,"The term 'accessible' refers to making research findings more easily available and understandable to a wider audience, particularly concerning issues of inclusion and student narratives. This leans into the social aspect of making information available to facilitate a more inclusive and equitable understanding, therefore aligning with a political context.
"
3,accessible,"rhood effects. the two studies that comprise this project integrate data science methodologies, machine learning, spatial analysis, and quasi-experimental design to test theories relating segregation to mass incarceration and community-level spillover effects. to do so, these studies combine rarely accessible geocoded data on policing and incarceration with detailed individual-level data on voting and mortality. by combining top-down sociological theories of place and punishment with bottom-up data science and machine-learning techniques, this project brings new evidence to bear on these theories and co","CAREER: Mass Incarceration, Racial Segregation, and Spillover Effects in U.S. Communities",NSF,SCIENTIFIC,"The term ""accessible"" refers to the availability of specific types of data (geocoded data on policing and incarceration, and individual-level data on voting and mortality) for research purposes, which is a technical aspect relevant to data science and scientific investigation.
"
4,accessible,"the board on science education, are convening an ad hoc committee to direct a set of commissioned papers and a virtual conference with presentations, panels, discussion breakouts, interactive sessions, reflections, or other modes of engagement, as determined to convey the information best and be as accessible as possible. topics include, but are not limited to, using an asset approach to define the disabilities of persons in stem; examining institutional barriers in work environments, policies and practices; and better understanding the experiences of persons with disabilities across stem workplaces, in","Beyond Compliance: Workplace Barriers, Access, and Inclusive Policies Impacting People with Disabilities in the STEM Workforce",NSF,POLITICAL,"The term 'accessible' refers to making the conference and its materials available and usable by people with disabilities, aligning with inclusivity and removing barriers, which is a political/social consideration.
"
5,accessible,"lly underrepresented in engineering, to explore a broader range of research and career pathways that better identify with their interests and values. to support students in acquiring these skills, graduate curricula can benefit from a framework and process for designing educational modules that are accessible to students in different disciplines, that identifies how they contribute to their field, and integrates emerging business needs. this national science foundation innovations in graduate education (ige) award to the university of massachusetts lowell (uml) and the university of massachusetts dartmo",Collaborative Research: IGE: Graduate Education in Cyber-Physical Systems Engineering,NSF,SCIENTIFIC,"The text discusses making educational modules accessible to students in different disciplines, implying a focus on understandability and ease of learning within a scientific or technical curriculum.
"
6,accessible,"or prep were not interested in starting it; of those who did start prep, only 5.8% remained on prep after 3 months. clearly, innovative interventions that optimize the prep continuum of care for diverse gbmsm and tw are needed. we propose here a theoretically-grounded (in the imb model), effective, accessible and sustainable mhealth prep care continuum intervention for gbmsm and tw, called estep (electronic support to engage with prep). the estep webapp will be tailored by sexuality and gender status and include a set of interactive components delivered before in-person hiv testing (e.g., prep informati",eSTEP: An integrated mHealth intervention to engage high-risk individuals along the full PrEP care continuum,NIH,SCIENTIFIC,"The term 'accessible' is used in the context of designing a health intervention (mHealth app) to make it easily available and usable by the target population (GBMSM and TW). This relates to the practical application and feasibility of the scientific intervention.
"
7,accessible,"ous heritage.  the project will also evaluate the impact of this curriculum on students and teachers, fostering a more inclusive and holistic approach to learning. digital media and curricular materials developed through this collaboration will be widely available, making this innovative curriculum accessible to dual language classrooms across the u.s. ultimately, this work seeks to enhance science education accessibility for marginalized students, particularly latinx youth, and support their representation and engagement in stem fields.    the project team will support 11 middle school teachers and 2,5",Collaborative Research: Integrating a culturally relevant digital curriculum into U.S. science dual language immersion programs,NSF,POLITICAL,"The term 'accessible' is used to describe making the curriculum available to a specific group (dual language classrooms across the U.S.) and enhancing science education accessibility for marginalized students (Latinx youth). This usage emphasizes equity and inclusion, aligning with social and political goals.
"
8,accessible,"on, higher multicultural validity, and produce more nuanced evaluation results. the broader impacts of this project include scientific publications with key findings from the evaluations, conference, and community presentations to highlight the strength and weaknesses of the programming, curriculum accessible to teachers and lastly, data on attraction, retention, and sense of belonging of participants.    this project is funded by the racial equity in stem education activity (edu racial equity). the activity supports projects that promote racial equity in science, technology, engineering, and mathematic",Collaborative Research: Building Racial Equity in Marine Science,NSF,POLITICAL,"""Curriculum accessible to teachers"" in this context refers to making educational resources available and usable, which aligns with the broader goal of promoting racial equity in STEM education. This ties into social and political aims of equal opportunity and access.
"
9,accessible,"ntial of this partnerships for innovation - technology translation (pfi-tt) project is in creating transparency in business transactions that involve data (image and videos) that have news, forensic and evidentiary value. as the technology to manipulate images and create fake videos has become more accessible, the public trust of photos and videos as evidence has been eroding. this project combats this problem by creating a process to prove that images are not fake or manipulated. this is achieved by a secure application that can be used to capture images or videos and instantly register a proof of orig","PFI-TT: A system to secure and verify location, time, metadata, and authenticity of digital images and videos",NSF,SCIENTIFIC,"The text discusses technology and its impact. ""Accessible"" refers to the increasing ease with which technology can be used to manipulate images, a technological development.
"
10,accessible,"ng approaches, including use of high impact practices and inclusive pedagogies in bme education, uses of ai-based learning tools, the future of coding, and the role of bme research in student outcomes and industry preparedness. summit data collected from all partners will be shared through publicly accessible journal articles. participants include stakeholders from broad learning environments, from residential college campuses to primarily commuter-serving educational institutions and industry. the summit will foster the generation of new ideas, guidelines and best practices among educators, broadly ben","Conference: 5th Council of Chairs Biomedical Engineering Education Summit; Newark, New Jersey; 29-31 May 2024",NSF,SCIENTIFIC,"The term ""accessible"" refers to the availability of research data through journal articles, a standard practice in scientific communication.
"
11,accessible,"d improvement community to achieve the following interrelated goals: address urgent fews challenges in indigenous communities; co-develop integrated, indigenous, place-based fews curricula, mentoring, and practice experiences; transform institutional science and technology fields to be relevant and accessible to indigenous communities; and recruit, retain and graduate indigenous students to pursue higher education and careers in fews and bring their knowledge back to their communities. alliance initiatives will be rigorously evaluated and disseminated, contributing new knowledge to the research base of ","Collaborative Research: NSF INCLUDES Alliance: Broadening Career Pathways in Food, Energy, and Water Systems with and within Native American Communities (Native FEWS Alliance)",NSF,POLITICAL,"The term 'accessible' refers to making science and technology fields welcoming and inclusive to indigenous communities, which is a matter of social equity and political consideration.
"
12,accessible," building on a growing interest in the ways stories can promote early engagement in and understanding of science, this project will investigate the role of oral and written stories as culturally relevant and potentially powerful tools for making scientific ideas and inquiry practices meaningful and accessible for young latinx children. findings will reveal ways that family storytelling practices can provide accessible entry points for latinx children's early science learning, and recommend methods that parents and educators can use to foster learning about scientific practices that can, in turn, increas",Collaborative Research: Latinx Families' Talk about Science in Stories with Young Children,NSF,POLITICAL,"The term 'accessible' relates to making scientific ideas and inquiry practices meaningful and readily understood by a specific cultural group (Latinx children), highlighting issues of equity and cultural relevance, which falls under a political context.
"
13,accessible,"nals by creating the neuroinclusive success enablers toolkit. the toolkit compiles interventions designed to empower neurodivergent employees and build the capacity of their managers, hr professionals, and providers to leverage and normalize success enablers. the toolkit will be freely available in accessible formats on the project website and distributed widely through the university of washington and the project advisory group.    the seen tech professionals research project investigates three central questions: 1) what are the most common success enablers neurodivergent individuals identify as critic",Success Enablers that Empower Neurodivergent Technology Professionals (SEEN Tech Professionals),NSF,POLITICAL,"The text discusses making the toolkit ""freely available in accessible formats,"" implying an effort to ensure equitable access for people with disabilities, a key component of social inclusion and accessibility as a political and social issue.
"
14,accessible," engagement. assessment and evaluation activities will provide formative feedback to shape the initiative over its arc. belonging, accessibility, justice, equity, diversity, and inclusivity are infused throughout all activities, and outcomes of diverse participation will be sought via inclusive and accessible practices that also promote a sense of connection and belonging in the community.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.",Collaborative Research: Human Infrastructure for a National Geochronology Consortium: Micro-funding an inclusive community grassroot effort to better understand the earth system,NSF,POLITICAL,"The context emphasizes social justice, equity, diversity, and inclusivity, indicating a focus on making opportunities and resources available to all members of the community, aligning with a political/social justice usage.
"
15,accessible,"backgrounds and interests. in response, agencies and educational entities are actively seeking ways to address issues of decision-making bias among professionals. traditional training (i.e., seminars, written case studies, use of live actors), is typically done in physical spaces, may not be easily accessible, and can therefore be costly. the proposed product can be accessed remotely which lifts many logistical barriers to consumers. by providing evidence to support the efficacy and viability of the product, expected outcomes may include improved practitioner knowledge, skills, and competencies. this wi",I-Corps: Virtual Reality Training Platform for Increasing Awareness of Unconscious Bias in Industry Decision-Making,NSF,SCIENTIFIC,"The term 'accessible' refers to the ease of access to training materials and resources, contrasting traditional, physically-bound training with the proposed virtual reality platform. This aligns with a practical, logistical consideration within the context of scientific research and development.
"
16,accessible,"mpounding impacts arising from historical legacies of colonization and splintered governance that complicate response efforts. the climate is warming in northern latitudes at over twice the rate of other parts of the globe. rural and alaska native communities throughout the state, many of which are accessible only by air or water, are among the most vulnerable, facing threats to key areas of concern such as salmon, large mammals, human health, and community infrastructure from extreme events such as flooding, high winds, erosion, increased rainfall, increased wildfire, and more extreme weather. thus, th",Planning Grant: Moving Forward Together - Transforming Arctic Geosciences for Alaska Native Sovereignty and Science,NSF,POLITICAL,"The term ""accessible"" refers to the physical remoteness of Alaska Native communities and their reliance on air or water transport, which is a consequence of historical factors and political decisions regarding infrastructure and resource allocation. This directly links to the vulnerability of these communities and highlights a political dimension related to sovereignty and access.
"
17,accessible,"er the needs and interests of people whose experiences are marginalized in stem fields. while this shift is promising, the learning tends to be isolated in identity-focused silos. for example, people addressing racial inequities are not often engaged with research about making informal science more accessible for people with disabilities. in this project, the children's museum of pittsburgh in partnership with edtogether, spelman college, and the warner school of education at the university of rochester will bring together these distinct domains of learning by working with youth and practitioners to con","A Synthesis of Approaches to Equity, Belonging, and Broadening Participation in Museums and Makerspaces",NSF,POLITICAL,"The term ""accessible"" refers to making informal science more readily available and inclusive for people with disabilities, addressing a social equity issue.
"
18,accessible," background. this project will motivate students in an hsi to seek creative solutions for real-world problems by building assistive technologies. students will engage in a highly interdisciplinary and project-based learning environment supported by faculty and professionals that has not always been accessible to urm student groups. project results that contribute to the knowledge base about experiential learning and interdisciplinary-based professional development, stem identity will be disseminated through publications, conference presentations, website, and other platforms. activities that further bro",HSI Implementation and Evaluation Project: Broadening STEM Participation Through Authentic Learning Experience,NSF,POLITICAL,"The term 'accessible' refers to the historical lack of access to learning environments for underrepresented minority (URM) student groups, highlighting a social equity issue.
"
