id,term,context,title,agency,classification,explanation
1,advocacy,"ral research training program for undergraduates from underrepresented populations in the us biomedical, clinical, behavioral, and social sciences research enterprise interested in trans population health that will include intensive summer research, year-long mentored projects, and life-long career advocacy and social support; (2) work collaboratively with scholars to develop career plans, pathways to independence, support systems, and capacities for culturally and medically relevant trans health research; and (3) create and sustain a network of mentors from diverse backgrounds to support scholars’ ca",SHINE Strong: Building the pipeline of HIV behavioral scientists with expertise in trans population health,NIH,POLITICAL,"The term 'advocacy' is used in the context of career advocacy and social support, specifically for underrepresented populations in biomedical fields interested in trans population health. This implies a focus on promoting the interests and well-being of this specific group, which aligns with a social, political, or identity-based context.
"
2,advocacy,"s and regions. this project will address these gaps through iterative, community-engaged development of new ssogi measures, and will assess the effectiveness of new vs. prior measures to characterize disparities in alcohol use, substance use, and mental health among sgm. address, adolescent, adult, advocacy, affect, age, alcohol consumption, alcohols, anxiety, behavior, birth, bisexual, categories, characteristics, classification, clinical, cognitive, communities, complex, data, development, dimensions, discrimination, disparity, dissemination and implementation, drug usage, effectiveness, electronic ","Project Recognize: Improving Measurement of Alcohol Use and Other Disparities by Sex, Sexual Orientation, and Gender Identity through Community Engagement",NIH,POLITICAL,"The term ""advocacy"" appears in a list of keywords related to disparities, discrimination, and communities, suggesting a focus on social justice and support for marginalized groups (SGM - Sexual and Gender Minorities). This aligns with a political or social advocacy context rather than a purely scientific or technical one.
"
3,advocacy," allow me to launch an independent research career with the goals of (1) identifying the mechanisms by which stigma affects young people’s alcohol use and mental health, and (2) partnering with affected communities to mitigate these effects through scalable interventions. accidents, address, adult, advocacy, affect, alcohol consumption, alcohol dependence, alcohols, anxiety, attenuated, buffers, cardiovascular diseases, clinical, communities, data, data collection, data set, development, discrimination, educational workshop, epidemiologist, epidemiology, evaluation, factor analysis, feasibility studie","Stigma,Romantic Relationships, and Alcohol Use Among Transgender and Nonbinary Young Adults",NIH,POLITICAL,"The term 'advocacy' is used in the context of partnering with affected communities to mitigate the negative effects of stigma, which aligns with social and political action to support and empower marginalized groups.
"
4,advocacy,"lize smw advisory to carry out this study. results of this study will immediately inform clinical interventions to improve recovery from sa among this highly vulnerable group and help to prioritize and justify public policy changes to reduce this mental health disparity. address, adolescent, adult, advocacy, affect, age, anxiety, attention, bisexual, black race, censuses, characteristics, climate, clinical treatment, communities, data, data set, disclosure, discrimination, disease, disparity, environment, etiology, exhibits, exposure to, forcible intercourse, frequencies, gender identity, geography, h","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,POLITICAL,"The term ""advocacy"" appears in a list of terms associated with ""public policy changes to reduce this mental health disparity,"" indicating a connection to influencing policy and social change, which aligns with a political context.
"
5,advocacy,"ative measurement of the alcohol environment, this research will improve the translation of evidence-based research to alcohol prevention policy and promote the niaaa’s mission to inform regulatory efforts and policy that create environments for healthy lives and well-being for all. acute, address, advocacy, advocate, affect, alcohol consumption, alcoholic beverages, alcohols, area, buffers, censuses, characteristics, chronic, consensus, consumption, country, data, economics, effectiveness, environment, failure, fellowship, funding, health, healthcare, individual, injury, international agencies, inter",Examining Individuals' Exposure to Alcohol Environments Using Novel Responsive Buffers,NIH,POLITICAL,"The text mentions ""alcohol prevention policy"" and the NIAAA's mission to inform ""regulatory efforts and policy,"" indicating that 'advocacy' is related to promoting specific policy changes, which falls under a political context.
"
6,advocacy," current); education level, health literacy, and linguistic needs; geographic location including underrepresented populations from medically underserved areas; and other factors or demographics that create unequal access to the highest level of health; aim 4: to increase nnlm membership with health advocacy organizations that create positive change through direct outreach and services to vulnerable populations; aim 5: to partner with new and existing organizations to advance data literacy and bioinformatics competencies to the widest audience possible; and aim 6: to address technology needs, and digit",NNLM Region 5:  Reaching More People in More Ways,NIH,POLITICAL,"The text refers to ""health advocacy organizations that create positive change through direct outreach and services to vulnerable populations,"" which clearly indicates a social and political context aimed at improving health equity.
"
7,advocacy,"m has been designed by a multi- disciplinary, multi-institutional project team and expert advisory committee that bring national perspective and experience with sgm populations and in-depth knowledge across key areas, including cancer research, clinical care, curriculum development, and health care advocacy. specific aims: (1) offer the sgm cancer care course annually to 30 early-career investigators recruited nationally from a broad audience of professionals interested in sgm cancer research using a specialized curriculum, multimodal delivery strategies, networking tools, and innovative teaching meth",Sexual and Gender Minority Cancer Curricular Advances for Research and Education (SGM Cancer CARE),NIH,POLITICAL,"The term ""health care advocacy"" in the context of SGM populations points to advocating for specific needs and rights within the healthcare system, which is inherently a political and social issue related to equality and access.
"
8,advocacy,"nment for dr. scherer to pursue his training; with mentorship from well-established experts, additional guidance from an advisory committee, and a department dedicated to his long-term success in becoming an independent investigator in healthy aging research. accounting, adult, advisory committees, advocacy, affect, age, aging, attitude, award, baseline surveys, behavior, behavioral mechanisms, cessation of life, chronic, clinical, collaborations, coupled, data, dedications, development, development plans, doctor of philosophy, environment, evaluation, focus groups, foundations, friends, goals, health",Creating Innovative Vaccine Messaging by Engaging in Patient-Centered Design with Non-Vaccinating Older Adults,NIH,AMBIGUOUS,"In this context, 'advocacy' appears in a list of keywords or topics, and without further context, it is not possible to determine if it refers to scientific advocacy (e.g., promoting research findings) or patient advocacy (e.g., supporting patient rights or access to care).
"
9,advocacy," of gender identity, sex assigned at birth and hormonal status on quality of life, pain sensitivity and immune cell activity in trans individuals. this investigation will also provide critical information with respect to the needs of this underserved and critically understudied population. address, advocacy, affect, alabama, appearance, area, biological factors, birth, blood specimen, body image, cd8-positive t-lymphocytes, categories, cells, communities, data, development, disease, disparity, estradiol, estrogens, female, frequencies, gender, gender identity, gender role, goals, health, hormonal, hor","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,POLITICAL,"The mention of ""underserved and critically understudied population"" and ""needs"" points towards using 'advocacy' in a context related to social justice and support for a specific group, which aligns with a political usage.
"
10,advocacy," of gender identity, sex assigned at birth and hormonal status on quality of life, pain sensitivity and immune cell activity in trans individuals. this investigation will also provide critical information with respect to the needs of this underserved and critically understudied population. address, advocacy, affect, alabama, appearance, area, biological factors, birth, blood specimen, body image, cd8-positive t-lymphocytes, categories, cells, communities, data, development, disease, disparity, estradiol, estrogens, female, frequencies, gender, gender identity, gender role, goals, health, hormonal, hor","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,POLITICAL,"The mention of ""underserved and critically understudied population"" and ""needs"" suggests a focus on addressing inequalities and advocating for the well-being of trans individuals, which falls under a political context.
"
11,advocacy,"iduals with cognitive impairment. the team will develop silverbills v3 and support the rigorous scientific validation, which will provide evidence of innovation and provide technological tools for financial and legal management for older lgbtq+ individuals with cognitive impairment. address, adult, advocacy, age, aging, algorithms, alzheimer', s disease related dementia, alzheimer', s disease risk, american, artificial intelligence, budgets, competence, computer software, detection, disadvantaged, discrimination, economics, elderly, face, fostering, fraud, fright, gender, gender identity, goals, healt","SilverBills: A Legal, Technical and Financial Tool for Aging LGBTQ+ Individuals with Impaired Cognition.",NIH,POLITICAL,"The term 'advocacy' appears in a list of keywords related to addressing the needs and rights of a specific population (aging LGBTQ+ individuals with cognitive impairment), suggesting a focus on promoting their interests and well-being. This aligns with a political context related to social justice and advocacy for marginalized groups.
"
12,advocacy," have direct theoretical and applied implications as it addresses important confounding issues currently distorting findings on how macro- and exo-level structural sexual minority stigma shape sexual minorities’ mental health. results may further contribute to health equity by facilitating targeted advocacy and therapeutic interventions to improve structural climates for sexual minorities and combat systemic effects, not only in the us, but similarly across the globe. address, advocacy, age, attitude, automobile driving, climate, complex, country, county, data, data pooling, data set, development, dis",The Socioecology of Sexual Minority Stigma: Data Harmonization to Address Confounding Bias and Investigate Cross-Level MentalHealth Effects,NIH,POLITICAL,"The context refers to ""health equity,"" ""improving structural climates for sexual minorities,"" and ""combat systemic effects,"" which are all related to social and political issues and changes.
"
13,advocacy," a validated mixed methods approach to compare the social networks reached by pols in each arm. we hypothesize that incorporating a racial justice lens will empower pols to disseminate information more broadly and more persuasively and increase vaccine uptake by reducing fear and mistrust. address, advocacy, area, arthritis, assessment tool, black populations, black race, boston, covid-19 burden, covid-19 pandemic, covid-19 stress, covid-19 vaccination, covid-19 vaccine, caring, characteristics, chicago, chronic, cities, clinical trials, communicable diseases, communities, critical race theory, diseas",Leveraging Community-Academic Partnerships and Social Networks to Disseminate Vaccine-Related Information and Increase Vaccine Uptake Among Black Individuals with Rheumatic Diseases,NIH,POLITICAL,"The context mentions ""racial justice lens"" and ""empower pols to disseminate information more broadly and more persuasively,"" which are related to social and political advocacy for a specific group.
"
14,advocacy,"es these young people face, including intragroup vst disparities (e.g., those with/without interdisciplinary care access or neurodevelopmental disability). therefore, this proposal, which builds on three nih-funded pilot projects, finalizes the development, calibration, and validation of a vst self-advocacy tool, called the vista (variations in sex traits advocacy tool), to capture youth needs and preferences and the disparities they face. aim 1 expands and refines the pilot vista itemset to ensure item coverage, comprehension, and cultural attunement for key vst disparity subgroups (i.e., youth with ",Equitable Measurement of Care Disparities and Needs in Intersex Youth/Youth with Variations in Sex Development,NIH,SCIENTIFIC,"The text describes the development and validation of a ""self-advocacy tool"" (VISTA) to measure the needs and preferences of intersex youth. This focuses on the tool's scientific properties (calibration, validation, item coverage) and its ability to capture data relevant to disparities, placing it firmly within a scientific research context.
"
15,advocacy," to produce positive health outcomes across the lifespan and improvements on social determinants of health impacting mdc's sgm population and a sustainable, replicable model generalizable not only to sgm populations in other geographic locations, but to other vulnerable populations. address, adult, advocacy, age, collaborations, collection, communities, community actions, county, data, data collection, development, disparity, foundations, funding, future, gender identity, geographic locations, health, health disparities research, health promotion, healthcare, homelessness, housing, improve access, ine",Leveraging a community-driven approach to address the impact of social determinants of health on structural inequities among Miami-Dade County's intergenerational LGBTQ+ Community,NIH,POLITICAL,"The term ""advocacy"" appears within a list of terms associated with addressing social determinants of health and inequities impacting the LGBTQ+ community. This strongly suggests a context related to social and political action aimed at improving the lives of a specific population group.
"
16,advocacy,"rt translational research, and investigate treatment of mitochondrial diseases. mitochondrial diseases are clinically and genetically heterogeneous disorders due to primary mutations in mitochondrial dna (mtdna) or nuclear dna (ndna). a consortium, acting in close collaboration with the key patient advocacy groups, including the united mitochondrial disease foundation (umdf), provides an optimal approach to these complex diseases. with support of an nih american recovery and reinvestment act (arra) grant and 7 years of a u54 award, namdc has already generated produced a substantial research infrastruc",The North American Mitochondrial Disease Consortium (NAMDC),NIH,POLITICAL,"The term ""advocacy groups"" refers to organizations that support and promote the interests of patients, which is a social and political activity aimed at influencing healthcare and research priorities.
"
17,advocacy,"ctively with community partners. we expect to develop new frameworks, tools, and empirical evidence on how to center principles of intersectionality in report back of environmental health data, and how to advance a right-to-understand report back paradigm to support health equity. address, adopted, advocacy, back, beauty, biological monitoring, black race, chemical exposure, chemicals, communication, communities, data, discrimination, educational intervention, educational workshop, environmental health, ethics, exposure to, feedback, funding, gender, goals, hair, individual, intervention studies, inte",Reframing personal and community report back of consumer products by centering intersectionality,NIH,POLITICAL,"The text mentions ""health equity,"" ""right-to-understand,"" ""discrimination,"" ""gender,"" and ""black race,"" which are all indicators of a focus on social justice and political advocacy related to environmental health disparities.
"
18,advocacy,"thesis that implementation of procovaxed trusted messaging platforms in eds is associated with increased acceptance and uptake of covid-19 and influenza vaccines in ed usual source of care patients. we have engaged a powerful set of stakeholders, including six major hospital systems, seven minority advocacy and faith-based organizations, and the two largest us emergency medicine professional organizations, who are committed to disseminating our findings and broadly implementing procovaxed platforms. our research will be a public health game-changer that paves the way towards ed-based public health mes",PROmotion of COVid-19 VA(X)ccination in the Emergency Department - PROCOVAXED,NIH,POLITICAL,"The term ""advocacy"" refers to minority advocacy and faith-based organizations, indicating a use related to social groups and their representation or promotion of specific interests, which aligns with a political context.
"
19,advocacy,"(2) the influence of state-level policies on transgender youths' psychosocial and health outcomes. the results of this feasibility study will inform recruitment strategies, data collection and instruments, and sample size estimates for a future r01. academy, address, adolescence, adolescent, adult, advocacy, age, agreement, alabama, american, american college of obstetricians and gynecologists, association of american medical colleges, caring, characteristics, childhood, clinical, communities, consensus, data, data collection, databases, discrimination, enrollment, face, feasibility studies, florida, ",Feasibility study for assessing processes and outcomes related to gender affirming care,NIH,POLITICAL,"The term ""advocacy"" appears within a list that includes politically charged terms like ""discrimination"" and references to organizations such as ""American College of Obstetricians and Gynecologists"" which are involved in policy debates related to gender affirming care. This suggests a connection to the political and social landscape surrounding transgender rights and healthcare.
"
20,advocacy," cornell’s success in establishing programs for the effective development and support of early-career faculty, particularly those underrepresented in their fields, cornell is in an excellent position to test the hypothesis that first cohort faculty will be successful in an environment that supports advocacy through sponsorship, consistent and individual-centered mentoring, and evidence-based professional development. we further hypothesize that cornell’s institutional culture and scientific excellence will be enhanced with the hiring of a first cohort of diverse faculty. cornell’s first program featur",Cornell FIRST,NIH,POLITICAL,"The term 'advocacy' is used in the context of supporting underrepresented faculty, indicating a social and diversity-focused initiative, which aligns with a political context.
"
21,advocacy,"hy and livable mott haven partnership (hlmhp) to identify and transform the structures that drive poor health outcomes in one bronx community. hlmhp’s community-led engagement model collaborates with grassroots organizations, public housing tenant leaders, government agencies, healthcare providers, advocacy groups, and human service providers address a range of issues – food insecurity, nutrition, behaviors to promote healthy living, access to open space and social connectivity. cardiometabolic and health service outcomes will leverage the bronx regional health information (bxrhio) health information ",Healthy and Livable Bronx Partnership,NIH,POLITICAL,"Advocacy groups are listed among other community stakeholders (grassroots organizations, public housing tenant leaders, government agencies) that are working to address social issues to improve health outcomes. This suggests a political context, referring to groups advocating for change.
"
22,advocacy,"tized postdoctoral scholars by providing training, professional development, and community with other scholars across their university system and the rise upp alliance network; and 4) supporting mentors of minoritized postdocs and junior faculty by providing training, compensation, recognition, and advocacy.  rise upp’s goals align with the vision of nsf includes to innovate and facilitate collaborative approaches to broaden participation and leadership in stem. the alliance will collaborate with and build upon the work of the nsf includes aspire alliance to diversify faculty and improve institutional",NSF INCLUDES Alliance: Re-Imagining STEM Equity Utilizing Postdoctoral Pathways,NSF,POLITICAL,"The term ""advocacy"" in the context of supporting mentors of minoritized postdocs and junior faculty directly relates to social justice and equity, which are inherently political issues.
"
