id,term,context,title,agency,classification,explanation
1,advocate,"anel of scientific advisors in the department of applied health science at iu sph-b (drs. kristen jozkowski, karla galaviz, and debby herbenick). future directions: skills and data acquired from this proposal will support a future r01 proposal to conduct further trials of pact. address, adolescent, advocate, affect, age, area, assertiveness, attitude, award, behavior, behavior therapy, clinical trials, code, coitus, collaborations, communication, consent, cost efficiency, data, dedications, development, elements, evaluation, feedback, focus groups, future, gender, general population, goals, hiv, healt",A digital health intervention to increase condom use among adolescent sexual minority males,NIH,AMBIGUOUS,"The term ""advocate"" appears in a list of keywords related to the grant proposal. Without more context, it's unclear whether it refers to patient advocacy, self-advocacy skills (which would be related to the intervention), or another meaning entirely.
"
2,advocate," research project; (c) an online learning platform with scheduled, asynchronous peer-to-peer exchanges; and (d) a final research forum presentation for the local trans and scientific communities and the next cohort of scholars. aids prevention, acquired immunodeficiency syndrome, address, advocacy, advocate, affect, african american, altruism, ancillary study, area, behavior therapy, behavioral, behavioral research, behavioral sciences, black race, caring, cessation of life, cities, clinical sciences, communities, country, data, development, e-learning, education, educational process of instructing, e",SHINE Strong: Building the pipeline of HIV behavioral scientists with expertise in trans population health,NIH,POLITICAL,"The term 'advocate' appears in a list of keywords alongside terms like ""advocacy"", ""African American"", ""Black race"", ""communities"", and ""trans population health"". These terms suggest a focus on social issues and political action related to marginalized groups, indicating that 'advocate' is likely used in a context of advocating for the trans community and HIV prevention.
"
3,advocate," from the conduct and reporting of research that impacts these populations and further reifying stereotypes and stigma. in partnership with and guided by a racially, ethnically, professionally and geographically diverse executive stakeholder board and workgroups consisting of tgd community members, advocates, clinicians, and ethics, legal, and genomics and health equity scholars, we will explore perspectives on the potential risks and benefits of studying genomic associations with gender identity. together we will: 1) assess gaps in the literature and define elsi themes for further exploration and inc",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term ""advocates"" refers to individuals who actively support or promote the rights and well-being of transgender and gender diverse (TGD) community members. This aligns with a social and political context focused on advocacy for a specific population.
"
4,advocate,"ill conduct focus groups to explore acceptability of otc prep and facilitators and barriers to implementation among key stakeholders, including clinicians, leaders of professional medical organizations, public health officials, regulatory experts, drug and hiv self-test manufacturers, and community advocates. in aim 3, we will use mathematical modeling to project the long-term impact of the availability of otc prep on population-level outcomes, including hiv incidence, disparities, and adverse clinical events, such as hiv drug resistance, serious renal events, hepatitis b relapse, and sexually transmi","Over-the-Counter PrEP: Acceptability, Feasibility, and Potential Impact of Access without a Prescription (OFFSCRIPT)",NIH,POLITICAL,"""Community advocates"" are stakeholders in the implementation of OTC PrEP, indicating a social and political context related to community representation and advocacy for health policies.
"
5,advocate,"l reactions questionnaire-alcohol. completion of this study will result in an sgm-focused intervention to improve social reactions provided upon disclosure of sv among sgm emerging adults, which may lead to reductions in problematic drinking and other deleterious outcomes for this vulnerable group. advocate, age, alcohol abuse, alcohol consumption, alcohols, area, behavior, communities, data, disclosure, disparity, educational workshop, enrollment, evaluation, face, feedback, frequencies, friends, goals, grant, health, health occupations, health personnel, heterosexuals, hour, individual, intervention",Reconstruction of an SGM-specific sexual violence peer support program (SSS+),NIH,POLITICAL,"The term 'advocate' appears within a list of terms related to a program designed to support a specific community (SGM emerging adults) facing sexual violence. This suggests the term is being used in the context of advocacy for this group, which aligns with a social, political, or identity-based usage.
"
6,advocate,"tors. the training plan outlines didactic coursework, trainings, and workshops, experiential learning via research assistantships, mentored dissertation study, and other advanced training opportunities to prepare ms. kennedy to meet her career goal of becoming a leading health equity researcher and advocate in violence prevention for sgd populations. active learning, address, advocate, affect, assistantship, attention, automobile driving, baltimore, cities, crime, data, data analyses, data pooling, degree requirements, dimensions, discrimination, disparity, education, educational workshop, eligibility",Characterizing Economic Determinants of Violence and Safety Disparities Among Sexual and Gender Diverse Populations,NIH,POLITICAL,"The text indicates the candidate's career goal is to become a health equity researcher and ""advocate"" in violence prevention for sexual and gender diverse (SGD) populations. This implies advocating for the rights and well-being of this community, which is a political and social justice-oriented usage.
"
7,advocate,"er feedback, this r21 will produce and pilot a critically needed intervention to increase engagement in affirmative community-building services to decrease depression and loneliness, as well as improve physical health and quality of life among ogbmlh. activities of daily living, address, adherence, advocate, age, ally, anti-retroviral agents, bereavement, bisexual, caring, child, cognitive, cognitive therapy, communication, communities, competence, data, discrimination, elderly, enrollment, epidemic, ethnic origin, event, evidence based intervention, exhibits, family, feedback, focus groups, fostering",Bridge to Belonging (B2B): Peer led intervention to reduce loneliness and depression among older gay and bisexual men,NIH,POLITICAL,"The term 'advocate' is likely referring to advocating for the needs and rights of older gay and bisexual men within the context of the intervention, indicating a social, political, or identity-focused usage.
"
8,advocate,"urement of the alcohol environment, this research will improve the translation of evidence-based research to alcohol prevention policy and promote the niaaa’s mission to inform regulatory efforts and policy that create environments for healthy lives and well-being for all. acute, address, advocacy, advocate, affect, alcohol consumption, alcoholic beverages, alcohols, area, buffers, censuses, characteristics, chronic, consensus, consumption, country, data, economics, effectiveness, environment, failure, fellowship, funding, health, healthcare, individual, injury, international agencies, intervention, l",Examining Individuals' Exposure to Alcohol Environments Using Novel Responsive Buffers,NIH,POLITICAL,"The text mentions ""alcohol prevention policy"" and promoting the ""niaaa's mission to inform regulatory efforts and policy."" This suggests 'advocate' relates to promoting or supporting policies related to alcohol prevention, which falls under a political context.
"
9,advocate,"gender diversity, ethno-racial identity, and ldx individuals with asd. using a mixed-methods approach, we will identify markers of ldx and examine the interplay between sex and gender in dx timing and well-being outcomes. a sex, gender, and ethnoracially diverse stakeholder team of clinicians, self-advocates, autistic people, and parents, all with professional and/or lived experience with ldx asd, will guide us as we: 1. identify sex, gender, cognitive, and behavioral differences between timely (tdx) and ldx autistic people. 2. develop and validate a self-report asd screening measure as a diagnostic a",Autism Center of Excellence Network: Neurodevelopmental Biomarkers of Late Diagnosis in Female and Gender Diverse Autism,NIH,POLITICAL,"The term ""self-advocates"" refers to individuals with lived experience of autism who are advocating for themselves and their community. This suggests a social and identity context related to the autism community's involvement in the research process and ensuring their voices are heard, aligning with a political usage.
"
10,advocate," course design will be adaptable for in-person modality, blended learning, and/or online-only formats in response to the research and education restrictions related to the covid-19 pandemic. the long-term goal of the sgm cancer care course is to increase the number of professionals able to lead and advocate for research to reduce sgm cancer disparities and to advance sgm health equity. address, advisory committees, advocacy, advocate, american society of clinical oncology, area, award, awareness, behavior therapy, behavioral sciences, covid-19 pandemic, cancer control, cancer patient, caring, clinical",Sexual and Gender Minority Cancer Curricular Advances for Research and Education (SGM Cancer CARE),NIH,POLITICAL,"The term ""advocate"" in the context of reducing SGM cancer disparities and advancing SGM health equity reflects a social and political goal. Addressing health disparities for a specific population group inherently involves political considerations related to equity and access.
"
