id,term,context,title,agency,classification,explanation
1,advocates," from the conduct and reporting of research that impacts these populations and further reifying stereotypes and stigma. in partnership with and guided by a racially, ethnically, professionally and geographically diverse executive stakeholder board and workgroups consisting of tgd community members, advocates, clinicians, and ethics, legal, and genomics and health equity scholars, we will explore perspectives on the potential risks and benefits of studying genomic associations with gender identity. together we will: 1) assess gaps in the literature and define elsi themes for further exploration and incl",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term ""advocates"" in this context refers to individuals actively supporting and promoting the rights and well-being of transgender and gender diverse people. This aligns with a social and political context focused on identity and advocacy.
"
2,advocates,"ill conduct focus groups to explore acceptability of otc prep and facilitators and barriers to implementation among key stakeholders, including clinicians, leaders of professional medical organizations, public health officials, regulatory experts, drug and hiv self-test manufacturers, and community advocates. in aim 3, we will use mathematical modeling to project the long-term impact of the availability of otc prep on population-level outcomes, including hiv incidence, disparities, and adverse clinical events, such as hiv drug resistance, serious renal events, hepatitis b relapse, and sexually transmit","Over-the-Counter PrEP: Acceptability, Feasibility, and Potential Impact of Access without a Prescription (OFFSCRIPT)",NIH,POLITICAL,"Community advocates are key stakeholders whose perspectives relate to social and political concerns related to public health, access, and equity.
"
3,advocates,"gender diversity, ethno-racial identity, and ldx individuals with asd. using a mixed-methods approach, we will identify markers of ldx and examine the interplay between sex and gender in dx timing and well-being outcomes. a sex, gender, and ethnoracially diverse stakeholder team of clinicians, self-advocates, autistic people, and parents, all with professional and/or lived experience with ldx asd, will guide us as we: 1. identify sex, gender, cognitive, and behavioral differences between timely (tdx) and ldx autistic people. 2. develop and validate a self-report asd screening measure as a diagnostic ac",Autism Center of Excellence Network: Neurodevelopmental Biomarkers of Late Diagnosis in Female and Gender Diverse Autism,NIH,POLITICAL,"""Self-advocates"" in this context refers to individuals with lived experience of autism who are advocating for themselves and others. This usage falls within the realm of social and identity politics, as it relates to the self-representation and empowerment of a specific group.
"
4,advocates,"eaders and regional community advisory boards to create educational information, stories, and messages keyed to the beliefs and perceived norms that drive vaccine behavior. this content will be incorporated into an ehealth toolkit for use by community members and specially trained community vaccine advocates, laypeople who volunteer to provide information and motivational/emotional support to their friends, families, and communities. third, we will launch the intervention in the southcentral region of alaska and evaluate effectiveness using the reach, effectiveness, adoption, implementation, and mainte",Alaska Native Communities Advancing Vaccine Uptake,NIH,POLITICAL,"The term ""advocates"" refers to laypeople volunteering to provide information and support related to vaccines within their communities. This aligns with a social/political context of promoting a specific health behavior and influencing public opinion within a community.
"
5,advocates,"kits with pdpt. additional synergy is to pair prep with bsti diagnoses and pdpt since smm diagnosed with bstis are priority candidates for prep. during aim 1, we will form a community advisory board comprised of smm (including racial/ethnic minorities and rural smm), healthcare providers, community advocates, and other stakeholders in oklahoma. working in collaboration with this group, we will develop an intervention called 3t-prevent with iterative refinement based on community feedback from smm (n = 20) and key informants (n = 20; clinicians, nurses, clinic managers, and other stakeholders). prelimin","3T-Prevent: Piloting a multi-level, combination intervention strategy to expand HIV and bacterial STI prevention",NIH,POLITICAL,"The term 'advocates' refers to individuals who support and promote the health and well-being of the community, suggesting a social and political role.
"
6,advocates,"undation for a subsequent r-series application for a full rct. our approach builds on and extends our team’s collaborative experience working with gender and sexual minority communities in the philippines, and will invest in capacity development for researchers and transgender hiv professionals and advocates in the philippines.",Stigma Reduction and Gender Affirmation to Promote HIV Prevention/Testing in Trans Women,NIH,POLITICAL,"The term 'advocates' refers to individuals who actively support and promote the rights and well-being of transgender individuals, placing it within a social and political context.
"
7,advocates,"munity partners known to be trusted by ytw. specific aims are: 1. assess ytw perceptions of prep, different delivery methods and potential barriers to initiation and adherence. we will establish community and scientific advisory boards (cab/sab) made up of ytw and healthcare providers and community advocates, survey ytw (n=100) and use perceptual mapping analyses to develop targeted messages, elicit feedback from the cab/sab on content and delivery of queen-p; 2. develop the queen-p ehealth dst and assess usability and acceptability. we will develop a prototype dst and concept-test messages and feature",Developing and pilot testing an eHealth decision support tool for young trans women to improve informed decision 	making about PrEP,NIH,POLITICAL,"""Community advocates"" are grouped with healthcare providers and young trans women on the advisory boards, suggesting a role representing the interests and perspectives of the community, which falls under a social, political, or identity context.
"
8,advocates,"ive methods on projects pertaining to behavioral health, chronic disease, maternal and infant home visitation, nutrition, covid-19 vaccinations, and teenage pregnancy. this effort is joined by a wide range of partners including local practitioners, social service providers, business leaders, policy advocates, members of faith-based communities, and members of a regional advisory group consisting of representatives of our target population – to capture and directly address the concerns of all parties of interest. address, advocate, affect, area, birth, businesses, covid-19 vaccination, child, chronic di",Partnership to Optimize Equity in Maternal and Infant Health,NIH,POLITICAL,"""Policy advocates"" are listed as partners, indicating individuals or groups actively supporting and promoting specific policies related to maternal and infant health, which is a political activity.
"
9,advocates,"st-baccalaureate minors, certificates, and degrees. on average, blacks comprise about 3% of all data science professionals, demonstrating the need for an alliance-scale effort to address this stem broadening participation challenge. also central to ndsa goals is expanding data science research that advocates for social justice and transforming data science discoveries into tangible benefits that advance equity for all. the potential for the perpetuation of harm through biased data technologies and algorithms is well documented. the ndsa establishes a national network of historically black colleges and ",NSF INCLUDES Alliance: National Data Science Alliance (NDSA),NSF,POLITICAL,"The term 'advocates' is used in the context of social justice and equity, which are inherently political topics. The text speaks to the need for data science research to advocate for these issues, indicating a usage tied to social and political aims rather than purely scientific ones.
"
10,advocates," is that it engages top-down support for programs that will have a marked impact on campus climate allowing for a transition from a culture of attrition to a culture of development.  to improve retention of underrepresented groups, the project intends to include adaptation of three proven programs: advocates and allies (ndsu), facilitated mentoring circles (murray state), and mutual mentoring (umass). these programs are structured to include feedback to improve policy, involve expert advisors and evaluators, and are rooted in an enhanced plan for data collection and analysis.  this project aims to dire",Adaptation: Empower through Inclusivity: Developing Pathways to Success,NSF,POLITICAL,"The term 'advocates and allies' in the context of a program aimed at improving retention of underrepresented groups clearly indicates a social and political dimension, specifically related to advocacy and support for a particular group.
"
