id,term,context,title,agency,classification,explanation
1,advocates," by a racially, ethnically, professionally and geographically diverse executive stakeholder board and workgroups consisting of tgd community members, advocates, clinicians, and ethics, legal, and genomics and health equity scholars, we will explore perspectives on the potential risks and benefits of studying",NA,NIH,POLITICAL,"The term 'advocates' refers to individuals who actively support or promote the interests of a particular community (tgd community members). This aligns with a social and political context of representation and advocacy for a specific group.
"
2,advocates,"ians, leaders of professional medical organizations, public health officials, regulatory experts, drug and hiv self-test manufacturers, and community advocates. in aim 3, we will use mathematical modeling to project the long-term impact of the availability of otc prep on population-level outcomes, including ",NA,NIH,POLITICAL,"The term 'advocates' refers to community advocates, implying individuals or groups who support and promote a cause or policy within a community, which is a political context.
"
3,advocates," interplay between sex and gender in dx timing and well-being outcomes. a sex, gender, and ethnoracially diverse stakeholder team of clinicians, self-advocates, autistic people, and parents, all with professional and/or lived experience with ldx asd, will guide us as we: 1. identify sex, gender, cognitive, a",NA,NIH,POLITICAL,"The term 'self-advocates' refers to individuals advocating for themselves, typically in the context of disability rights or social justice, which is a political context.
"
4,advocates,"rive vaccine behavior. this content will be incorporated into an ehealth toolkit for use by community members and specially trained community vaccine advocates, laypeople who volunteer to provide information and motivational/emotional support to their friends, families, and communities. third, we will launch",NA,NIH,POLITICAL,"The term 'advocates' refers to laypeople who provide information and support related to vaccines, suggesting a role in promoting a particular viewpoint or policy, aligning with a social or political context related to public health.
"
5,advocates,"g aim 1, we will form a community advisory board comprised of smm (including racial/ethnic minorities and rural smm), healthcare providers, community advocates, and other stakeholders in oklahoma. working in collaboration with this group, we will develop an intervention called 3t-prevent with iterative refin",NA,NIH,POLITICAL,"""Community advocates"" in this context refers to individuals who champion the needs and interests of a particular community, which aligns with a social and political role.
"
6,advocates,"der and sexual minority communities in the philippines, and will invest in capacity development for researchers and transgender hiv professionals and advocates in the philippines.",NA,NIH,POLITICAL,"The term 'advocates' in this context refers to individuals who support and promote the rights and well-being of transgender individuals and those affected by HIV, which is a social and political cause.
"
7,advocates," initiation and adherence. we will establish community and scientific advisory boards (cab/sab) made up of ytw and healthcare providers and community advocates, survey ytw (n=100) and use perceptual mapping analyses to develop targeted messages, elicit feedback from the cab/sab on content and delivery of que",NA,NIH,POLITICAL,"The term ""community advocates"" refers to individuals who champion the needs and rights of the community, which falls under a social and political context.
"
8,advocates,"eenage pregnancy. this effort is joined by a wide range of partners including local practitioners, social service providers, business leaders, policy advocates, members of faith-based communities, and members of a regional advisory group consisting of representatives of our target population – to capture and",NA,NIH,POLITICAL,"""Policy advocates"" suggests individuals or groups who actively promote specific policies, which is inherently a political activity.
"
9,advocates,"d racial justice. further, project findings will support a transformative science teacher education model that empowers teachers as designers, equity advocates, and leaders in community-engaged science research.         this award is funded in whole or in part under the american rescue plan act of 2021 (publ",NA,NSF,POLITICAL,"The term 'advocates' is used in the context of equity and racial justice, aligning with social and political goals.
"
10,advocates,"cy summit in columbia south carolina. promise fellows will present their research and discuss stem education policy and action with lawmakers, policy advocates and community stakeholders. promise fellows will acquire expertise in education research methods, contribute to the research literature, and particip",NA,NSF,POLITICAL,"The term 'advocates' refers to 'policy advocates,' suggesting individuals or groups promoting specific policies, which falls within a political context.
"
11,advocates," by reorganizing traditional relationships between parents and school, the project seeks to empower latinx parents and families as equal partners and advocates for their children’s education, as well as support the creation of sustainable resources for head start programs in our communities that align with f",NA,NSF,POLITICAL,"The term 'advocates' refers to the role of parents in championing their children's education, which aligns with broader social and political goals of empowerment and equitable access to resources.
"
12,advocates,"ate student training in methods of empirical data collection and analysis, the project findings will be shared to scientists, government agencies, ej advocates, and the broader public through academic publications, invited presentations, formal comments at public hearings, and the pi’s participation in agenc",NA,NSF,POLITICAL,"""ej advocates"" likely refers to environmental justice advocates, a term strongly associated with social and political movements.
"
13,advocates,"main objectives (1) develop stem faculty for leadership roles, in particular as department chairs; (2) empower department chairs, center leaders, and advocates with critical training; (3) improve retention, tenure success, satisfaction, and sense of belonging for all stem faculty. the advance project will pa",NA,NSF,POLITICAL,"The term 'advocates' in this context refers to individuals who actively support and promote the interests and well-being of STEM faculty, particularly in relation to retention, tenure success, satisfaction, and sense of belonging. This aligns with a social and political dimension of equity and inclusion within the academic environment.
"
14,advocates," by reorganizing traditional relationships between parents and school, the project seeks to empower latinx parents and families as equal partners and advocates for their children’s education, as well as support the creation of sustainable resources for head start programs in our communities that align with f",NA,NSF,POLITICAL,"The term 'advocates' refers to parents actively supporting and promoting their children's education, which aligns with a social and political context of empowerment and equal partnership within the education system.
"
15,advocates,tudent clubs. the training program will cultivate a broad sense of shared responsibility for fostering equity and will enroll the entire community as advocates and allies in changing our stem culture by integrating equity and allyship into a peer-leadership program.     this center will stand up infrastructu,NA,NSF,POLITICAL,"The text describes the community being enrolled as ""advocates and allies"" in changing STEM culture by integrating equity and allyship, which are inherently social and political concepts.
"
16,advocates,", engineering, and mathematics (stem) faculty from all backgrounds. to address campus climate, the ames project will implement two initiatives; 1) an advocates & allies program (developed by north dakota state university) to address implicit bias, improve understanding of systemic and interpersonal forms of ",NA,NSF,POLITICAL,"The term 'advocates' is used in the context of addressing campus climate, implicit bias, and systemic and interpersonal forms of discrimination, indicating a social and political usage.
"
