id,term,context,title,agency,classification,explanation
1,affirming care,"aining, united states national institutes of health, youth, arm, cisgender, density, digital platform, digital solutions, effectiveness testing, effectiveness/implementation study, effectiveness/implementation trial, empowerment, evidence base, experience, experimental study, family support, gender affirming care, gender affirming therapy, gender diverse, health determinants, health disparity, health disparity populations, health equity, health inequalities, high risk, hormone therapy, implementation evaluation, improved, innovation, insight, minority stress, multiphase optimization strategy, peer, pilot te",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,SCIENTIFIC,"The term ""gender affirming care"" appears within a list of terms related to health, research methodologies (e.g., ""effectiveness testing,"" ""implementation evaluation""), and specific interventions (e.g., ""hormone therapy""). This strongly suggests a technical and scientific context within the grant proposal.
"
2,affirming care,"the u.s. are disproportionately affected by tobacco use. transgender adults are more than twice as likely to smoke cigarettes than the general u.s. adult population. in addition to the great burden of disease tobacco use places onto this population, tobacco use is also a contraindication for gender-affirming care, a medical necessity for many transgender persons to achieve full mental and physical health. despite the health-related needs of transgender adults, existing smoking cessation interventions fail to address the specific needs of this population. as such, the national academy of medicine and u.s. su",Proud to Quit (P2Q): A Person-centered mobile technology intervention for smoking cessation among transgender adults,NIH,SCIENTIFIC,"The text describes ""gender-affirming care"" as a ""medical necessity"" and mentions tobacco use as a ""contraindication"" for it, placing it within a medical/scientific context.
"
3,affirming care,"trend, training, translating, united states, victimization, violence, visit, vulnerable populations, weight, work, antiretroviral therapy, billing data, career, cisgender, clinical epidemiology, clinically actionable, ehealth, electronic medical record system, epidemiology study, experience, gender affirming care, health assessment, health care service utilization, health disparity, health equity, health inequalities, high risk, improved, insurance claims, large datasets, longitudinal analysis, medication compliance, phenotyping algorithm, sex assigned, skills, social, social group, study population, transg",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,SCIENTIFIC,"The term ""gender affirming care"" appears alongside other medical and research-related terms such as ""clinical epidemiology,"" ""electronic medical record system,"" ""health care service utilization,"" and ""phenotyping algorithm,"" indicating its use in a scientific/medical research context within the grant proposal.
"
4,affirming care,"sampling, selection bias, sister, site, social isolation, suicide, technology, testing, time, unemployment, united states, vulnerable populations, work, cohort, contextual factors, demographics, digital, distrust, effectiveness testing, ethnic diversity, evidence base, experience, follow-up, gender affirming care, health disparity, literacy, mathematical model, men who have sex with men, multidisciplinary, multilevel analysis, national surveillance, neglect, novel, personalized approach, pre-exposure prophylaxis, preventive intervention, psychosocial, racial diversity, recruit, scale up, sex, social, social",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,SCIENTIFIC,"The term 'gender affirming care' appears within a list of keywords and research areas related to a scientific study on HIV research and epidemiology among transgender women. It is included alongside other scientific and research-related terms, suggesting its use in a technical context related to healthcare interventions and outcomes for this population.
"
5,affirming care,"l health, sexual and gender minorities, sexually transmitted diseases, shapes, social support, socioeconomic status, structure, surveys, testing, united states national institutes of health, urbanicity, variant, work, cis-male, cognitive interview, disparity reduction, experience, follow-up, gender affirming care, geographic difference, health disparity, health inequalities, interest, men, men who have sex with men, multilevel analysis, pandemic disease, participant enrollment, physical conditioning, pre-exposure prophylaxis, prevention service, resilience, response, sexually active, social capital, social ","Characterizing intersecting sexual, gender, and race-based stigmas affecting communities of US transgender women and cisgender men who are sexually active with men",NIH,SCIENTIFIC,"The term 'gender affirming care' appears in a list of keywords and phrases relevant to a scientific grant focused on health disparities, STIs, and sexual/gender minorities. This suggests its usage is within a technical and scientific context related to healthcare for transgender individuals.
"
6,affirming care,"recruitment matrices, conducting qualitative interviews and analyses, and disseminating results. the data from this innovative study will inform a longitudinal study on changes in deb throughout: 1) eating disorder treatment in tgd youth with deb, 2) pubertal development in tgd youth, and 3) gender-affirming care in tgd youth receiving gender-affirming medications such as testosterone, estrogen, and/or puberty blockers. this proposal is highly consistent with nimh's priority of expanding research involving sexual and gender minority (sgm) populations to reduce the mental health disparities experienced by vu",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,SCIENTIFIC,"The text discusses ""gender-affirming care"" in the context of ""tgd youth receiving gender-affirming medications such as testosterone, estrogen, and/or puberty blockers,"" which is a technical and scientific description of medical interventions.
"
7,affirming care,"tic, therapeutic intervention, titrations, viral, viral load result, viral physiology, virus, virus activation, virus inhibitors, work, antiretroviral therapy, cardiometabolism, cis-female, cis-male, clinical care, clinical trial enrollment, cohort, comorbidity, design, fatty acid oxidation, gender affirming care, gender affirming hormone therapy, hormone therapy, immune activation, improved, innovation, insight, integration site, personalized care, response, satisfaction, sex, single-cell rna sequencing, social stigma, socioeconomics, transgender, transgender women",Impact of Gender Affirming Hormone Therapy on HIV Viral Dynamics and Immune Responses in Transgender Women,NIH,SCIENTIFIC,"The grant title and the surrounding terms (hormone therapy, viral dynamics, immune responses) clearly indicate a scientific and medical context. The term 'affirming care' is directly associated with 'gender affirming hormone therapy' and other clinical and biological terms.
"
8,affirming care,"m 16-32% compared to 2-8% in the general population. in sum, the risk of suicidality for sgmy who are involved with public systems is markedly compounded; however, the unique needs of this population have been largely ignored. few cw or jj jurisdictions identifying sgmy identities or providing sgm- affirming care. the proposed quasi-experimental clinical trial study will implement and evaluate the feasibility, acceptability, and initial impact of peer support specialist (pss) services for public system-involved sgmy at risk of suicide. the goal of this study is to evaluate the feasibility, acceptability, an",Youth Empowerment and Safety Intervention for Systems-involved Sexual and Gender Minority Youth at Risk of Suicide,NIH,POLITICAL,"The term ""affirming care"" is used in the context of identifying a lack of services for sexual and gender minority youth within public systems. This highlights a disparity in access and implicitly advocates for the provision of such care, indicating a social and political dimension concerning equity and well-being for this population.
"
9,affirming care,"ipants in the intervention group, relative to their counterparts in the delayed-intervention group, will demonstrate (1) increased hiv, sti, and hcv testing and (2) increased use of needed prevention services (prep and syringe services) and care services (hiv care, sti and hcv treatment, and gender-affirming care). in aim 3, we will develop and disseminate practice, research, intervention, and policy priorities and recommendations to reduce health disparities in rural appalachia by conducting an empowerment theory-based community forum.  this cbpr study will advance prevention science and practice through t",Harnessing the power of peer navigation and mHealth to reduce health disparities in Appalachia,NIH,POLITICAL,"""Gender-affirming care"" refers to healthcare services that support and validate an individual's gender identity, a topic heavily discussed in social, political, and identity-related contexts, particularly concerning transgender and gender non-conforming individuals. While relevant to healthcare, the term is intertwined with broader social and political discussions.
"
10,affirming care,"al role parents play in the mental health of tgd youth. the proposed project leverages the longest-running study of tgd youth receiving gaht in the united states to address each of these critical gaps in the literature. this study is being conducted at the first and largest multidisciplinary gender-affirming care program for tgd youth in the southwest us and has enrolled nearly 700 families since the program was founded in 2014. the aims of the project are to (1) characterize the 5- and 8-year trajectories of psychosocial functioning among tgd youth receiving gaht (including gender dysphoria, msr, mh, qol) ",Long-term trajectories of psychosocial functioning among transgender youth and their parents.,NIH,SCIENTIFIC,"The term 'gender-affirming care' is used to describe a multidisciplinary program offering medical interventions (GAHT) for transgender youth and is related to studying psychosocial functioning. This is within a research grant context, indicating a scientific/medical application of the term.
"
