id,term,context,title,agency,classification,explanation
1,affirming care,"aining, united states national institutes of health, youth, arm, cisgender, density, digital platform, digital solutions, effectiveness testing, effectiveness/implementation study, effectiveness/implementation trial, empowerment, evidence base, experience, experimental study, family support, gender affirming care, gender affirming therapy, gender diverse, health determinants, health disparity, health disparity populations, health equity, health inequalities, high risk, hormone therapy, implementation evaluation, improved, innovation, insight, minority stress, multiphase optimization strategy, peer, pilot te",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,SCIENTIFIC,"The grant text lists keywords related to a research study. The inclusion of ""gender affirming care"" and ""gender affirming therapy"" alongside terms like ""effectiveness testing,"" ""implementation evaluation,"" ""hormone therapy,"" and ""health equity"" suggests it is being used within the scientific and medical context of studying and improving healthcare for gender-diverse individuals.
"
2,affirming care,"the u.s. are disproportionately affected by tobacco use. transgender adults are more than twice as likely to smoke cigarettes than the general u.s. adult population. in addition to the great burden of disease tobacco use places onto this population, tobacco use is also a contraindication for gender-affirming care, a medical necessity for many transgender persons to achieve full mental and physical health. despite the health-related needs of transgender adults, existing smoking cessation interventions fail to address the specific needs of this population. as such, the national academy of medicine and u.s. su",Proud to Quit (P2Q): A Person-centered mobile technology intervention for smoking cessation among transgender adults,NIH,SCIENTIFIC,"The phrase ""gender-affirming care"" is described as a ""medical necessity"" and its relationship to tobacco use (a contraindication) is being discussed. This indicates a technical/medical context.
"
3,affirming care,"trend, training, translating, united states, victimization, violence, visit, vulnerable populations, weight, work, antiretroviral therapy, billing data, career, cisgender, clinical epidemiology, clinically actionable, ehealth, electronic medical record system, epidemiology study, experience, gender affirming care, health assessment, health care service utilization, health disparity, health equity, health inequalities, high risk, improved, insurance claims, large datasets, longitudinal analysis, medication compliance, phenotyping algorithm, sex assigned, skills, social, social group, study population, transg",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,SCIENTIFIC,"The term ""gender affirming care"" appears within a list of keywords associated with a research grant focused on mental health disorders among transgender patients. The surrounding terms like ""clinical epidemiology,"" ""electronic medical record system,"" ""health assessment,"" ""health care service utilization,"" and ""longitudinal analysis"" clearly indicate a scientific and medical research context.
"
4,affirming care,"sampling, selection bias, sister, site, social isolation, suicide, technology, testing, time, unemployment, united states, vulnerable populations, work, cohort, contextual factors, demographics, digital, distrust, effectiveness testing, ethnic diversity, evidence base, experience, follow-up, gender affirming care, health disparity, literacy, mathematical model, men who have sex with men, multidisciplinary, multilevel analysis, national surveillance, neglect, novel, personalized approach, pre-exposure prophylaxis, preventive intervention, psychosocial, racial diversity, recruit, scale up, sex, social, social",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,SCIENTIFIC,"The term 'gender affirming care' is listed amongst a series of scientific and epidemiological concepts relevant to HIV research within a transgender population. The presence of terms such as ""effectiveness testing,"" ""mathematical model,"" ""national surveillance,"" and ""preventive intervention"" strongly suggests a scientific research context.
"
5,affirming care,"l health, sexual and gender minorities, sexually transmitted diseases, shapes, social support, socioeconomic status, structure, surveys, testing, united states national institutes of health, urbanicity, variant, work, cis-male, cognitive interview, disparity reduction, experience, follow-up, gender affirming care, geographic difference, health disparity, health inequalities, interest, men, men who have sex with men, multilevel analysis, pandemic disease, participant enrollment, physical conditioning, pre-exposure prophylaxis, prevention service, resilience, response, sexually active, social capital, social ","Characterizing intersecting sexual, gender, and race-based stigmas affecting communities of US transgender women and cisgender men who are sexually active with men",NIH,SCIENTIFIC,"The term 'gender affirming care' appears within a list of keywords associated with a scientific grant focused on health disparities in transgender women and cisgender men who have sex with men. This indicates its usage is in the context of healthcare and research related to gender identity, fitting a scientific context.
"
6,affirming care,"recruitment matrices, conducting qualitative interviews and analyses, and disseminating results. the data from this innovative study will inform a longitudinal study on changes in deb throughout: 1) eating disorder treatment in tgd youth with deb, 2) pubertal development in tgd youth, and 3) gender-affirming care in tgd youth receiving gender-affirming medications such as testosterone, estrogen, and/or puberty blockers. this proposal is highly consistent with nimh's priority of expanding research involving sexual and gender minority (sgm) populations to reduce the mental health disparities experienced by vu",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,SCIENTIFIC,"The term 'gender-affirming care' is used in the context of a scientific study investigating the impact of such care (specifically gender-affirming medications) on pubertal development and disordered eating behaviors in transgender and gender-diverse youth. This aligns with a technical and scientific usage.
"
7,affirming care,"tic, therapeutic intervention, titrations, viral, viral load result, viral physiology, virus, virus activation, virus inhibitors, work, antiretroviral therapy, cardiometabolism, cis-female, cis-male, clinical care, clinical trial enrollment, cohort, comorbidity, design, fatty acid oxidation, gender affirming care, gender affirming hormone therapy, hormone therapy, immune activation, improved, innovation, insight, integration site, personalized care, response, satisfaction, sex, single-cell rna sequencing, social stigma, socioeconomics, transgender, transgender women",Impact of Gender Affirming Hormone Therapy on HIV Viral Dynamics and Immune Responses in Transgender Women,NIH,SCIENTIFIC,"The grant title and surrounding keywords (hormone therapy, viral dynamics, immune responses, transgender women, clinical trial) indicate a scientific investigation into the effects of gender affirming hormone therapy. Therefore, the usage of ""gender affirming care"" within this context is scientific.
"
8,affirming care,"m 16-32% compared to 2-8% in the general population. in sum, the risk of suicidality for sgmy who are involved with public systems is markedly compounded; however, the unique needs of this population have been largely ignored. few cw or jj jurisdictions identifying sgmy identities or providing sgm- affirming care. the proposed quasi-experimental clinical trial study will implement and evaluate the feasibility, acceptability, and initial impact of peer support specialist (pss) services for public system-involved sgmy at risk of suicide. the goal of this study is to evaluate the feasibility, acceptability, an",Youth Empowerment and Safety Intervention for Systems-involved Sexual and Gender Minority Youth at Risk of Suicide,NIH,POLITICAL,"The term 'affirming care' in the context of SGM (sexual and gender minority) youth, particularly when discussing needs being ignored by jurisdictions, carries a political dimension related to advocacy, social justice, and the recognition of specific rights and support for a marginalized group. The text highlights the lack of services and identification of SGM identities, suggesting a political and social failing.
"
9,affirming care,"ipants in the intervention group, relative to their counterparts in the delayed-intervention group, will demonstrate (1) increased hiv, sti, and hcv testing and (2) increased use of needed prevention services (prep and syringe services) and care services (hiv care, sti and hcv treatment, and gender-affirming care). in aim 3, we will develop and disseminate practice, research, intervention, and policy priorities and recommendations to reduce health disparities in rural appalachia by conducting an empowerment theory-based community forum.  this cbpr study will advance prevention science and practice through t",Harnessing the power of peer navigation and mHealth to reduce health disparities in Appalachia,NIH,POLITICAL,"The phrase ""gender-affirming care"" is inherently tied to political and social discussions surrounding transgender and gender non-conforming individuals and their rights to healthcare. While the grant is scientific in nature, the inclusion of this specific term within the context of care services places it in a politically charged area.
"
10,affirming care,"al role parents play in the mental health of tgd youth. the proposed project leverages the longest-running study of tgd youth receiving gaht in the united states to address each of these critical gaps in the literature. this study is being conducted at the first and largest multidisciplinary gender-affirming care program for tgd youth in the southwest us and has enrolled nearly 700 families since the program was founded in 2014. the aims of the project are to (1) characterize the 5- and 8-year trajectories of psychosocial functioning among tgd youth receiving gaht (including gender dysphoria, msr, mh, qol) ",Long-term trajectories of psychosocial functioning among transgender youth and their parents.,NIH,SCIENTIFIC,"The term 'gender-affirming care' is used within the context of a research study investigating the psychosocial functioning of transgender youth receiving gender-affirming hormone therapy (GAHT). The study is conducted at a multidisciplinary program and aims to characterize trajectories of psychosocial functioning, indicating a scientific and medical focus.
"
11,affirming care,"gy, surveys, testing, underserved population, united states, united states national institutes of health, universities, woman, youth, abortion, adverse outcome, arm, cis-female, cisgender, clinical care, cost, data quality, design, epidemiologic data, evidence base, experience, field survey, gender affirming care, gender minority group, group intervention, health care service, health data, health disparity, improved, improved outcome, innovation, marginalized population, nonbinary, novel, pregnant, prevent, primary outcome, public health intervention, public health relevance, public health research, racial ",Advancing novel survey tools to increase participation and improve sexual and reproductive health data quality,NIH,POLITICAL,"The term ""gender affirming care"" appears alongside terms like ""gender minority group,"" ""nonbinary,"" ""cis-female,"" ""cisgender,"" ""marginalized population,"" and within the broader context of sexual and reproductive health. This combination suggests a focus on issues related to gender identity and social justice, indicating a political rather than strictly scientific usage.
"
12,affirming care,"ss to inclusive sexual education, condoms, and sexual health support can vary widely across regions of the us, and within states for those living in rural versus urban settings. this is particularly true now that states have more influence on adolescents’ access to sexual health services and gender-affirming care. our comprehensive sexual health program will be developed nationally for maximal impact.  the foundation for this r01 proposal is our work with girl2girl, a text messaging-based sexual health program designed for cisgender sexual minority girls 14-18 years of age. in an rct of 948 lgb+ girls, girl",#TranscendentHealth - Adapting an LGB+ inclusive teen pregnancy prevention program for transgender boys,NIH,POLITICAL,"The context refers to states having more influence on adolescents' access to sexual health services and ""gender-affirming care,"" indicating a discussion of policy and political control over healthcare access, making it a political usage.
"
