term,status,start_time,end_time,contexts_found,contexts_analyzed,off_target_count,on_target_count,ambiguous_count
accessible,completed,1747004282.8251,1747004301.94553,NA,103,NA,NA,NA
activism,completed,1747004302.23707,1747004307.68118,NA,5,NA,NA,NA
activists,completed,1747004607.98142,1747004614.18426,NA,6,NA,NA,NA
advocacy,completed,1747004614.50578,1747004663.49192,NA,47,NA,NA,NA
advocate,completed,1747004963.7719,1747005056.15561,NA,66,NA,NA,NA
advocates,completed,1747005056.52144,1747005090.21661,NA,33,NA,NA,NA
affirming care,completed,1747005390.5468,1747005426.04182,NA,24,NA,NA,NA
all-inclusive,completed,1747005426.35281,1747005426.35889,0,0,0,0,0
allyship,completed,1747005726.36832,1747005733.52813,NA,6,NA,NA,NA
anti-racism,completed,1747005733.91716,1747005745.76537,NA,11,NA,NA,NA
antiracist,completed,1747006046.15928,1747006053.8154,NA,7,NA,NA,NA
assigned at birth,completed,1747006054.14172,1747006074.0143,NA,17,NA,NA,NA
assigned female at birth,completed,1747006374.33148,1747006388.70897,NA,12,NA,NA,NA
assigned male at birth,completed,1747006388.99262,1747006401.19534,NA,11,NA,NA,NA
at risk,completed,1747006701.56077,1747006792.24842,NA,85,NA,NA,NA
barrier,completed,1747006792.5195,1747006869.73612,NA,528,NA,NA,NA
barriers,completed,1747007170.02038,1747007237.44272,NA,486,NA,NA,NA
belong,completed,1747007237.65957,1747007272.59939,NA,228,NA,NA,NA
bias,completed,1747007572.8891,1747007599.48584,NA,184,NA,NA,NA
biased,completed,1747007599.83702,1747007637.7345,NA,36,NA,NA,NA
biased toward,completed,1747007938.0443,1747007940.47732,NA,2,NA,NA,NA
biases,completed,1747007940.77979,1747008029.08181,NA,83,NA,NA,NA
biases towards,completed,1747008329.47243,1747008330.62734,NA,1,NA,NA,NA
biologically female,completed,1747008330.96755,1747008330.97647,0,0,0,0,0
biologically male,completed,1747008630.9897,1747008631.01289,0,0,0,0,0
bipoc,completed,1747008631.01982,1747008650.09559,NA,18,NA,NA,NA
black,completed,1747008950.46271,1747009022.41202,NA,496,NA,NA,NA
