id,term,context,title,agency,classification,explanation
1,anti-racism,"tners, a research, training, and community engagement agenda that will 1) identify and address the comorbid biologic and psychologic pathways linking adverse social determinants of health (sdoh) to disparities in smm and mm; and 2) co-create and implement scalable multi-level strategies grounded in anti-racism and empowerment to inform systems and policy change in our city and region. ny- champ is set against the compelling backdrop of persistently high rates and disparities in smm/mm across urban and rural parts of our state alike, despite a multitude of healthcare facilities and resources. more effecti",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The term 'anti-racism' is used in the context of addressing disparities in maternal health, specifically in relation to social determinants of health and empowerment strategies for systems and policy change. This aligns with a political context of addressing systemic inequalities and advocating for social justice.
"
2,anti-racism,", prejudice, prevention, process, provider, race, racial equity, randomized, recording of previous events, reporting, research, services, sexuality, site, societies, staff attitudes, strategic planning, structural racism, surveys, system, testing, training, transcend, trauma, united states, vision, anti-racism, clinical care, comorbidity, distrust, equity  diversity  and inclusion, ethnic minority population, evidence base, experience, gender minority group, health care quality, health difference, improved, indexing, individual patient, marginalized population, multi-racial, perceived discrimination, pri",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"The grant context includes terms like ""structural racism,"" ""racial equity,"" ""equity diversity and inclusion,"" ""marginalized population,"" and ""perceived discrimination,"" which strongly suggest a focus on social and political issues related to race. Anti-racism is presented as a strategy to address these issues.
"
3,anti-racism,"ioning attribute, postdoctoral fellow, process, public health, research personnel, resource development, resources, role, science, scientist, senior scientist, series, strategic vision, teacher professional development, trauma, united states national institutes of health, universities, woman, work, anti-racism, career, career development, cohesion, diversity and inclusion, effectiveness evaluation, equity  diversity  and inclusion, ethnic diversity, evidence base, experience, graduate student, health equity, higher education, improved, innovation, lectures, lens, marginalization, member, novel, programs,",Vanderbilt FIRST - Elevating Excellence and Transforming Institutional Culture,NIH,POLITICAL,"The term ""anti-racism"" appears alongside terms like ""diversity and inclusion,"" ""equity,"" ""marginalization,"" and ""ethnic diversity,"" indicating a focus on social justice and addressing systemic inequalities, which is inherently political.
"
4,anti-racism,"actors, same-sex, sampling, sampling studies, sexism, shock, social support, socialization, stress, structural racism, surveys, system, tennessee, testing, time, time study, trauma, uncertainty, united states, united states national academy of sciences, violence, vulnerable populations, anti-asian, anti-racism, cohort, data infrastructure, diaries, ethnic diversity, experience, flexibility, follow-up, gender diverse, health disparity, health equity, health inequalities, improved, innovation, insight, lens, marginalization, multidisciplinary, novel, pandemic disease, perceived discrimination, pressure, ra",A Longitudinal Examination of Mechanisms Underlying Intersectional Health Disparities in the United States,NIH,POLITICAL,"The presence of terms like ""structural racism,"" ""health disparity,"" ""health equity,"" ""marginalization,"" and ""vulnerable populations"" alongside ""anti-racism"" strongly suggests its usage is rooted in social and political concepts related to inequality and discrimination.
"
5,anti-racism,"ience, self direction, self efficacy, series, sex orientation, shapes, societies, structural racism, system, trainers training, training, training activity, underrepresented minority, underrepresented populations, united states national institutes of health, voice, workforce development, animation, anti-racism, career, career development, combat, community based participatory research, design, disadvantaged background, effectiveness measure, equity  diversity  and inclusion, ethnic minority population, evidence base, innovation, iterative design, microaggression, minority communities, minority trainee, p",Developing Modules to Address Microaggressions and Discriminatory Behaviors,NIH,POLITICAL,"The term 'anti-racism' is listed alongside terms related to social justice, equity, diversity, and inclusion, suggesting its usage is within a socio-political context focused on addressing systemic inequalities.
"
6,anti-racism,"ery, reduce health disparities, research, research personnel, research priority, resources, risk, san francisco, screening procedure, secondary prevention, sister, specialist, stress, students, system, teenagers, telomere shortening, testing, uncertainty, united states, visit, walking, work, youth, anti-racism, children of color, community based participatory research, community engagement, community organizations, coping, cost effective, culturally appropriate intervention, disease disparity, disorder risk, efficacy evaluation, evidence base, experience, healing, health disparity, health equity, health ",Examining Anti-Racist Healing in Nature to Protect Telomeres of Transitional Age BIPOC for Health Equity.,NIH,POLITICAL,"The term 'anti-racism' is used in the context of addressing health disparities and promoting health equity among BIPOC individuals, which aligns with a social and political focus on racial justice and systemic inequalities.
"
7,anti-racism,". we propose research and adaptation of an evidence-based intervention link-la built on an established nida-funded cohort of blsmm, the mstudy (u01da036267), and preliminary findings of an r21 on spatial connections conducted by this multi-disciplinary research team (da049643). using intersectional anti-racism frameworks the public health critical race praxis (phcr) and the socio-ecological model of health and mixed methods, we will interrogate how 1) historical racist practices influence unequal spatial patterns and how such unequal structural factors are associated with distinct patterns of movement ac",Race & Place: The Impacts of Racial Inequality on Substance Use and HIV Outcomes in Los Angeles,NIH,POLITICAL,"The phrase ""intersectional anti-racism frameworks"" along with the mention of ""public health critical race praxis"" indicates the use of anti-racism within a socio-political and identity-focused context, aligning with critical race theory and its application to public health research.
"
8,anti-racism,"ioning attribute, process, program development, program evaluation, protocols documentation, research, research support, secure, standardization, strategic planning, surveys, teacher professional development, training, underrepresented populations, united states national institutes of health, work, anti-racism, career, career development, climate change, cohort, community building, design, diversity and inclusion, early-career faculty, expectation, experience, faculty support, gender equity, interest, marginalization, medical schools, member, novel, outreach, peer coaching, primary outcome, professor, pr",NIH FIRST Cohort Cluster Hiring Initiative at Icahn School of Medicine at Mount Sinai,NIH,POLITICAL,"The term 'anti-racism' appears in a list of terms related to diversity and inclusion, gender equity, marginalization, and underrepresented populations. This suggests a usage related to social and political concepts rather than a technical or scientific one.
"
9,anti-racism,"ulty conducting clinical translational research through our nih-funded clinical translational science award subaward. fourth, fsu has committed in its strategic plan (goal iii) to institutional change to foster diversity, inclusion, and equity at all levels and through the president’s task force of anti-racism, equity, and inclusion. we will leverage these resources to test the robustness of the florida-first brigade for promoting a self-reinforcing community of scientists committed to inclusive excellence. in response to rfa-rm-20-022, we propose three specific aims for the overall core:  aim 1. achieve",Fostering Institutional Resources for Science Transformation: The FLORIDA-FIRST Health-Science Brigade,NIH,POLITICAL,"The term 'anti-racism' is used in the context of a university's strategic plan and a presidential task force, which are inherently related to social and political issues of diversity, equity, and inclusion within the institution.
"
10,anti-racism,"fulness,"" which is conceptualized as collective responsibility for institutional success. aim for equity will pursue culture change by fostering empathy, compassion, and shared accountability among faculty and leaders. the aim for equity model of civic mindfulness incorporates cultural humility and anti-racism. this approach is expected to have positive outcomes for all faculty, but particularly women and faculty at the intersection of multiple marginalized social identities. the project will study the benefits of addressing community care and shared responsibility to promote systemic change and equity i",ADVANCE IT: ADVANCE at Washington University,NSF,POLITICAL,"The term 'anti-racism' is used in the context of promoting equity and addressing systemic change related to marginalized social identities, indicating a focus on social and political issues.
"
