id,term,context,title,agency,classification,explanation
1,anti-racism,"tners, a research, training, and community engagement agenda that will 1) identify and address the comorbid biologic and psychologic pathways linking adverse social determinants of health (sdoh) to disparities in smm and mm; and 2) co-create and implement scalable multi-level strategies grounded in anti-racism and empowerment to inform systems and policy change in our city and region. ny- champ is set against the compelling backdrop of persistently high rates and disparities in smm/mm across urban and rural parts of our state alike, despite a multitude of healthcare facilities and resources. more effecti",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The term ""anti-racism"" is used in the context of addressing health disparities and implementing strategies for systems and policy change, indicating a focus on social and political dimensions of racial equity.
"
2,anti-racism,", prejudice, prevention, process, provider, race, racial equity, randomized, recording of previous events, reporting, research, services, sexuality, site, societies, staff attitudes, strategic planning, structural racism, surveys, system, testing, training, transcend, trauma, united states, vision, anti-racism, clinical care, comorbidity, distrust, equity  diversity  and inclusion, ethnic minority population, evidence base, experience, gender minority group, health care quality, health difference, improved, indexing, individual patient, marginalized population, multi-racial, perceived discrimination, pri",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"The term ""anti-racism"" is used in the context of addressing structural racism and discrimination within healthcare, and promoting equity and inclusion. This reflects a social and political goal of challenging and dismantling racist systems and practices.
"
3,anti-racism,"ioning attribute, postdoctoral fellow, process, public health, research personnel, resource development, resources, role, science, scientist, senior scientist, series, strategic vision, teacher professional development, trauma, united states national institutes of health, universities, woman, work, anti-racism, career, career development, cohesion, diversity and inclusion, effectiveness evaluation, equity  diversity  and inclusion, ethnic diversity, evidence base, experience, graduate student, health equity, higher education, improved, innovation, lectures, lens, marginalization, member, novel, programs,",Vanderbilt FIRST - Elevating Excellence and Transforming Institutional Culture,NIH,POLITICAL,"The term 'anti-racism' appears alongside terms related to diversity, inclusion, equity, and marginalization, which are all concepts heavily intertwined with social and political discussions about systemic inequalities. While potentially relevant to scientific research, its inclusion within this specific list suggests a focus on addressing social and institutional inequalities rather than a purely scientific application.
"
4,anti-racism,"actors, same-sex, sampling, sampling studies, sexism, shock, social support, socialization, stress, structural racism, surveys, system, tennessee, testing, time, time study, trauma, uncertainty, united states, united states national academy of sciences, violence, vulnerable populations, anti-asian, anti-racism, cohort, data infrastructure, diaries, ethnic diversity, experience, flexibility, follow-up, gender diverse, health disparity, health equity, health inequalities, improved, innovation, insight, lens, marginalization, multidisciplinary, novel, pandemic disease, perceived discrimination, pressure, ra",A Longitudinal Examination of Mechanisms Underlying Intersectional Health Disparities in the United States,NIH,POLITICAL,"The term ""anti-racism"" appears alongside terms like ""structural racism,"" ""health disparity,"" ""health equity,"" ""marginalization,"" and ""perceived discrimination,"" which are all indicative of a focus on social and political issues related to race and inequality. While the grant is scientific in nature, the use of ""anti-racism"" here points to its political and social dimensions.
"
5,anti-racism,"ience, self direction, self efficacy, series, sex orientation, shapes, societies, structural racism, system, trainers training, training, training activity, underrepresented minority, underrepresented populations, united states national institutes of health, voice, workforce development, animation, anti-racism, career, career development, combat, community based participatory research, design, disadvantaged background, effectiveness measure, equity  diversity  and inclusion, ethnic minority population, evidence base, innovation, iterative design, microaggression, minority communities, minority trainee, p",Developing Modules to Address Microaggressions and Discriminatory Behaviors,NIH,POLITICAL,"The term 'anti-racism' appears alongside terms such as 'equity diversity and inclusion', 'structural racism', 'underrepresented minority', and 'minority communities', indicating a focus on social and political issues related to race and discrimination.
"
6,anti-racism,"ery, reduce health disparities, research, research personnel, research priority, resources, risk, san francisco, screening procedure, secondary prevention, sister, specialist, stress, students, system, teenagers, telomere shortening, testing, uncertainty, united states, visit, walking, work, youth, anti-racism, children of color, community based participatory research, community engagement, community organizations, coping, cost effective, culturally appropriate intervention, disease disparity, disorder risk, efficacy evaluation, evidence base, experience, healing, health disparity, health equity, health ",Examining Anti-Racist Healing in Nature to Protect Telomeres of Transitional Age BIPOC for Health Equity.,NIH,POLITICAL,"The term 'anti-racism' is used in the context of addressing health disparities and promoting health equity for BIPOC individuals, which are inherently social and political issues.
"
7,anti-racism,". we propose research and adaptation of an evidence-based intervention link-la built on an established nida-funded cohort of blsmm, the mstudy (u01da036267), and preliminary findings of an r21 on spatial connections conducted by this multi-disciplinary research team (da049643). using intersectional anti-racism frameworks the public health critical race praxis (phcr) and the socio-ecological model of health and mixed methods, we will interrogate how 1) historical racist practices influence unequal spatial patterns and how such unequal structural factors are associated with distinct patterns of movement ac",Race & Place: The Impacts of Racial Inequality on Substance Use and HIV Outcomes in Los Angeles,NIH,POLITICAL,"The text explicitly mentions ""intersectional anti-racism frameworks,"" connecting the term to broader social and political theories focused on racial inequality and its impact.
"
8,anti-racism,"ioning attribute, process, program development, program evaluation, protocols documentation, research, research support, secure, standardization, strategic planning, surveys, teacher professional development, training, underrepresented populations, united states national institutes of health, work, anti-racism, career, career development, climate change, cohort, community building, design, diversity and inclusion, early-career faculty, expectation, experience, faculty support, gender equity, interest, marginalization, medical schools, member, novel, outreach, peer coaching, primary outcome, professor, pr",NIH FIRST Cohort Cluster Hiring Initiative at Icahn School of Medicine at Mount Sinai,NIH,POLITICAL,"The term 'anti-racism' is listed among other terms like 'diversity and inclusion', 'gender equity', 'marginalization', and 'underrepresented populations', indicating a focus on social and political aspects related to fairness and equity.
"
9,anti-racism,"ulty conducting clinical translational research through our nih-funded clinical translational science award subaward. fourth, fsu has committed in its strategic plan (goal iii) to institutional change to foster diversity, inclusion, and equity at all levels and through the president’s task force of anti-racism, equity, and inclusion. we will leverage these resources to test the robustness of the florida-first brigade for promoting a self-reinforcing community of scientists committed to inclusive excellence. in response to rfa-rm-20-022, we propose three specific aims for the overall core:  aim 1. achieve",Fostering Institutional Resources for Science Transformation: The FLORIDA-FIRST Health-Science Brigade,NIH,POLITICAL,"The term 'anti-racism' appears in the context of the university's strategic plan, specifically within the ""president's task force of anti-racism, equity, and inclusion,"" indicating its use relates to social and political initiatives within the institution.
"
10,anti-racism,"fulness,"" which is conceptualized as collective responsibility for institutional success. aim for equity will pursue culture change by fostering empathy, compassion, and shared accountability among faculty and leaders. the aim for equity model of civic mindfulness incorporates cultural humility and anti-racism. this approach is expected to have positive outcomes for all faculty, but particularly women and faculty at the intersection of multiple marginalized social identities. the project will study the benefits of addressing community care and shared responsibility to promote systemic change and equity i",ADVANCE IT: ADVANCE at Washington University,NSF,POLITICAL,"The term 'anti-racism' is used in the context of promoting equity and addressing marginalization within the university faculty, indicating a focus on social and political identities and power structures.
"
11,anti-racism,"fostering partnerships between community leaders and informal stem learning institutions: co-constructing research on films for racial equity dialogue this project seeks to use films that speak directly to anti-racism, science, and environmental justice in ways that support reflection, thoughtful dialogues, behavior change, and approaches to mend and develop relationships between informal stem learning institutions and local communities of color. in this first phase, a partnership development and planning projec",Fostering Partnerships Between Community Leaders and Informal STEM Learning Institutions: Co-Constructing Research on Films for Racial Equity Dialogue,NSF,POLITICAL,"The term 'anti-racism' is used in the context of racial equity, community partnerships, and addressing systemic inequalities, which aligns with a social and political understanding of the term.
"
