id,term,context,title,agency,classification,explanation
1,assigned at birth,"transhealthguide: transforming health for gender-diverse young adults using interventions to drive equity transgender and gender diverse (tgd) young adults (ages 18-24 years), with gender identities differing from their sex assigned at birth, are a growing nih-designated health disparities population. tgd young adults suffer higher rates of suicide than their cisgender counterparts; over half contemplate suicide in their lifetime. these and other health disparities are compounded for tgd young adults who are black or hispanic and exper",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,SCIENTIFIC,"The term 'assigned at birth' is used in a technical context to define the population being studied (transgender and gender diverse young adults) and is relevant to health disparities, which are a scientific area of investigation.
"
2,assigned at birth,", sexual orientation, and gender identity (ssogi) – remains poorly defined and inconsistently used across health research and practice settings. for example, despite evident limitations, most studies, providers, and national surveys continue to use a binary framework (male vs. female) to assess sex assigned at birth. this approach fails to capture a substantial population of intersex individuals (estimated prevalence of 1-2 per 1,000 live births). further, most surveys continue to use the non-recommended practice of conflating sex and gender identity by asking about only one of these constructs, thereby failin","Project Recognize: Improving Measurement of Alcohol Use and Other Disparities by Sex, Sexual Orientation, and Gender Identity through Community Engagement",NIH,SCIENTIFIC,"The term ""sex assigned at birth"" is used in a scientific context to discuss limitations in health research and survey methodologies related to capturing the diversity of sex and gender identity, particularly concerning intersex individuals.
"
3,assigned at birth,"understanding breast cancer risk and screening in transgender persons through a pilot breast cancer screening program project summary/abstract in the u.s., an estimated 1.4 million people identify as transgender (tg), defined as a person whose gender is different than their sex assigned at birth, and are a designated minority population by the nih (not-md-19-001). many tg persons take gender-affirming hormone therapy, usually estrogen or testosterone based, to alter their physical appearance and improve their psychological health. lifetime exposure to estrogen is a well-established risk fa",Understanding Breast Cancer Risk and Screening in Transgender Persons through a Pilot Breast Cancer Screening Program,NIH,SCIENTIFIC,"The term is used to define transgender individuals within the context of a scientific study on breast cancer risk and screening. The definition is necessary for the study's scope and objectives.
"
4,assigned at birth,"trans/forming genomics: guidance for research involving transgender and gender diverse people project summary transgender and gender diverse (tgd) people—individuals whose gender identity differs from the sex they were assigned at birth—comprise approximately 1.6% of u.s. adults. gender identity represents one’s concept of self and can be the same as one’s sex assigned at birth (cisgender), different from one’s sex assigned at birth (transgender), or beyond traditional classifications (non-binary, gender fluid, gender diverse). tg",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,SCIENTIFIC,"The term 'assigned at birth' is used to define and categorize transgender and gender diverse individuals within the scope of a genomic research project. The definition aims to clarify the biological and self-identity factors relevant to the study, marking a technical/scientific usage.
"
5,assigned at birth," health difference, health disparity, individual variation, intersectionality, marginalization, meetings, microaggression, minority stress, minority stressor, nonbinary, outcome disparities, peer, physical conditioning, prospective, racial diversity, racial identity, recruit, resilience factor, sex assigned at birth, sexual violence, social, social stigma, sociodemographics, stressor, suicidal, theories, transfeminine, transgender, transmasculine, treatment program",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,SCIENTIFIC,"The term ""sex assigned at birth"" is used within a list of scientific and demographic factors (like sociodemographics, racial identity, and health disparities) relevant to the study of transgender and gender diverse adults. This suggests its use as a variable or descriptor within the research context.
"
6,assigned at birth,"substance use and dna methylation at the intersection of sex and gender project summary/abstract sexual minority (sm, i.e., people who are not heterosexual) and gender minority (gm, i.e., people who have a gender that is discordant from the sex they were assigned at birth, as opposed to cisgender people who have a gender that is concordant with the sex they were assigned at birth) people (collectively abbreviated as sgm) are at greater risk for health disparities including very high rates of substance use. within studies on substance use, gm people are largely unrep",Substance use and DNA methylation at the intersection of sex and gender,NIH,SCIENTIFIC,"The term is used in a scientific context to define and differentiate gender minority (GM) and cisgender individuals within the scope of a study on substance use and DNA methylation. The definition is operationalized for research purposes.
"
7,assigned at birth,"using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth project summary transgender and gender diverse (tgd) youth have a gender identity different from society's expectations based off their sex assigned at birth. stigma, distress with pubertal changes associated with sex assigned at birth, and societal expectations of gender and beauty, are factors that can affect a tgd youth's relationship with their body, eating, and exercise. tgd youth are at higher risk of disordered eating behaviors (deb) and experien",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,SCIENTIFIC,"The term ""assigned at birth"" is used to objectively define a characteristic (sex) and its relationship to gender identity, a key concept in the scientific study of transgender and gender-diverse youth. The grant proposal explores the relationship between assigned sex at birth, societal expectations, and eating disorders.
"
8,assigned at birth,"ntion, cancer risk, career development, cisgender, data cleaning, demographics, editorial, experience, follow-up, gender diversity, health inequalities, high risk population, improved, men, mortality, peer support, population health, pre-doctoral, psychologic, role model, screening disparities, sex assigned at birth, skills, social, social health determinants, social relationships, social stigma, sociodemographics, statistics, substance misuse, symposium, transgender men","Exploring Stigma, Social Support, and Cancer Screenings among Sexual and Gender Diverse People Living with HIV in Georgia",NIH,SCIENTIFIC,"The term ""sex assigned at birth"" is used within the context of demographics and health inequalities research, indicating its scientific relevance in understanding biological factors that may influence health outcomes within the target population. The presence of other terms like ""gender diversity"" and ""cisgender"" further support this classification as it relates to scientific investigations of gender and health.
"
9,assigned at birth,"cm and cw). as a result, tm and tw may experience stigma, prejudice and depression, putting them at greater risk for negative health outcomes and impacted quality of life. thus, this understudied community provides a unique opportunity to investigate the role of gender identity (trans vs. cis), sex assigned at birth (male vs. female) and hormonal status (elevated testosterone vs. elevated estrogen) on pain and well-being, while providing a better understanding of the needs of the community. specific aims of this study include: 1. to determine the impact of gender identity, sex assigned at birth and hormone sta","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,SCIENTIFIC,"The term 'sex assigned at birth' is used within the context of a scientific study investigating the biological and hormonal influences on pain and well-being, specifically comparing trans and cis individuals. It is used as a biological variable in the research design.
"
10,assigned at birth,"cm and cw). as a result, tm and tw may experience stigma, prejudice and depression, putting them at greater risk for negative health outcomes and impacted quality of life. thus, this understudied community provides a unique opportunity to investigate the role of gender identity (trans vs. cis), sex assigned at birth (male vs. female) and hormonal status (elevated testosterone vs. elevated estrogen) on pain and well-being, while providing a better understanding of the needs of the community. specific aims of this study include: 1. to determine the impact of gender identity, sex assigned at birth and hormone sta","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,SCIENTIFIC,"The text uses ""sex assigned at birth"" as a variable (male vs. female) alongside gender identity and hormonal status in a scientific study investigating their impact on pain and well-being. This is a technical context for scientific research.
"
