id,term,context,title,agency,classification,explanation
1,assigned female at birth,"ign, research proposals, risk, risk factors, role, scientist, screening for cancer, sensitivity and specificity, stage at diagnosis, stigmatization, suggestion, surgeon, surveys, testosterone, time, tissues, training, training and education, united states national institutes of health, woman, work, assigned female at birth, assigned male at birth, breast imaging, cancer care, cancer health disparity, career, cis-female, cis-male, cisgender, cohort, design, evidence base, experience, gender affirming hormone therapy, health belief, improved, innovation, insight, lifetime risk, men, novel, participant interview, preven",Understanding Breast Cancer Risk and Screening in Transgender Persons through a Pilot Breast Cancer Screening Program,NIH,SCIENTIFIC,"The term is used within the context of a scientific grant proposal focused on understanding breast cancer risk and screening in transgender persons, which necessitates defining participant demographics in a precise and scientific manner. The presence of other related terms such as ""assigned male at birth,"" ""cis-female,"" and ""gender affirming hormone therapy"" further supports this classification.
"
2,assigned female at birth,", peripheral quantitative computed tomography (pqct). we will also address the clinically relevant question of how bone marrow composition relates to bone density and skeletal strength in young adolescents who are undergoing pubertal blockade. we will recruit a cohort of adolescents including those assigned female at birth (afab) and assigned male at birth (amab), and matched healthy controls, and examine bone marrow composition (by mri/mrs), bone density (by dxa + pqct), and bone structure and cross-sectional geometry (by pqct), before and after 12 months of pubertal blockade. this project will leverage our large pa",Skeletal Health and Bone Marrow Composition Among Youth,NIH,SCIENTIFIC,"The term 'assigned female at birth' (afab) is used to define a cohort of participants in a scientific study investigating skeletal health and bone marrow composition. The study aims to compare bone characteristics between afab and amab individuals undergoing pubertal blockade, suggesting a scientific inquiry into potential biological differences or effects of hormonal interventions.
"
3,assigned female at birth,"pmental biomarkers of late diagnosis in female and gender diverse autism project summary many people with autism spectrum disorder (asd) are late- or never diagnosed (ldx). initial data links female sex to ldx. gender diversity is also overrepresented in asd and associated with ldx. autistic people assigned female at birth (asdaf) and those who are gender diverse (asdgd) experience increased psychiatric comorbidity, and, in the case of asdgd, suicidality. ldx is associated with increased depression, anxiety and self-harm and limits access to supports, increasing vulnerability to abuse. obstacles to timely diagnosis (",Autism Center of Excellence Network: Neurodevelopmental Biomarkers of Late Diagnosis in Female and Gender Diverse Autism,NIH,SCIENTIFIC,"The grant proposal focuses on neurodevelopmental biomarkers and diagnosis of autism. 'Assigned female at birth' (AFAB) is used within the context of identifying a specific subgroup within the autistic population for scientific study, specifically in relation to late diagnosis and associated comorbidities.
"
4,assigned female at birth,"actors for cannabis use utilizing a measurement burst design among sexual minority women, sexual minority gender diverse individuals, and heterosexual women project summary/abstract  sexual minority women (e.g., lesbian, bisexual, queer women) and gender diverse (e.g., non-binary) sexual minorities assigned female at birth are at elevated risk for cannabis use disorder (cud) compared to heterosexual women. alarmingly, rates of cud are increasing for sexual minority women and gender diverse individuals (smwgd) as well as heterosexual women, with more rapid increases among smwgd leading to growing disparities in cud. t","Testing a multistage model of risk factors for cannabis use utilizing a measurement burst design among sexual minority women, sexual minority gender diverse individuals, and heterosexual women",NIH,SCIENTIFIC,"The term 'assigned female at birth' is used to define a specific demographic within the study, indicating a biological sex assigned at birth for the purposes of scientific categorization and analysis of risk factors for cannabis use disorder. The context focuses on comparing rates of CUD across different groups defined by sexual orientation and gender identity, which necessitates a clear definition of the participant groups being studied.
"
5,assigned female at birth,"#transcendenthealth - adapting an lgb+ inclusive teen pregnancy prevention program for transgender boys youth who are assigned female at birth (afab) and identify as transgender (e.g., as non-binary or as trans boys), not as girls, are at risk for negative sexual health outcomes yet are effectively excluded from sexual health programs because gender-diverse youth do not experience the cisgender, heteronormative teen sexual education messa",#TranscendentHealth - Adapting an LGB+ inclusive teen pregnancy prevention program for transgender boys,NIH,SCIENTIFIC,"The grant proposal is for a scientific study adapting a teen pregnancy prevention program. The term 'assigned female at birth' is used to identify a specific population group (transgender boys) for scientific research and intervention, specifically related to sexual health outcomes.
"
6,assigned female at birth,"h priority, residual state, risk, risk factors, role, sex orientation, sexual reassignment, sexually transmitted diseases, signal pathway, sterility, surface, testing, testosterone, thick, tissue model, tissues, united states, united states national institutes of health, universities, vagina, work, assigned female at birth, chemokine, cis-male, cisgender, cultural competence, cytokine, female reproductive tract, female sex hormone, gender affirming hormone therapy, health disparity, hormone therapy, interest, male sex hormones, marginalization, microbial, non-heterosexual, pathogen, response, screening, sex, sexual r",Understanding the effects of cross-sex hormone therapy on vaginal mucosal immunity,NIH,SCIENTIFIC,"The grant focuses on the effects of cross-sex hormone therapy and involves biological factors such as vaginal mucosal immunity, chemokine, cytokine, and the female reproductive tract. The term ""assigned female at birth"" is used in this context to define a specific group of individuals in the study related to their biological sex assignment at birth before any hormonal or surgical interventions.
"
7,assigned female at birth,spectrum (studying pride to enhance cancer screening guidelines for transgender users of gender-affirming hormones) summary transgender (tg) men (assigned female at birth) and tg women (assigned male at birth) comprise a vulnerable population whose health is largely understudied. approximately 75%–95% of tg individuals will use exogenous hormones as part of gender-affirming care. gender-affirming hormone therapy is a community priority for tg people and can be a cri,SPECTRUM (Studying PRIDE to Enhance Cancer screening guidelines for TRansgender Users of gender-affirMing hormones),NIH,SCIENTIFIC,"The term 'assigned female at birth' is used in a medical research context to define a specific subgroup (transgender men) within a study population, which is essential for accurate data collection and analysis related to cancer screening guidelines and hormone therapy.
"
8,assigned female at birth,"rest, risk, risk reduction, rodent, role, scientist, sensory, serum, sex differences, sex differentiation, structure, study models, techniques, testosterone, time, training, translational research, translations, universities, vision, woman, women', s cohort, women', s study, youth, antinociception, assigned female at birth, boys, career development, cisgender, clinical database, cohort, design, diaries, disability-adjusted life years, experience, falls, follow-up, gender affirming hormone therapy, gender diversity, girls, health record, human subject, improved, innovation, male, medical schools, men, neuroimaging, no",Effect of pubertal hormones on Headache in Transmasculine Adolescents,NIH,SCIENTIFIC,"The term ""assigned female at birth"" is used in the context of a scientific study investigating the effects of pubertal hormones on headache in transmasculine adolescents. This indicates a biological and medical context related to sex and gender in research.
"
9,assigned female at birth,"y, production, receptor cell, receptor inhibition, receptor signaling, reproduction, reproductive health, research, role, sexual and gender minorities, site, social processes, solid, techniques, testing, testosterone, time, transgenic mice, transgenic organisms, translating, woman, women', s study, assigned female at birth, cell type, experience, experimental study, fertility preservation, gender affirmation, gender minority group, gender minority health, genetic manipulation, human female, human subject, improved, in vivo, innovation, interest, male, men, mouse model, neural, neuromechanism, nonbinary, novel, ovaria",Androgen effects on the reproductive neuroendocrine axis,NIH,SCIENTIFIC,"The grant title concerns androgen effects on the reproductive neuroendocrine axis, which is clearly a scientific topic. The presence of related terms such as ""testosterone,"" ""human female,"" ""mouse model,"" ""ovaria,"" ""receptor signaling,"" and ""fertility preservation"" alongside ""assigned female at birth"" indicates its usage within a scientific/medical research context focused on reproductive biology and hormone-related studies, likely related to understanding hormonal influences in individuals assigned female at birth.
"
10,assigned female at birth,"ct  alcohol use is a prevalent problem among bi+ (bisexual, pansexual, queer) college students. bi+ col- lege students report disproportionately high rates of drinking and heavy episodic drinking (hed; i.e., consum- ing 5+ drinks among people assigned male at birth, consuming 4+ drinks among people assigned female at birth in 2 hours) relative to monosexual college students. rates of trauma exposure and post-traumatic stress disorder (ptsd) symptoms are also often highest among bi+ individuals. bi+ people endure unique sexual mi- nority stressors, including binegative discrimination from gay/lesbian and heterosexual ","Examining Proximal Associations between Minority Stress, PTSD Symptoms, and Alcohol Use among Bi+ College Students with Trauma Histories",NIH,SCIENTIFIC,"The term is used to define a physiological difference in the context of alcohol consumption thresholds in a study about alcohol use.
"
