id,term,context,title,agency,classification,explanation
1,assigned female at birth,"uggestion, surgeon, surveys, testosterone, time, tissues, training, training and education, united states national institutes of health, woman, work, assigned female at birth, assigned male at birth, breast imaging, cancer care, cancer health disparity, career, cis-female, cis-male, cisgender, cohort, design, evidence base",NA,NIH,SCIENTIFIC,"The presence of related terms like ""assigned male at birth,"" ""cis-female,"" ""cis-male,"" ""cisgender,"" ""testosterone,"" ""tissues,"" ""cancer health disparity,"" and the overall focus on health research (NIH, breast imaging, cancer care) within the grant context strongly suggests a scientific usage related to studies involving sex/gender as a biological or demographic variable.
"
2,assigned female at birth,"bone density and skeletal strength in young adolescents who are undergoing pubertal blockade. we will recruit a cohort of adolescents including those assigned female at birth (afab) and assigned male at birth (amab), and matched healthy controls, and examine bone marrow composition (by mri/mrs), bone density (by dxa + pqct",NA,NIH,SCIENTIFIC,"The term is used in a research study design to categorize participants based on their sex assigned at birth, a relevant factor for studying bone density and skeletal strength during puberty.
"
3,assigned female at birth,"never diagnosed (ldx). initial data links female sex to ldx. gender diversity is also overrepresented in asd and associated with ldx. autistic people assigned female at birth (asdaf) and those who are gender diverse (asdgd) experience increased psychiatric comorbidity, and, in the case of asdgd, suicidality. ldx is associa",NA,NIH,SCIENTIFIC,"The term ""assigned female at birth"" is used in a research context to categorize and study specific groups within an autistic population (asdaf), aiming to understand psychiatric comorbidities and suicidality. This suggests a scientific and technical application rather than a political one.
"
4,assigned female at birth," women project summary/abstract  sexual minority women (e.g., lesbian, bisexual, queer women) and gender diverse (e.g., non-binary) sexual minorities assigned female at birth are at elevated risk for cannabis use disorder (cud) compared to heterosexual women. alarmingly, rates of cud are increasing for sexual minority wome",NA,NIH,SCIENTIFIC,"The text is a scientific grant proposal investigating health disparities in specific populations. The term 'assigned female at birth' is used to define a specific group within the study.
"
5,assigned female at birth,"#transcendenthealth - adapting an lgb+ inclusive teen pregnancy prevention program for transgender boys youth who are assigned female at birth (afab) and identify as transgender (e.g., as non-binary or as trans boys), not as girls, are at risk for negative sexual health outcomes yet are effe",NA,NIH,SCIENTIFIC,"The grant proposal discusses health outcomes for a specific population (transgender boys and AFAB individuals) and seeks to adapt a pregnancy prevention program. This falls within a scientific context, specifically related to public health and transgender health research.
"
6,assigned female at birth,"surface, testing, testosterone, thick, tissue model, tissues, united states, united states national institutes of health, universities, vagina, work, assigned female at birth, chemokine, cis-male, cisgender, cultural competence, cytokine, female reproductive tract, female sex hormone, gender affirming hormone therapy, heal",NA,NIH,SCIENTIFIC,"The grant text includes terms like ""testosterone,"" ""tissue model,"" ""female reproductive tract,"" and ""female sex hormone,"" indicating a biological and physiological focus. The inclusion of ""assigned female at birth"" alongside these terms suggests its use in a scientific or medical context to describe a specific biological category relevant to the research.
"
7,assigned female at birth,spectrum (studying pride to enhance cancer screening guidelines for transgender users of gender-affirming hormones) summary transgender (tg) men (assigned female at birth) and tg women (assigned male at birth) comprise a vulnerable population whose health is largely understudied. approximately 75%–95% of tg individuals,NA,NIH,SCIENTIFIC,"The term is used to define transgender men within a research study focused on cancer screening guidelines and hormone use, fitting within a scientific context of medical research and population definition.
"
8,assigned female at birth,"terone, time, training, translational research, translations, universities, vision, woman, women', s cohort, women', s study, youth, antinociception, assigned female at birth, boys, career development, cisgender, clinical database, cohort, design, diaries, disability-adjusted life years, experience, falls, follow-up, gende",NA,NIH,SCIENTIFIC,"The term appears alongside other demographic and biological terms (boys, cisgender, women's cohort, disability-adjusted life years) suggesting its use is to define a specific population group within a scientific study.
"
9,assigned female at birth,", site, social processes, solid, techniques, testing, testosterone, time, transgenic mice, transgenic organisms, translating, woman, women', s study, assigned female at birth, cell type, experience, experimental study, fertility preservation, gender affirmation, gender minority group, gender minority health, genetic manipu",NA,NIH,POLITICAL,"The presence of terms like ""gender affirmation,"" ""gender minority group,"" ""gender minority health,"" and ""women's study"" strongly suggests a social, political, or identity context related to gender studies.
"
10,assigned female at birth,"rates of drinking and heavy episodic drinking (hed; i.e., consum- ing 5+ drinks among people assigned male at birth, consuming 4+ drinks among people assigned female at birth in 2 hours) relative to monosexual college students. rates of trauma exposure and post-traumatic stress disorder (ptsd) symptoms are also often highe",NA,NIH,SCIENTIFIC,"The term is used within the context of a scientific study examining drinking habits and trauma in relation to assigned sex at birth, indicating a technical, research-oriented context.
"
