id,term,context,title,agency,classification,explanation
1,assigned male at birth,"isk, risk factors, role, scientist, screening for cancer, sensitivity and specificity, stage at diagnosis, stigmatization, suggestion, surgeon, surveys, testosterone, time, tissues, training, training and education, united states national institutes of health, woman, work, assigned female at birth, assigned male at birth, breast imaging, cancer care, cancer health disparity, career, cis-female, cis-male, cisgender, cohort, design, evidence base, experience, gender affirming hormone therapy, health belief, improved, innovation, insight, lifetime risk, men, novel, participant interview, prevent, process improvement, ",Understanding Breast Cancer Risk and Screening in Transgender Persons through a Pilot Breast Cancer Screening Program,NIH,SCIENTIFIC,"The terms ""assigned male at birth"" and ""assigned female at birth"" are used alongside other scientific and medical terms relevant to cancer risk, screening, and disparities, especially within the context of transgender health. The inclusion of ""cis-male"" and ""cis-female"" further suggests a scientific or demographic classification within a research context.
"
2,assigned male at birth,"a couples-based approach to hiv prevention for transgender women and their male partners transgender (`trans') women (i.e., individuals with a feminine and/or female gender identity who were assigned male at birth) are among the populations at highest risk for hiv in the united states and worldwide. one of the most consistently reported contexts for hiv transmission among trans women is within a primary partnership with a non-transgender male. despite the critical importance of primary partnerships for hiv p",A couples-based approach to HIV prevention for transgender women and their male partners,NIH,SCIENTIFIC,"The term 'assigned male at birth' is used to provide a clear and concise definition of the population group ""transgender women"" within the context of a scientific study on HIV prevention. This definition is necessary for accurate categorization and analysis within the research.
"
3,assigned male at birth," of drug abuse, nature, outcome, pattern, persons, population, prevention, prospective  cohort study, reporting, research, risk, sampling, sexual and gender minorities, strategic planning, stress, substance use disorder, time, tissue-specific gene expression, translating, united states, work, aged, assigned male at birth, biomarker development, biomarker identification, cisgender, cohort, comorbidity, disability, epigenetic regulation, epigenomics, expectation, experience, gender minority, gender minority group, health disparity, immune function, improved, internalized stigma, maltreatment, men, methylome, minority",Substance use and DNA methylation at the intersection of sex and gender,NIH,SCIENTIFIC,"The term is listed alongside other scientific and demographic terms like ""biomarker development,"" ""epigenomics,"" ""cisgender,"" ""cohort,"" and ""men,"" suggesting its use here is for categorization and data analysis within a research context studying health disparities and substance use.
"
4,assigned male at birth,"omography (pqct). we will also address the clinically relevant question of how bone marrow composition relates to bone density and skeletal strength in young adolescents who are undergoing pubertal blockade. we will recruit a cohort of adolescents including those assigned female at birth (afab) and assigned male at birth (amab), and matched healthy controls, and examine bone marrow composition (by mri/mrs), bone density (by dxa + pqct), and bone structure and cross-sectional geometry (by pqct), before and after 12 months of pubertal blockade. this project will leverage our large patient population as a two-site stu",Skeletal Health and Bone Marrow Composition Among Youth,NIH,SCIENTIFIC,"The term 'assigned male at birth' (AMAB) is used to define a specific cohort in a scientific study investigating skeletal health and bone marrow composition. It is a descriptor used for participant selection based on a biological characteristic assigned at birth, relevant to the study's aims.
"
5,assigned male at birth,"abstract career goal: my long-term career goals are to a) secure a full-time tenure track academic appointment; and b) become an independent investigator in human immunodeficiency virus/sexually transmitted infection (hiv/sti) risk and prevention research among transgender women (trans women, women assigned male at birth). this research and training grant will provide me with the opportunity to enhance my research skills as a postdoctoral scholar at the university of central florida and to successfully transition to an sti intervention scientist that addresses prominent health inequalities faced by trans women. car",Sexually Transmited Infection Testing Risk and Prevention among Trans Women (STRiP-T),NIH,SCIENTIFIC,"The term is used in a research context to define the population of transgender women being studied, which is relevant to understanding the biological and social factors that influence HIV/STI risk and prevention.
"
6,assigned male at birth,"ity of life, questionnaires, reporting, research, risk, role, sensory, sex differences, sleep, social support, standardization, stress, testing, testosterone, united states national institutes of health, voice quality, vulnerable populations, woman, women', s health, work, adverse childhood events, assigned male at birth, chronic pain, cis-female, cis-male, community advisory board, cytokine, experience, genotypic sex, human subject, immunoregulation, innovation, male, man, marginalized community, men, pain sensitivity, perceived discrimination, poor health outcome, pressure, recruit, reproductive hormone, saliva s","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,SCIENTIFIC,"The term appears within a list of keywords associated with a scientific grant proposal focused on sex differences, hormones, and pain. The surrounding terms like ""genotypic sex,"" ""reproductive hormone,"" ""cytokine,"" and ""pain sensitivity"" indicate a scientific context.
"
7,assigned male at birth,"ity of life, questionnaires, reporting, research, risk, role, sensory, sex differences, sleep, social support, standardization, stress, testing, testosterone, united states national institutes of health, voice quality, vulnerable populations, woman, women', s health, work, adverse childhood events, assigned male at birth, chronic pain, cis-female, cis-male, community advisory board, cytokine, experience, genotypic sex, human subject, immunoregulation, innovation, male, man, marginalized community, men, pain sensitivity, perceived discrimination, poor health outcome, pressure, recruit, reproductive hormone, saliva s","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,SCIENTIFIC,"The term 'assigned male at birth' appears alongside other scientific terms like 'genotypic sex,' 'reproductive hormone,' 'cytokine,' and 'pain sensitivity,' suggesting its use is related to biological and physiological factors within the study. The grant title focuses on sex, hormones, and nociception, further supporting a scientific context.
"
8,assigned male at birth,"training program in translational science, hiv, and sexual and gender minority health project summary sexual and gender minorities (sgm) are heavily burdened by hiv in the u.s., including cisgender sexual minority men, transgender women and men, and non-binary people assigned male at birth. sgm also experience vast health inequities outside of hiv, including mental health problems, substance use, and various physical health outcomes. minority stressors (i.e., those unique to sgm) are linked to hiv-related outcomes and mental health, driven by various biopsychosocial processes. furthe","Training Program in Translational Science, HIV, and Sexual and Gender Minority Health",NIH,SCIENTIFIC,"The term 'assigned male at birth' is used within a scientific grant proposal focusing on health disparities and outcomes within sexual and gender minority populations. This falls within a technical context of defining subgroups for research and data analysis.
"
9,assigned male at birth,spectrum (studying pride to enhance cancer screening guidelines for transgender users of gender-affirming hormones) summary transgender (tg) men (assigned female at birth) and tg women (assigned male at birth) comprise a vulnerable population whose health is largely understudied. approximately 75%–95% of tg individuals will use exogenous hormones as part of gender-affirming care. gender-affirming hormone therapy is a community priority for tg people and can be a critical protective factor for improving ,SPECTRUM (Studying PRIDE to Enhance Cancer screening guidelines for TRansgender Users of gender-affirMing hormones),NIH,SCIENTIFIC,"The term is used to define the biological sex assigned at birth for a specific group (transgender women) within a scientific study focused on health disparities and cancer screening guidelines.
"
10,assigned male at birth,"ege students with trauma histories project summary/abstract  alcohol use is a prevalent problem among bi+ (bisexual, pansexual, queer) college students. bi+ col- lege students report disproportionately high rates of drinking and heavy episodic drinking (hed; i.e., consum- ing 5+ drinks among people assigned male at birth, consuming 4+ drinks among people assigned female at birth in 2 hours) relative to monosexual college students. rates of trauma exposure and post-traumatic stress disorder (ptsd) symptoms are also often highest among bi+ individuals. bi+ people endure unique sexual mi- nority stressors, including b","Examining Proximal Associations between Minority Stress, PTSD Symptoms, and Alcohol Use among Bi+ College Students with Trauma Histories",NIH,SCIENTIFIC,"The term is used to define a specific parameter (number of drinks consumed) for a scientific study on alcohol use, indicating a technical, research-oriented usage.
"
