id,term,context,title,agency,classification,explanation
1,assigned male at birth,"isk, risk factors, role, scientist, screening for cancer, sensitivity and specificity, stage at diagnosis, stigmatization, suggestion, surgeon, surveys, testosterone, time, tissues, training, training and education, united states national institutes of health, woman, work, assigned female at birth, assigned male at birth, breast imaging, cancer care, cancer health disparity, career, cis-female, cis-male, cisgender, cohort, design, evidence base, experience, gender affirming hormone therapy, health belief, improved, innovation, insight, lifetime risk, men, novel, participant interview, prevent, process improvement, ",Understanding Breast Cancer Risk and Screening in Transgender Persons through a Pilot Breast Cancer Screening Program,NIH,SCIENTIFIC,"The grant focuses on breast cancer risk and screening in transgender individuals, a topic that requires the use of terms like ""assigned male at birth"" in a technical and scientific context to accurately describe the study population and relevant biological factors.
"
2,assigned male at birth,"a couples-based approach to hiv prevention for transgender women and their male partners transgender (`trans') women (i.e., individuals with a feminine and/or female gender identity who were assigned male at birth) are among the populations at highest risk for hiv in the united states and worldwide. one of the most consistently reported contexts for hiv transmission among trans women is within a primary partnership with a non-transgender male. despite the critical importance of primary partnerships for hiv p",A couples-based approach to HIV prevention for transgender women and their male partners,NIH,SCIENTIFIC,"The term is used to define the study population of transgender women within a scientific research context focused on HIV prevention. The text provides a clear, technical definition within the scope of a scientific study.
"
3,assigned male at birth," of drug abuse, nature, outcome, pattern, persons, population, prevention, prospective  cohort study, reporting, research, risk, sampling, sexual and gender minorities, strategic planning, stress, substance use disorder, time, tissue-specific gene expression, translating, united states, work, aged, assigned male at birth, biomarker development, biomarker identification, cisgender, cohort, comorbidity, disability, epigenetic regulation, epigenomics, expectation, experience, gender minority, gender minority group, health disparity, immune function, improved, internalized stigma, maltreatment, men, methylome, minority",Substance use and DNA methylation at the intersection of sex and gender,NIH,SCIENTIFIC,"The term 'assigned male at birth' appears within a list of keywords related to a scientific study investigating substance use, DNA methylation, and sex/gender. The presence of other scientific terms like ""biomarker development,"" ""epigenetic regulation,"" and ""methylome"" suggests a scientific context for the term's usage.
"
4,assigned male at birth,"omography (pqct). we will also address the clinically relevant question of how bone marrow composition relates to bone density and skeletal strength in young adolescents who are undergoing pubertal blockade. we will recruit a cohort of adolescents including those assigned female at birth (afab) and assigned male at birth (amab), and matched healthy controls, and examine bone marrow composition (by mri/mrs), bone density (by dxa + pqct), and bone structure and cross-sectional geometry (by pqct), before and after 12 months of pubertal blockade. this project will leverage our large patient population as a two-site stu",Skeletal Health and Bone Marrow Composition Among Youth,NIH,SCIENTIFIC,"The text describes a scientific study examining skeletal health and bone marrow composition in adolescents. The terms ""assigned female at birth"" and ""assigned male at birth"" are used to define the cohort groups within the study, indicating a technical/scientific classification rather than a political or social one.
"
5,assigned male at birth,"abstract career goal: my long-term career goals are to a) secure a full-time tenure track academic appointment; and b) become an independent investigator in human immunodeficiency virus/sexually transmitted infection (hiv/sti) risk and prevention research among transgender women (trans women, women assigned male at birth). this research and training grant will provide me with the opportunity to enhance my research skills as a postdoctoral scholar at the university of central florida and to successfully transition to an sti intervention scientist that addresses prominent health inequalities faced by trans women. car",Sexually Transmited Infection Testing Risk and Prevention among Trans Women (STRiP-T),NIH,SCIENTIFIC,"The term is used to define the population being studied (transgender women) within the context of HIV/STI risk and prevention research, a scientific area.
"
6,assigned male at birth,"ity of life, questionnaires, reporting, research, risk, role, sensory, sex differences, sleep, social support, standardization, stress, testing, testosterone, united states national institutes of health, voice quality, vulnerable populations, woman, women', s health, work, adverse childhood events, assigned male at birth, chronic pain, cis-female, cis-male, community advisory board, cytokine, experience, genotypic sex, human subject, immunoregulation, innovation, male, man, marginalized community, men, pain sensitivity, perceived discrimination, poor health outcome, pressure, recruit, reproductive hormone, saliva s","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,SCIENTIFIC,"The term 'assigned male at birth' appears alongside other scientific and demographic terms like 'genotypic sex', 'cis-female', 'cis-male', 'reproductive hormone', 'testosterone', 'sex differences', 'human subject', 'male', and 'men'. This suggests it is being used as a demographic or biological variable within the scientific study.
"
7,assigned male at birth,"ity of life, questionnaires, reporting, research, risk, role, sensory, sex differences, sleep, social support, standardization, stress, testing, testosterone, united states national institutes of health, voice quality, vulnerable populations, woman, women', s health, work, adverse childhood events, assigned male at birth, chronic pain, cis-female, cis-male, community advisory board, cytokine, experience, genotypic sex, human subject, immunoregulation, innovation, male, man, marginalized community, men, pain sensitivity, perceived discrimination, poor health outcome, pressure, recruit, reproductive hormone, saliva s","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,SCIENTIFIC,"The term 'assigned male at birth' appears alongside other scientific terms like 'genotypic sex', 'reproductive hormone', 'cytokine', and 'immunoregulation' within the context of a research grant focused on sex differences in pain and hormone influence. This indicates its use as a scientific variable related to biological sex assigned at birth for research purposes.
"
8,assigned male at birth,"training program in translational science, hiv, and sexual and gender minority health project summary sexual and gender minorities (sgm) are heavily burdened by hiv in the u.s., including cisgender sexual minority men, transgender women and men, and non-binary people assigned male at birth. sgm also experience vast health inequities outside of hiv, including mental health problems, substance use, and various physical health outcomes. minority stressors (i.e., those unique to sgm) are linked to hiv-related outcomes and mental health, driven by various biopsychosocial processes. furthe","Training Program in Translational Science, HIV, and Sexual and Gender Minority Health",NIH,SCIENTIFIC,"The term 'assigned male at birth' is used within a scientific grant proposal focusing on health disparities in sexual and gender minorities. It is used to define a specific group for research purposes, indicating a technical and scientific context.
"
9,assigned male at birth,spectrum (studying pride to enhance cancer screening guidelines for transgender users of gender-affirming hormones) summary transgender (tg) men (assigned female at birth) and tg women (assigned male at birth) comprise a vulnerable population whose health is largely understudied. approximately 75%–95% of tg individuals will use exogenous hormones as part of gender-affirming care. gender-affirming hormone therapy is a community priority for tg people and can be a critical protective factor for improving ,SPECTRUM (Studying PRIDE to Enhance Cancer screening guidelines for TRansgender Users of gender-affirMing hormones),NIH,SCIENTIFIC,"The term 'assigned male at birth' is used to define a specific group (transgender women) within the context of a scientific study on cancer screening guidelines and hormone therapy. This is a technical definition used for research purposes.
"
10,assigned male at birth,"ege students with trauma histories project summary/abstract  alcohol use is a prevalent problem among bi+ (bisexual, pansexual, queer) college students. bi+ col- lege students report disproportionately high rates of drinking and heavy episodic drinking (hed; i.e., consum- ing 5+ drinks among people assigned male at birth, consuming 4+ drinks among people assigned female at birth in 2 hours) relative to monosexual college students. rates of trauma exposure and post-traumatic stress disorder (ptsd) symptoms are also often highest among bi+ individuals. bi+ people endure unique sexual mi- nority stressors, including b","Examining Proximal Associations between Minority Stress, PTSD Symptoms, and Alcohol Use among Bi+ College Students with Trauma Histories",NIH,SCIENTIFIC,"The term is used to define the criteria for heavy episodic drinking (HED) in a study focused on alcohol use among a specific population. The different thresholds for males and females assigned at birth are based on physiological differences impacting alcohol metabolism.
"
