id,term,context,title,agency,classification,explanation
1,at risk,", intervention, knowledge, legal, lesbian, lesbian gay bisexual, longevity, low birth weight infant, maternal and child health, mediator, mental depression, modeling, mothers, nurses, nurses',  health study, obesity, outcome, parents, participant, pattern, perinatal, policies, politics, populations at risk, pregnancy, public health, publishing, race, reporting, research, resources, rights, riots, risk, risk factors, same-sex, sampling, sex orientation, sexual health, sociology, spontaneous abortion, stress, subgroup, testing, united states national institutes of health, vulnerable populations, woman,",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The context includes terms related to sexual orientation, rights, policies, and vulnerable populations, suggesting the ""at risk"" designation is related to social and political factors affecting specific groups.
"
2,at risk,"alacrity for early screening and treatment of high risk youth (estory) project summary/abstract- cambridge health alliance alacrity for early screening and treatment of high risk youth (estory) barriers to quality mental health care for youth at risk of mental illness are well recognized but persistent, especially among racial, ethnic, and language (rel)-minority youth. the proposed center for early screening and treatment of at-risk youth (the estory center) is dedicated to research and training to improve early detection of mental illness, to",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,SCIENTIFIC,"The term 'at risk' is used in the context of mental health and the early detection of mental illness in youth, which is a scientific and medical field. The grant focuses on research and training to improve early detection and treatment.
"
3,at risk,"fication and successful referrals), secondary outcomes (program acceptability), and explore program mechanisms (training impact, partnership development, software usability and caregiver involvement). the proposed research responds to the growing national need to identify and refer vulnerable youth at risk for suicide. a future r01 will test program effectiveness with a larger sample and different implementation strategies. adoption, caregivers, caring, cause of death, child, clinic, clinical, communities, computer software, consolidated framework for implementation research, control groups, data, da",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,SCIENTIFIC,"The phrase ""vulnerable youth at risk for suicide"" refers to a specific population identified within a scientific research context focused on suicide prevention. The grant aims to identify and refer these individuals, indicating a technical understanding and application of the term 'at risk'.
"
4,at risk,"training the long-term services and supports dementia care workforce in provision of care to sexual and gender minority residents summary in the us, sexual and gender minority (sgm) older adults are disproportionately at risk for alzheimer’s disease and related dementias (ad/adrd) and more likely to rely on long-term services and supports (ltss) than their cisgender, heterosexual peers. without training in culturally responsive care of the ltss workforce, sgm residents are vulnerable to receiving inappropriate and/or in",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term 'at risk' refers to the disproportionate vulnerability of sexual and gender minority (SGM) older adults to Alzheimer's disease and related dementias, which highlights a disparity and a need for specific interventions, indicating a social and political context related to identity and access to care.
"
5,at risk,"tity, geography, goals, gonorrhea, hiv, hiv seronegativity, hiv risk, health, healthcare, incidence, individual, internet, intervention, interview, knowledge, latinx, life, measures, mediating, mediation, mental health, methods, modeling, motivation, persons, pilot projects, population, populations at risk, prevention, prevention strategy, public health, randomized, regimen, research, risk, sampling, science, self administration, services, sex behavior, sexual health, spottings, strategic planning, surveys, syphilis, tenofovir, testing, testosterone, us state, united states national institutes of hea",Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,SCIENTIFIC,"The grant text focuses on HIV prevention within a specific population. The term ""populations at risk"" is used within the context of public health research and intervention strategies, indicating a scientific classification.
"
6,at risk,"on to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophylaxis (prep), help access prep, and adhere to prep. currently, black msm have the highest rates of hiv acquisition in the united states yet have the lowest rates of prep utilization. innovative methods to support use of this lifesaving medication are few ",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,SCIENTIFIC,"The term 'at risk' refers to a specific population (Black MSM) with a higher probability of contracting HIV, a scientifically measurable outcome. The grant aims to improve pre-exposure prophylaxis use within this population based on identified health disparities and epidemiological data.
"
7,at risk,"on to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophylaxis (prep), help access prep, and adhere to prep. currently, black msm have the highest rates of hiv acquisition in the united states yet have the lowest rates of prep utilization. innovative methods to support use of this lifesaving medication are few ",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,SCIENTIFIC,"The phrase ""at risk of HIV"" is used in a medical/epidemiological context to describe a population with a higher probability of contracting a disease. This is a standard scientific usage in public health research.
"
8,at risk,"ntervention, investments, lead, life, low income population, low income, mental depression, mental health, mental health services, mental disorders, monitor, mood disorders, municipalities, outcome, participant, personal satisfaction, phase, policies, policy maker, politics, population, populations at risk, poverty, psyche structure, randomized, reduce health disparities, reproductive health services, research, risk taking, savings, science, security, service provision, services, statutes and laws, suicide, system, testing, time, training, training and education, united states, volatilization, work, ",Increasing financial and health equity among low income black youth and young adults,NIH,POLITICAL,"The context includes terms like ""low income population,"" ""poverty,"" ""reduce health disparities,"" and ""policies,"" indicating a focus on social and economic factors that place populations at risk.
"
9,at risk,"applying deep learning for predicting retention in prep care and effective prep use among key populations at risk for hiv in thailand project summary/abstract hiv remains a major cause of morbidity and mortality despite great progress in hiv prevention and treatment, especially for key populations (kps), including men who have sex with men (msm) and transgender women (tgw). pre-exposure prophylaxis (prep) has ",Applying Deep Learning for Predicting Retention in PrEP Care and Effective PrEP Use among Key Populations at Risk for HIV in Thailand,NIH,SCIENTIFIC,"The term 'at risk' is used within the context of HIV prevention research and identifying populations vulnerable to HIV infection, a scientific and epidemiological concern.
"
10,at risk,"uals, homophobia, intervention, interview, knowledge, lesbian gay bisexual, lesbian gay bisexual transgender queer, link, literature, longitudinal studies, longitudinal surveys, mediation, mental health, methods, modeling, outcome, participant, pathway interactions, pattern, population, populations at risk, prevention program, primary prevention, process, psychosocial factor, public health, qualitative research, random allocation, reporting, research, risk factors, role, sampling, sex orientation, sexual harassment, social perception, students, substance abuse problem, surveys, time, united states na",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,POLITICAL,"The term ""populations at risk"" within the context of ""sexual minority youth"" and keywords like ""homophobia"" and ""lesbian gay bisexual transgender queer"" suggests a focus on social vulnerability and disparity, which aligns with a political/identity-focused usage rather than purely scientific.
"
