id,term,context,title,agency,classification,explanation
1,at risk,"d surveillance technology surveillance for sars-cov-2 is hindered by the availability of testing, particularly in remote and rural areas. screening of wastewater for sars-cov-2 viral biomarkers offers a viable alternative to individual testing and it can identify communities and facilities that are at risk of becoming hotspots.wastewater surveillance overcomes several limitations of clinical surveillance, such as the need for robust healthcare and laboratory infrastructure and the lack of representative and comprehensive testing within communities. conventional wastewater surveillance takes samples f",Wastewater Assessment for Coronavirus in Kentucky: Implementing Enhanced Surveillance Technology,NIH,SCIENTIFIC,"The phrase ""at risk of becoming hotspots"" refers to a scientifically measurable risk of increased SARS-CoV-2 transmission within communities and facilities. This aligns with the grant's focus on wastewater surveillance as a scientific tool.
"
2,at risk,"training the long-term services and supports dementia care workforce in provision of care to sexual and gender minority residents summary in the us, sexual and gender minority (sgm) older adults are disproportionately at risk for alzheimer’s disease and related dementias (ad/adrd) and more likely to rely on long-term services and supports (ltss) than their cisgender, heterosexual peers. without training in culturally responsive care of the ltss workforce, sgm residents are vulnerable to receiving inappropriate and/or in",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term 'at risk' is used to highlight the disproportionate vulnerability of a specific social group (sexual and gender minorities) to Alzheimer's disease and related dementias. This aligns with a social and political context focused on equity and disparities.
"
3,at risk,"alth behavior, healthy people 2020, human immunodeficiency virus test, individual, infection, injections, interview, lesbian gay bisexual, measures, medical, mentorship, methods, military personnel, oral, pathway interactions, patients, pharmaceutical preparations, policies, population, populations at risk, prevention program, prevention strategy, preventive service, provider, recommendation, reporting, research, research project grants, residual state, respondent, risk, services, sex behavior, sexual health, sexual partners, side, surveys, testing, time, united states dept. of health and human servi",Identifying preferences for receiving HIV prevention services among GBMSMs and for providing HIV prevention services among HCPs who are active-duty service members,NIH,SCIENTIFIC,"The phrase ""populations at risk"" is a common term used in public health and medical research to refer to groups with a higher likelihood of contracting a disease or experiencing a negative health outcome. This aligns with the overall research focus on HIV prevention services.
"
4,at risk,"youth empowerment and safety intervention for systems-involved sexual and gender minority youth at risk of suicide in the general population, suicide is the second-leading cause of death for ages 10 to 24. child welfare (cw) and juvenile justice (jj) involved youth have approximately 3 times greater risk for suicide ideation, attempts, and completions (i.e., self-injurious thoughts and behaviors – si",Youth Empowerment and Safety Intervention for Systems-involved Sexual and Gender Minority Youth at Risk of Suicide,NIH,SCIENTIFIC,"The phrase ""at risk of suicide"" is used within a scientific context, referring to a specific, measurable potential outcome (suicide) and a population with elevated statistical probability of that outcome.
"
5,at risk,"uals, homophobia, intervention, interview, knowledge, lesbian gay bisexual, lesbian gay bisexual transgender queer, link, literature, longitudinal studies, longitudinal surveys, mediation, mental health, methods, modeling, outcome, participant, pathway interactions, pattern, population, populations at risk, prevention program, primary prevention, process, psychosocial factor, public health, qualitative research, random allocation, reporting, research, risk factors, role, sampling, sex orientation, sexual harassment, social perception, students, substance abuse problem, surveys, time, united states na",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,POLITICAL,"The term 'populations at risk' is used in the context of sexual minority youth and their health outcomes, which carries strong social and political implications related to marginalized groups. While appearing in a scientific grant, the focus on specific populations and prevention programs leans toward a politically informed understanding of risk.
"
6,at risk,"orders, neuroepidemiology, neurologic, neurologic dysfunctions, neurological disability, neurological outcome, neuropsychology, new york, obesity, olfactory pathways, olfactory dysfunction, otolaryngology, outcome, pathology, patients, perception, physicians, pilot projects, population, populations at risk, positron-emission tomography, predictive factor, presbyterian church, prevalence, quality of life, recovery, research, research design, research infrastructure, research methodology, risk, risk factors, sars-cov-2 infection, seizures, sensory, sensory disorders, sensory disabilities, severe acute ",Neurocognitive & neuropsychiatric impact of chemosensory alterations: Implications of olfactory dysfunction in COVID-19,NIH,SCIENTIFIC,"The text is from a scientific grant proposal, and ""populations at risk"" is likely referring to specific groups vulnerable to the negative impacts of olfactory dysfunction after COVID-19, a scientific research question.
"
7,at risk,"w will investigate pollination loss in hawaiian forests, which have experienced high rates of species extinction and invasion by non-native species. for instance, most native nectar-feeding birds in the hawaiian islands have gone extinct, and plants that depend on these birds for pollination may be at risk for extinction from the loss of their bird partners. the fellow will closely examine bird-plant interactions, using film and 3d scans of bird bills and flower tube shapes, to predict the impacts of bird pollinator loss on hawaiian plants. to broaden participation, the fellow will conduct surveys an",NSF Postdoctoral Fellowship in Biology: Assessment of interactions between nectarivorous birds and flowering plants to investigate pollination loss in Hawaiian forests,NSF,SCIENTIFIC,"The phrase ""at risk for extinction"" is used in a biological/ecological context, referring to the vulnerability of plants to extinction due to the loss of their bird pollinators.
"
8,at risk,"applying deep learning for predicting retention in prep care and effective prep use among key populations at risk for hiv in thailand project summary/abstract hiv remains a major cause of morbidity and mortality despite great progress in hiv prevention and treatment, especially for key populations (kps), including men who have sex with men (msm) and transgender women (tgw). pre-exposure prophylaxis (prep) has ",Applying Deep Learning for Predicting Retention in PrEP Care and Effective PrEP Use among Key Populations at Risk for HIV in Thailand,NIH,SCIENTIFIC,"The term 'at risk' is used in a scientific context to describe populations with a higher probability of contracting HIV, which is a focus of scientific study and intervention.
"
9,at risk,"on to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophylaxis (prep), help access prep, and adhere to prep. currently, black msm have the highest rates of hiv acquisition in the united states yet have the lowest rates of prep utilization. innovative methods to support use of this lifesaving medication are few ",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,SCIENTIFIC,"The phrase ""at risk of HIV"" in the context of a clinical trial and public health need directly relates to the scientific study of disease transmission and prevention.
"
10,at risk,"itro, intervention, laboratories, liver fibrosis, liver diseases, magnetic resonance elastography, malnutrition, metabolic, morbidity - disease rate, nature, outcome, oxidative stress, participant, pathogenesis, pattern, persons, pharmaceutical preparations, pharmacotherapy, population, populations at risk, primary carcinoma of the liver cells, prognostic factor, program development, program evaluation, quality of life, recording of previous events, research, research design, resources, risk factors, role, signal transduction, stimulus, substance abuse problem, treatment failure, underserved populati",Community-Engaged Research on COVID-19 Testing Among Underserved and/or Vulnerable Populations,NIH,POLITICAL,"The grant title refers to ""Underserved and/or Vulnerable Populations,"" and the text includes ""populations at risk"" and ""underserved populati,"" suggesting a focus on social disparities and inequities, aligning with a political context.
"
11,at risk,"d as the loc for covpn vaccine trials. this phase 3, observer-blinded, placebo-controlled, crossover-vaccination study will test the efficacy of the covid-19 ancestral strain mrna vaccine in preventing covid-19 disease regardless of severity, and preventing covid-19 severe disease in people who are at risk for severe covid-19 in areas of the world where the prevalence of the sars-cov-2 1.351 strain is substantial. the trial has been designed to provide as rapid assessment of efficacy as possible in regions of the world where local access to effective vaccines are limited. subjects will be randomized ",CoVPN 3008 2022-2023,NIH,SCIENTIFIC,"The term ""at risk"" is used to describe individuals who have a higher probability of experiencing severe COVID-19, a medically defined category.
"
12,at risk,"mentation of the covid-19 vaccine efficacy trial, covpn 3008 (the ubuntu study) entitled “multi-center, randomized, efficacy study of covid-19 mrna vaccine in regions with sars- cov-2 variants of concern.” as the global covid-19 pandemic has persisted, it has become clear not only that there are great risks faced by people who are immunocompromised, but also that there is an urgent need to better understand infection and disease in these populations so we can prevent severe covid-19 as well as chronic sars-cov-2 infections that could promote transmission and the emergence of new, dangerous variants. ","CoVPN 3008 Multi-Center, Randomized, Efficacy Study of Early vs Deferred Vaccination with COVID-19 mRNA Vaccine in Regions with SARS-CoV-2 Variants of Concern - LC GY18",NIH,SCIENTIFIC,"The context discusses the risks faced by immunocompromised individuals in relation to COVID-19 infection and disease, which falls under the scope of scientific and medical research.
"
13,at risk,table adaptive strategies for flood protection infrastructure under current and future compound hazards over two-thirds of the american population lives in counties protected against flooding by the levee system. historically underserved and socially vulnerable communities (husvcs) are particularly at risk due to their high exposure and barriers to mitigation. this award supports a transdisciplinary research project to explore climate-informed strategies for equitable adaptation of levees under compound hazards to address these challenges. the research project aims to ensure the resilience of the nat,CLIMA/Collaborative Research: Equitable Adaptive Strategies for Flood Protection Infrastructure under Current and Future Compound Hazards,NSF,POLITICAL,"The term 'at risk' is used in reference to ""historically underserved and socially vulnerable communities (husvcs)"", indicating a focus on social and political inequities related to flood protection.
"
14,at risk,"search examining social factors that influence drug use outcomes and the intersection of hiv and drug use. this proposal additionally addresses nida’s noted interest in loneliness as a potential leverage point for substance use prevention. findings from this r36 study will help identify individuals at risk for substance use, inform policies seeking to prevent hiv transmission and inform a future f32 and k01 award application. the proposed project and mentorship team will allow the principal investigator to develop expertise at the intersection of hiv research, substance use epidemiology, and social n",Dissecting the role of loneliness on substance use- and HIV-related outcomes among sexual minority men in the United States and Canada,NIH,SCIENTIFIC,"The phrase ""individuals at risk for substance use"" refers to a population identified through scientific study as being more susceptible to a specific health outcome (substance use), which aligns with a technical/scientific context.
"
15,at risk,"g and capacity development of students at a renowned public health university that is at the forefront of dynamic sociocultural, religious and political shifts. building on over 13 years of successful collaborations and partnerships in medical and public health research for key populations, with or at risk for hiv, we are poised to focus implementation science to overcome health disparities for pwid, msm, fsw, transgender populations and prisoners, and provide advanced training to produce a phased transfer of knowledge, skills and expertise from yale to um over the course of five years, resulting in ",Malaysian Implementation Science Training (MIST) Program in HIV,NIH,SCIENTIFIC,"The phrase ""at risk for HIV"" is a common and established scientific/medical term used to describe populations with a higher probability of contracting HIV due to various factors.
"
16,at risk,"nderstanding of initiating changes in myelopoiesis and regulated changes in myeloid cells. it is clear that some individuals develop a meta-inflammatory response placing them at higher risk for metabolic impairment while others are protected. while it is clinically important to identify adolescents at risk for future disease, we do not understand how to use meta-inflammatory markers to assess disease risk. our previous human and mouse studies demonstrate that individuals who expand inflammatory monocytes in response to obesogenic diets are at greatest risk for metabolic disease. based on the ability ",The role of circulating meta-inflammatory monocytes in adolescent insulin resistance,NIH,SCIENTIFIC,"The text uses ""at risk"" to describe individuals who are more susceptible to developing metabolic impairment and disease based on physiological responses and biomarkers. This is a technical, scientific context related to disease risk assessment.
"
17,at risk,", intervention, knowledge, legal, lesbian, lesbian gay bisexual, longevity, low birth weight infant, maternal and child health, mediator, mental depression, modeling, mothers, nurses, nurses',  health study, obesity, outcome, parents, participant, pattern, perinatal, policies, politics, populations at risk, pregnancy, public health, publishing, race, reporting, research, resources, rights, riots, risk, risk factors, same-sex, sampling, sex orientation, sexual health, sociology, spontaneous abortion, stress, subgroup, testing, united states national institutes of health, vulnerable populations, woman,",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The surrounding terms like ""legal,"" ""policies,"" ""politics,"" ""rights,"" ""vulnerable populations,"" and the grant title's focus on ""sexual orientation-related disparities"" strongly suggest a sociopolitical context for ""populations at risk.""
"
18,at risk," this pre-doctoral program will be located in the department of sociomedical sciences within columbia university, mailman school of public health (msph). the training program will take advantage of the interdisciplinary expertise across msph in mentoring experience and expertise in sdh among people at risk and living with hiv. we also propose to collaborate with faculty at the hiv center on clinical and behavioral studies at columbia university irving medical center (cuimc), the international center for aids care and treatment program, at msph, and the social interventions group at the columbia unive",Social Determinants of HIV,NIH,SCIENTIFIC,"The phrase ""people at risk and living with HIV"" is used within the context of a scientific research grant focused on social determinants of health and HIV. This indicates a technical or scientific context referring to populations with a higher probability of contracting HIV.
"
19,at risk," approach, the project aims to minimize inequitable socio-economic impacts of extreme weather events. this disaster resilience research grant project provides a better understanding of differential community hardships resulting from power outages and develop innovative concepts such as equity value at risk to mitigate the impact of power grid failures. computationally efficient solution approaches can facilitate the adoption of equity-risk-aware optimization by decision-makers, ensuring the practicality and applicability of the research findings.    this award reflects nsf's statutory mission and has",Toward Equitable Power Infrastructure Resilience,NSF,SCIENTIFIC,"The term ""equity value at risk"" is presented as a technical concept developed to quantify and mitigate the impact of power grid failures, suggesting a scientific or engineering application within the context of risk assessment and optimization.
"
20,at risk,"covid19 vaccine hesitancy among perinatal women at risk for health disparities abstract despite safety data supporting use of covid-19 vaccines among pregnant and lactating women, covid-19 vaccine coverage among perinatal women in the united states is very low, with uptake even lower among some racial and ethnic groups such as black/african american and",COVID19 vaccine hesitancy among perinatal women at risk for health disparities,NIH,POLITICAL,"The phrase ""at risk for health disparities"" refers to a social inequity affecting specific populations, indicating a focus on social determinants of health and the disproportionate impact of COVID-19 vaccine hesitancy on vulnerable groups. This aligns with a political context concerned with equity and access to healthcare.
"
21,at risk,"l with professional and/or lived experience with ldx asd, will guide us as we: 1. identify sex, gender, cognitive, and behavioral differences between timely (tdx) and ldx autistic people. 2. develop and validate a self-report asd screening measure as a diagnostic access point for adolescents/adults at risk for ldx. 3. develop a personalized approach to biobehavioral marker extraction for classification of diagnostic timing (ldx vs. tdx) and prediction of qol indices, using an innovative artificial intelligence approach to integrate multimodal neuroimaging data with phenotypic information. we will imp",Autism Center of Excellence Network: Neurodevelopmental Biomarkers of Late Diagnosis in Female and Gender Diverse Autism,NIH,SCIENTIFIC,"The term ""at risk"" refers to adolescents/adults who may have late diagnosed autism spectrum disorder (LDX ASD). This is a specific, scientific usage related to diagnostic criteria and potential identification within a specific population.
"
22,at risk,", hiv seronegativity, hiv/aids, hiv/std, immune, immunology, incidence, individual, inflammation, infrastructure, intervention, knowledge, legal, link, measures, mediating, mediator, methods, neighborhoods, outcome, participant, pharmaceutical preparations, plasma, policies, population, populations at risk, prevention, prospective  cohort study, public health, rectum, reporting, research, risk, role, sex behavior, shelter facility, social network, stimulant, surveys, technology, typology, united states, united states national institutes of health, visit, biobehavior, black men who have sex with men, ","Cannabis use, PrEP and HIV transmission risk Among Black MSM in Chicago",NIH,POLITICAL,"The term ""populations at risk"" is used in a context related to public health and social factors influencing HIV transmission, which aligns with a social and political understanding of risk within specific communities.
"
23,at risk,"er queer, link, liver diseases, malignant neoplasms, mediating, mental depression, mental health, meta-analysis, methods, modality, morbidity - disease rate, motivation, national institute on alcohol abuse and alcoholism, participant, pathway interactions, persons, policies, population, populations at risk, preparation, promoting action on research implementation in health services framework, protocols documentation, provider, psychotherapy, race, randomized  controlled trials, reaction, reporting, research, risk, role, services, sex orientation, shame, site, stress and coping, structure, system, tes","A unified protocol to address sexual minority women's minority stress, mental health and hazardous drinking",NIH,SCIENTIFIC,"The term 'populations at risk' appears within a list of research-related terms, suggesting a scientific or epidemiological context focused on identifying groups vulnerable to specific health outcomes.
"
24,at risk,"er, lesion, link, literature, lung, malignant neoplasms, malignant neoplasm of lung, measures, methodology, methods, minority, minority groups, minority health research, movement, outcome, patient self-report, personal satisfaction, policies, population assessment of tobacco and health, populations at risk, prevalence, prevalence study, prevention, race, research, resources, risk, risk factors, sample size, sampling, self assessment, sex orientation, sexual and gender minorities, smoke, smoker, smoking, smoking behavior, smoking history, subgroup, surveys, survival rate, techniques, testing, tobacco,",Smoking and Cancer-Related Health Disparities among Sexual and Gender Minority Adults,NIH,SCIENTIFIC,"The term 'at risk' is used in the context of identifying populations that have a higher probability of experiencing negative health outcomes, which is a common application in scientific and health research.
"
