id,term,context,title,agency,classification,explanation
1,barrier,"12 computing education research (cer) across the u.s. to meet the needs of finding promising practices for teaching computing to all students. the research will analyze existing and ongoing research and develop guidelines for conducting high-quality, equity-focused research. one goal is to identify barriers and gaps in equity-focused research across k-12 computing education using the capacity, access, participation, and experience (cape) framework as a lens for analysis. those results will be used to develop workshops to build the capacity of researchers to include and focus on equity. the research q","Building High-Quality K-12 Computer Science Education Research Across an Outcome Framework of Equitable Capacity, Access, Participation, and Experience",NSF,POLITICAL,"The term ""barriers"" is used in the context of ""equity-focused research"" and aims to identify obstacles preventing equitable access and participation in computing education. This aligns with a social and political understanding of barriers as systemic issues hindering opportunities for certain groups.
"
2,barrier,"am recently conducted the rapid evaluation of covid-19 vaccination in emergency departments for underserved patients (revved up) study that identified a particularly vulnerable population whose primary (and often only) health care access occurs in emergency departments (eds). this group faces major barriers, especially vaccine hesitancy and limited vaccination site access, to receiving covid-19 and influenza vaccines. african americans and latinos, who have suffered disproportionately high morbidity and mortality from the covid-19 pandemic, comprise 66% of this ed usual source of care group of patien",PROmotion of COVid-19 VA(X)ccination in the Emergency Department - PROCOVAXED,NIH,POLITICAL,"The barriers mentioned relate to social and access issues affecting specific demographic groups, indicating a political context related to healthcare equity and access.
"
3,barrier,", work, anxiety symptoms, base, clinical care, clinical practice, coping, cost, depressive symptoms, distraction, effectiveness implementation trial, effectiveness testing, experience, follow-up, future implementation, health disparity, health equity, high risk, hybrid type 1 design, implementation barriers, implementation fidelity, implementation framework, implementation intervention, improved, innovation, mindfulness, pandemic disease, primary outcome, recruit, response, secondary outcome, social, telehealth, tool, treatment as usual, treatment effect, treatment services, uptake",Improving mental health among the LGBTQ+ community impacted by the COVID-19 pandemic,NIH,SCIENTIFIC,"The term ""implementation barriers"" within the context of an ""effectiveness implementation trial,"" ""implementation fidelity,"" and ""implementation framework"" strongly suggests a focus on obstacles to adopting or implementing a scientific intervention or practice.
"
4,barrier,"he second set of contributions pertain to economic theory. the project advances knowledge on portfolio composition in the past and the causes and consequences of portfolio-choice differences, among other phenomena. associated papers will illuminate, among other things, the extent to which practical barriers to financial access shape portfolios; whether the initial exclusion of black households from social security can help explain their persistently higher participation in life insurance today, despite the decline in its returns; and the demographically redistributive effects of inflation. these pape","How Demographics, Place, and Rules Impact Portfolio Composition: Data from the Historical Survey of Consumer Finances and Implications for the Distribution of Wealth",NSF,SCIENTIFIC,"The phrase ""practical barriers to financial access"" refers to real-world constraints and limitations that individuals face when trying to participate in financial markets. In this context, the word ""barriers"" has an economics definition - obstacles to entry or participation in a market, and the grant studies how these barriers shape portfolio choices.
"
5,barrier,"y structural intervention (asian chesi) project summary/abstract title: asian community-led health equity structural intervention (asian chesi) asian community health coalition (achc) is requesting funding for asian chesi, a community- led, multisectoral partnership initiative to address structural barriers in healthcare access and health disparities experienced by underserved diverse asian americans. the project will engage achc coalition member organizations: over 35 asian ethnic community/faith-based organizations; 8 clinical providers/community health centers; 3 academic research partners with lo",Asian Community-Led Health Equity Structural Intervention (Asian CHESI),NIH,POLITICAL,"The term 'structural barriers' in healthcare access and health disparities experienced by underserved diverse Asian Americans refers to systemic issues stemming from social, political, and economic structures that create unequal access to resources and opportunities. This is a common usage in discussions of health equity and social justice.
"
6,barrier,"ineering, and mathematics (stem) educators within higher education, many universities are taking a closer look at their hiring practices and their culture of equity and inclusion. evidence suggests that a diverse stem workforce is essential to the education of future scientists. addressing systemic barriers to developing a diverse and supported stem faculty, particularly for women and women of color, requires transformative change at all recruitment, promotion, and retention levels. in the interest of emphasizing a focus on intersectionality, we will refer to women, women of color, queer women, and w",ADVANCE Catalyst: Organizational Change for Gender Equity in STEM Academic Professions,NSF,POLITICAL,"The term 'barriers' refers to systemic obstacles hindering the development and support of diverse STEM faculty, particularly women and women of color. This usage aligns with social justice and equity concerns, placing it within a political context.
"
7,barrier," and systemizing success enablers to support their nd employees? 3) what are the organizational characteristics that support or limit the identification, implementation, and systemization of success enablers? our work is based on annabi and locke’s organizational interventions mitigating individual barriers (oimib) framework, grounded in the neurodiversity paradigm and critical disability studies and emphasizing intersectionality. findings from this research will advance our theoretical and practical understanding of how neurodivergent technology professionals leverage various success enablers to add",Success Enablers that Empower Neurodivergent Technology Professionals (SEEN Tech Professionals),NSF,POLITICAL,"The term ""barriers"" in this context refers to obstacles faced by neurodivergent individuals, highlighting issues of inclusion, accessibility, and systemic disadvantages. This aligns with the focus on social justice, equity, and disability studies, indicating a political or identity-focused usage.
"
8,barrier,"ed educational content has evolved into rich, graphical, and highly interactive experiences, becoming an integral resource for science, technology, engineering and mathematics (stem) education. while these advances result in more engaging, immersive, and usable content for some, they also establish barriers for a significant portion of the population, including learners and educators with sensory, mobility, or cognitive disabilities. a truly accessible interactive web learning experience requires the expansion of input modalities (beyond the mouse or touch-based events) and output modalities (beyond ","NSF POSE: Phase II: SceneryStack: Inclusive Interactive Media Open-Source Ecosystem (OSE) for Science, Technology, Engineering and Mathematics (STEM) Education",NSF,POLITICAL,"The term ""barriers"" refers to obstacles preventing equal access to STEM education for people with disabilities. This aligns with a discussion of social equity and inclusion, indicating a political context.
"
9,barrier,"g and research successes. also, this project will evaluate how inequities may have been exacerbated during the covid-19 pandemic.    the goals of this project are 1) to lay the foundation for strategic recruitment and retention of faculty across gender, race, and international status by identifying barriers and structural impediments that impact stem diversity, and 2) to set the stage for institutional transformation beyond the grant period to reduce inequities that hinder these groups of faculty during and outside of a global crisis. the research team will examine institutional data, and conduct sur",NSF ADVANCE Catalyst: Equity in STEM at Miami University,NSF,POLITICAL,"The term 'barriers' refers to obstacles hindering diversity and equity for faculty based on gender, race, and international status, which falls under social and political considerations related to inclusivity and equality.
"
10,barrier,"fw-htf-r:  collaborative research: virtual meeting support for enhanced well-being and equity for game developers the covid-19 pandemic ushered in a new era of remote work, highlighting barriers to well-being, equity, and inclusion. virtual meeting fatigue, the exhaustion that occurs after long periods of videoconferencing, has been identified as especially harmful to women and people of color, compounding common face-to-face inequities like unequal talking time and interruptions in meeti",FW-HTF-R:  Collaborative Research: Virtual Meeting Support for Enhanced Well-Being and Equity for Game Developers,NSF,POLITICAL,"The barriers are related to well-being, equity, and inclusion, which are concepts heavily associated with social and political discussions, especially in the context of workplace dynamics and disparities affecting specific demographic groups (women and people of color).
"
