id,term,context,title,agency,classification,explanation
1,barriers,"duty service members. when taken as directed, prep is ~99% effective at reducing hiv-seroconversion in at-risk populations, such as gbmsm. despite authorization to provide prep and related care free of cost, prep uptake among active-duty service members is low. prior research has noted psychosocial barriers, such as stigma, may exist from residuals of the ‘don’t ask, don’t tell’ policy era that emphasized hiding one’s identity as a lesbian, gay, bisexual, or transgender (lgbt) and engagement in same-sex behaviors. other factors may impede uptake-provision of prep, such as one’s comfort level of discus",Identifying preferences for receiving HIV prevention services among GBMSMs and for providing HIV prevention services among HCPs who are active-duty service members,NIH,POLITICAL,"The ""psychosocial barriers"" mentioned are linked to stigma stemming from the ""don't ask, don't tell"" policy, which is inherently a political issue related to LGBTQ+ rights and acceptance.
"
2,barriers,"ure change to benefit diverse early-career researchers. a federated approach across multiple societies is valuable to expanding the reach of the project, allowing faseb to affect culture change on a larger scale in biology through its member societies. in this project, faseb will analyze and define barriers to inclusivity in the entrenched culture and identify mechanisms to overcome these barriers. in addition, the project will provide mentorship, support, and leadership training to cohorts of early-career researchers from historically excluded populations and assist them in engaging in society roles.",DESIGN: Driving Culture Change in a Federation of Biological Societies via Cohort-Based Early-Career Leaders,NSF,POLITICAL,"The term ""barriers"" refers to obstacles to inclusivity for early-career researchers from historically excluded populations, indicating a social, political, and identity context.
"
3,barriers,"ethods approaches that include teacher and student interviews, reflections, observations, descriptive case study reports as well as regression and multilevel modeling. the project’s findings will inform the fields’ understanding of: (a) teachers’ conceptualization of computational thinking; (b) the barriers elementary teachers encounter when trying to integrate computational thinking with culturally relevant teaching practices; (c) the types of support that are effective in teacher professional development experiences  and throughout the school year; and (d) the development of a cohort of teachers tha",Collaborative Research: Accessible Computational Thinking in Elementary Science Classes within and across Culturally and Linguistically Diverse Contexts,NSF,SCIENTIFIC,"The term ""barriers"" refers to obstacles or challenges encountered by teachers in integrating computational thinking into their teaching practices. This is a problem within the scientific (educational) domain, rather than a political or identity issue.
"
4,barriers,"n of african american students in stem the historically black colleges and universities undergraduate program (hbcu-up) has identified research in broadening participation in stem as one of its priorities and is committed to funding innovative models and research to enhance the understanding of the barriers that hinder and factors that enhance our ability to broaden participation in stem. the project presented by howard university, winston-salem state university, coppin state university, and morehouse college has been designed to initiate the implementation of essential research that will set the foun",Broadening Participation Research Center: Collaborative Research: Center for Research on Identity and Motivation of African American Students in STEM,NSF,POLITICAL,"The term ""barriers"" refers to factors hindering the broadening of participation of African American students in STEM, which directly relates to social equity and access, indicating a political context.
"
5,barriers,"education at unprecedented rates but are enrolling in stem programs at lower rates than their peers. this gap may be partially explained through factors such as the lack of hispanic representation among stem professionals and faculty, a lack of awareness about stem careers, and persistent financial barriers. this pilot project at lehigh carbon community college in pennsylvania will introduce hispanic students to stem fields and careers through the aspira stem track, offering hands-on activities, guest speakers, group discussions, and peer mentoring. through this work, the college will explore the impa",Investigating STEM Identity and Belonging Among STEM-Interested Hispanic Students Participating in a First-Year Experience Course,NSF,POLITICAL,"The term ""financial barriers"" in this context refers to systemic inequalities that disproportionately affect Hispanic students' access to STEM education, which falls under a social and political context.
"
6,barriers,"se significant morbidity and mortality across the world. characterized by crowded detention facilities and limited medical safety resources, us criminal legal settings (cls) have experienced some of the largest covid-19 outbreaks. persons involved with cls (pcls) additionally experience significant barriers to health care upon release, and often return to environments impacted by syndemic factors rooted in structural racism: lower vaccine access, fewer testing facilities, medical mistrust, and higher covid-19 prevalence. a complex interplay between individual and social network-level factors may be dr",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,POLITICAL,"The term ""barriers"" refers to systemic obstacles preventing access to healthcare for individuals involved with the criminal legal system, which is rooted in social and structural issues like racism and inequities in resource distribution. This aligns with a political context focused on social justice and health equity.
"
7,barriers,"orders through comprehensive integrated care delivery. it further can transform the adolescent, health department and ryan white care settings serving yblmsm through harmonization of prep, hiv and su treatment care delivery and implementation of a collaborative care model to address the multi-level barriers that impede uptake and adherence. aids prevention, address, adherence, adolescent, alcohol consumption, alcohols, anal sex, anti-retroviral agents, baltimore, black race, cannabis, caring, communication impairment, county, decision making, eligibility determination, epidemic, feedback, geography, g","The Collaborative Care PrTNER (Prevention, Treatment, Navigation,Engagement, Resource) Project",NIH,SCIENTIFIC,"The term 'barriers' refers to multi-level factors hindering the uptake and adherence to healthcare interventions (PrEP, HIV, and substance use treatment). This is a scientific context related to healthcare implementation and outcomes.
"
8,barriers,"ences engineering faculty members. this partnership will be evaluated formatively and summatively by an external evaluator and project oversight advisory committee.    the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions.  organizational barriers that inhibit equity may exist in policies, processes, practices, and the organizational culture and climate.  advance ""partnership"" awards provide support for the adaptation and ","ADVANCE Partnership. A Proactive Approach to the Recruitment, Retention and Advancement of Women in the Academy Grounded in Intersectionality",NSF,POLITICAL,"The text discusses gender equity, participation, and advancement of diverse faculty, which are issues related to social and political structures within academic institutions. The term ""organizational barriers"" refers to systemic obstacles hindering equality, aligning with a political context.
"
9,barriers,"uggests they experience a disproportionate cancer burden, with tobacco being a leading cause of preventable disease and death among sgm groups.7–12 sgm and non-sgm individuals share a similar desire to quit smoking27 and awareness of evidence-based cessation methods,28 thus motivation and knowledge barriers are not likely driving smoking disparities. sgm people have expressed a preference for sgm-tailored smoking cessation assistance, 29 which currently does not take a dyadic approach. among individuals with sgm identities, there is variability in smoking behavior and cessation outcomes. understanding","Randomized Controlled Trial of Dyadic Financial Incentive Treatment for Dual Smoker Couples: Evaluation of Efficacy, Mechanisms, and Cost Effectiveness",NIH,SCIENTIFIC,"The text discusses smoking cessation and health disparities, implying 'motivation and knowledge barriers' are factors impacting behavior and outcomes within a specific population group. This aligns with a scientific investigation of factors affecting health outcomes.
"
10,barriers,"fw-htf-r:  collaborative research: virtual meeting support for enhanced well-being and equity for game developers the covid-19 pandemic ushered in a new era of remote work, highlighting barriers to well-being, equity, and inclusion. virtual meeting fatigue, the exhaustion that occurs after long periods of videoconferencing, has been identified as especially harmful to women and people of color, compounding common face-to-face inequities like unequal talking time and interruptions in meetin",FW-HTF-R:  Collaborative Research: Virtual Meeting Support for Enhanced Well-Being and Equity for Game Developers,NSF,POLITICAL,"The term 'barriers' refers to obstacles to well-being, equity, and inclusion, which are concepts strongly tied to social and political discourse, particularly concerning workplace dynamics and disparities experienced by specific demographic groups (women and people of color).
"
11,barriers,"cieties, high-status individuals are unwilling to learn from low-status individuals, even if doing so improves their work performance. the researchers test this theory on workers in six knitwear firms using two well-designed field experiments. the research will improve our understanding of possible barriers to productivity growth and career advancement of low-social status workers. the results of this research will contribute to the development of policies to increase the adoption of new technologies, improve productivity, economic growth and the well-being of people in low-income settings. the resear",Social Norms and Firm Productivity: Evidence from Knitwear Factories,NSF,SCIENTIFIC,"The term 'barriers' refers to factors hindering productivity growth and career advancement, which are measurable and analyzable aspects of work performance in the context of the study on knitwear factories.
"
12,barriers,"graduate programs. the central hypothesis is that intersectional experiences of marginalization and the stem environment among black doctoral students impact mental health and career trajectory decisions. the project aims to understand the contributors and deterrents for faculty to address systemic barriers. a nationwide sampling strategy will include representation from historically black colleges and universities (hbcus), predominately white institutions (pwis), and minority-serving institutions (msis). the project aims to match critical identity aspects in the interviewer-interviewee pairing within",Collaborative Research: What Black Doctoral Students in STEM Want and What Their Faculty are Giving: How the Differences Impact Students’ Mental Health and Career Trajectory,NSF,POLITICAL,"The term ""systemic barriers"" refers to obstacles rooted in social and institutional structures that disadvantage certain groups, aligning with a political and social justice context related to equity and inclusion in STEM.
"
13,barriers,"go school of professional psychology community. the project is expected to add to our understanding of stem faculty equity issues at urban specialized institutions.    the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions. organizational barriers that inhibit equity may exist in policies, processes, practices, and the organizational culture and climate. advance ""catalyst"" awards provide support for institutional equity ass",The Chicago School ADVANCE Catalyst Program,NSF,POLITICAL,"The term ""barriers"" refers to organizational obstacles hindering equity and the full participation of diverse faculty, which falls under social and political considerations related to gender equity and inclusion in academic institutions.
"
14,barriers," academic community; and (3) enhance understanding and awareness of cer research and its value to the enve discipline and society, especially as conducted by urmwf.    the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions.  organizational barriers that inhibit equity may exist in policies, processes, practices, and the organizational culture and climate.  advance ""partnership"" awards provide support for the adaptation and ",ADVANCE Partnership: Strategic Partnership for Alignment of Community Engagement in STEM (SPACES),NSF,POLITICAL,"The text discusses ""organizational barriers that impede the full participation and advancement of diverse faculty,"" indicating a focus on social equity and inclusion within academic institutions, which aligns with a political context.
"
15,barriers,"ving brothers (bsb) intervention. objective 3 includes didactic and hands-on training on how to scientifically adapt hiv behavioral interventions using validated frameworks, such as intervention mapping. aim 2 is to adapt the bsb intervention to include rapid testing and prep, to address structural barriers, and to be acceptable to black ymsm in alabama. objective 4 includes comprehensive training and mentoring in the field of implementation science. aim 3, which concludes the proposed research study and k01 project, is to conduct a hybrid type 1 effectiveness-implementation pilot study of the adapted","COVID-19 Administrative Supplement to K01: Adapting, Pilot Testing a Behavioral Intervention to Incorporate Advances in HIV Prevention for Black Young MSM in Alabama",NIH,POLITICAL,"""Structural barriers"" in the context of HIV prevention among Black young MSM refers to systemic and societal factors that hinder access to testing and PrEP. These barriers often relate to social determinants of health, inequality, and discrimination, which are inherently political in nature.
"
16,barriers,"a national academies consensus study examining workplace barriers, solutions, and policies for stem and stem education professionals and postsecondary students with disabilities the national academies are conducting a consensus study with the purpose of identifying and examining stem and stem education workplace and postsecondary training setting barriers, soluti","A National Academies Consensus Study Examining Workplace Barriers, Solutions, and Policies for STEM and STEM Education Professionals and Postsecondary Students with Disabilities",NSF,POLITICAL,"The term 'barriers' refers to obstacles faced by individuals with disabilities in STEM fields, which has strong social and political implications related to accessibility, equity, and inclusion.
"
17,barriers,"h these identities. this project will create a consortium of emerging pre-service programs across the pacific northwest to address, strengthen, and mature computer science teaching pathways in four ways: 1) organizing and sharing information about teaching pathways, 2) identifying and resolving key barriers to pathways that aspiring teachers face, 3) supporting computers science teacher community building in partnership with new and existing computer science teachers association chapters, and 4) supporting administrative leaders who manage and grow these pathways.     the csforall high school strand p","Collaborative Research: An Equitable, Justice-Focused Ecosystem for Pacific Northwest Secondary CS Teaching",NSF,POLITICAL,"The term ""barriers"" refers to obstacles faced by aspiring teachers, relating to social and educational equity, aligning with a political context focused on justice and access.
"
18,barriers,"erences, market perceptions, and institutional strengths and (2) fundmatch, an online platform using sblpp data to match entrepreneurs with lenders aligned to their financing needs and preferences, reducing search frictions. fundmatch enables field experiments identifying and addressing demand-side barriers like borrower discouragement. this researcher-entrepreneur-lender nexus yields actionable insights to foster inclusive entrepreneurial ecosystems and drive equitable economic development across regions.    this award reflects nsf's statutory mission and has been deemed worthy of support through eva",Collaborative Research: A Multi-faceted Analysis of Small Business Lending Dynamics,NSF,SCIENTIFIC,"The term ""barriers"" refers to demand-side barriers like borrower discouragement, which is a concept being investigated through field experiments within the context of small business lending dynamics. This falls under a technical/scientific understanding of economic behavior.
"
19,barriers,"mentation, public health, qualifying, reach  effectiveness  adoption  implementation  and maintenance, research, research personnel, resources, self efficacy, services, speed, taxonomy, testing, trust, work, behavior change, dashboard, evidence base, experience, follow up assessment, implementation barriers, implementation determinants, implementation outcomes, implementation research, implementation science, implementation strategy, improved, inclusion criteria, innovation, men who have sex with men, migration, novel, patient navigation, peer, pre-exposure prophylaxis, research to practice, response,","Leveraging a Strategic Alliance of Community-Based Implementers and Researchers to Characterize, Protocolize, and Scale Up Local Implementation Strategies for Ending the HIV Epidemic among Latino MSM",NIH,SCIENTIFIC,"The phrase ""implementation barriers"" is listed among other implementation science and research terms, indicating a technical, scientific context related to research methodology and evaluation.
"
20,barriers,"seeks to (a) quantify the participation of people of color and members of historically marginalized populations in the production of science, (b) elucidate their role in propelling intellectual innovations, and (c) understand how the distribution of labor and composition of scientific teams creates barriers and pathways to their scientific success. the project will support the mission of open science, by making the algorithms and publications openly available to propel this area of research. finally, the pi team will recruit a cohort of a dozen student fellows from a variety of disciplines and countri",Collaborative Research: SBP: Scientific topics and careers at the intersection: an algorithmic approach,NSF,POLITICAL,"The term 'barriers' is used in the context of understanding how the distribution of labor and composition of scientific teams hinders the scientific success of people of color and members of historically marginalized populations. This refers to social and political inequities, not a technical or scientific obstacle within the scientific field itself.
"
21,barriers,"serve as the first line of defense, helping individuals to listen to their bodies to understand what they can control, and also when it's time to seek professional advice. each resource is further supported by teacher guides, curriculum and student readings. this transmedia approach facilitates low barriers to use and ease of entry through different modalities maximizing utility for the teacher or home schooler. achievement, address, age, android, anxiety, attitude, biology, brain, covid-19, covid-19 pandemic, cessation of life, child, collection, common core, companions, computer software, confusion,","Partnerships for Prevention: A plan for managing student stress, anxiety, and pain through interactive media.",NIH,SCIENTIFIC,"The text discusses ""low barriers to use"" in the context of educational resources. This refers to the ease with which teachers and students can access and utilize the materials, making it a practical and functional consideration related to the design and implementation of the intervention. Therefore, it falls under a scientific context related to the study's methodology and potential effectiveness.
"
22,barriers,"uated in the final year of the project, which will help improve the toolkit for other institutions and identify implementation issues that may need to be addressed.    the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions.  organizational barriers that inhibit equity may exist in policies, processes, practices, and the organizational culture and climate.  advance ""partnership"" awards provide support for the adaptation and ",Collaborative Research: ADVANCE PARTNERSHIP: STEM Intersectional Equity in Departments (SIEDS): A Partnership for Inclusive Work Cultures,NSF,POLITICAL,"The term ""barriers"" refers to organizational obstacles that impede the full participation and advancement of diverse faculty, which aligns with social equity and inclusion, and therefore falls under a political context.
"
23,barriers,"ender men, (2) sexual minority cisgender women, and (3) transgender and gender non-binary cancer patients - into cancer research studies. we have three specific aims. in aim 1, we will document, in depth, sgm’s attitudes towards participating in nih cancer research, identifying the facilitators and barriers that each group reports influences their willingness to participate. we will also investigate any impact poor cancer care and discrimination has on research participation. we will investigate these in cisgender sm men, cisgender sm women and gender minority cancer patients (n=15 per group) and comp",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,SCIENTIFIC,"The term ""barriers"" refers to factors that impede or hinder the participation of sexual and gender minority (SGM) cancer patients in cancer research studies. This aligns with a scientific investigation aimed at identifying and understanding these obstacles.
"
24,barriers,"ural hazards. however, the number of graduates and students pursuing geosciences is not sufficient to meet the demand for geoscience expertise in the economy.  while geoscience degrees can provide students with significant opportunities to learn and practice workforce-relevant skills, many systemic barriers prevent equal participation, exacerbating the gap in the geoscience workforce. through intentional professional development, the cultural change in geoscience (c-change) project will create a corps of faculty change agents empowered to make successive, incremental changes that will lead to positive",Collaborative Research: Cultural Change in Geoscience (C-ChanGe): Transforming Departmental Culture through Faculty Agents of Change,NSF,POLITICAL,"The context refers to ""systemic barriers"" preventing ""equal participation"" in geosciences, which relates to social equity and inclusion, aligning with a political/social context.
"
25,barriers,"d in the community. knoxville deals with social and technological challenges. these challenges drive racial and ethnic health and wealth inequality. these challenges have been made worse by covid-19. racial and ethnic income inequality is high in knoxville. knoxville faces geographical and economic barriers to infrastructure development and maintenance. these have created a transportation system dominated by automobiles. there is a clear digital divide based on race, income, and rural vs. urban. the project will engage traditionally underrepresented populations. it will create a collaborative team str",SCC-PG: Equitable and Ubiquitous Converged Data & Transportation Services for Underserved Communities,NSF,POLITICAL,"The text discusses inequalities and challenges faced by underserved communities due to geographical and economic barriers. This relates to social and political structures impacting infrastructure development.
"
