id,term,context,title,agency,classification,explanation
1,belong,"stem graduates from underserved groups of students such as hispanic, female, low-income, and first generation. the project will introduce important stem knowledge and skills plus other academic support (tutoring and mentoring), in addition to video project assignments, to improve students’ sense of belonging, confidence, and identity with stem disciplines. consequently, this programming will lead to enhanced minority stem students’ academic performance and progress toward timely graduation.  through professional formation experiences, this project will prepare students to graduate and work in critic",Building Capacity: An Undergraduate STEM-Enrichment Program in Texas,NSF,POLITICAL,"The term ""belonging"" is used in the context of improving the sense of identity and connection of underserved student groups with STEM disciplines. This relates to social equity and inclusion, indicating a political usage rather than a purely scientific one.
"
2,belong,"e communities of learners, scientists and practitioners to solve urgent problems in ecology, conservation and environmental justice.     a recent diversity assessment conducted by the american ornithological society revealed that many members from historically excluded groups feel a weaker sense of belonging, feel that their voices are not heard, and that they are not valued. these components comprise key elements of transformative resilience: a framework for not only increasing the persistence of individuals from marginalized groups, but to create paths for institutional transformation. this projec",Collaborative Research: DESIGN: Co-creation of affinity groups to facilitate diverse & inclusive ornithological societies,NSF,POLITICAL,"The term ""belonging"" is used in the context of diversity, inclusion, and historically excluded groups within a social and organizational framework, making it a political usage.
"
3,belong,"ombination of issues forms a crisis in social justice, contributes to rising inequality, and hinders creativity and innovation needed in the environmental and climate workforce. the project leaders will create the wing collective, a women of color in the geosciences network that provides community, belonging, access, advocacy, and resources to overcome the obstacles to their success. initially, the wing collective will focus on the university of california and survey the experiences of woc in the geosciences. then, the principal investigators will design and implement a workshop to provide professio",Planning Grant: Collaborative Research: The WinG Collective: An initiative to support Women of Color in the Geosciences,NSF,POLITICAL,"The term 'belonging' is used in the context of social justice, community, and supporting a specific demographic group (Women of Color in the Geosciences). This points to a usage focused on social identity and inclusion, making it a political context.
"
4,belong,"storically marginalized scholars helps create a more just society. the spark society partners with several national conferences for cognitive scientists, allowing for community building for historically marginalized scholars and providing mentoring wherever they are located. this creates a sense of belonging and has the potential to reduce feelings of isolation that drive historically marginalized learners and researchers away from the field.    the mentorship model is supplemented by evaluative measures, including analyses of phd programs. understanding how changes in graduate program recruitment a",SPARKing Representation in Cognitive Science,NSF,POLITICAL,"The term 'belonging' is used in the context of fostering inclusion and reducing isolation for historically marginalized scholars, which aligns with social justice and equity concerns.
"
5,belong,"(public law 117-2).    children divide the world into groups in various ways, including race and gender. the way children represent these groups in their minds often serves as the basis for negative outcomes such as stereotyping and biased behavior. however, the people children interact with do not belong to only one group; they are simultaneously part of multiple groups. this perspective is not often recognized, and even more rarely adopted in prior research. recognizing and incorporating this perspective in research is important because it illuminates unique forms of bias faced by people who have ",RUI: Mechanisms Underlying the Development of Social Categorization,NSF,POLITICAL,"The term 'belong' is used in the context of social groups and identity (""people children interact with do not belong to only one group; they are simultaneously part of multiple groups""), which falls under the realm of social and political identity.
"
6,belong,"ments are not only capable of engaging in these issues and improving the mathematics experiences for students from underrepresented populations but are significantly well-positioned to do so because of the elevated role that mathematics plays in students’ stem careers, stem identities, and sense of belonging in the classroom.    this project builds on the strength of two prior national studies of introductory mathematics programs, progress through calculus and student engagement in mathematics through an institutional network for active learning. researchers can leverage this existing body of quanti",Achieving Critical Transformations in Undergraduate Programs in Mathematics (ACT UP Math),NSF,POLITICAL,"The term ""sense of belonging"" relates to social and identity-based experiences, particularly within the context of underrepresented populations.
"
7,belong,d across a network of minority-serving institutions in the us southwest.     this project will holistically support diverse scholars by increasing institutional capacity for inclusive mentorship and research through training and workshops; create near-peer networking opportunities to promote social belonging; and develop equitable and substantive local professional partnerships. this will lay the groundwork for a full program implementation that would support year-long programming for two cohorts at critical career transition points: from bachelors to graduate studies or professional career (post-ba,Planning grant: Expanding academic Careers through Inclusive Transitions in Environmental Science,NSF,POLITICAL,"The term 'social belonging' in this context refers to the social and emotional connections and acceptance of diverse scholars within a community. This aligns with a focus on inclusivity and equity, which are social and political concerns.
"
8,belong,tely categorize sex and gender as binary. the oversimplification of sex and gender into binary categories can make biology classrooms particularly challenging for tng students. early data suggest that how sex and gender topics are represented in the biology curriculum impacts tng students’ sense of belonging and interest in biology. understanding tng students’ experiences with biology content will support the design of interventions and curriculum inclusive of both tng and intersex students. this project will also help all biology students develop inclusive and scientifically accurate understandings,"Collaborative Research: A qualitative inquiry into sex/gender narratives in undergraduate biology and their impacts on transgender, non-binary, and gender non-conforming students",NSF,POLITICAL,"The term 'belonging' refers to a sense of social inclusion and acceptance, particularly within a specific community (biology students). This aligns with social and identity-related concerns, indicating a political usage in the context of inclusivity and representation.
"
9,belong,"ll host project blogs and deliverables, and a formalized governance model that includes steering and review committees with rotating members designed to balance experience with new engagement. assessment and evaluation activities will provide formative feedback to shape the initiative over its arc. belonging, accessibility, justice, equity, diversity, and inclusivity are infused throughout all activities, and outcomes of diverse participation will be sought via inclusive and accessible practices that also promote a sense of connection and belonging in the community.    this award reflects nsf's stat",Collaborative Research: Human Infrastructure for a National Geochronology Consortium: Micro-Funding an Inclusive Community Grassroot Effort to Better Understand the Earth System,NSF,POLITICAL,"The term 'belonging' is used in the context of inclusivity, diversity, equity, and justice, which are concepts central to social and political discussions. It refers to fostering a sense of community and acceptance, not to a scientific concept or technical term.
"
10,belong," middle school girls’ interest in computing careers. these theories and design principles will be iteratively developed and tested in conjunction with the afterschool social robotics program. mixed methods research will identify key mechanisms that positively influence youths’ experiences, sense of belonging, and interest in computing and computing careers. specifically, the project team will analyze surveys that explore youths’ interest in computing and computing careers; transcripts of interviews with the youth and their mentors; videos of the participatory sessions during which women and girls co",MyTurn: An Afterschool Social Robotics Program to Promote Interest in Computing Among Middle School Students,NSF,POLITICAL,"The term ""sense of belonging"" relates to social identity and inclusion, especially within the context of encouraging girls' participation in computing careers.
"
11,belong,"ree institutions this project will address several aspects of the racial inequities often faced by black undergraduate students in the field of computer science research, such as access to capital (social and economic), research topics relevant to their experience, hidden curriculum, and threats to belonging. it will tackle systemic barriers through a research support network for black undergraduates attending two historically black colleges and universities (hbcus; howard university and johnson c. smith university) and one predominantly white institution (pwi; university of north carolina charlotte","Collaborative Research: Black Research Support Network: Studying Change By, With, and For Black Undergraduate Computer Science Faculty & Students at Three Institutions",NSF,POLITICAL,"The term ""belonging"" in this context refers to the social and emotional experience of feeling accepted, included, and valued, particularly within the context of racial inequities in computer science. This aligns with a social and identity context related to the experiences of Black students.
"
12,belong,"when encountered on a regular basis. research shows that microaggressions are linked to decreased well-being, mental health, and physical health. students experiencing racial stressors in academic environments, including microaggressions, experience lower rates of academic engagement, institutional belonging, persistence, and academic efficacy. the project objective is to use design-based research to develop a tool for countering racial microaggressions in stem.     through an iterative process, the project will generate a tool distinct from other anti-bias interventions and grounded in psychologica",Using Iterative Design to Develop a Visual Tool to Promote Inclusivity in STEM Environment,NSF,POLITICAL,"The term ""belonging"" in ""institutional belonging"" refers to a sense of social inclusion and acceptance within the institution, which is a concept tied to social and political dimensions of identity and equity.
"
13,belong,"ll be shared broadly though a co-written blog series.    this partnership development & planning project is funded by the advancing informal stem learning (aisl) program, which supports projects that: (a) contribute to research and practice that considers informal stem learning's role in equity and belonging in stem; (b) promote personal and educational success in stem; (c) advance public engagement in scientific discovery; (d) foster interest in stem careers; (e) create and enhance the theoretical and empirical foundations for effective informal stem learning; (f) improve community vibrancy; and/or","Acknowledging and Shifting the Dynamics of Power: Building Equitable Partnerships Among Informal STEM Learning Practitioners, Researchers, and Communities",NSF,POLITICAL,"The term ""belonging"" is used in the context of equity in STEM, which relates to social justice and inclusion, reflecting a political or social agenda rather than a purely scientific one.
"
14,belong,"race multiple ways of knowing without compromising their cultural identities.     this synthesis project is funded by the advancing informal stem learning (aisl) program, which supports projects that: (a) contribute to research and practice that considers informal stem learning's role in equity and belonging in stem; (b) promote personal and educational success in stem; (c) advance public engagement in scientific discovery; (d) foster interest in stem careers; (e) create and enhance the theoretical and empirical foundations for effective informal stem learning; (f) improve community vibrancy; and/or",The Cultural Roots of STEM: A Synthesis of Non-Western STEM Learning Paradigms,NSF,POLITICAL,"The term 'belonging' is used in the context of equity in STEM, which relates to social and political issues concerning inclusion and identity.
"
15,belong,"lopment and implementation of academic policies that mitigate workload imbalance and reward invisible service, and 3) enhancing peer support mechanisms by revising and bolstering extant services that prioritize professional development and collaborative mentorship for faculty identities to increase belonging and scholarship productivity in stem. the peer project will support the full inclusion of all women and historically underrepresented stem faculty and will disassemble institutional barriers in academia. the project will have a major impact on the teaching and research infrastructures at nsc by ",ADVANCE Adaptation: Nevada State College - Pursuing Equity to Enhance Retention (PEER),NSF,POLITICAL,"The term 'belonging' is used in the context of increasing inclusion, supporting underrepresented groups, and addressing institutional barriers, all of which relate to social equity and identity politics within academia.
"
16,belong,"ll host project blogs and deliverables, and a formalized governance model that includes steering and review committees with rotating members designed to balance experience with new engagement. assessment and evaluation activities will provide formative feedback to shape the initiative over its arc. belonging, accessibility, justice, equity, diversity, and inclusivity are infused throughout all activities, and outcomes of diverse participation will be sought via inclusive and accessible practices that also promote a sense of connection and belonging in the community.    this award reflects nsf's stat",Collaborative Research: Human Infrastructure for a National Geochronology Consortium: Micro-funding an inclusive community grassroot effort to better understand the earth system,NSF,POLITICAL,"The term 'belonging' is used in the context of inclusivity, equity, diversity, and justice, which are social and political concepts related to community building and participation.
"
17,belong,"types around who can do stem are one of the sociocultural barriers that contributes to girls’ loss of interest in stem. these stereotypes emerge early and steer young women away from stem studies and pursuits. exposing girls to role models is an effective strategy for challenging stereotypes of who belongs and succeeds in stem. this project will explore how an afterschool program that combines narrative and storytelling approaches, stem role models, and family supports, sparks elementary-age girls’ interest in stem and fosters their stem identity. the project targets k-5 students and families from u",Breaking Stereotypes through Culturally Relevant Storytelling: Optimizing Out-of-school Time STEM Experiences for Elementary-Age Girls to Strengthen their STEM Interest Pathways,NSF,POLITICAL,"The term 'belongs' refers to social inclusion and identity within the context of STEM, which is a socio-political issue. The text addresses stereotypes and barriers that prevent certain groups (girls) from participating in STEM, indicating a discussion about social equity and access.
"
