id,term,context,title,agency,classification,explanation
1,bias,"ctor actors to address 3 synergistic overall aims. in aim 1, we will implement a unified, community-driven research program that will: project 1) develop and implement novel artificial intelligence risk prediction models and a resulting clinical decision support system for smm, accounting for sdoh, bias and fairness. project 2) conduct a type 1 hybrid effectiveness-implementation trial of a novel doula-delivered cognitive behavioral therapy program holistically designed to address cv, mh, and sdoh outcomes during postpartum; build trauma-informed and empowerment-based service delivery models; and ",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,SCIENTIFIC,"The text mentions accounting for ""bias and fairness"" in the development of AI risk prediction models, which is a technical consideration within the context of machine learning and algorithm development.
"
2,bias," data collection to complete the following research aims: (aim 1.1) estimate developmental trends in the prevalence of au/m across groups defined by (1.1a) sexual orientation, gender identity and (1.1b) the intersections of these identities with race/ethnicity; (aim 1.2) examine the extent to which bias-based bullying and perceived harm of alcohol use attenuate differences in developmental trends of au/m across groups defined by (1.2a) sexual orientation, gender identity and (1.2b) the intersections of these identities with race/ethnicity; and (2) explore how sgm-specific and normative adolescent ","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,POLITICAL,"The term ""bias-based bullying"" refers to prejudice and discrimination based on sexual orientation, gender identity, race, and ethnicity, which falls under social and political contexts.
"
3,bias," data collection to complete the following research aims: (aim 1.1) estimate developmental trends in the prevalence of au/m across groups defined by (1.1a) sexual orientation, gender identity and (1.1b) the intersections of these identities with race/ethnicity; (aim 1.2) examine the extent to which bias-based bullying and perceived harm of alcohol use attenuate differences in developmental trends of au/m across groups defined by (1.2a) sexual orientation, gender identity and (1.2b) the intersections of these identities with race/ethnicity; and (2) explore how sgm-specific and normative adolescent ","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,POLITICAL,"The phrase ""bias-based bullying"" directly refers to prejudice and discrimination based on identity, a social and political issue.
"
4,bias,"ntrol, with oakland, ca as the intervention group and chicago, il as the control. assessments will be conducted at -3 and 0 mos., and follow-ups at 3, 6, and 12 mos. participants (n=360; n=180 per city) will be recruited using time-location sampling (a venue-based sampling designed to reduce sample bias). hls, the intervention at the heart of this study, offers several novel features: it focuses on immigrant, spanish- speaking populations; it addresses racism and homophobia as factors shaping hiv risk; and uses a community-based approach centered on community involvement (e.g., civic participation",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,SCIENTIFIC,"The term ""sample bias"" refers to a systematic error in the sampling process that leads to a non-representative sample. This is a standard statistical/scientific concept.
"
5,bias,"tudy 1, we will convene focus groups (n = 60) to inductively gather insights about ymsm's preferred (and avoided) messaging strategies. study 2 (n = 600) and study 3 (n = 75) will be randomized experiments in which ymsm browse a mock internet search results page for information about prep. to avoid biases associated with self-reported message engagement, studies 2 and 3 will unobtrusively track browsing behaviors (e.g., clicks). study 3 will also include the collection of visual behavior data via mobile recruitment methods. findings will provide actionable guidance for practitioners about the prep",Enhancing Engagement with Online Health Messaging about Oral and Injectable PrEP Among Young-Adult MSM,NIH,SCIENTIFIC,"The term 'biases' refers to systematic errors that can affect the validity of research findings, specifically related to self-reporting.
"
6,bias,"evel combination hiv prevention interventions and scale-up among tw to simulate the impact of evaluated interventions on hiv incidence through 2030, corresponding to the national hiv strategy. there is a need to refine and evaluate hybrid digital cohort models with attention to mitigating selection bias and attrition of vulnerable populations – an area of research particularly important for an epidemic underscored by social and health disparities. our explicit efforts to develop a hybrid cohort model center on equity to support research participation across diverse populations and provide represen",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,SCIENTIFIC,"The text discusses selection bias and attrition in the context of cohort studies, which are scientific methodologies. Mitigating these biases is crucial for obtaining accurate and reliable research results.
"
7,bias,"unbiased: understanding biased patient-provider interaction and supporting enhanced discourse project summary/abstract this project addresses health disparities by investigating a novel computational approach that makes implicit, thus hidden, bias visible. healthcare bias, based on patients’ race, gender,",UnBIASED: Understanding Biased patient-provider Interaction And Supporting Enhanced Discourse,NIH,POLITICAL,"The text explicitly mentions ""health disparities"" and ""patients' race, gender,"" indicating a focus on social and political aspects of bias in healthcare.
"
8,bias,"isparity, early intervention, effectiveness, equity, feeling suicidal, general population, goals, health services, heterosexuals, intervention, justice, lesbian gay bisexual, lived experience, manuals, mental health, mental health services, modeling, national institute of mental health, outcome, phobias, population, procedures, process, protocols documentation, provider, public health, quasi-experiment, reporting, research, resources, risk, risk factors, safety, science, service delivery model, service setting, services, sexual and gender minorities, site, specialist, strategic planning, structure",Youth Empowerment and Safety Intervention for Systems-involved Sexual and Gender Minority Youth at Risk of Suicide,NIH,POLITICAL,"The grant focuses on ""sexual and gender minorities,"" ""equity,"" and addressing disparities in ""mental health services."" These terms indicate the grant aims to address social inequalities and promote fair treatment, aligning with a political context focused on identity and social justice.
"
9,bias,"300 adults aged 15-49 will be supplemented with data from hard-to-reach (htr), an embedded study within the rccs that captures hiv outcomes and mobility patterns among 2,000 individuals who have been lost to follow-up (ltfu) in the rccs. this presents a unique opportunity to assess the missing data biases introduced by population mobility in open, dynamic cohorts. each specific aim will use the full extent of the available data, including longitudinal hiv biomarkers and detailed contact investigations conducted among hiv incident cases and their hiv-negative matched controls. training. ms. khalifa","Applying a multidimensional measure of human mobility to understand drivers of HIV incidence in Rakai, Uganda",NIH,SCIENTIFIC,"The text discusses ""missing data biases"" which is a statistical and methodological concern in research, specifically related to how population mobility affects the representativeness of the cohort. This clearly falls under a technical/scientific context.
"
10,bias,"itions of racist behavior, ade- quate training and monitoring systems, and prompt responses for constructive redress) to reduce srd and increase race-based equity for bipoc patients and provider/staff, and 2) deliver race-specific trainings to all staff (e.g., history of srd, health consequences of bias and discrimination, cultural humility, intersectional dis- crimination at the confluence of race, ethnicity, sexuality and gender). each cluster will receive the intervention for 6 mos, starting with cluster group 1 (mos 13-18), followed by cluster groups 2 (mos 19-24) and 3 (mos 25-30). in aim 3, ",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"The text refers to ""health consequences of bias and discrimination"" and aims to reduce ""structural racism and discrimination,"" indicating a focus on social, political, and identity-related aspects of bias.
"
11,bias,"der to address gaps in the literature i will 1) carryout a mediation analysis using a multilevel model across two time points (2003, 2010) to examine the direct and indirect effects of residential segregation on depressive symptoms through individual-level nsc and np (aim 1). to address same source bias in using individual-level nsc and np as mediators, a cross-sectional (2010) multilevel model will be used to examine the direct and indirect effects of residential segregation on depressive symptoms using neighborhood-level measures of nsc and np (aim 2). multilevel models will also be employed to ","Neighborhood Social Environment, Composition and Depression in Latinx",NIH,SCIENTIFIC,"The term ""same source bias"" refers to a statistical issue arising from using the same source of data for both predictor and outcome variables, potentially leading to inflated or spurious correlations. This is a technical concept within statistical modeling and research design.
"
12,bias,"d increased commitment to diversity in multiple ways, including hiring uofsc’s first black/african american provost and elevating the chief diversity officer to the level of a vice president. these efforts reflect uofsc’s campaign to identify and remove factors supporting systemic racism and gender-bias across all campus endeavors. in response to rfa-rm-21-025, we have developed the faculty initiative for improved recruitment, retention & experience (fiirre) using a systems science informed multi-level approach. fiirre aims to: (1) develop, cultivate, and implement institutional programs and pract","Faculty Initiative for Improved Recruitment, Retention, and Experience (FIIRRE)",NIH,POLITICAL,"The term ""gender-bias"" is used in the context of systemic racism and diversity initiatives, indicating a social and political concern about fairness and equity.
"
13,bias,"ties. to date, measures of structural racism have been limited in a number of ways: first, our preliminary data revealed that blacks and whites interpret social indicators collected at the individual level differently for reasons other than those intended by the measure. that difference indicates a bias operationalized by the lack of measurement invariance (or equivalence). second, existing measures are overly focused on a single population—blacks—and overlook the hispanic/latino population, which is expected to be 21% of the u.s. population by 2030. third, current indices based on individual- and","Assessing intersectional, multilevel and multidimensional structural racism for English- and Spanish-speaking populations in the US",NIH,SCIENTIFIC,"The term ""bias"" is used in the context of measurement invariance and equivalence, which are statistical and psychometric concepts relevant to ensuring the validity and reliability of research instruments. It refers to a systematic error or distortion in measurement, not necessarily a social or political prejudice.
"
