id,term,context,title,agency,classification,explanation
1,bias,"d intervention, expectancy, general population, grant, heterosexuals, hospitals, individual, lesbian gay bisexual, light, machine learning, measures, mental depression, mental health, methods, modeling, monitor, obsessive-compulsive disorder, outcome, participant, patients, performance, persons, phobias, pilot projects, population, prognosis, psychopathology, public health, quality of life, reporting, research, residential treatment, risk, risk factors, role, sampling, severities, sex orientation, statistical methods, stress, symptoms, training, trauma, treatment outcome, work, writing, clinical o",Determining the role of discrimination in clinical presentation and treatment response among sexual minority people with OCD: A machine learning approach,NIH,POLITICAL,"The grant title explicitly mentions ""discrimination,"" indicating that 'bias' would likely be used in the context of social or systemic discrimination impacting clinical presentation and treatment response within a specific population (sexual minority people). Therefore, the usage is related to social identity and inequity, aligning with a political context.
"
2,bias,"reducing racially-biased beliefs by fostering a complex understanding of human genetics research in high-school biology students genetic essentialism is the belief that people of the same race share genes that make them physically, cognitively, and behaviorally uniform, and thus different from other races. the project wi",Reducing Racially-Biased Beliefs by Fostering a Complex Understanding of Human Genetics Research in High-School Biology Students,NSF,POLITICAL,"The grant title and context explicitly mention ""racially-biased beliefs"" and the concept of genetic essentialism as it relates to race, which are inherently social and political issues.
"
3,bias,"statistical and psychometric methods for measuring the extent to which culturally responsive assessments reduce cultural bias this research project will develop a set of statistical tools to analyze data from culturally responsive assessments. culturally responsive assessments have emerged as a potential solution to the concern that standardized assessments perpetuate social injustice through their content, design, and us",Statistical and Psychometric Methods for Measuring the Extent to Which Culturally Responsive Assessments Reduce Cultural Bias,NSF,AMBIGUOUS,". The grant focuses on statistical and psychometric methods to measure and reduce cultural bias in assessments, indicating a technical and scientific usage.
"
4,bias,"at can project population-level trends. early serosurveys using convenience samples of the population and serologic assays with variable and often uncertain sensitivity and specificity were heavily criticized, for unrepresentativeness and inadequate accounting for test characteristics, resulting in bias and overconfidence (unduly narrow confidence bounds). aim 1 will develop methods for valid inference of seroprevalence, specifically by (a) accounting for biased sampling, (b) accounting for imperfect tests, and (c) developing and testing a novel approach to snowball sampling employing serologic te","Casual, Statistical and Mathematical Modeling with Serologic Data",NIH,SCIENTIFIC,"The passage discusses statistical bias resulting from unrepresentative samples and inadequate accounting for test characteristics in serosurveys. This is a technical issue related to scientific methodology and data analysis.
"
5,bias,"ty in the stem disciplines.     the project takes a feminist, intersectional approach to examine women’s experience in stem professions, and intends to situate islandness as a mediating variable. methods include the collection and analysis of institutional data, the implementation of a structured unbiased questionnaire, and focus group interviews.  this project will provide uhm with strategic plans for increasing the number of underrepresented, wāhine faculty in the stem fields through modified recruitment, retention, and promotion practices, including revamping the uhm tenure and promotion proces",ADVANCE Catalyst: Advancing kaulike (equity) focusing on STEM intersectional experiences at the University of Hawai‘i at Mānoa.,NSF,SCIENTIFIC,"The text mentions a ""structured unbiased questionnaire,"" indicating an attempt to minimize systematic errors or distortions in data collection, which aligns with a scientific understanding of bias.
"
6,bias,"lop new semi-supervised methods to identify grief, its component emotions and intensity as expressed in different dialects as well as conversational patterns that lead to different resolutions of grief over time. the social work team will perform a qualitative analysis of complex historical trauma, bias, and racism embedded in annotations of social media posts. they will work with community experts to identify the best strategies for deciphering different expressions of emotions that use hyper-local language that is deeply regional, nuanced, and cultural. the linguistics team’s work will advance u",RI: Medium: Automatically Understanding and Identifying Digital Expression of Black Grief,NSF,POLITICAL,"The grant text explicitly mentions ""bias"" within the context of ""complex historical trauma"" and ""racism,"" which are inherently social and political issues.
"
7,bias,"300 adults aged 15-49 will be supplemented with data from hard-to-reach (htr), an embedded study within the rccs that captures hiv outcomes and mobility patterns among 2,000 individuals who have been lost to follow-up (ltfu) in the rccs. this presents a unique opportunity to assess the missing data biases introduced by population mobility in open, dynamic cohorts. each specific aim will use the full extent of the available data, including longitudinal hiv biomarkers and detailed contact investigations conducted among hiv incident cases and their hiv-negative matched controls. training. ms. khalifa","Applying a multidimensional measure of human mobility to understand drivers of HIV incidence in Rakai, Uganda",NIH,SCIENTIFIC,"The text discusses missing data biases introduced by population mobility within a cohort study. This refers to a statistical bias affecting the validity of the research findings, a technical concern within scientific research.
"
8,bias,"l of project sages is to create an environment in which women of all backgrounds and identities can thrive and develop their careers to their fullest potential. to accomplish this goal, project sages seeks to increase the number of women scientists in stem fields through proactive recruitment and unbiased hiring procedures and retain them by creating a climate and culture in which women feel supported, thrive, and advance in their careers from assistant to associate to full professor.     the aims of project sages are threefold: aim 1 seeks to increase the diversity of applicant pools for faculty ",ADVANCE Adaptation: Project SAGES: Striving to Achieve Gender Equity in STEM,NSF,POLITICAL,"The term ""unbiased hiring procedures"" is used in the context of achieving gender equity and increasing the number of women scientists, indicating a focus on social and political goals related to representation and fairness.
"
9,bias,"ifying causes, consequences, and countermeasures for a more inclusive stem workforce to build a more inclusive society, diverse members in our communities must be treated fairly and kindly. however, as evidenced by recent events (e.g., covid-19 pandemic), asian americans and asians in the u.s. face biases from lacking leadership opportunities, receiving little social acceptance and support, to experiencing racialized verbal and physical attacks. these biases occur even in places where asians are well-represented such as stem schools and workplaces. past theory and research have documented several ","SBP: CAREER: Mechanistic Dehumanization of Asians: Identifying Causes, Consequences, and Countermeasures for a More Inclusive STEM Workforce",NSF,POLITICAL,"The term 'biases' refers to discriminatory treatment and lack of opportunities experienced by Asian Americans, which falls within a social, political, and identity context related to fairness and inclusion.
"
10,bias,ep des alliance model team investigates factors that help or hinder urm stem doctoral degree candidates' persistence to degree completion and success in securing postdoctoral or faculty appointments upon graduation.   the research team is also investigating ways that hiring procedures might contain bias that hinders the hiring of urm candidates.  this research will provide valuable insights to advance knowledge about the higher education contexts in which urm stem doctoral degree recipients and postdoctoral researchers compete for faculty positions.    the agep des alliance model institutions are ,The AGEP Data Engineering and Science Alliance Model: Training and Resources to Advance Minority Graduate Students and Postdoctoral Researchers into Faculty Careers,NSF,POLITICAL,"The context refers to ""hiring procedures"" and ""urm candidates,"" indicating that the bias in question relates to social and political factors influencing the underrepresentation of minority groups in faculty positions.
"
11,bias,"odologies, measures, and novel multi-level/multi-modal interventions that address inequities and improve individual and population health outcomes. we will deploy a multi-level and multi-methods evaluative approach guided by critical and intersectionality theories to evaluate nuanced experiences of bias and structural discriminatory practices as well as program successes at the individual, department, mentor, college and university levels of achieving inclusive excellence. our first program is co-led by nationally/internationally recognized leaders in population health, intervention science, mento",Catalyzing Systemic Change at Drexel University to Support Diverse Faculty in Health Disparities Research,NIH,POLITICAL,"The text discusses ""inequities,"" ""structural discriminatory practices,"" and ""inclusive excellence,"" indicating a focus on social and political issues related to diversity and inclusion. The term 'bias' refers to prejudice or unfairness against individuals or groups, placing it within a sociopolitical context rather than a purely scientific one.
"
12,bias,"seholds identified as containing at least one lgbt older adult; and, (4) conduct a controlled randomized field test of in-home versus remote interviewing for the follow-up interviews, using a sequential adaptive design that will permit a robust comparison of response rates, differential nonresponse bias, and costs. the product of this work will be a sampling methodology, screening process, set of measures, and field approach—optimized where appropriate through randomized experiments—tailored to conduct the first ever u.s. national study of lgbt older adults using an address-based probability sampl",Sampling Strategies and Measure Development for the LGBT Aging Project (SAMLAP),NIH,AMBIGUOUS,". The term ""differential nonresponse bias"" refers to a technical concept within sampling methodology and survey research, indicating systematic differences between respondents and non-respondents that can affect the accuracy of study findings.
"
13,bias,"step up for stem and health careers: an intervention to reduce stem-related biases and improve high school stem learning environments project abstract the national institutes of health has a stated commitment to diversifying the national scientific workforce. while diversity has many dimensions, women and underrepresented minorities (i.e., black, latinx, indigenous, and pacific",Step UP for STEM and Health Careers: An Intervention to Reduce STEM-related biases and improve high school STEM learning environments,NIH,POLITICAL,"The context explicitly links the reduction of ""STEM-related biases"" to the National Institutes of Health's commitment to diversifying the national scientific workforce, specifically mentioning women and underrepresented minorities. This frames the concept of bias within a social, political, and identity context.
"
14,bias,"at affect access to higher education are a root cause of racial, gender, and socioeconomic inequalities in science, technology, engineering, and mathematics (stem). particularly given changes to the legal landscape for considering race in admissions, it is urgent to develop tools that reduce racial bias in admissions decisions. more higher education institutions are adopting rubrics in admissions, particularly as test-optional and test-free become the new normal, and research suggests that rubrics reduce k-12 teacher racial bias and improve diversity in faculty hiring. however, there is little evi",Examining the Potential and Limits of Rubrics as Tools for Racial Equity in Graduate Admissions:  A Sequential Mixed-Methods Inquiry,NSF,POLITICAL,"The text discusses racial bias in admissions decisions and its relation to inequalities in STEM and the legal landscape of considering race. This clearly places the usage in a social/political context related to equity and access.
"
15,bias,"t to address this stem broadening participation challenge. also central to ndsa goals is expanding data science research that advocates for social justice and transforming data science discoveries into tangible benefits that advance equity for all. the potential for the perpetuation of harm through biased data technologies and algorithms is well documented. the ndsa establishes a national network of historically black colleges and universities (hbcus) with industry, government, and academic collaborations to apply an equity-centered, collective approach to increase the number of black data science",NSF INCLUDES Alliance: National Data Science Alliance (NDSA),NSF,POLITICAL,"The text discusses ""social justice,"" ""equity,"" and ""harm through biased data technologies and algorithms,"" indicating a focus on social and political implications of bias.
"
16,bias,"career: fair assessments: examining cultural familiarity to decrease bias in engineering classroom assessments test scores are used to inform who gets to pursue and stay in engineering education at every juncture, pre-college through graduate school. the persistent achievement discrepancies between students of color and white undergraduate engineering students are common",CAREER: Fair assessments: Examining Cultural Familiarity to Decrease Bias in Engineering Classroom Assessments,NSF,SCIENTIFIC,"The grant proposal focuses on examining and decreasing bias in engineering classroom assessments, a technical concern related to measurement and evaluation in education.
"
