id,term,context,title,agency,classification,explanation
1,biased,"unbiased: understanding biased patient-provider interaction and supporting enhanced discourse project summary/abstract this project addresses health disparities by investigating a novel computational approach that makes implicit, thus hidden, bias visible. healthcare bias, based on patients’ race, gender, s",UnBIASED: Understanding Biased patient-provider Interaction And Supporting Enhanced Discourse,NIH,POLITICAL,"The text explicitly mentions healthcare bias based on patients' race and gender, which are clearly social and political categories. While the project uses computational methods (which could be considered scientific), the core subject matter and motivation are rooted in addressing disparities and biases within a social/political system.
"
2,biased,"y) to drug-related cues, even after protracted abstinence that leads to an increase in craving and drug-seeking. although cue-reactivity is studied widely in other substance use disorders, its study is scarce in mud and non-existent in msm with mud, creating a critical gap in knowledge needed for unbiased assessment of disease severity and treatment outcomes in this rapidly growing clinical population. therefore, in this bi-phased study, we propose to first identify a psychophysiological marker of methamphetamine cue-reactivity and its incubation with abstinence from methamphetamine use and examine ",Cue Reactivity Modulation in MSM with Methamphetamine Use Disorder,NIH,SCIENTIFIC,"The term 'unbiased assessment' refers to the need for objective and impartial measurement of disease severity and treatment outcomes, a core principle in scientific research.
"
3,biased,"sitivity and specificity were heavily criticized, for unrepresentativeness and inadequate accounting for test characteristics, resulting in bias and overconfidence (unduly narrow confidence bounds). aim 1 will develop methods for valid inference of seroprevalence, specifically by (a) accounting for biased sampling, (b) accounting for imperfect tests, and (c) developing and testing a novel approach to snowball sampling employing serologic tests to enhance outbreak detection and contact tracing. valid comparisons that assess seroprotection—whether, how much, and how long an individual is protected by ","Casual, Statistical and Mathematical Modeling with Serologic Data",NIH,SCIENTIFIC,"The term ""biased"" is used in the context of sampling and statistical inference, referring to systematic errors in data collection or analysis that can lead to inaccurate or misleading results.
"
4,biased,oal of this study is to determine biological mechanisms of covid-19 clinical severity in uganda using a multimodal approach to host immune profiling. we will determine the relationship between soluble immune biomarkers and severe-critical illness among adults with covid-19 in uganda using minimally-biased machine learning methods (aim 1); identify biological pathways and immune cell profiles associated with severe-critical covid-19 in uganda using whole-blood rna sequencing data (aim 2); and integrate biomarker and rna-sequencing data to determine the effect of hiv-infection on innate and adaptive i,Multimodal immune profiling to determine mechanisms of COVID-19 clinical trajectory in Uganda,NIH,SCIENTIFIC,"The term ""biased"" is used in the context of ""minimally-biased machine learning methods,"" which is a technical term within the scientific field of machine learning.
"
5,biased,"nts in the other institution and will undergo faculty development and other program activities as a cohort.   the general approach proposed in this initiative is to combine the experiences and strengths of our two institutions through leveraging existing programs and new initiatives to infuse the unbiased hiring and mentoring of faculty, especially underrepresented minorities, into the fabric of departmental culture and thereby affect institutional change. of primary importance are institutional policies and procedures that codify the importance of a diverse professoriate and provide a sustainable i",University of Maryland FIRST Program,NIH,POLITICAL,"The term ""unbiased hiring"" is used in the context of increasing faculty diversity, particularly among underrepresented minorities. This directly relates to social and political issues of equity and representation.
"
6,biased,"nts in the other institution and will undergo faculty development and other program activities as a cohort.   the general approach proposed in this initiative is to combine the experiences and strengths of our two institutions through leveraging existing programs and new initiatives to infuse the unbiased hiring and mentoring of faculty, especially underrepresented minorities, into the fabric of departmental culture and thereby affect institutional change. of primary importance are institutional policies and procedures that codify the importance of a diverse professoriate and provide a sustainable i",University of Maryland FIRST Program,NIH,POLITICAL,"The term ""unbiased hiring"" relates to social and political goals of diversity and inclusion, specifically focusing on underrepresented minorities in faculty hiring.
"
7,biased,"rin localizes subcellularly, assess for changes in subcellular localization in response to fluid flow, and test for colocalization with pkd2 and calmodulin (aim 2). i will explore the enkurin interactome directly testing the binding of enkurin to pkd2 and calmodulin. i will also use turboid as an unbiased approach to characterize enkurin’s interactome and identify additional binding partners (aim 3). this project will fill a significant knowledge gap in identifying the proteins and processes downstream of cilia that regulate lr patterning. importantly, this work has the potential to directly link pk",The Role of the Adaptor Protein Enkurin in Left-Right Patterning- a Promising Link Between Polycystin-2 and Calcium Signaling,NIH,SCIENTIFIC,"The term ""unbiased"" is used in the context of a scientific method (turboid) to characterize the interactome of a protein, suggesting a desire to avoid preconceived notions or experimental artifacts that could skew the results.
"
8,biased,"s, i will be trained in and employ a combination of, optogenetics, chemogenetics transgenic mouse lines, and targeted viral strategies. additionally, i will be trained on machine learning tools for histology registration and segmentation, decoding and clustering of cell distribution patterns, and unbiased behavioral scoring.  the identification of an early critical period of socially guided brain development may provide a window for intervention to prevent or slow development of cognitive symptoms in adolescence. if proven, my hypotheses point to adolescents as an ideal target for interventions aime",Impact of social environment on cognitive development and thalamocortical maturation,NIH,SCIENTIFIC,"The term ""unbiased behavioral scoring"" refers to a scientific methodology aimed at minimizing subjective interpretation or prejudice in the assessment of behavior, aligning with the objective standards expected in scientific research.
"
9,biased," to promote stem equity and education    this research has significance in seeking to provide evidence-based support to scholars and practitioners who are working to promote systemic institutional change in stem higher education. to solve stubborn problems that lead to inequitable outcomes, such as biased faculty tenure and promotion processes, uneven leadership opportunities, and hostile departmental climates, requires more than a single intervention. because these problems are embedded in complex higher education systems, taking a systemic approach means deploying multiple levers for change and co",ADVANCE and Beyond: Understanding Processes of Institutional Change to Promote STEM Equity and Education,NSF,POLITICAL,"The term ""biased"" is used in the context of ""biased faculty tenure and promotion processes"" which directly relates to social equity and fairness within a political/institutional structure.
"
10,biased,"t to address this stem broadening participation challenge. also central to ndsa goals is expanding data science research that advocates for social justice and transforming data science discoveries into tangible benefits that advance equity for all. the potential for the perpetuation of harm through biased data technologies and algorithms is well documented. the ndsa establishes a national network of historically black colleges and universities (hbcus) with industry, government, and academic collaborations to apply an equity-centered, collective approach to increase the number of black data science p",NSF INCLUDES Alliance: National Data Science Alliance (NDSA),NSF,POLITICAL,"The term ""biased"" is used in the context of perpetuating harm through data technologies and algorithms, explicitly linking it to equity and social justice, which falls under political considerations.
"
11,biased,"reditation model that will serve as a mechanism for communicating the power of precollege programs to admissions offices.  framing this work is the notion that the accreditation of precollege stem programs is an equitable supplemental admissions criterion to the current, often cited as a culturally biased, standardized test score-based system. to achieve its shared vision and goals, the alliance has four key objectives: (1) establish and support a national precollege stem program networked community, (2) develop a standards-based precollege stem program accreditation system to broaden participation ",NSF INCLUDES Alliance: STEM PUSH (Pathways for Underrepresented Students to Higher Education) Network,NSF,POLITICAL,"The term 'biased' is used in the context of standardized tests and their impact on underrepresented students, linking it to issues of equity and access within the education system, which are inherently political and social concerns.
"
12,biased,"l of project sages is to create an environment in which women of all backgrounds and identities can thrive and develop their careers to their fullest potential. to accomplish this goal, project sages seeks to increase the number of women scientists in stem fields through proactive recruitment and unbiased hiring procedures and retain them by creating a climate and culture in which women feel supported, thrive, and advance in their careers from assistant to associate to full professor.     the aims of project sages are threefold: aim 1 seeks to increase the diversity of applicant pools for faculty se",ADVANCE Adaptation: Project SAGES: Striving to Achieve Gender Equity in STEM,NSF,POLITICAL,"The term 'unbiased' is used in the context of hiring procedures and achieving gender equity in STEM, which are social and political goals related to fairness and representation.
"
13,biased," juncture, pre-college through graduate school. the persistent achievement discrepancies between students of color and white undergraduate engineering students are commonly blamed on students or their previous education rather than acknowledging that the tests themselves or testing process could be biased against test takers. factors such as differing cultures, educational access, and test taking strategies all contribute to the test taking experience and can result in tests that are inherently easier or harder for different groups of students. very little is known about how biases contribute to the",CAREER: Fair assessments: Examining Cultural Familiarity to Decrease Bias in Engineering Classroom Assessments,NSF,SCIENTIFIC,"The term 'biased' refers to a systematic error in assessment that disadvantages certain groups, a concept central to measurement theory and psychometrics within scientific fields like education and engineering education research. The grant aims to scientifically investigate and reduce this bias.
"
14,biased,"reducing racially-biased beliefs by fostering a complex understanding of human genetics research in high-school biology students genetic essentialism is the belief that people of the same race share genes that make them physically, cognitively, and behaviorally uniform, and thus different from other races. the project will",Reducing Racially-Biased Beliefs by Fostering a Complex Understanding of Human Genetics Research in High-School Biology Students,NSF,POLITICAL,"The term 'racially-biased beliefs' refers to beliefs rooted in social and political constructs of race rather than purely scientific understandings of genetics. The context describes the beliefs as leading to the perception of uniformity within races and differences between races, highlighting the social and political implications of such biases.
"
15,biased,"xcellence interact with students’ racial and gender identities to cause racial and gender inequity in the learning opportunities available to students in the same mathematics classrooms. the basis of these beliefs may be attributions to genetic, social, or personal characteristics that are based in biased and inaccurate conceptions of the sources of mathematical excellence.    in order to achieve the project's main aims, the project will conduct three interrelated studies. (1) the attributions and items study will use interviews with teachers, teacher educators, and researchers to write, pilot, and ",Attributions of Mathematical Excellence in Teaching and Learning,NSF,POLITICAL,"The term ""biased"" is used in relation to racial and gender identities and their impact on learning opportunities, which falls within the realm of social and political issues related to equity and inclusion.
"
16,biased,"reducing racially-biased beliefs by fostering a complex understanding of human genetics research in high-school biology students genetic essentialism is the belief that people of the same race share genes that make them physically, cognitively, and behaviorally uniform, and thus different from other races. the project will",Reducing Racially-Biased Beliefs by Fostering a Complex Understanding of Human Genetics Research in High-School Biology Students,NSF,POLITICAL,"The term ""racially-biased beliefs"" refers to social and political issues related to race and prejudice, not a scientific concept.
"
