id,term,context,title,agency,classification,explanation
1,biases,"modeling, national institute of mental health, national institute on minority health and health disparities, observational study, participant, patient recruitments, persons, population, prevalence, quasi-experiment, race, racial equity, randomized, research, risk, risk behaviors, sampling, sampling biases, self perception, sexual health, shapes, social isolation, social support, spanish, spanish/english, testing, time, translations, united states, united states national institutes of health, unsafe sex, use effectiveness, woman, base, bilingualism, community building, community intervention, communi",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,SCIENTIFIC,"""Sampling biases"" is a statistical term referring to systematic errors introduced during the sampling process that can skew results.
"
2,biases,"tudy 1, we will convene focus groups (n = 60) to inductively gather insights about ymsm's preferred (and avoided) messaging strategies. study 2 (n = 600) and study 3 (n = 75) will be randomized experiments in which ymsm browse a mock internet search results page for information about prep. to avoid biases associated with self-reported message engagement, studies 2 and 3 will unobtrusively track browsing behaviors (e.g., clicks). study 3 will also include the collection of visual behavior data via mobile recruitment methods. findings will provide actionable guidance for practitioners about the prep m",Enhancing Engagement with Online Health Messaging about Oral and Injectable PrEP Among Young-Adult MSM,NIH,SCIENTIFIC,"The term ""biases"" refers to potential systematic errors or distortions in data collection or analysis, specifically related to self-reporting of message engagement. This is a technical consideration within the research methodology.
"
3,biases,"y/abstract this project addresses health disparities by investigating a novel computational approach that makes implicit, thus hidden, bias visible. healthcare bias, based on patients’ race, gender, socioeconomic status, sexual orientation, and other characteristics lead to health disparities. such biases are often unintentional and hidden in communication among clinicians and patients. although there is broad agreement that healthcare biases need to be better understood, assessed and mitigated, traditional clinical communication training and assessment is removed from actual patient-provider intera",UnBIASED: Understanding Biased patient-provider Interaction And Supporting Enhanced Discourse,NIH,POLITICAL,"The term 'biases' refers to discriminatory practices based on race, gender, socioeconomic status, and sexual orientation, which aligns with social and political issues related to inequality and health disparities.
"
4,biases,"300 adults aged 15-49 will be supplemented with data from hard-to-reach (htr), an embedded study within the rccs that captures hiv outcomes and mobility patterns among 2,000 individuals who have been lost to follow-up (ltfu) in the rccs. this presents a unique opportunity to assess the missing data biases introduced by population mobility in open, dynamic cohorts. each specific aim will use the full extent of the available data, including longitudinal hiv biomarkers and detailed contact investigations conducted among hiv incident cases and their hiv-negative matched controls. training. ms. khalifa’s","Applying a multidimensional measure of human mobility to understand drivers of HIV incidence in Rakai, Uganda",NIH,SCIENTIFIC,"The term ""biases"" refers to the potential for systematic errors introduced into the study results due to the missing data caused by population mobility. This is a statistical and methodological concern within the scientific research.
"
5,biases,"ssion, mental health, methods, minority men, modeling, older population, outcome, personal satisfaction, pharmaceutical preparations, population, prevention, process, race, random allocation, recording of previous events, research, resources, respondent, risk, risk factors, role, sampling, sampling biases, san francisco, shapes, social environment, social support, strategic planning, stress, structural racism, structure, subgroup, tnf gene, testing, united states national institutes of health, aged, aging process, baby boomer, cognitive function, cohort, community involvement, community partners, co",Structural Racism and Discrimination in Older Men's Health Inequities,NIH,SCIENTIFIC,"""Sampling biases"" is a statistical and methodological term referring to systematic errors in the selection or inclusion of participants in a study, which directly relates to scientific research design.
"
6,biases,"ities in prep access and also curb potential real-world effectiveness. ipv reduces prep uptake among women. black women also experience unfair treatment due to deeply ingrained stereotypes by healthcare systems. as such, black women may feel uncomfortable discussing prep with a provider or provider biases may prevent prep access. integrating trauma-informed care into community health centers that serve black women may enhance prep adoption. trauma-informed care can help providers understand ipv, medical mistrust and gendered racism within the context of black women’s experiences. system policies can",A Multi-Level Trauma-Informed Approach to Increase HIV Pre-exposure Prophylaxis Initiation among Black Women,NIH,POLITICAL,"The text discusses ""provider biases"" in the context of ""unfair treatment due to deeply ingrained stereotypes"" and ""gendered racism,"" which are inherently political and social issues related to healthcare disparities affecting Black women.
"
7,biases,"s also be active change agents. purpose: the primary objective of the proposal is to create a series of self-directed, self-paced learning modules that biomedical research trainees, supervisors, and organizational leaders can use to better understand ways that structural racism influences their own biases and behaviors as well as strategies to use when they are a target, bystander, or perpetrator of racial and intersectional microaggressions, and to use these strategies in addressing institutional level policies indicative of racial and intersectional macroaggressions. additional objectives include ",Developing Modules to Address Microaggressions and Discriminatory Behaviors,NIH,POLITICAL,"The term 'biases' is used in the context of structural racism, microaggressions, discriminatory behaviors, and intersectionality, which are all social and political concepts.
"
8,biases,"gic data sets provide new forms of data that can be leveraged to better inform these inferences. aim 2 will develop a suite of methods to enhance causal inference in seroprotection studies, including (a) sample size and power calculations; and (b) improved exploitation of serological data to reduce biases due to confounding and risk compensation. aim 3 will develop new mathematical modeling approaches and apply them to quantify the likely reduction in the herd immunity threshold for covid-19 due to various forms of risk heterogeneity and assortativeness in mixing. aim 4 will develop models of covid-","Casual, Statistical and Mathematical Modeling with Serologic Data",NIH,SCIENTIFIC,"The term ""biases"" refers to confounding and risk compensation, which are statistical problems in causal inference, a technical term in scientific research.
"
9,biases,"step up for stem and health careers: an intervention to reduce stem-related biases and improve high school stem learning environments project abstract the national institutes of health has a stated commitment to diversifying the national scientific workforce. while diversity has many dimensions, women and underrepresented minorities (i.e., black, latinx, indigenous, and pacific i",Step UP for STEM and Health Careers: An Intervention to Reduce STEM-related biases and improve high school STEM learning environments,NIH,POLITICAL,"The term ""biases"" is related to diversifying the scientific workforce, specifically mentioning women and underrepresented minorities, indicating a social and political context rather than a purely scientific one.
"
10,biases,"es, defined as the ‘structures, policies, practices, and norms that assign value and determine opportunity based on the way people look or their backgrounds,’ permeate all aspects of society and are ever present in academia. these inequities are perpetuated through normative, and often unconscious, biases and behaviors. in recent years, academic institutions have devised new policies and initiatives to promote inclusive excellence, and in doing so have put a greater burden on underrepresented (ur) faculty to lead these efforts. yet, many ur faculty are continuing to disproportionately leave the acad",Promoting Inclusive Excellence,NIH,POLITICAL,"The term ""biases"" is used in the context of inequities in academia, specifically relating to how ""structures, policies, practices, and norms"" disadvantage people based on their appearance or background. This aligns with social and political discussions surrounding diversity, equity, and inclusion.
"
