id,term,context,title,agency,classification,explanation
1,biases," recruitments, persons, population, prevalence, quasi-experiment, race, racial equity, randomized, research, risk, risk behaviors, sampling, sampling biases, self perception, sexual health, shapes, social isolation, social support, spanish, spanish/english, testing, time, translations, united states, unit",NA,NIH,SCIENTIFIC,"The term ""sampling biases"" refers to a specific type of bias that can occur during the research process, particularly in the ""sampling"" of a population.
"
2,biases,"00) and study 3 (n = 75) will be randomized experiments in which ymsm browse a mock internet search results page for information about prep. to avoid biases associated with self-reported message engagement, studies 2 and 3 will unobtrusively track browsing behaviors (e.g., clicks). study 3 will also inclu",NA,NIH,SCIENTIFIC,"The text describes research methodology aiming to eliminate or minimize potential biases in data collection related to self-reporting. This is a technical context within scientific research.
"
3,biases,"ealthcare bias, based on patients’ race, gender, socioeconomic status, sexual orientation, and other characteristics lead to health disparities. such biases are often unintentional and hidden in communication among clinicians and patients. although there is broad agreement that healthcare biases need to b",NA,NIH,POLITICAL,"The text explicitly links biases to social categories like race, gender, socioeconomic status, and sexual orientation, and connects them to health disparities, indicating a usage related to social justice and inequality.
"
4,biases,"ty patterns among 2,000 individuals who have been lost to follow-up (ltfu) in the rccs. this presents a unique opportunity to assess the missing data biases introduced by population mobility in open, dynamic cohorts. each specific aim will use the full extent of the available data, including longitudinal ",NA,NIH,SCIENTIFIC,"The text discusses ""missing data biases"" introduced by population mobility in a scientific study related to cohorts. This is a technical application of the term within the context of research methodology.
"
5,biases,"ention, process, race, random allocation, recording of previous events, research, resources, respondent, risk, risk factors, role, sampling, sampling biases, san francisco, shapes, social environment, social support, strategic planning, stress, structural racism, structure, subgroup, tnf gene, testing, un",NA,NIH,SCIENTIFIC,"The term ""sampling biases"" indicates a technical issue related to research methodology and data collection in scientific studies.
"
6,biases,"nt due to deeply ingrained stereotypes by healthcare systems. as such, black women may feel uncomfortable discussing prep with a provider or provider biases may prevent prep access. integrating trauma-informed care into community health centers that serve black women may enhance prep adoption. trauma-info",NA,NIH,POLITICAL,"The term 'biases' refers to provider biases that prevent prep access for Black women, highlighting issues of social inequality and discrimination within healthcare.
"
7,biases,"t biomedical research trainees, supervisors, and organizational leaders can use to better understand ways that structural racism influences their own biases and behaviors as well as strategies to use when they are a target, bystander, or perpetrator of racial and intersectional microaggressions, and to us",NA,NIH,POLITICAL,"The context discusses structural racism, microaggressions, and racial biases, which are all elements within social and political discourse related to identity and power dynamics.
"
8,biases,"al inference in seroprotection studies, including (a) sample size and power calculations; and (b) improved exploitation of serological data to reduce biases due to confounding and risk compensation. aim 3 will develop new mathematical modeling approaches and apply them to quantify the likely reduction in ",NA,NIH,SCIENTIFIC,"The text discusses ""biases due to confounding and risk compensation"" within the context of seroprotection studies and mathematical modeling, which is a technical/scientific application of the term.
"
9,biases,step up for stem and health careers: an intervention to reduce stem-related biases and improve high school stem learning environments project abstract the national institutes of health has a stated commitment to diversifying the nat,NA,NIH,POLITICAL,"The term ""biases"" is used in the context of diversifying STEM and health careers, indicating a concern with social equity and representation, which aligns with a political context.
"
10,biases,"rounds,’ permeate all aspects of society and are ever present in academia. these inequities are perpetuated through normative, and often unconscious, biases and behaviors. in recent years, academic institutions have devised new policies and initiatives to promote inclusive excellence, and in doing so have",NA,NIH,POLITICAL,"The term ""biases"" is used in the context of societal inequities, academic institutions, inclusive excellence, and policies, which all fall under a social and political context.
"
