id,term,context,title,agency,classification,explanation
1,black,"investigating and identifying the heterogeneity in covid-19 misinformation exposure on social media among black and rural communities to inform precision public health messaging project summary/ abstract in the midst of the covid-19 pandemic, a parallel `infodemic,' an abundance of reliable information and inaccurate misinformation, persists. there has also been a significant increase in misinformation excha",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The term ""Black"" refers to a racial group and is used in the context of identifying specific communities affected by misinformation, indicating a social and political dimension related to health disparities and targeted messaging.
"
2,black,"isgender women. long-acting injectable (lai) prep could mitigate barriers to adherence and persistence, thereby increasing prep coverage. interest in lai prep has been high in some groups that are at disproportionately high risk of hiv infection and underrepresented among oral prep users, including black women and black and latino msm, suggesting that lai prep could also reduce racial, ethnic, and gender inequities in prep use. however, barriers to lai prep use may be more common in underserved communities, potentially exacerbating inequities. lai prep may also increase risk of drug resistance due ",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The term 'black' is used to refer to racial groups (Black women, Black MSM) who are identified as being at disproportionately high risk of HIV infection and underrepresented among oral PrEP users. This highlights social and health inequities, making the context political.
"
3,black,"academic institutions, and government agencies are essential to assuring equitable access to culturally congruent, patient-centered care, redressing smm/mm inequities, and maximizing our collective impact. we convene columbia university and weill cornell medicine, four lead community organizations (black women's blueprint, caribbean women's health association, northern manhattan perinatal partnership, and the bridge), and a broad coalition of multisector actors to address 3 synergistic overall aims. in aim 1, we will implement a unified, community-driven research program that will: project 1) devel",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"""Black women's blueprint"" is the name of a community organization, indicating a focus on the social and political identity of Black women.
"
4,black,"lytics to inform efforts to reduce disparities; three research projects that improve the identification and early treatment of psychopathology, suicidality, and traumatic experiences among rel-diverse youth. acceleration, address, adolescent, adolescent and young adult, age, age years, area, asian, black race, boston, budgets, covid-19 impact, covid-19 pandemic, caring, cause of death, child, child welfare, clinic, clinical, communities, community health, community healthcare, community participation, data, dedications, discrimination, disparity, distress, early diagnosis, early intervention, early",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,POLITICAL,"""Black race"" is a demographic and social category, thus placing it in a political/identity context related to disparities.
"
5,black,"their sex assigned at birth, are a growing nih-designated health disparities population. tgd young adults suffer higher rates of suicide than their cisgender counterparts; over half contemplate suicide in their lifetime. these and other health disparities are compounded for tgd young adults who are black or hispanic and experience both gender- and racebased stigma and minority stress. black young adults are also at an increased risk of suicide; attempts increased 73% from 1991 to 2017. interventions are needed urgently to improve the mental health of tgd young adults, particularly tgd young adults ",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term ""black"" is used to identify a racial group and discuss health disparities and associated stigma/minority stress, indicating a social, political, and identity context.
"
6,black,"ategies for hiv prevention in at-risk populations in high hiv incidence geographic hotspots and will advance the 2021-2025 national strategic plan to end the hiv epidemic. aids prevention, address, adult, american, area, behavior, behavior therapy, behavioral, biological, biological markers, birth, black race, blood, chlamydia, clinical, communities, computerized medical record, data, decision making, digital libraries, diphosphates, dryness, ensure, epidemic, female, future, gender, gender identity, geography, goals, gonorrhea, hiv, hiv seronegativity, hiv risk, health, healthcare, incidence, indi",Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,POLITICAL,"""Black race"" is used as a demographic or identity category, placing it within a social/political context rather than a purely scientific one.
"
7,black,"a randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophy",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""Black"" is used to identify a specific population group facing health disparities, which is a matter of social and political concern.
"
8,black,"a randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophy",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""black"" is used to refer to a specific racial group (Black men who have sex with men) that is disproportionately affected by HIV, which has social and political implications related to health disparities and access to care.
"
9,black,"among the most vulnerable populations in the us in order to identify the most effective, expeditious and scalable strategies to address this ongoing public health crisis. aids prevention, address, adherence, adolescent and young adult, age, area, articulation, award, behavior, biological, bisexual, black race, caring, clinic, clinical trials, cognitive, cohort studies, communities, development, devices, diagnostic, discrimination, electronics, enrollment, epidemic, epidemiology, exclusion, friends, gays, geography, hiv, hiv infections, hiv seronegativity, hiv seropositivity, hiv risk, hiv/aids, hiv",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,POLITICAL,"The term ""black race"" is used to categorize a population group, which falls within the realm of social, political, and identity contexts, particularly when discussing health disparities and vulnerable populations.
"
10,black,"ntation science approaches to study delivery of equitable syphilis prevention, doxycycline post-exposure prophylaxis (doxypep), in a clinic-based setting. innovative strategies for syphilis prevention are needed to address the growing national epidemic, with disproportionate burden of disease among black and hispanic/latinx sexual and gender minority persons (sgm) who have sex with men. in chicago specifically, syphilis rates have been rising steadily, syndemic with hiv transmission. existing public health responses – contact tracing, testing, and treatment – have not stemmed these rising rates. re",Identifying Community-Informed DoxyPEP Implementation Strategies to Guide Equitable Delivery of Syphilis Prevention,NIH,POLITICAL,"The term ""black"" is used to identify a specific racial group disproportionately affected by syphilis, highlighting a health disparity and thus carrying a social and political context.
"
