id,term,context,title,agency,classification,explanation
1,black,"ujima (collective work and responsibility) girls in a robotics leadership project this award is funded in whole or in part under the american rescue plan act of 2021 (public law 117-2).     research shows that black girls and women, regardless of their academic achievements and stem interests, often encounter academic under-preparation, social isolation, exclusion, and race-gender discrimination that negatively impacts their ongoing engagement and retention in stem.  this project will provide innovative, cultu",Ujima (Collective Work and Responsibility) Girls in a Robotics Leadership Project,NSF,POLITICAL,"The term ""black"" is used to refer to a racial identity group (black girls and women) and is related to issues of race-gender discrimination and social exclusion, which are political and social contexts.
"
2,black," within the fqhcs) and developing systems to address transportation barriers. more broadly there will be engagement of state and local policy-makers, leaders, and health plans in developing programs and policies and community programs to address food insecurity. address, area, attention, awareness, black populations, blood pressure, body mass index, caring, clinic, clinical sciences, collaborations, communities, community health, community health aides, community health systems, complex, dedications, disparity, economics, education, eligibility determination, environment, family health status, fede",Addressing Food Insecurity in Underserved Communities,NIH,POLITICAL,"""Black populations"" is used to denote a specific racial group, which falls under social, political, and identity contexts.
"
3,black,"examining the mechanisms and consequences of sleep health inequities affecting black sexual minority men project summary/abstract black sexual minority men (smm) suffer disproportionately from health inequities, including high rates of hiv, mental health issues, and poor physical health. intersectional stigma and discrimination contribute significantly to these health inequities. s",Examining the Mechanisms and Consequences of Sleep Health Inequities Affecting Black Sexual Minority Men,NIH,POLITICAL,"The term 'black' refers to a racial and ethnic group and is used in the context of health inequities and disparities experienced by this group. This aligns with a social, political, and identity context.
"
4,black,"ct aims to increase the sense of belonging, retention, and research participation of hispanic and other students historically underrepresented in stem by revising the traditional lecture format of introduction to psychology (psy100), the largest introductory stem-focused course in this institution. black and hispanic students that enroll in psy100 at the college of staten island drop or fail this course at a higher rate compared with that of white and asian students. peer-led team learning (pltl) approaches have been shown to reduce equity gaps in stem courses but are not typically amenable to larg",HSI Implementation and Evaluation Project: Using Peer-Enhanced Blockchain-Based Learning Environments to Promote Student Engagement and Retention,NSF,POLITICAL,"The term 'black' is used to identify a specific racial group that is being compared to other racial groups in terms of academic performance and retention rates. This falls within a social and political context related to equity and representation.
"
5,black,"collaborative research: socialization competencies and youth outcomes in response to racial violence given the historical and persistent crisis of racial discrimination and violence enacted against black communities in america, black parents have unique considerations to prepare their children to cope with potential racial bias and discrimination in schools, neighborhoods, and community settings. yet, there is less research on how parents' race-related experiences influence their competency in tran",Collaborative Research: Socialization Competencies and Youth Outcomes in Response to Racial Violence,NSF,POLITICAL,"The term 'black' is used to refer to communities and parents experiencing racial discrimination and violence, indicating a social, political, and identity context.
"
6,black,"e scope of this study is to engage ryan white hiv/aids program (rwhap) funded organizations in ending the hiv epidemic (ethe) areas in the south/east us to co-develop context-responsive programs utilizing evi- dence-informed interventions to reduce structural racism and discrimination (srd) against black, indigenous, people of color (bipoc) living with hiv (plh) and bipoc healthcare workers. srd directly impacts access to and uptake of healthcare for bipoc, including engagement in hiv services across the continuum of prevention and care. the proposed intervention, titled transcends, draws on the ev",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"The term ""black"" is used within the acronym BIPOC (Black, Indigenous, and People of Color) and in the context of structural racism and discrimination, indicating a social, political, and identity-related usage.
"
7,black," (ahsil), the precursor for anal cancer. anal cancer risk is also exceptionally high among certain groups: people living with hiv, men having sex with men (msm), and women with lower high-grade anogenital tract diseases. health disparity further contributes to this high rate, as minorities, such as black msm, have a significantly higher rate of ahsil and cancer. thus, early detection of ahsil, particularly among high-risk minorities, is crucial to reduce cancer incidence and disease burden. however, the current recommendation for ahsil screening is based on expert opinions, and research on high-ris",Screening strategies and social determinants of health among people with high risk of anal cancer,NIH,POLITICAL,"The term ""black"" is used to identify a racial group that experiences health disparities, which is a social and political construct.
"
8,black,black representation - authoring stem stories for climate risk preparedness discussions of climate science have become more common in children's literature in recent years. studies show that books and other media can teach children effective techniques for managing the risks they and their families face ,Black Representation - Authoring STEM Stories for Climate Risk Preparedness,NSF,POLITICAL,"The phrase ""black representation"" indicates a focus on social identity and inclusion within STEM, aligning with a political context.
"
9,black,"investigating and identifying the heterogeneity in covid-19 misinformation exposure on social media among black and rural communities to inform precision public health messaging project summary/ abstract in the midst of the covid-19 pandemic, a parallel `infodemic,' an abundance of reliable information and inaccurate misinformation, persists. there has also been a significant increase in misinformation excha",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The term ""Black"" refers to a specific racial/ethnic group and is used in the context of understanding misinformation exposure among different communities, which is a social and political issue.
"
10,black,"ssible computational thinking in elementary science classes within and across culturally and linguistically diverse contexts currently, students who are white, affluent, and identify as male tend to develop a greater interest in and pursuit of science and computing-related careers compared to their black, latinx, native american, and female-identifying peers. yet, science, computing, and computational thinking drive societal decision-making and problem-solving. the lack of cultural and racial diversity in science and computing-related careers can lead to societal systems and decision-making structu",Collaborative Research: Accessible Computational Thinking in Elementary Science Classes within and across Culturally and Linguistically Diverse Contexts,NSF,POLITICAL,"The term 'black' is used to describe a racial group within a discussion of diversity, equity, and inclusion in science and computing, which falls under a sociopolitical context.
"
11,black,"ractions among maternal race, vaginal metabolites, and microbes in preterm birth project summary/abstract despite years of investigation into its causes and potential biomarkers, the rate of pregnancies ending preterm in the united states has remained around 10% in the overall population and 15% in black women. two thirds of preterm births occur spontaneously and are not initiated by a medical intervention. as spontaneous preterm birth is a leading cause of neonatal morbidity and mortality, and is associated with maternal complications, it both reflects and drives significant racial disparities in ","Quantifying the interactions among maternal race, vaginal metabolites, and microbes in preterm birth",NIH,POLITICAL,"The term ""black women"" refers to a racial group and is used in the context of racial disparities in preterm birth rates, a social and political issue.
"
12,black," homeless. the environment in congregate shelter accommodation may significantly contribute to this health burden, particularly regarding mental health. housing insecurity significantly increases risk of presenting to the emergency department in behavioral crises, especially for individuals who are black and latinx as well as sexual and gender minorities. in response to public health concerns regarding the specific vulnerabilities of this population to covid, many cities implemented programs diverting congregate shelter residents, most commonly to hotel accommodation. there is some evidence that th",Examining Non-Congregate Shelter Effects on Mental Health Crises through Community Health Partnerships in Connecticut,NIH,POLITICAL,"The term ""black"" is used to identify a racial group, indicating a social, political, and identity context related to health disparities.
"
13,black,"ces, directorate for engineering, directorate for geosciences, directorate for mathematical and physical sciences, directorate for social, behavioral and economic sciences, nsf office of integrative activities, nsf advance, alliances for graduate education and the professorship (agep), historically black colleges and universities-undergraduate program (hbcu-up), engineering education centers (eec), broadening participation in engineering geosciences education and diversity programs, and nsf includes, which focuses on catalyzing the science, technology, engineering, and mathematics (stem) enterprise",STEM Equity Achievement (SEA Change),NSF,POLITICAL,"The term ""black"" is used in ""Historically Black Colleges and Universities-Undergraduate Program (HBCU-UP),"" referring to institutions established before 1964 with the primary mission of educating African American students. This is a social and political context.
"
14,black,"on successful completion of this work, we expect to have developed, implemented, and evaluated a pilot intervention that addresses leo-community member interaction as a structural determinant of health that has individual, interpersonal, and community consequences. acute, address, affect, behavior, black american, black populations, black race, color, communities, conflict (psychology), county, criminal justice, data, diffusion of innovation, distal, effectiveness, epidemiology, ethnic origin, evaluation, family, funding, gender identity, goals, health, health status, healthcare, home, immigrant, i",Macro-level Health Considerations of Community and Criminal Justice System Relationships in North Texas,NIH,POLITICAL,"The terms ""Black American,"" ""Black populations,"" and ""Black race"" are used in a context related to demographic groups and likely referring to disparities or health outcomes associated with race, which is a politically charged and socially relevant category.
"
15,black,"a culturally-responsive maker program designed to develop the stem interest, self-efficacy and science identity of black girls black girls create (bgc) is a program that uses maker pedagogy, social history (i.e., black women’s contributions in stem), culturally responsive pedagogy, and mentoring to engage black girls in stem.  for the project, culturally responsive making is operationally defined as the use of cultur","A Culturally-Responsive Maker Program Designed to Develop the STEM Interest, Self-Efficacy and Science Identity of Black Girls",NSF,POLITICAL,"The term 'black' is used to denote a specific racial/ethnic group (""black girls"") and their identity, situating it within a discussion of social history, culturally responsive pedagogy, and identity development. This aligns with a social, political, and identity context.
"
16,black,"will create a framework that identifies fairness metrics throughout the algorithmic pipelines. second, it will develop technologies to mitigate biases and improve fairness. third, it will develop mathematical foundations to help us understand the mechanisms at work inside of many of these so-called black-box methods. in addition, medical and social justice applications will be integrated throughout the project, helping many nonprofits with high data driven needs meet their goals. these include medical applications helping to understand manifestations of lyme disease as well as tools to help innocen",Equity Beyond the Algorithm: A Mathematical Quest for Fairer-ness in Machine Learning,NSF,SCIENTIFIC,"The term ""black-box methods"" refers to algorithms or systems whose inner workings are not easily understood or interpretable, which is a technical concept in machine learning.
"
17,black,"cohorts and new affiliate member institutions.     the problem the leap alliance addresses is stark and straight-forward: only 5.3% of the faculty (tenured, tenure track, teaching, research, instructors, and postdocs) at phd-granting universities are from the following underrepresented communities: black or african-american, hispanic, american indian/alaska native, or native hawaiian/pacific islander. this extension builds upon the initial accomplishments and lessons learned and entails two main activities: (1) the continuation and refinement of the leap alliance strategies for increasing diversity",BPC-AE: Institute for African Americans in Computing Sciences (iAAMCS) National Network,NSF,POLITICAL,"The term ""black"" is used in the context of underrepresented groups and diversity initiatives within academic institutions, which is a social and political issue.
"
