id,term,context,title,agency,classification,explanation
1,cultural competence," time, twitter, united states, youth, adolescent mental health, age group, cohesion, cohort, community based participatory research, critical period, cultural competence, cyberbullying, design, experience, experimental study, health equity, help-seeking behavior, improved, innovation, insight, intervention mapping, me",NA,NIH,SCIENTIFIC,"The presence of terms like ""community based participatory research,"" ""health equity,"" ""intervention mapping,"" and ""experimental study"" alongside ""cultural competence"" suggests its use within a research framework aimed at addressing health disparities or improving intervention effectiveness within specific cultural groups.
"
2,cultural competence,"aining programs, underrepresented populations, underrepresented students, universities, utah, workplace, writing, career, career networking, college, cultural competence, design, doctoral student, education research, empowerment, equity  diversity  and inclusion, expectation, experience, graduate school, innovation, m",NA,NIH,POLITICAL,"The term ""cultural competence"" appears alongside terms like ""underrepresented populations,"" ""equity diversity and inclusion,"" and ""empowerment,"" indicating a focus on social and political dimensions related to diversity and inclusion.
"
3,cultural competence,"acceptability and feasibility, assigned male at birth, barrier to care, career, career development, community based research, community-level factor, cultural competence, efficacy evaluation, experience, gender minority health disparity, genital surgery, health care availability, health care settings, health disparity",NA,NIH,SCIENTIFIC,"The term 'cultural competence' appears alongside other scientific and research-related terms like 'efficacy evaluation', 'community-based research', and 'health disparity', suggesting it's being considered as a factor within the research design or analysis.
"
4,cultural competence,"n, sampling, services, site, strategic planning, testing, training, united states, viral, washington, youth, behavior change, collaborative approach, cultural competence, design, effectiveness outcome, evidence base, experience, hybrid type 2 trial, implementation context, implementation fidelity, implementation frame",NA,NIH,SCIENTIFIC,"The term ""cultural competence"" appears within a list of terms related to research design, implementation, and outcomes, suggesting its use in a technical context related to ensuring research is appropriate and effective for diverse populations.
"
5,cultural competence,"es, united states, united states national institutes of health, universities, vagina, work, assigned female at birth, chemokine, cis-male, cisgender, cultural competence, cytokine, female reproductive tract, female sex hormone, gender affirming hormone therapy, health disparity, hormone therapy, interest, male sex hor",NA,NIH,POLITICAL,"The term ""cultural competence"" appears alongside terms related to gender identity (cis-male, cisgender, assigned female at birth, gender affirming hormone therapy) and health disparity, suggesting its usage is related to social, political, and identity aspects of healthcare access and equity.
"
6,cultural competence,"nited states, violence, vulnerable populations, woman, work, access disparities, cancer care, cancer survival, cancer therapy, care delivery, cohort, cultural competence, deprivation, ethnic minority, follow-up, food insecurity, health care delivery, health care disparity, health illiteracy, health literacy, implement",NA,NIH,SCIENTIFIC,"The term 'cultural competence' appears alongside other terms related to health disparities, cancer care, and vulnerable populations, indicating a focus on improving healthcare delivery and outcomes for diverse groups. This suggests a scientific investigation into how cultural factors influence health and healthcare.
"
7,cultural competence," role, tenofovir, testing, testosterone, tissues, treatment efficacy, urine, viral, visit, vulnerable populations, woman, work, cis-female, cis-male, cultural competence, design, efficacy evaluation, emtricitabine, experience, falls, gender affirmation, gender dysphoria, gender nonconforming, gender transition, high r",NA,NIH,POLITICAL,"The term ""cultural competence"" is listed among terms like ""vulnerable populations,"" ""cis-female,"" ""cis-male,"" ""gender affirmation,"" ""gender dysphoria,"" ""gender nonconforming,"" and ""gender transition,"" indicating its usage relates to social identity, healthcare disparities, and ethical considerations, which are all political aspects.
"
8,cultural competence,"ys, tablets, techniques, technology, testing, trust, united states, voice, work, acceptability and feasibility, age related, arm, community partners, cultural competence, cultural values, design, ehealth, empowerment, experience, follow-up, health care settings, high risk, hormone therapy, improved, innovation, insigh",NA,NIH,POLITICAL,"The term ""cultural competence"" is frequently used in discussions about healthcare disparities and the need for healthcare providers to understand and respect the cultural values of their patients, reflecting a socio-political awareness. The context of ""community partners,"" ""health care settings,"" and ""high risk"" further suggests its use in a political or social context related to healthcare equity.
"
9,cultural competence,"nsured, viral, viral load result, vulnerable populations, work, adherence rate, antiretroviral therapy, barrier to care, care outcomes, care systems, cultural competence, design, experience, food insecurity, forgetting, improved, innovation, men who have sex with men, multidisciplinary, novel, pre-exposure prophylaxis",NA,NIH,POLITICAL,"The term 'cultural competence' appears alongside terms like 'vulnerable populations', 'men who have sex with men', 'barrier to care', and 'food insecurity', suggesting a focus on addressing disparities and improving healthcare access for specific social groups, aligning with a political or social justice context.
"
10,cultural competence,"aining activity, united states, update, asexual, cancer care, cancer diagnosis, clinic ready, clinical practice, clinical research site, comparative, cultural competence, design, end of life care, experience, gender minority, gender minority group, genderqueer, health care delivery, health care service, improved, inno",NA,NIH,POLITICAL,"The term ""cultural competence"" appears alongside terms like ""gender minority,"" ""gender minority group,"" and ""genderqueer,"" indicating a focus on addressing the needs of diverse populations and potentially reducing health disparities. This points to a social, political, or identity-related context.
"
11,cultural competence,"vironment, stigmatization, surveys, testing, transportation, united states, urban population, work, arm, community organizations, community partners, cultural competence, data access, design, effective intervention, effectiveness evaluation, effectiveness outcome, effectiveness-implementation rct, effectiveness/implem",NA,NIH,SCIENTIFIC,"The term 'cultural competence' appears alongside terms related to intervention design, effectiveness evaluation, and community partnerships within a research context, suggesting its use is related to ensuring research or interventions are appropriate and effective for specific cultural groups. This is a common application of the term in scientific research.
"
12,cultural competence,ngaged research methods. the partnership will afford immersion experiences in indigenous communities for fellows and faculty mentors to further their cultural competence and provide opportunities to engage in authentic participatory research studies investigating stem education issues of importance to indigenous peopl,NA,NSF,POLITICAL,"The term is used in the context of engaging with indigenous communities and addressing issues of importance to them, suggesting a focus on social and political dynamics related to cultural understanding and respect.
"
13,cultural competence,ngaged research methods. the partnership will afford immersion experiences in indigenous communities for fellows and faculty mentors to further their cultural competence and provide opportunities to engage in authentic participatory research studies investigating stem education issues of importance to indigenous peopl,NA,NSF,POLITICAL,"The term is used in the context of engaging with indigenous communities and addressing issues of importance to them, which inherently involves social and political considerations related to cultural understanding and respect.
"
