id,term,context,title,agency,classification,explanation
1,culturally responsive," minority residents summary in the us, sexual and gender minority (sgm) older adults are disproportionately at risk for alzheimer’s disease and related dementias (ad/adrd) and more likely to rely on long-term services and supports (ltss) than their cisgender, heterosexual peers. without training in culturally responsive care of the ltss workforce, sgm residents are vulnerable to receiving inappropriate and/or inferior care contributing to poorer quality of life and health outcomes. to address this, some states have recently mandated training of the ltss workforce in the culturally responsive care of sgm older adul",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term ""culturally responsive"" in this context refers to the need to address the specific needs and vulnerabilities of sexual and gender minority older adults, which is a matter of social equity and inclusion. The mention of state mandates further suggests a political dimension related to policy and regulation.
"
2,culturally responsive,strategies to prevent hiv acquisition among transgender msm in the us project summary transgender men who have sex with men (trans msm) are at-risk of hiv acquisition in the us and require gender-affirming culturally responsive biobehavioral hiv prevention strategies. the goal of the proposed study is to assess the ability of digitally delivered peer-based strategies to improve prep uptake in prep-indicated hiv-negative adult trans msm (defined behaviorally as sex with a person who has a penis). this study proposes a digi,Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,POLITICAL,"The term ""culturally responsive"" is used in the context of addressing the specific needs of a particular community (transgender MSM) to ensure that interventions are sensitive to their cultural identities and experiences. This highlights the importance of tailoring healthcare to specific cultural groups, which aligns with a social, political, and identity-conscious approach to healthcare.
"
3,culturally responsive,"ationwide. we will learn oncology clinicians’ views and attitudes of this module and feelings of competence in caring for sgm people after participating in this module, using qualitative interviews. interview questions will be derived from a model highlighting five fundamental constructs to provide culturally responsive healthcare to diverse groups of patients, developed by campinha-bacote and colleagues. we will use an iterative process to improve the module content, based upon this qualitative data. in the second aim, we propose to learn the views and attitudes of sgm patients about the training module content u",Refinement of a Training Module to Improve Discussions of Sexual Orientation and Gender Identity in Cancer Clinics,NIH,SCIENTIFIC,"The term 'culturally responsive' refers to a specific model (Campinha-Bacote's) used within healthcare research to improve care for diverse patient groups. This indicates a technical application within the scientific context of healthcare delivery and research.
"
4,culturally responsive," judgmental to be held at embassy suites by hilton hotel and conference center, norman, ok. february 25-27, 2025. the meeting provides a forum for 1) lead researchers and experts in the field of sexual behavior of youth to share latest outcomes, 2) dissemination of research and resources to promote culturally responsive care and reduce disparities, 3) collegial, highly interactive opportunities for students and postdoctoral fellows to present their research and enhance their communication skills through oral and poster presentations, and 4) networking and mentorship to promote professional and career development o","Be Curious, Not Judgmental: The 4th National Symposium on Sexual Behavior of Youth",NIH,POLITICAL,"The phrase ""culturally responsive care and reduce disparities"" explicitly connects cultural responsiveness to the reduction of inequalities, indicating a social and political context.
"
5,culturally responsive,"ng instructional faculty as leaders of educational change at hispanic-serving institutions with support from the improving undergraduate stem education: hispanic-serving institutions (hsi program), this track 1 project focuses on enabling non-tenure-eligible, instructional faculty to further foster culturally responsive, evidence-based approaches in engineering education at hispanic serving institutions (hsis). non-tenure-eligible engineering instructional faculty (eif) are an under-explored and under-supported population who play a critical role in students’ educational experiences within engineering. with the hi",Developing Engineering Instructional Faculty as Leaders of Educational Change at Hispanic-Serving Institutions,NSF,POLITICAL,"The term ""culturally responsive"" is used in the context of Hispanic-Serving Institutions (HSIs) and refers to approaches in education that are sensitive to and inclusive of the cultural backgrounds of the students, which falls under a social, political, and identity context.
"
6,culturally responsive,"rough expert advising and 2) increase urm stem recruitment and retention through first-year experiences for stem pathways students. these objectives will be achieved by combining high-impact activities of early interventions for new students, regular one-on-one advising, professional development in culturally responsive practices, and expanding student access to extracurricular experiences. the effectiveness of the aspirar program will be measured through a research-based design and will be compared with the traditional curriculum and will contribute to the knowledge of best practices in higher education, particul","Aspirar, An Integrated Program of Enhanced Advising and First-Year Experiences to Improve STEM Recruitment and Retention of Hispanic Students",NSF,POLITICAL,"The term 'culturally responsive practices' is used in the context of improving STEM recruitment and retention of Hispanic students, which falls under issues of equity, diversity, and inclusion – all of which have strong political and social dimensions related to identity and representation.
"
7,culturally responsive,"tablish the curriculum and a data science pathway that prepares hispanic students for future employment and transfer. the research questions focus on specifying the data science program model including the role of transfer partners and industry employers; examining the role of intersectionality and culturally responsive pedagogy; and articulating the nature of the community college-research institution partnership and the role preceptor programs play in that partnership. the research will use quantitative and qualitative data collection methods including questionnaires, interviews, and focus groups. this project w",Truman and UChicago Data Science Preceptors Track II,NSF,POLITICAL,"The term ""culturally responsive pedagogy"" is used in the context of preparing Hispanic students for future employment and transfer, indicating a focus on addressing the specific cultural needs and backgrounds of a particular student group. This connects to broader discussions of equity, access, and culturally relevant education, which are inherently political.
"
8,culturally responsive,"ucator identity, scholars will participate in a two-summer social justice citizen science project and will graduate as highly qualified science and math teachers. these new teachers will positively impact the two partnering high-need districts in the area by elevating educational opportunities in a culturally responsive and sustaining manner.    this project at the university of west florida (uwf) includes continued partnerships with pensacola state college and two high-need school districts, escambia county school district and santa rosa county district schools. the project goals include: 1) increasing  the numbe",Educating Science and Mathematics Majors to Teach with Social Justice Models in High-Needs Schools,NSF,POLITICAL,"The phrase ""culturally responsive and sustaining manner"" is directly tied to ""social justice models"" and ""elevating educational opportunities,"" indicating a focus on addressing social inequities and promoting inclusivity within education, which aligns with a political context.
"
9,culturally responsive,"es as future scientists. effective responses, therefore, must start with acknowledging that any efforts to scaffold student development must be supplemented by institutional adaptation. this project fully embraces this reality, and the activities proposed reflect research advancements that call for culturally responsive pedagogy, streamlining of the transfer process, developmentally appropriate advising, student-faculty research, and peer mentoring. through these efforts, the aim is to produce educational outcomes that are more equitable and just while also facilitating the upward social mobility of their latinx s","HSI Implementation and Evaluation Project: FUERTE: Fostering Undergraduate Education, Retention and Transfer Environments",NSF,POLITICAL,"The term ""culturally responsive pedagogy"" is used in the context of creating more equitable and just educational outcomes and facilitating the upward social mobility of Latinx students, which are inherently social and political goals related to equity and identity.
"
10,culturally responsive,"catalyst project: culturally responsive and backward-design-based bimodal units and assessments as learning tools in college physics catalyst projects provide support for historically black colleges and universities (hbcu) to work towards establishing research capacity of faculty to strengthen science, technology, engineering and mathema",Catalyst Project: Culturally Responsive and Backward-Design-based Bimodal Units and Assessments as Learning Tools in College Physics,NSF,POLITICAL,"The phrase is used in the context of supporting Historically Black Colleges and Universities (HBCUs), suggesting a focus on equity and addressing historical disparities, which falls under a political/social context.
"
11,culturally responsive,"’ intellectual and professional growth. this project, under the direction of a northwest indian college mathematics faculty member, directly addresses these goals through a study of the influences of context-specific algebra instruction on students’ identities and engagement with mathematics. using culturally responsive research methods, investigators will interview former nwic mathematics students, code their responses, and analyze them to identify common themes. findings will reveal how specific aspects of algebra instruction affect students’ perspectives about mathematics and their own identities. results from ",SGR:  Investigating the Nexus Between Algebra and Indigenous Identity,NSF,POLITICAL,"The phrase ""culturally responsive research methods"" is used in the context of studying Indigenous identity and engagement with mathematics, indicating a focus on cultural relevance and addressing potential cultural biases in the research approach. This leans towards a socio-political understanding of culture and its impact.
"
12,culturally responsive,"rollment of students from underrepresented groups in precollege stem programs, the alliance endeavors to broaden participation in stem by maximizing college access and stem outcomes in higher education and beyond.    the stem push network is a national alliance of precollege stem programs, stem and culturally responsive pedagogy experts, formal and informal education practitioners, college admissions professionals, the accreditation sector, and other higher education representatives. the alliance will establish a formidable collaborative improvement space using the networked improvement community model and a ""next",NSF INCLUDES Alliance: STEM PUSH (Pathways for Underrepresented Students to Higher Education) Network,NSF,POLITICAL,"The term 'culturally responsive pedagogy' is used in the context of broadening participation of underrepresented groups in STEM, which relates to social equity and inclusion, making it a political usage.
"
13,culturally responsive,"w knowledge on how to achieve these aims. with hsi program support, this track 1 project at santa monica college (smc) aims to identify, implement and investigate interventions that enhance the success and subsequent graduation of hispanic and other underrepresented stem students through the use of culturally responsive and effective classroom-based curricular materials and instructional practices focused on stem. smc will bring together the equity-focused work of the college's science and research initiative and the center for teaching excellence to implement a three-pronged approach that includes faculty profess",Fostering an Equity-minded Student Success Culture in STEM Through Faculty Development,NSF,POLITICAL,"The term 'culturally responsive' is used in the context of addressing equity and success for underrepresented students in STEM, which is a socio-political issue related to identity and access.
"
14,culturally responsive,"raduate diversity fellowship program and graduate opportunity program; and (5) stimulate new research and learning on broadening participation in stem disciplines through the fostering (stem) identity through transition (fit) study, collaboration with faculty, staff and industry partners to develop culturally responsive mentoring and build more inclusive learning and working environments focused on equity-mindedness in stem, leveraging the nys education department funded science technology entry program to provide k-12 outreach and identify best practices in urm stem undergraduate enrollment, and integration of an",Louis Stokes New STEM Pathways and Research Alliance: State University of New York (SUNY),NSF,POLITICAL,"The term 'culturally responsive' is used in the context of broadening participation in STEM, developing inclusive learning environments, and equity-mindedness, all of which relate to social and political considerations of diversity and inclusion.
"
15,culturally responsive,"ands university, the only four-year college in the region,  cultivating access to manifest intentional outcomes in stem (caminos) will cultivate collaborations with regional two-year institutions of higher learning to 1) provide academic support and mentoring to students, 2) facilitate hands-on and culturally responsive learning experiences, and 3) deliver professional development opportunities to faculty. the goal is to recruit and retain students to stem disciplines, promote student success, and broaden the stem workforce by producing more stem graduates with practical experience who are workforce ready. the pro",Cultivating Access to Manifest INtentional Outcomes in STEM (CAMINOS),NSF,POLITICAL,"The term ""culturally responsive"" is used in the context of broadening the STEM workforce and promoting student success, implying an awareness of and responsiveness to the diverse cultural backgrounds of students, which is a social and political consideration.
"
16,culturally responsive,"ty at a 2-year community college in california’s central valley. the central research question is: to what degree does participation in early stem activities lead to changes in stem interest, recruitment, persistence, and identity in latinx students? the project seeks to investigate the efficacy of culturally responsive practices on stem identity including, peer-to-peer strength-based mentoring, connections with stem professionals of color, and engagement in faculty-guided undergraduate research. using a quasi-experimental design, the investigation will compare chorus and non-chorus students on stem identity and s",Creating HSI Opportunities for Research and Undergraduate Support,NSF,POLITICAL,"The term ""culturally responsive practices"" is used in the context of supporting Latinx students in STEM, focusing on identity and addressing potential systemic barriers. This aligns with a social and political awareness of how culture impacts educational outcomes.
"
17,culturally responsive,"s  with the broader community and local youth. participation in scholarly stem experiences that  benefit society builds on students’ cultural assets and supports the integration of cultural and  science identities, important for increasing representation in stem. to further support students,  a new culturally responsive mentoring module will be incorporated into existing faculty and staff  mentor training. outcomes for scholars will include development of career competencies, and  increases in stem identity, academic success, and retention to graduation.    the specific aims of the project are 1. to prepare lower ",HSI Implementation and Evaluation Project: CAMINOS (Creating A More Inclusive Network and Orientation through STEM Community Engagement),NSF,POLITICAL,"The term 'culturally responsive' is used in the context of increasing representation in STEM by building on students' cultural assets and integrating cultural and science identities, indicating a focus on social equity and inclusion within STEM education.
"
18,culturally responsive,"the project will advance research related to culturally-relevant instructional activities in stem, peer-tutoring, and experiential learning opportunities inclusive of micro-credentialing. data collected in this research includes the following scales: general engineering self-efficacy scale (geses), culturally responsive teaching self-efficacy (crtse), and culturally responsive teaching outcome expectancy (crtoe). additionally, focus groups and survey research of all participants will provide a robust information to inform stem educational stakeholders.    this award reflects nsf's statutory mission and has been de",Building Undergraduate Capacity in STEM at a Hispanic Serving Institution utilizing Culturally-Relevant Instruction with Micro-Credentialing,NSF,SCIENTIFIC,"The grant text mentions ""culturally-relevant instructional activities in STEM"" and uses scales like ""culturally responsive teaching self-efficacy (crtse)"" and ""culturally responsive teaching outcome expectancy (crtoe)"" as data collection instruments. This indicates a technical and research-oriented application of the term within the field of education research.
"
19,culturally responsive,"ning participation knowledge of the hbcu-up stakeholder community, 2) transferring that knowledge to mainstreamed undergraduate stem reform communities without sacrificing meaning, and 3) positioning the hbcu-up stakeholder community to gain more knowledge.     specifically, the kmrc will utilize a culturally responsive, values-engaged approach to assess the nsf hbcu-up award portfolio, requiring both qualitative content analysis strategies and quantitative tests of significance to determine the effectiveness of the overall hbcu-up award portfolio. by integrating cultural historical activity theory (chat), an eval",A Knowledge Management Resource Center for the Historically Black Colleges and Universities – Undergraduate Program,NSF,POLITICAL,"The term ""culturally responsive"" in this context relates to being sensitive to and engaging with the values and cultural background of the HBCU stakeholder community. This points to a recognition of social and cultural factors, aligning it with a political context.
"
20,culturally responsive,"and analyzed at the student, institutional, and experiential learning program levels to provide evidence for practices supported and disseminated by alrise. triangulated findings from multi-level mixed methods research, and outcomes from formative and summative evaluation, will advance knowledge on culturally responsive practices, hsi intentionality, and as-yet undiscovered common challenges and synergies within and across alliance members. instilling intentionality to serve latinx students at the institutional level, and through asset-oriented educator professional development and coaching, will build capacity to",NSF INCLUDES Alliance: ALRISE - Accelerate Latinx Representation In STEM Education  with Institutional Intentionality and Capacity Building for Experiential Learning,NSF,POLITICAL,"The term 'culturally responsive practices' is used in the context of serving Latinx students in STEM education, indicating a focus on social equity and addressing the specific needs and backgrounds of a particular cultural group. This aligns with a political usage of the term, relating to social justice and representation.
"
21,culturally responsive,"hbcu-up research initiation award - in search of continuity: exploring the role of afroculturally responsive pedagogy in stem courses at hbcus non-technical abstract: the historically black colleges and universities undergraduate program (hbcu-up) research initiation award supports science, technology, engineering, and mathematics (stem) faculty with no prior or recent research funding to pursue research ",HBCU-UP Research Initiation Award - In Search of Continuity: Exploring the Role of Afroculturally Responsive Pedagogy in STEM Courses at HBCUs,NSF,POLITICAL,"The term ""culturally responsive"" is used in the context of pedagogy at HBCUs, specifically related to ""Afroculturally responsive pedagogy,"" which inherently connects to social, political, and identity contexts related to the African American community.
"
22,culturally responsive,"ng instructional faculty as leaders of educational change at hispanic-serving institutions with support from the improving undergraduate stem education: hispanic-serving institutions (hsi program), this track 1 project focuses on enabling non-tenure-eligible, instructional faculty to further foster culturally responsive, evidence-based approaches in engineering education at hispanic serving institutions (hsis). non-tenure-eligible engineering instructional faculty (eif) are an under-explored and under-supported population who play a critical role in students’ educational experiences within engineering. with the hi",Developing Engineering Instructional Faculty as Leaders of Educational Change at Hispanic-Serving Institutions,NSF,POLITICAL,"The term ""culturally responsive"" is used in the context of Hispanic-Serving Institutions and fostering approaches that are sensitive to the cultural backgrounds of the students. This leans towards a social, political, and identity context related to serving a specific demographic.
"
23,culturally responsive,"amily support to students of color and women in college success, choice of major and career.  a professional mentorship network between current stem students and alumni will capitalize on evidence that professional latinx/ hispanic role models influence stem success.  ongoing faculty development in culturally responsive teaching and a formalized administrative support structure will expand project impact across the college.       alverno’s project will advance knowledge by investigating the impact of a community engagement program on stem identity, improving retention and graduation into stem careers. the program ",HSI Implementation & Evaluation Project: Alverno College STEM Community Impact Program (SCIP),NSF,POLITICAL,"""Culturally responsive teaching"" is used in the context of supporting students of color and women, and referencing the influence of Latinx/Hispanic role models, which places it within a social, political, and identity context.
"
24,culturally responsive,"building on latinx families' strengths to model and promote informal science learning through a culturally responsive telenovela series families play a vital role in supporting children’s informal science learning. yet multiple studies have shown that latinx families, particularly in neighborhoods with a high poverty rate, face many barriers to accessing informal science experiences and environments. telenovelas, ",Building on Latinx families' strengths to model and promote informal science learning through a culturally responsive telenovela series,NSF,POLITICAL,"The term ""culturally responsive"" is used in the context of addressing barriers faced by Latinx families in accessing informal science learning, indicating a focus on social equity and cultural relevance which are hallmarks of political discourse.
"
25,culturally responsive,"ctice, the project will implement a novel, peer-reviewed podcast for broader impact. the project fellows will be prepared to engage in a wide range of science communication activities throughout their careers and lead related efforts at their home institutions. following a final workshop to develop culturally responsive guidance for science communication trainers, the project team will share findings to the field to inform future practice and societal impacts from advancing culturally relevant science communication in training programs. this innovations in development project is funded by the advancing informal st",Intercultural Science Communication Research and Training to Broaden Participation Among Historically Minoritized Science Practitioners,NSF,POLITICAL,"The term 'culturally responsive' is used in the context of broadening participation among historically minoritized science practitioners and developing guidance for science communication trainers, suggesting a focus on social and identity considerations in science communication.
"
