id,term,context,title,agency,classification,explanation
1,culturally responsive,"d dementias (ad/adrd) and more likely to rely on long-term services and supports (ltss) than their cisgender, heterosexual peers. without training in culturally responsive care of the ltss workforce, sgm residents are vulnerable to receiving inappropriate and/or inferior care contributing to poorer quality of life and h",NA,NIH,POLITICAL,"The term ""culturally responsive care"" is used in relation to SGM (sexual and gender minority) residents and the potential for inappropriate or inferior care, indicating a focus on social equity and identity-based considerations within healthcare.
"
2,culturally responsive,msm in the us project summary transgender men who have sex with men (trans msm) are at-risk of hiv acquisition in the us and require gender-affirming culturally responsive biobehavioral hiv prevention strategies. the goal of the proposed study is to assess the ability of digitally delivered peer-based strategies to impr,NA,NIH,SCIENTIFIC,"The term ""culturally responsive"" is used to describe the type of HIV prevention strategies needed for a specific at-risk population (trans MSM). This aligns with a scientific and technical approach to developing effective interventions.
"
3,culturally responsive,"ng in this module, using qualitative interviews. interview questions will be derived from a model highlighting five fundamental constructs to provide culturally responsive healthcare to diverse groups of patients, developed by campinha-bacote and colleagues. we will use an iterative process to improve the module content",NA,NIH,SCIENTIFIC,"The term 'culturally responsive' refers to a specific model used in healthcare research and intervention design aimed at improving healthcare delivery to diverse patient groups. This aligns with a technical/scientific application of the term.
"
4,culturally responsive,"lead researchers and experts in the field of sexual behavior of youth to share latest outcomes, 2) dissemination of research and resources to promote culturally responsive care and reduce disparities, 3) collegial, highly interactive opportunities for students and postdoctoral fellows to present their research and enhan",NA,NIH,POLITICAL,"The phrase ""culturally responsive care and reduce disparities"" links the term to issues of social equity and addressing inequalities within specific cultural groups, which falls under a political context.
"
5,culturally responsive,"ext of teaching and learning of mathematics? the project will collect quantitative data using content analysis and pre-and post-module data using the culturally responsive teaching outcome expectancy and self-efficacy surveys and qualitative data from prospective teachers assignments and reflections through coding, them",NA,NSF,SCIENTIFIC,"The term 'culturally responsive' is used to describe specific surveys (""culturally responsive teaching outcome expectancy and self-efficacy surveys"") which implies a technical and scientific application of the term within the research methodology.
"
6,culturally responsive,"ext of teaching and learning of mathematics? the project will collect quantitative data using content analysis and pre-and post-module data using the culturally responsive teaching outcome expectancy and self-efficacy surveys and qualitative data from prospective teachers assignments and reflections through coding, them",NA,NSF,SCIENTIFIC,"The term 'culturally responsive' is directly tied to specific measurement instruments (""culturally responsive teaching outcome expectancy and self-efficacy surveys""), suggesting its use in an operationalized, research-oriented context related to teaching outcomes.
"
7,culturally responsive,"model for a steam informal science learning conference project to address equity. all targeted outcomes will be iteratively measured using equitable, culturally responsive evaluation techniques. the project findings will be disseminated through traditional and nontraditional means with a focus on reaching a wide variety",NA,NSF,POLITICAL,"The term 'culturally responsive' is used in the context of addressing equity and reaching a wide variety of people, indicating a focus on social and political considerations related to cultural identity and fairness.
"
8,culturally responsive,"s in the hub’s inclusive mentoring practices through formative and summative evaluations; 4) provide professional development to support implementing culturally responsive, inclusive mentoring practices at annual summer institutes, and develop and refine online student, faculty, and industry training resources for evide",NA,NSF,POLITICAL,"The term 'culturally responsive' refers to the practice of adapting teaching and mentoring approaches to be sensitive to and inclusive of the diverse cultural backgrounds of students, which aligns with broader social and political goals of equity and inclusion.
"
9,culturally responsive,"s in the hub’s inclusive mentoring practices through formative and summative evaluations; 4) provide professional development to support implementing culturally responsive, inclusive mentoring practices at annual summer institutes, and develop and refine online student, faculty, and industry training resources for evide",NA,NSF,POLITICAL,"The term ""culturally responsive"" in the context of mentoring and professional development strongly suggests an awareness of and sensitivity to social, political, and identity-related factors within diverse groups. It implies an effort to address potential biases and inequalities within these practices.
"
10,culturally responsive,"ext of teaching and learning of mathematics? the project will collect quantitative data using content analysis and pre-and post-module data using the culturally responsive teaching outcome expectancy and self-efficacy surveys and qualitative data from prospective teachers assignments and reflections through coding, them",NA,NSF,SCIENTIFIC,"The term 'culturally responsive' is used in conjunction with 'teaching outcome expectancy and self-efficacy surveys,' suggesting it's part of a research methodology for measuring teaching effectiveness within a specific cultural context, making it a scientific application.
"
11,culturally responsive," to the knowledge base of broadening participation in informal stem learning.    through their independent research projects, graduated supports, and culturally responsive mentoring, the project has potential to impact participants abilities to make gains in the development of independent research skills, especially soc",NA,NSF,POLITICAL,"The term ""culturally responsive mentoring"" is used in the context of ""broadening participation"" and aims to improve the abilities of participants, suggesting a focus on equity and inclusion, which are political considerations.
"
