id,term,context,title,agency,classification,explanation
1,dei,"n the evidence-based health policy plus (hp+) ‘total’ facility hiv stigma-reduction intervention and contact theory, which have demonstrated efficacy in reducing race-related intergroup prejudice. transcends targets the clinics’ organizational (e.g., anti-racist and diversity, equity and inclusion [dei] policies) and systems (e.g., staff attitudes/behaviors) levels to affect patient (e.g., experienced and perceived discrimination, hiv care, mental health) outcomes and staff (e.g., job satisfaction) wellbeing, at the individual level. in aim 1, we will rigorously select 6 clinics from ethe areas e",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"DEI stands for Diversity, Equity, and Inclusion, which is a socio-political framework.
"
2,dei,"ufficient change in institutional environments, systems, and culture. over the past two years, the leadership of the university of south carolina (uofsc) has been intentional about transforming the institutional culture to one that embraces and expects a climate of diversity, equity, and inclusion (dei). uofsc’s strategic plan, released in 2020, includes eight priorities which were developed, vetted, and revised with intense participation of the campus community. the priorities include strategic priority #2 “assemble and cultivate a world class faculty and staff” and #4 “cultivate a more diverse,","Faculty Initiative for Improved Recruitment, Retention, and Experience (FIIRRE)",NIH,POLITICAL,"DEI refers to diversity, equity, and inclusion, which is a social and political concept related to creating a more just and representative environment within institutions.
"
3,dei," scientists, trainees, staff, and partners – establish consensus on essential common evaluation metrics and implement a streamlined process for collecting data to support the evaluation of rcmar center activities, including research, collaboration, mentoring, networking, stakeholder engagement, and deia. 3. develop new tools and leverage existing evidence-based tools to provide trainees, early career investigators, and mentors from diverse backgrounds with skills and technical support necessary to advance their professional growth and diversify the research workforce in the behavioral and social ",Resource Centers for Minority Aging Research National Coordinating Center (RCMARs NCC),NIH,POLITICAL,"'deia' is likely an acronym for Diversity, Equity, Inclusion, and Accessibility, which is a political and social context related to representation and fairness.
"
4,dei,"eary). he has assembled a team of three co‐mentors with expertise in health disparities (dr. romana hasnain‐wynia), community engagement (dr. donald nease), and implementation science (dr. amy huebschmann). moreover, he has an established partnership with the center for african american health (ms. deidre johnson) and support from 6 other distinguished experts. dr. williams proposes 3 sequential projects that build upon his training goals and prior work, which uncovered a stakeholder recommendation to improve vaccination confidence through personal stories.  digital stories are personal narrative",Digital Storytelling to Reduce Pediatric Influenza Vaccination Disparities: A Pilot Pragmatic Trial,NIH,AMBIGUOUS,"""dei"" is part of a name (Deidre Johnson), and without further context, it is impossible to determine if it has any other meaning or connection to scientific, political, or identity contexts within the provided text.
"
5,dei,"screen for cancer also need guidelines that are evidence-based and gender-affirming. accounting, age, ancillary study, androgens, body mass index, breast cancer detection, breast cancer risk factor, cancer control, characteristics, classification, cohort studies, communities, data, data collection, deimplementation, delphi study, detection, dose, equipment and supply inventories, estrogens, etiology, excretory function, exogenous hormone therapy, family cancer history, female breast carcinoma, gender, gender identity, glucocorticoids, gonadal structure, guidelines, health, high prevalence, hormon",SPECTRUM (Studying PRIDE to Enhance Cancer screening guidelines for TRansgender Users of gender-affirMing hormones),NIH,POLITICAL,"The grant title refers to ""PRIDE"", and the text focuses on gender-affirming care and transgender users. ""DEI"" commonly refers to Diversity, Equity, and Inclusion, a politically charged concept related to social justice and identity. Although the acronym ""DEI"" isn't explicitly used, the context strongly suggests its related themes.
"
6,dei," jointly recruit a cohort of exceptional and diverse junior faculty to the medical district in the three cluster areas of bio- medical engineering (bme), brain science, and cancer. our first programs will catalyze a cultural transfor- mation and increase diversity, equity, inclusion, accessibility (deia) and vitality of our faculty. the overall goal is to improve dei culture that will enhance recruitment of talents from urgs to become first scholars, and to nurture them through rigorous career development approaches to help them build their career and retain them in the long run. these achievemen",The Medical District UTSW-D FIRST Program,NIH,POLITICAL,"The term 'dei' refers to diversity, equity, and inclusion, which are concepts used in a social, political, and identity context.
"
7,dei,"s who focus on hispanic health disparities [hhd]. utep is a minority/hispanic-serving institution that is a focal point for education and biomedical research for people living on the united states-mexico border. the cornerstone is the operationalization of strategic diversity, equity and inclusion [dei] initiatives that will provide an integrative theme for addressing the first program goals of: (1) fostering sustainable institutional culture change; (2) promoting institutional inclusive excellence by hiring a diverse cohort of new faculty; and (3) supporting faculty development, mentoring, spons",UTEP FIRST: United Toward Equity and Progress: Faculty Institutional Recruitment for Sustainable Transformation,NIH,POLITICAL,"The term ""DEI"" (Diversity, Equity, and Inclusion) is used in the context of institutional initiatives aimed at promoting diversity and inclusion in hiring and faculty development, which is a social and political goal.
"
8,dei,"on um's successful collegiate fellows program, a fellows-to-faculty pipeline designed by co-i tabbye chavous, um's new chief diversity officer; since its inception, that program has successfully recruited 45 new tenure- track faculty with demonstrated commitments to diversity, equity and inclusion (dei). m-pact will broaden the reach of this robust pilot program by expanding from one unit to 11 biomedical and health science units across campus, and address an institutional gap, i.e., recruiting a critical mass of faculty committed to dei, which is needed for sustained impact. m-pact's administrat",Michigan Program for Advancing Cultural Transformation (M-PACT) in Biomedical and Health Sciences,NIH,POLITICAL,"The term 'dei' refers to diversity, equity, and inclusion, which are concepts primarily used in social, political, and organizational contexts to promote fairness and representation of different groups.
"
9,dei,"iative abstract agricultural workers are essential to the us economy and its food systems yet experience a “digital divide” that limits access to health services, including telehealth, and results in poor health outcomes. the purpose of the proposed agricultural workers digital equity initiative (awdei) is to transform agricultural workers’ access to affordable, reliable high-speed broadband internet to enhance telehealth models and reduce health inequities. the proposed awdei will engage community-based partners across north carolina (nc) that serve agricultural workers and their families. the p",Agricultural Workers Digital Equity Initiative,NIH,POLITICAL,"""Digital equity initiative"" refers to fairness and justice in access to digital resources, which is inherently a social and political issue.
"
10,dei," nih/aro/nsf that span a range of disciplines intersecting with biomedical sciences. in this grant, we have identified faculty mentors dedicated to training undergraduates, a track record of advancing them to research- intensive careers, and a sincere commitment to diversity, equity, and inclusion (dei) values. this effort is further supported by qc’s administration which intends to institutionalize undergraduate training in biomedical research through curricular offerings (formalized courses), professional development, ethics, and dei workshops open to the broader qc undergraduate community. thi","U-RISE at Queens College, CUNY",NIH,POLITICAL,"DEI stands for Diversity, Equity, and Inclusion, which is a concept related to social justice and political movements.
"
11,dei,"es and cultures into psychologically healthy workplaces where latina faculty can thrive in ways that maximize their scholarly productivity and advancement. the project scope encompasses four objectives, and related activities: 1) expose department change leaders to diversity, equity, and inclusion (dei) information and evidence-based practices via a newly created advancing latina faculty in stem community of practice (cop); 2) engage stem department change leaders in an annual spring advancing latina faculty in stem summit for networking and resource sharing; 3) enable annual cohorts of stem depa",ADVANCE Partnership: Transforming HSI STEM Departmental Climate for Faculty Success,NSF,POLITICAL,"DEI stands for diversity, equity, and inclusion, which are concepts related to social justice and political identity.
"
12,dei,"understanding when diversity, equity and inclusion (dei) work ""counts"" in faculty evaluation this study aims to increase diversity in stem academic workplaces by testing “nudge” interventions to help diversity, equity, and inclusion (dei) work matter in promotion and tenure decision-making. nudges refer to deliberate changes to the decision-making conte","Understanding When Diversity, Equity and Inclusion (DEI) Work ""Counts"" in Faculty Evaluation",NSF,POLITICAL,"The term 'dei' (Diversity, Equity, and Inclusion) is being used in the context of faculty evaluation and promotion/tenure decision-making, which are inherently linked to social and political considerations within academic institutions. The goal of increasing diversity in STEM also points to a politically charged goal.
"
13,dei,"infrastructure, and collaborations with other hsis, such as the south texas college in the rio grande valley.      by utilizing curricula, pedagogies, and learning frameworks that are typically used in the mexican american studies courses, this program will address diversity, equity, and inclusion (dei) through the multidimensional intersectional framework for multiple social identities, domains of power, and historicity. existing stem courses in mathematics, chemistry and physics that are required for the general education core will be revised to include a family-centered class project that is c",HSI Institutional Transformation Project: Improving Undergraduate STEM Education Through Family-Centered Pedagogy,NSF,POLITICAL,"The term ""DEI"" (diversity, equity, and inclusion) is used in the context of addressing social identities, domains of power, and historicity, which are inherently social and political concepts, particularly within the context of improving STEM education in a Hispanic Serving Institution (HSI).
"
14,dei,"ls, and utilization of culturally sensitive, inclusive, and active learning pedagogy; (2) increased stem student retention, term-to-term persistence, course success, and transfer rate, and closing of student equity gaps; (3) contributions to the knowledge-base about diversity, equity and inclusion (dei) in stem.  the project will create a stem faculty learning community (flc) to develop and implement equity-minded, evidence-based practices proven effective for supporting hispanic and other underrepresented students to succeed in postsecondary stem education. research will contribute to the knowle",Closing STEM Student Academic Performance Equity Gaps Through Student Research Exposure and Faculty Professional Development in Pedagogy and Curricular Innovation,NSF,POLITICAL,"The abbreviation ""dei"" stands for ""diversity, equity, and inclusion,"" which are concepts heavily associated with social and political movements aiming to address systemic inequalities.
"
15,dei,"advance partnership: access+ initiative to leverage stem professional societies to accelerate diversity, equity, and inclusion systemic change in stem academic professions after two decades of advance-funded research on gender-related diversity, equity, and inclusion (dei) change strategies, the problem is not so much a lack of evidence-based policies and practices, but rather varied and unsystematic awareness, knowledge, and adoption of these strategies. the goal of the access+ initiative is to accelerate the awareness and adoption of policies and practices develop","ADVANCE Partnership: ACCESS+ Initiative to Leverage STEM Professional Societies to Accelerate Diversity, Equity, and Inclusion Systemic Change in STEM Academic Professions",NSF,POLITICAL,"DEI stands for Diversity, Equity, and Inclusion, which are concepts related to social and political issues of representation and fairness.
"
16,dei,"y that develops both pedagogical skills and interdisciplinary research projects that facilitate undergraduate internship opportunities in partnership with non-profit and government agencies. cees will provide internship experiences anchored in principles of diversity, equity, inclusion and justice (deij). building on cluster hiring in racial environmental justice, this project aims to serve 1000 students through cees, mentor 300 students, develop 300 internships, and train 75 faculty across two hsi campuses in professional development activities. the hsi program aims to enhance undergraduate stem",HSI Institutional Transformation Project: Center for Equitable Environmental Sciences,NSF,POLITICAL,"The acronym ""DEIJ"" (Diversity, Equity, Inclusion, and Justice) is used in the context of creating equitable opportunities and addressing social issues, indicating a political/social justice context rather than a purely scientific one.
"
17,dei,"ucture to increase the speed and scale of equitable stem education research.    the network will bring together stakeholders from five core communities: stem education research, formal education, informal education, participatory and community-engaged research, and diversity, equity, and inclusion (dei) research. through two in-person large meetings, multiple in-person small meetings, and virtual meetings, the network will plan the development and pilot testing of 1) a geographically distributed facility and field site infrastructure, and 2) a federated, interoperable digital infrastructure. fiel",Transforming STEM Education through Participatory and Community-Engaged Research:   An Incubator Project,NSF,POLITICAL,"DEI stands for diversity, equity, and inclusion, which is a social and political framework.
"
18,dei,"collaborative research: research: intersections between diversity, equity, and inclusion (dei) and ethics in engineering efforts focused on diversity, equity, and inclusion (dei) and ethics are often siloed in engineering. while generally pursued as separate lines of investigation, we hypothesize that the aims, objectives, and goals pertaining to ethics and dei often overlap. by investigati","Collaborative Research: Research: Intersections between Diversity, Equity, and Inclusion (DEI) and Ethics in Engineering",NSF,POLITICAL,"DEI refers to Diversity, Equity, and Inclusion, which are concepts central to social and political discourse, especially in the context of organizations and institutions.
"
19,dei,"gender diversifications in the field of physics and is an excellent example of a successful capacity building program. the knowledge of fundamental physics and the associated necessary technical skills are excellent motivations for students of science. in this regard, asp is an essential avenue for dei (diversity, equity and inclusion) in the field of physics in general, which is dominated by non-african ethnic groups and by males. the goals of asp are to build capacity to harvest, interpret and exploit the results of current and future physics experiments and to increase proficiency in related a",Support for Biennial African School of Fundamental Physics 2024,NSF,POLITICAL,"DEI (Diversity, Equity, and Inclusion) is a framework used to address systemic inequalities and promote representation within groups, which is a political and social context.
"
20,dei,"on.” the toolkit will help department leaders create and sustain positive departmental environments that lead to success for all faculty.  the project will empower department leaders so that they can, create assessments that credit faculty for their work in diversity, equity, inclusion and justice (deij) (inclusive assessment), promote a “whole person” approach to recognizing and supporting faculty needs (support across the faculty lifecycle), and cultivate future leaders with deij-focused skills and strategies (diversifying leadership).    the sieds toolkit will 1) identify and address biases du",Collaborative Research: ADVANCE PARTNERSHIP: STEM Intersectional Equity in Departments (SIEDS): A Partnership for Inclusive Work Cultures,NSF,POLITICAL,"""deij"" is an acronym for diversity, equity, inclusion, and justice, which are concepts related to social and political issues.
"
