id,term,context,title,agency,classification,explanation
1,deij,"y that develops both pedagogical skills and interdisciplinary research projects that facilitate undergraduate internship opportunities in partnership with non-profit and government agencies. cees will provide internship experiences anchored in principles of diversity, equity, inclusion and justice (deij). building on cluster hiring in racial environmental justice, this project aims to serve 1000 students through cees, mentor 300 students, develop 300 internships, and train 75 faculty across two hsi campuses in professional development activities. the hsi program aims to enhance undergraduate stem ",HSI Institutional Transformation Project: Center for Equitable Environmental Sciences,NSF,POLITICAL,"The term ""diversity, equity, inclusion and justice (deij)"" is being used in the context of social equity and access to opportunities, which aligns with political and social justice concepts rather than a purely scientific usage.
"
2,deij,"on.” the toolkit will help department leaders create and sustain positive departmental environments that lead to success for all faculty.  the project will empower department leaders so that they can, create assessments that credit faculty for their work in diversity, equity, inclusion and justice (deij) (inclusive assessment), promote a “whole person” approach to recognizing and supporting faculty needs (support across the faculty lifecycle), and cultivate future leaders with deij-focused skills and strategies (diversifying leadership).    the sieds toolkit will 1) identify and address biases dur",Collaborative Research: ADVANCE PARTNERSHIP: STEM Intersectional Equity in Departments (SIEDS): A Partnership for Inclusive Work Cultures,NSF,POLITICAL,"The term ""deij"" stands for diversity, equity, inclusion, and justice, which are concepts central to social and political discourse, particularly in the context of creating inclusive work environments.
"
3,deij,"on.” the toolkit will help department leaders create and sustain positive departmental environments that lead to success for all faculty.  the project will empower department leaders so that they can, create assessments that credit faculty for their work in diversity, equity, inclusion and justice (deij) (inclusive assessment), promote a “whole person” approach to recognizing and supporting faculty needs (support across the faculty lifecycle), and cultivate future leaders with deij-focused skills and strategies (diversifying leadership).    the sieds toolkit will 1) identify and address biases dur",Collaborative Research: ADVANCE PARTNERSHIP: STEM Intersectional Equity in Departments (SIEDS): A Partnership for Inclusive Work Cultures,NSF,POLITICAL,"The term 'deij' stands for diversity, equity, inclusion, and justice, which are concepts related to social and political movements advocating for fairness and representation.
"
4,deij,"ees granted and degrees granted to those underrepresented in the field. professional societies play a unique role in facilitating culture change within stem disciplines by establishing and reinforcing norms and practices that advance greater diversity, equity, inclusion, justice, and accessibility (deija). they are also important avenues for training students and professionals in relevant skills and in developing networks necessary to progress in their careers. culture change in professional societies scales up to impacts on members, their home institutions, and beyond. the coastal and estuarine r",Collaborative Research: IMPLEMENTATION: C-COAST: Changing the Culture of our Occupations to Achieve Systemic Transformation,NSF,POLITICAL,"The term 'deija' (likely intended to be 'DEIJA', standing for Diversity, Equity, Inclusion, Justice, and Accessibility) is used in the context of culture change, underrepresentation in STEM, and the role of professional societies in promoting these values. This falls squarely within the realm of social and political issues related to identity and representation.
"
5,deij,"ees granted and degrees granted to those underrepresented in the field. professional societies play a unique role in facilitating culture change within stem disciplines by establishing and reinforcing norms and practices that advance greater diversity, equity, inclusion, justice, and accessibility (deija). they are also important avenues for training students and professionals in relevant skills and in developing networks necessary to progress in their careers. culture change in professional societies scales up to impacts on members, their home institutions, and beyond. the coastal and estuarine r",Collaborative Research: IMPLEMENTATION: C-COAST: Changing the Culture of our Occupations to Achieve Systemic Transformation,NSF,POLITICAL,"The term 'deija' (likely intending DEIA or DEIJA) stands for diversity, equity, inclusion, justice, and accessibility. These are concepts relating to social justice and identity, making the context political.
"
6,deij,"ees granted and degrees granted to those underrepresented in the field. professional societies play a unique role in facilitating culture change within stem disciplines by establishing and reinforcing norms and practices that advance greater diversity, equity, inclusion, justice, and accessibility (deija). they are also important avenues for training students and professionals in relevant skills and in developing networks necessary to progress in their careers. culture change in professional societies scales up to impacts on members, their home institutions, and beyond. the coastal and estuarine r",Collaborative Research: IMPLEMENTATION: C-COAST: Changing the Culture of our Occupations to Achieve Systemic Transformation,NSF,POLITICAL,"The acronym ""deija"" stands for diversity, equity, inclusion, justice, and accessibility, which are all concepts related to social and political ideals.
"
7,deij,"egories of broader impacts: (1) fostering stakeholder engagement among three ornithological societies, non-profit organizations, governmental agencies, and minority-serving institutions and societies; (2) providing educational and training opportunities in diversity, equity, inclusion, and justice (deij) for a postdoctoral scholar and summer multicultural academic opportunities program undergraduate scholars; (3) disseminating findings of the project beyond academia; and (4) broadening the diversity of scholars who are engaged in deij research.    this award reflects nsf's statutory mission and ha",Collaborative Research: DESIGN: Co-creation of affinity groups to facilitate diverse & inclusive ornithological societies,NSF,POLITICAL,"The term 'deij' refers to diversity, equity, inclusion, and justice, which are concepts related to social justice, identity, and political ideals within organizations and research.
"
8,deij,"ees granted and degrees granted to those underrepresented in the field. professional societies play a unique role in facilitating culture change within stem disciplines by establishing and reinforcing norms and practices that advance greater diversity, equity, inclusion, justice, and accessibility (deija). they are also important avenues for training students and professionals in relevant skills and in developing networks necessary to progress in their careers. culture change in professional societies scales up to impacts on members, their home institutions, and beyond. the coastal and estuarine r",Collaborative Research: IMPLEMENTATION: C-COAST: Changing the Culture of our Occupations to Achieve Systemic Transformation,NSF,POLITICAL,"The term 'deija' is used as shorthand for diversity, equity, inclusion, justice, and accessibility, which are concepts related to social and political issues within STEM fields.
"
9,deij,"ees granted and degrees granted to those underrepresented in the field. professional societies play a unique role in facilitating culture change within stem disciplines by establishing and reinforcing norms and practices that advance greater diversity, equity, inclusion, justice, and accessibility (deija). they are also important avenues for training students and professionals in relevant skills and in developing networks necessary to progress in their careers. culture change in professional societies scales up to impacts on members, their home institutions, and beyond. the coastal and estuarine r",Collaborative Research: IMPLEMENTATION: C-COAST: Changing the Culture of our Occupations to Achieve Systemic Transformation,NSF,POLITICAL,"The term 'deija' refers to diversity, equity, inclusion, justice, and accessibility, which are concepts central to social and political discussions about fairness and representation.
"
10,deij,"on.” the toolkit will help department leaders create and sustain positive departmental environments that lead to success for all faculty.  the project will empower department leaders so that they can, create assessments that credit faculty for their work in diversity, equity, inclusion and justice (deij) (inclusive assessment), promote a “whole person” approach to recognizing and supporting faculty needs (support across the faculty lifecycle), and cultivate future leaders with deij-focused skills and strategies (diversifying leadership).    the sieds toolkit will 1) identify and address biases dur",Collaborative Research: ADVANCE PARTNERSHIP: STEM Intersectional Equity in Departments (SIEDS): A Partnership for Inclusive Work Cultures,NSF,POLITICAL,"The term 'deij' stands for diversity, equity, inclusion, and justice, which are concepts related to social justice and political discourse, particularly in the context of workplace environments and representation.
"
