id,term,context,title,agency,classification,explanation
1,disabilities,"e wellbeing and flourishing of individuals and communities. however, societal dynamics of power and oppression pattern access to these services, presenting disproportionate barriers to younger people, individuals who identify as black, indigenous, and people of color (bipoc individuals), those with disabilities and chronic disease, individuals who are transgender or gender-nonconforming (tgnc individuals), and people of lower socioeconomic status. one exacerbating factor for these health inequities is the social stigmatization of sexuality, which compels individuals to keep their utilization of srh servic",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The term 'disabilities' is used within a list of groups facing disproportionate barriers to healthcare access due to societal power dynamics and oppression, which is a political and social justice context.
"
2,disabilities," develop pilot data correlating features of od and neurologic outcomes with anatomic and inflammatory changes in the brain. these studies will inform strategies for counseling the public about demographic risk factors for experiencing covid-19 related od, associate risks for additional neurological disabilities, and provide the foundation for future investigation into imaging modalities to evaluate the central processing of olfaction and monitor outcomes of clinical trials for od interventions. 2019-ncov, address, affect, alzheimer', s disease, anatomy, anosmia, autoimmune diseases, awareness, biological ",Neurocognitive & neuropsychiatric impact of chemosensory alterations: Implications of olfactory dysfunction in COVID-19,NIH,SCIENTIFIC,"The text discusses neurological disabilities in the context of COVID-19 related olfactory dysfunction and neurological outcomes, aligning with a scientific and medical application of the term.
"
3,disabilities,"eking a better understanding of how polygenic scores apply specifically to them, and not just the cisgender proportional majority. address, adult, age, biomedical research, birth, calibration, cardiometabolic disease, categories, collaborations, communities, complex, data, descriptor, developmental disabilities, dimensions, discipline, disease, disparity, dissociation, eating disorders, education, emotional, equity, ethics, exclusion, female, gender, gender identity, genetic, genetic research, genetic risk, genomics, genotype, grant, health, heterogeneity, immune system diseases, individual, language, law",A novel approach for equitable characterization of gender and its use in exposing subgroup discrepancies in polygenic score associations,NIH,SCIENTIFIC,"The term ""developmental disabilities"" appears alongside other terms related to biomedical research, disease, and health, suggesting a scientific or medical context for its use.
"
4,disabilities," multidimensional aging science program: mstem scholars trained in aging research (mstem star) project summary / abstract in medicine, science, technology, engineering and mathematics (mstem), there is a shortage of underrepresented students (i.e., ethnic minorities, women, lgbtq+, individuals with disabilities, first- generation students, and those from low-income or otherwise disadvantaged backgrounds) who devote their careers to issues that affect an aging population. california state university, fullerton (csuf), a hispanic- serving institution, proposes to implement a multidimensional aging science r",A Multidimensional Aging Science Program: MSTEM Scholars Trained in Aging Research (MSTEM STAR),NIH,POLITICAL,"The term 'disabilities' is used as part of a list of underrepresented groups in STEM, which is a social and political context. The goal is to address inequities in career opportunities.
"
5,disabilities,"ions between genes and the environment, thus allowing researchers to find better ways to improve health and prevent diseases. the training in genomics research (tiger) track will engage students from under-represented populations, such as those from racial and/or ethnic minority groups, people with disabilities, those from sexual and gender minority groups, and those from disadvantaged backgrounds. the program will target qualified candidates from these under-represented communities with undergraduate degrees in computer science, mathematics, or statistics with limited or no experience working with genomi",Training in Genomics Research (TiGeR),NIH,POLITICAL,"The term 'disabilities' is used to identify a specific under-represented population group in the context of promoting diversity and inclusion within a research program. This aligns with a social and political understanding of disabilities as a factor contributing to under-representation.
"
6,disabilities,"disability, diversity and trust in precision medicine research: stakeholdersengagement people with disabilities are estimate at 22% of the population and the largest health disparity group in the u.s. including them in precision medicine research (pmr) is vital to attaining tailored scientific findings, assuring health equity and upholding the equality of people with disabilities. studies of racial/ethnic mi","Disability, diversity and trust in precision medicine research: stakeholdersengagement",NIH,POLITICAL,"The context emphasizes health equity and the inclusion of people with disabilities as a large health disparity group, linking the term to social justice and equality, which are political considerations.
"
7,disabilities,"ive health sciences of biostatistics and epidemiology, as applied to heart, lung, blood, and sleep (hlbs) research. our target audience comprises undergraduates who are under-represented in biomedical research (those from disadvantaged backgrounds, racial and ethnic minorities, and individuals with disabilities), and who will contribute to a more diverse research workforce in the future. students will learn to analyze data from research studies in heart, lung, blood, and sleep (hlbs) disorders. the program has been running for the past 10 years, and has already successfully “graduated” 124 individuals: al",BEST-DP: Biostatistics & Epidemiology Summer Training Diversity Program,NIH,POLITICAL,"The term ""disabilities"" is used within the context of under-represented groups in biomedical research, aligning with social equity and diversity initiatives, which is a political context.
"
8,disabilities,"diverse and underrepresented communities. furthermore, this proposal will enhance the infrastructure of equity and education at stanford university, introducing genetics and genomics research experiences to underrepresented minority, first generation college students, female students, students with disabilities, and lgbtq+ students who would otherwise lack such opportunities. this will allow them to experience a broad spectrum of research, and to acquire skills -- such as data analysis used in modern scientific investigations -- while preparing them for careers in genomics science as well as developing a ",Genomics Diversity Summer Program (GDSP) at Stanford,NIH,POLITICAL,"The term 'disabilities' is used within the context of identifying underrepresented groups and promoting equity in education and research opportunities. This aligns with a social and political understanding of disability as a factor contributing to systemic disadvantage.
"
9,disabilities,"d transgender (lgbt) population is estimated to be between 9 and 11 million (3.5–4.5%). the lgbt population has been identified as having poorer health than their non-lgbt peers on many dimensions. although we know less about older lgbt adults, they are of special interest since chronic disease and disabilities increase with age and disparities often emerge or widen, making older lgbt adults an at-risk population. the national academy of medicine (nam) has issued two reports on the state of lgbt health, both of which call for more targeted research aimed at understanding the sources and consequences of th",Sampling Strategies and Measure Development for the LGBT Aging Project (SAMLAP),NIH,SCIENTIFIC,"The text refers to the increase of ""chronic disease and disabilities"" with age, placing it in a health and age-related scientific context.
"
10,disabilities,"n this proposal, we are requesting funds for student travel awards that will increase the quality, visibility, interdisciplinary contribution, health relevance, and accessibility of the conference for students from underrepresented populations, including women, racial/ethnic minorities, people with disabilities, and first- generation college students. these student travel awards are a key piece not only for ensuring that the bucld continues to be a high-quality venue for the above activities, but also for allowing the conference to grow in important new directions that are demonstrated priorities for the ","Boston University Conference on Language Development, 2022-2026",NIH,POLITICAL,"The term 'disabilities' is used within a list of underrepresented populations, which aligns with social and political considerations of equity and inclusion.
"
