id,term,context,title,agency,classification,explanation
1,disabilities,"n this proposal, we are requesting funds for student travel awards that will increase the quality, visibility, interdisciplinary contribution, health relevance, and accessibility of the conference for students from underrepresented populations, including women, racial/ethnic minorities, people with disabilities, and first- generation college students. these student travel awards are a key piece not only for ensuring that the bucld continues to be a high-quality venue for the above activities, but also for allowing the conference to grow in important new directions that are demonstrated priorities for the ","Boston University Conference on Language Development, 2022-2026",NIH,POLITICAL,"The term ""disabilities"" is used within a list of underrepresented populations, which is a social and political context related to equity and inclusion.
"
2,disabilities,"e wellbeing and flourishing of individuals and communities. however, societal dynamics of power and oppression pattern access to these services, presenting disproportionate barriers to younger people, individuals who identify as black, indigenous, and people of color (bipoc individuals), those with disabilities and chronic disease, individuals who are transgender or gender-nonconforming (tgnc individuals), and people of lower socioeconomic status. one exacerbating factor for these health inequities is the social stigmatization of sexuality, which compels individuals to keep their utilization of srh servic",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The term 'disabilities' is used within a list of groups that face disproportionate barriers to healthcare access due to societal dynamics of power and oppression, indicating a focus on social equity and political considerations.
"
3,disabilities,"have prioritized education initiatives to support u.s. students' achievement in stem. however, evidence indicates ongoing challenges in increasing mathematics and science outcomes, particularly for students from minoritized groups, including students of color, low-income students, and students with disabilities. to address this issue, teachers need access to evidence-based interventions to tailor their instruction and meet these students' learning needs, thus increasing their access to the science and math curricula. yet, there is still much to learn about the most effective math and science interventions",A Postdoctoral Fellowship in Systematic Reviews and Meta-Analyses,NSF,POLITICAL,"The term 'disabilities' is used within a context of educational equity and achievement gaps among different student groups, specifically in relation to minoritized groups and access to resources. This framing aligns with a social and political understanding of disability as a factor contributing to disparities.
"
4,disabilities,"ions between genes and the environment, thus allowing researchers to find better ways to improve health and prevent diseases. the training in genomics research (tiger) track will engage students from under-represented populations, such as those from racial and/or ethnic minority groups, people with disabilities, those from sexual and gender minority groups, and those from disadvantaged backgrounds. the program will target qualified candidates from these under-represented communities with undergraduate degrees in computer science, mathematics, or statistics with limited or no experience working with genomi",Training in Genomics Research (TiGeR),NIH,POLITICAL,"The term ""disabilities"" is used within a list of under-represented populations targeted for inclusion in the research program. This aligns with a social and political context focusing on equity and diversity.
"
5,disabilities,"advance partnership: accessadvance accessadvance is an nsf advance partnership project that is designed to increase the participation and advancement of individuals who identify as women with disabilities in academic science, technology, engineering, and math (stem) careers. female faculty with disabilities in stem fields is an understudied and often invisible population. issues related to this population are particularly important to address because any faculty member may at some point in their car",ADVANCE Partnership: AccessADVANCE,NSF,POLITICAL,"The term 'disabilities' is used in the context of addressing underrepresentation and promoting the advancement of a specific group (women with disabilities) in STEM fields, indicating a focus on social equity and inclusion, which falls under a political context.
"
6,disabilities,"beyond access and participation in csforall: measuring equitable cs learning environments. there is a need to broaden participation and engagement in computer science, particularly for students who are underrepresented including girls, students who are black or latinx, students with disabilities, low-income students, english language learners, and students living in rural communities.  as schools, districts, and researchers work toward this goal, they need tools to measure how new approaches to teaching and learning computer science are supporting the success of all students. the goal of t",Beyond Access and Participation in CSforAll: Measuring Equitable CS Learning Environments.,NSF,POLITICAL,"The term ""disabilities"" is used within a list of underrepresented groups, highlighting a focus on equity and inclusion, which is inherently a political and social concern.
"
7,disabilities,"rgets for future interventions to increase mental health related help seeking in students at six different institutions across the united states. this improvement in help seeking will improve the mental health and academic outcomes of diverse engineering students, including those with mental health disabilities.    this project will apply a mixed-methods approach to improve and refine the engineering mental health help-seeking instrument (emhhi) based on the integrated behavioral model (ibm) to characterize key mental health help-seeking beliefs in diverse undergraduate engineering students. through this ",Research: Identifying intervention targets to increase mental health help seeking in undergraduate engineers,NSF,SCIENTIFIC,"The term ""disabilities"" is used in the context of mental health conditions affecting academic outcomes, aligning with a scientific investigation into mental health and help-seeking behaviors.
"
8,disabilities,"beyond compliance: workplace barriers, access, and inclusive policies impacting people with disabilities in the stem workforce the national academies are conducting a conference to address, examine and explore broad issues related to the accessibility and inclusivity of stem workplaces for persons with disabilities, and highlighting their success in the stem workforce. the national academies’ board on","Beyond Compliance: Workplace Barriers, Access, and Inclusive Policies Impacting People with Disabilities in the STEM Workforce",NSF,POLITICAL,"The text discusses accessibility, inclusivity, and policies related to employment, which are all social and political considerations.
"
9,disabilities,collaborative research: synthesis of the barriers and solutions in stem postsecondary settings for undergraduate students with disabilities the university of texas at austin and the university of mississippi are conducting a research synthesis study of the barriers and solutions in postsecondary stem training settings for students with disabilities. the lack of full inclusion of people with disabilities in the stem workforce is a misse,Collaborative Research: Synthesis of the Barriers and Solutions in STEM Postsecondary Settings for Undergraduate Students with Disabilities,NSF,SCIENTIFIC,"The term ""disabilities"" is used in the context of a research study investigating barriers and solutions in STEM education for undergraduate students. This aligns with a technical and scientific application of the term.
"
10,disabilities," before the event, making it an excellent opportunity for additional training, learning, and networking. unfortunately, financial constraints have traditionally limited the participation of disadvantaged students from underrepresented groups in engineering, including women, minorities, persons with disabilities, veterans, and first-generation students. therefore, this award will provide travel support to enable the involvement of those students who are typically unable to attend professional conferences. the travel support program also targets students from non-r1 institutions. these accessibility efforts","Participant Support for 2024 American Control Conference (ACC); Toronto, Ontario, Canada; 8-12 July 2024",NSF,POLITICAL,"The term ""disabilities"" is used within a list of underrepresented groups in engineering, highlighting a social and political concern regarding equitable access to professional opportunities.
"
