id,term,context,title,agency,classification,explanation
1,disability,"ditions will be used to determine whether the educational modules are associated with increases in knowledge and self-efficacy in appropriately handling racial and intersectional macroaggressions and microaggressions. address, awareness, behavior, belief, biomedical research, data, decision making, disability status, discrimination, education, educational curriculum, educational process of instructing, employment, ensure, environment, equilibrium, ethnic origin, evaluation, faculty, feedback, force of gravity, fostering, gender, goals, health, healthcare, hospitals, hour, impairment, individual, inequit",Developing Modules to Address Microaggressions and Discriminatory Behaviors,NIH,POLITICAL,"The term ""disability status"" appears alongside terms like ""racial,"" ""ethnic origin,"" and ""gender,"" suggesting a focus on identity and potential discrimination, which aligns with a political context.
"
2,disability,"h personnel, research training, resource sharing, resources, scientist, sex orientation, site, sociology, students, time, training, training programs, underrepresented minority, underrepresented students, universities, work, career, cohort, computer science, cooking, data cleaning, data management, disability, doctoral student, early-career faculty, equity  diversity  and inclusion, evidence base, experience, faculty mentor, fitbit, graduate student, innovation, interest, knowledge integration, large scale data, mathematical sciences, member, mid-career faculty, minority investigator, minority undergrad",Building a Diverse Network to Support and Build Pathways for Historically Underrepresented Students in Quantitative-Focused Research Areas Within the All of Us Research Program,NIH,POLITICAL,"The term 'disability' appears within a list of terms associated with equity, diversity, and inclusion initiatives, specifically related to underrepresented groups.
"
3,disability,"a will be collected to evaluate participant engagement, explore the project’s impact on participants’ engineering self-efficacy, identity, and understanding of the engineering design process, and determine a change in community collaborators. in sum, eciia will lead to the development of vr that is disability-responsive and lay the groundwork for change by building a network of community collaborators to broaden participation and foster authentic inclusion in the field.    this project is funded by nsf’s eddie bernice johnson inclusion across the nation of communities of learners of underrepresented dis",NSF INCLUDES Design & Development Launch Pilots (DDLPs): Engineering Community Inclusion of Individuals with Autism (ECIIA),NSF,POLITICAL,"The term ""disabilities"" is used in the context of ""underrepresented dis[abilities]"" which relates to social inclusion and equity, making it a political usage.
"
4,disability,"recovery in sgm survivors, thereby improving understanding on multi-level areas for additional exploration to improve health disparities in these populations. address, adherence, area, articulation, behavioral, caring, child abuse, clinical, collaborations, communities, data, data set, development, disability status, discrimination, disparity, domestic violence, effectiveness, effectiveness of interventions, ensure, ethnic origin, ethnography, face, foundations, future, gender, gender identity, gender expansive, goals, hiv, hate, health, health disparities research, health priorities, health services, h",Advancing help-seeking and recovery measures for sexual and gender minority survivors of gender-based violence,NIH,POLITICAL,"The term ""disability status"" is listed alongside other social determinants of health and experiences of marginalization like ""discrimination,"" ""disparity,"" ""ethnic origin,"" ""gender identity,"" and ""domestic violence,"" suggesting a focus on social and political factors that contribute to health disparities.
"
5,disability,"evelopment. alliance activities are addressing non-inclusive practices and creating welcoming spaces for members of these groups as they ascend to careers in academia. the alliance is working to improve the understanding of intersecting identities around ethnicity, race, gender, sexual orientation, disability, economic background, first generation status, faculty role and discipline, and family and community roles, as intersectional identities inform professional development activities for doctoral candidates, postdoctoral research scholars, and early career faculty members, as well as professional deve","AGEP FC-PAM: The University of Texas System Alliance: An Inclusive Model of Mentoring, Sponsorship, and Systemic Change for Diversity in STEM Faculty Career Paths",NSF,POLITICAL,"The term 'disability' is listed among other aspects of social identity (ethnicity, race, gender, sexual orientation, economic background, etc.) as part of an effort to promote diversity and inclusion in academia. This suggests a focus on social justice and representation, which aligns with a political context.
"
6,disability,", research, research personnel, research proposals, resources, science, scientist, secure, services, system, training, translational research, travel, united states, united states national institutes of health, woman, work, autism spectrum disorder, career, chronic pain, cost, demographics, design, disability, experience, improved, innovation, member, mobile application, multidisciplinary, outreach, practical application, programs, recruit, skills, socioeconomics, success, symposium, working group","PURPOSE: Positively Uniting Researchers of Pain to Opine, Synthesize, and Engage",NIH,AMBIGUOUS,"The term 'disability' appears in a list of terms related to research and demographics, but without more context, it's unclear if it refers to a specific research focus, participant characteristics, or a broader consideration of accessibility/inclusion.
"
7,disability,"ision-making. there are no validated measures to capture the care preferences, needs, and care-related experiences of youth with vst, or the health disparities these young people face, including intragroup vst disparities (e.g., those with/without interdisciplinary care access or neurodevelopmental disability). therefore, this proposal, which builds on three nih-funded pilot projects, finalizes the development, calibration, and validation of a vst self-advocacy tool, called the vista (variations in sex traits advocacy tool), to capture youth needs and preferences and the disparities they face. aim 1 exp",Equitable Measurement of Care Disparities and Needs in Intersex Youth/Youth with Variations in Sex Development,NIH,SCIENTIFIC,"The term ""neurodevelopmental disability"" is used in a clinical and research-oriented manner to describe a specific health condition that can impact access to interdisciplinary care.
"
8,disability,"tribute to advancing persons with disabilities working in stem research settings.     the virtual conference workshop is designed to engage with stakeholders who are persons with disabilities, and those who are not. all planned activities are accessible to any committee member or stakeholder with a disability to ensure that the lived experiences of persons with disabilities are included. accessible conference proceedings and commissioned papers, and other products, will be made available to the public. results from the workshop are expected to inform a national agenda for research about the accessibilit","Beyond Compliance: Workplace Barriers, Access, and Inclusive Policies Impacting People with Disabilities in the STEM Workforce",NSF,POLITICAL,"The text focuses on access, inclusion, and policies related to people with disabilities in the STEM workforce, which are all aspects of social and political equity. The reference to compliance and a national agenda further points to a political context.
"
9,disability,"tion. 16s ribosomal rna sequencing, 37 weeks gestation, address, affect, biological markers, birth, clinical, clinical data, computational biology, data, data analyses, early diagnosis, elements, environmental risk factor, foundations, future, genomics, growth, intervention, investigation, lifelong disability, maternal complication, measures, medical, metabolic, metabolism, metadata, metagenomics, microbe, mothers, neonatal mortality, nulliparity, participant, population, population heterogeneity, pregnancy, pregnancy rate, pregnant women, premature birth, prevention, race, reproductive biology, reprodu","Quantifying the interactions among maternal race, vaginal metabolites, and microbes in preterm birth",NIH,SCIENTIFIC,"The grant text mentions ""lifelong disability"" in the context of preterm birth, which is a scientific and medical concern related to potential long-term health outcomes.
"
10,disability,"restoring equity to measuring and preventing perinatal intimate partner violence (remap-ipv) project summary maternal morbidity and mortality in the united states (us) is driven by health disparities along axes of race, poverty, disability, socio-economic and sexual gender minority status. such structural inequities also influence career choices of underrepresented early-stage investigators, who may pragmatically avoid studying health conditions that are hard to measure or difficult to fund. intimate partner violence (ipv) is one suc",Restoring equity to measuring and preventing perinatal intimate partner violence (Remap-IPV),NIH,POLITICAL,"The term ""disability"" is used in a list of factors (""race, poverty, disability, socio-economic and sexual gender minority status"") that contribute to health disparities and structural inequities, placing it within a social and political context related to equity and access.
"
