id,term,context,title,agency,classification,explanation
1,discrimination,"ess, adolescent, adolescent and young adult, age, age years, area, asian, black race, boston, budgets, covid-19 impact, covid-19 pandemic, caring, cause of death, child, child welfare, clinic, clinical, communities, community health, community healthcare, community participation, data, dedications, discrimination, disparity, distress, early diagnosis, early intervention, early treatment, electronic health record, emergency care, equity, ethnic origin, evidence based practice, face, family, food, fostering, future, grief reaction, haitian, health alliance, health services accessibility, healthcare, healthcar",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,POLITICAL,"The term ""discrimination"" appears alongside terms like ""equity,"" ""disparity,"" ""ethnic origin,"" and ""black race,"" suggesting it refers to unfair treatment or prejudice based on social or identity factors within the context of health access and outcomes.
"
2,discrimination,"an, gay, bisexual, transgender, and nonbinary people <18 years) experience substantial inequities in alcohol use, thus placing sgmy at greater risk for alcohol-related morbidity and mortality across the life-course. despite making great strides in identifying determinants (e.g., minority stress and discrimination) of these inequities over the last 25 years, evidence-based interventions for reducing sgmy alcohol use are lacking. our primary objective for this application is to rigorously test the efficacy of singularities, a theory-based, sgmy-informed, game-based intervention for preventing and reducing sgm",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""discrimination"" is used within the context of discussing inequities experienced by sexual and gender minority youth, which is a social and political issue. It is associated with ""minority stress,"" further reinforcing this classification.
"
3,discrimination,"ong sgm couples. further, we predict that greater drinking to cope motives and higher levels of internalized minority stress (i.e., fear of rejection, worry about concealment, internalized homophobia/transphobia) assessed at baseline will exacerbate the effects of daily minority stress (exposure to discrimination, harassment, and stigmatization) on alcohol use and subsequent destructive conflict. importantly, these processes will be examined in a sample of sgm couples residing in the rural midwest—a population that is critical to study because of the increased types and frequency of stigma encountered by sg",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,POLITICAL,"The term ""discrimination"" is used in the context of minority stress experienced by sexual and gender minority couples. This aligns with a social and political understanding of discrimination as unfair treatment based on group affiliation.
"
4,discrimination,"s three specific aims. in aim 1, we will conduct a comprehensive policy analysis of 362 nursing homes and 362 assisted living facilities in minnesota to assess the number and proportion of agencies that have explicit sgm affirmative policies in human resources, marketing, training, governance; anti-discrimination policies guiding culturally responsive care, and resident sexual orientation and gender identity (sogi) data collection. these findings will inform aim 2 curriculum. in aim 2, to make training to serve more scalable nationally and with high fidelity, we will design and develop an asynchronous onlin",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term ""anti-discrimination policies"" refers to policies intended to prevent unfair treatment based on sexual orientation and gender identity, which is a sociopolitical issue.
"
5,discrimination,"s. we have three specific aims. in aim 1, we will document, in depth, sgm’s attitudes towards participating in nih cancer research, identifying the facilitators and barriers that each group reports influences their willingness to participate. we will also investigate any impact poor cancer care and discrimination has on research participation. we will investigate these in cisgender sm men, cisgender sm women and gender minority cancer patients (n=15 per group) and compare experiences within these small populations and between sgm and a cisgender, heterosexual patient comparison group. in aim 2, we will test",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The text links ""discrimination"" to ""poor cancer care"" and its impact on research participation within sexual and gender minority (SGM) groups. This usage aligns with the understanding of discrimination as a societal issue affecting access to healthcare and opportunities.
"
6,discrimination,"egative older sexual minority men project summary overview. this study addresses gaps in hiv and behavioral health research among older sexual minority men (osmm). specifically, this project assesses the relative severity and impact of contextually relevant age-related syndemic factors (age-related discrimination, internalized ageism, aging anxiety, sexual minority specific aging concerns, social isolation, economic marginalization, and perceived cognitive impairment) and traditional syndemic conditions (mental health via depression, ptsd, childhood sexual abuse; intimate partner violence; substance use) am",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term ""age-related discrimination"" is used within the context of social and identity-based factors impacting a specific population (older sexual minority men), thus aligning with a political or social usage.
"
7,discrimination,"egies to address this ongoing public health crisis. aids prevention, address, adherence, adolescent and young adult, age, area, articulation, award, behavior, biological, bisexual, black race, caring, clinic, clinical trials, cognitive, cohort studies, communities, development, devices, diagnostic, discrimination, electronics, enrollment, epidemic, epidemiology, exclusion, friends, gays, geography, hiv, hiv infections, hiv seronegativity, hiv seropositivity, hiv risk, hiv/aids, hiv/std, human resources, incidence, individual, injectable, intervention, latinx, longitudinal cohort, longitudinal cohort study, ",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,POLITICAL,"The term 'discrimination' is listed among terms related to vulnerable populations (e.g., black race, gays, latinx) and factors contributing to HIV risk, suggesting it refers to social or systemic biases and prejudices that may affect access to healthcare or increase vulnerability to HIV.
"
8,discrimination,"occurring psychiatric and substance use disorders (p/sud), especially depression and amphetamine-type stimulant (ats) use. insights into malaysia’s hiv prevention gap are multi-factorial. both homosexuality and substance use is criminalized in malaysia, making msm bear the dual burden of stigma and discrimination, including in healthcare, which promotes p/sud disparities in msm. msm are often hesitant to disclose their sexuality, risk behaviors or depressive symptoms, mostly due to fear of stigma, discrimination, or criminalization. stigma and discrimination are also enacted on msm by healthcare providers r",Development and Testing of a Mobile Application to Enhance HIV Prevention Cascade in Malaysian MSM,NIH,POLITICAL,"The text describes discrimination against MSM due to criminalization of homosexuality and substance use, impacting healthcare access and disclosure of personal information. This aligns with a social, political, and identity-based understanding of discrimination.
"
9,discrimination,"ransgender/nonbinary) and age (13-17yrs, 18-21yrs, 22- 26yrs). all participants will complete an online survey every 3 months over 18-months. for aim 1, we will perform stratified latent trajectory moderated mediation analyses for sgm groups separately to examine associations between intersectional discrimination across time as a predictor of change in entrapment and psychopathology, which in turn predicts changes in the trajectory of active suicide ideation across time. we hypothesize that individual protective factors will moderate the trajectory of discrimination across time, while community protective f","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,POLITICAL,"The term ""discrimination"" is used in relation to Black Sexual and Gender Minority Youth, which highlights a social and political context related to identity and potential inequalities.
"
10,discrimination,"increasing financial and health equity among low income black youth and young adults project summary black emerging adults (bea), ages 18-24, in the u.s. experience higher levels of poverty, illness, and discrimination than white youth. these exposures to harm, coupled with the lack of supportive services to address and mitigate poverty and structural inequities, result in health inequities. bea experience high mental health service needs, but much less service utilization than white youth, have higher rates of s",Increasing financial and health equity among low income black youth and young adults,NIH,POLITICAL,"The term 'discrimination' is used to describe a societal inequity affecting Black youth compared to White youth, rooted in social structures and power dynamics. This aligns with a political context focused on social justice and equality.
"
11,discrimination,"him for the next phase of his career. address, adherence, adopted, algorithms, american, anxiety, attention deficit disorder, birth, caring, chronic disease, code, communication, computerized medical record, data, data sources, databases, decision making, depressive disorder, diagnosis, diagnostic, discrimination, disease, disparity population, drug prescriptions, effectiveness, epidemiology, evaluation, faculty, future, gender identity, general population, goals, guidelines, hiv, health policy, health equity research, health trends, healthcare, high prevalence, individual, inpatients, intervention, knowled",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,POLITICAL,"The term 'discrimination' appears in a list of terms related to health disparities, gender identity, and health equity, all of which have strong social and political implications. The mention of ""disparity population"" further supports this classification.
"
