id,term,context,title,agency,classification,explanation
1,discrimination,"the relationship between minority stress and health. social network effects may be negative, exacerbating the effects of negative life experiences of discrimination or violence by reinforcing feelings of negative marginality relative to dominant societal values and structures. alternatively, social networks may b",NA,NIH,POLITICAL,"The term ""discrimination"" is used in the context of minority stress and negative life experiences, suggesting a social and political dimension related to marginalization and societal structures.
"
2,discrimination,"ices such as congregate meal programs, bereavement groups, support groups, and social gatherings, many do not access services, in part due to fear of discrimination. scalable efforts are needed to help ogbmlh struggling with depression and loneliness to overcome barriers to engagement in existing social services ",NA,NIH,POLITICAL,"The term ""discrimination"" is used in the context of barriers to accessing social services, suggesting a societal or systemic bias against a particular group (ogbmlh) struggling with depression and loneliness. This points to a social and potentially political dimension.
"
3,discrimination,"e longitudinal relationships of individual- (e.g., internalizing symptoms), social- (e.g., degree of social interaction), and policy-level (e.g., antidiscrimination laws) protective/risk factors with trajectories of alcohol misuse and negative alcohol-related health consequences and determine if associations diff",NA,NIH,POLITICAL,"""Antidiscrimination laws"" refers to legislation addressing social and political inequalities.
"
4,discrimination,"se of death, child, child welfare, clinic, clinical, communities, community health, community healthcare, community participation, data, dedications, discrimination, disparity, distress, early diagnosis, early intervention, early treatment, electronic health record, emergency care, equity, ethnic origin, evidence",NA,NIH,POLITICAL,"The term ""discrimination"" appears in a list of terms associated with disparities, equity, and ethnic origin, suggesting its usage relates to social justice and fairness, aligning with a political context.
"
5,discrimination,"heimer’s disease and related dementias (adrd), higher prevalence and severity of chronic health conditions, and higher risk for multiple cancers. sgm discrimination likely accelerates aging, disrupts use of preventive care, and creates barriers to health systems when they are sick. the overall objective is to und",NA,NIH,POLITICAL,"The term 'discrimination' is used in the context of ""sgm discrimination,"" where SGM likely refers to sexual and gender minorities. This indicates a social and political context related to prejudice and unequal treatment experienced by specific identity groups.
"
6,discrimination,"aborative research: socialization competencies and youth outcomes in response to racial violence given the historical and persistent crisis of racial discrimination and violence enacted against black communities in america, black parents have unique considerations to prepare their children to cope with potential ",NA,NSF,POLITICAL,"The term 'discrimination' is used in the context of racial discrimination and violence against Black communities, indicating a social, political, and identity context.
"
7,discrimination,aculty initiative for improved recruitment retention and experience (fiirre) accountability; adoption; advocate; area; award; cell nucleus; cognitive discrimination; collaborations; communities; decision making; discipline of n...,Faculty Initiative For Improved Recruitment Retention And Experience (Fiirre),NIH,SCIENTIFIC,"""Cognitive discrimination"" suggests a psychological or neurological process, placing it within a scientific context.
"
8,discrimination," worry about concealment, internalized homophobia/transphobia) assessed at baseline will exacerbate the effects of daily minority stress (exposure to discrimination, harassment, and stigmatization) on alcohol use and subsequent destructive conflict. importantly, these processes will be examined in a sample of sgm",NA,NIH,POLITICAL,"The text discusses ""exposure to discrimination, harassment, and stigmatization"" within the context of ""minority stress"" affecting a specific population (SGM individuals). This clearly indicates a social and political context related to the experiences of marginalized groups.
"
9,discrimination,"borations, common data element, communicable diseases, communities, contracts, county, data, data collection, diagnostic reagent kits, disadvantaged, discrimination, disease, education, effectiveness, employment, equity, exposure to, fright, future, goals, hiv, harm reduction, health, health professional, health ",NA,NIH,POLITICAL,"The term 'discrimination' appears alongside terms like 'disadvantaged', 'equity', and 'employment', suggesting a concern for fairness and equal opportunities within a societal or political context.
"
10,discrimination,"matics learning. educators and researchers must also reconceptualize traditional ideas about math that are rooted in histories of marginalization and discrimination.    to advance approaches for addressing these systemic barriers, the project, viviendo matematicas, will conduct an equity-informed design-based imp",NA,NSF,POLITICAL,"The term is used in the context of ""histories of marginalization and discrimination"" and addressing ""systemic barriers,"" which points to a social and political context rather than a purely scientific one.
"
11,discrimination,"r alcohol-related morbidity and mortality across the life-course. despite making great strides in identifying determinants (e.g., minority stress and discrimination) of these inequities over the last 25 years, evidence-based interventions for reducing sgmy alcohol use are lacking. our primary objective for this a",NA,NIH,POLITICAL,"The term 'discrimination' is linked to 'minority stress,' indicating a social and political context related to inequities experienced by minority groups.
"
12,discrimination,"nic groups — has subsequently increased. positive interracial contact is associated with many societal benefits including reductions in prejudice and discrimination. extensive work demonstrates, however, that interracial, compared to same-race, interactions are stressful, in part, because they increase the likeli",NA,NSF,POLITICAL,"The term 'discrimination' is used in the context of societal benefits, prejudice, and interracial interactions, indicating a social and political dimension.
"
13,discrimination,"forgetting, improved, innovation, men who have sex with men, multidisciplinary, novel, pre-exposure prophylaxis, prevention service, programs, racial discrimination, segregation, sexual minority group, social stigma, structural determinants, support network, therapy adherence, therapy design, transmission process",NA,NIH,POLITICAL,"The term ""racial discrimination"" is used in the context of social issues, inequality, and minority groups, indicating a political or social justice context rather than a purely scientific or technical one. The co-occurrence with terms like ""segregation,"" ""social stigma,"" and ""sexual minority group"" further supports this classification.
"
14,discrimination,"caring, cellular phone, centers for disease control and prevention (u.s.), communities, consensus, coupled, data, diagnosis, diagnostic reagent kits, discrimination, effectiveness, effectiveness of interventions, environment, epidemic, ethnic origin, face, focus groups, frequencies, funding, future, gays, hiv, hi",NA,NIH,POLITICAL,"The presence of terms like ""ethnic origin"", ""gays"", and ""hiv"" suggests that 'discrimination' is likely being used in the context of social inequalities or biases related to identity groups.
"
15,discrimination,"on and diminish gender dysphoria. tgw are a vulnerable population, who experience significant challenges, including gender dysphoria, depression, and discrimination, all resulting in a compromised quality of life. there are barriers for transgender persons in terms of employment and healthcare, further preventing",NA,NIH,POLITICAL,"The term ""discrimination"" is used in the context of challenges faced by transgender individuals, specifically related to societal barriers in employment and healthcare, which falls under social and political issues.
"
16,discrimination,"ioral, behavioral research, binding sites, characteristics, clinical trials, collaborations, communities, complement, contraceptive methods, devices, discrimination, drug interactions, drug kinetics, effectiveness, epidemic, evaluation, face, failure, geography, goals, hiv, hiv infections, hiv vaccine trials netw",NA,NIH,SCIENTIFIC,"The list contains many scientific terms related to biology, medicine, and public health (e.g., binding sites, clinical trials, drug interactions, epidemic). In this context, ""discrimination"" likely refers to the ability to distinguish between different stimuli or targets at a molecular or physiological level (e.g., receptor discrimination of ligands).
"
17,discrimination,"dherence, area, articulation, behavioral, caring, child abuse, clinical, collaborations, communities, data, data set, development, disability status, discrimination, disparity, domestic violence, effectiveness, effectiveness of interventions, ensure, ethnic origin, ethnography, face, foundations, future, gender, ",NA,NIH,POLITICAL,"The term 'discrimination' appears alongside terms like 'disparity', 'ethnic origin', and 'gender', indicating a focus on social inequalities and potential biases, which falls under a political context.
"
18,discrimination,"ess disorder (ptsd) symptoms are also often highest among bi+ individuals. bi+ people endure unique sexual mi- nority stressors, including binegative discrimination from gay/lesbian and heterosexual individuals (enacted stigma) and internalized binegativity (internalized stigma). individuals with trauma histories",NA,NIH,POLITICAL,"The text discusses ""binegative discrimination"" experienced by bi+ individuals, explicitly referencing social and identity dynamics (sexual minority stressors, enacted stigma, internalized stigma). This falls under the realm of social inequality and prejudice, which are inherently political.
"
19,discrimination,"cytokine, experience, genotypic sex, human subject, immunoregulation, innovation, male, man, marginalized community, men, pain sensitivity, perceived discrimination, poor health outcome, pressure, recruit, reproductive hormone, saliva sample, sex, sex assigned, sexual identity, sleep quality, social factors, soci",NA,NIH,POLITICAL,"The presence of terms like ""marginalized community,"" ""sexual identity,"" and ""social factors"" alongside ""perceived discrimination"" strongly suggests the term is being used in a socio-political context related to inequality and potential bias experienced by certain groups.
"
20,discrimination,"inistrator, adult, age, attention, attitude, behavior, behavioral, belief, communities, complex, data, data collection, decision making, development, discrimination, education, employment, ensure, environment, ethnic origin, future, gender, gender identity, generations, growth, health, health promotion, health re",NA,NIH,POLITICAL,"The presence of terms like ""ethnic origin,"" ""gender,"" ""gender identity,"" and ""employment"" alongside ""discrimination"" strongly suggests a social and political context related to unfair treatment and inequality.
"
21,discrimination,"gma (e.g., the feelings people hold about themselves or the beliefs they perceive others hold about them that may shape anticipation and avoidance of discrimination). crucial gaps remain in the literature of sgm stigma and alcohol use. first, structural stigma has largely been measured and examined at the nationa",NA,NIH,POLITICAL,"The term 'discrimination' is used in the context of stigma associated with sexual and gender minorities (sgm), which is inherently a social and political issue related to identity and prejudice.
"
22,discrimination,"revention and treatment interventions do not address the unique social position of black gbmsm or the related health impacts of structural racism and discrimination (srd). based on our preliminary studies, we hypothesize that four forms of srd are likely to influence meth use among black gbmsm: housing discrimina",NA,NIH,POLITICAL,"The term ""discrimination"" is used in the context of ""structural racism and discrimination (srd)"" and ""housing discrimina,"" indicating a focus on social and political inequalities experienced by a specific group (black gbmsm).
"
23,discrimination,"hol dependence, alcohols, anxiety, attenuated, buffers, cardiovascular diseases, clinical, communities, data, data collection, data set, development, discrimination, educational workshop, epidemiologist, epidemiology, evaluation, factor analysis, feasibility studies, feedback, future, gender, goals, guidelines, h",NA,NIH,POLITICAL,"The presence of terms like ""gender"" and ""communities"" alongside ""discrimination"" suggests a focus on social disparities or biases.
"
24,discrimination,"nment and mental health of lgbtq+ populations. address, adult, affect, anxiety, area, attitude, birth, cohort studies, communities, data, disclosure, discrimination, ecology, environment, environmental risk factor, equation, europe, exposure to, fellowship, funding, future, gender, gender identity, general popula",NA,NIH,POLITICAL,"The presence of ""lgbtq+ populations,"" ""gender,"" and ""gender identity"" alongside ""discrimination"" strongly suggests a usage related to social injustice or unfair treatment based on identity, aligning with a political context.
"
25,discrimination,"cervical cancer screening, characteristics, clinic, communities, continuity of patient care, data, data collection, data set, development, diagnosis, discrimination, disease, early diagnosis, economics, equity, ethnic origin, guidelines, gynecologic oncology, hpv vaccine acceptance, health care facility, health c",NA,NIH,POLITICAL,"The presence of ""equity"" and ""ethnic origin"" alongside ""discrimination"" suggests a discussion related to disparities in healthcare access or outcomes based on ethnicity or other social categories.
"
26,discrimination,ervention to reduce alcohol use among sexual and ge... affect; alcohol drinking; alcohol consumption; benchmarking; best practice analysis; cognitive discrimination; coping skills; data; development; devic...,A Randomized Controlled Trial Of A Game-Based Intervention To Reduce Alcohol Use Among Sexual And Ge...,NIH,SCIENTIFIC,"The term ""cognitive discrimination"" is likely used in the context of cognitive psychology or neuroscience, referring to the ability to differentiate between stimuli or information.
"
27,discrimination," life course can have profound effects on individual health. it has been well established that adverse childhood experiences and lifetime exposure to discrimination and victimization have negative mental and physical health effects. for women who are black and transgender, adversity can be compounded by the inter",NA,NIH,POLITICAL,"The term 'discrimination' is used in the context of adverse experiences, specifically mentioning Black and transgender women, indicating a social and identity-based disparity leading to negative health outcomes.
"
28,discrimination,"been ignored in the scientific literature on black women living with hiv (bwlwh). also, while scholars are beginning to investigate macroaggressions (discrimination acts such as denial of housing) and trauma/violence among women living with hiv, they are often only captured infrequently (e.g. annually) despite th",NA,NIH,POLITICAL,"The term 'discrimination' is used in the context of 'macroaggressions' and 'denial of housing', which are social and political issues relating to inequality and unfair treatment.
"
