id,term,context,title,agency,classification,explanation
1,discriminatory,"that four forms of srd are likely to influence meth use among black gbmsm: housing discrimination, gentrification, racial and income segregation, and discriminatory lgbt community climate. additionally, we posit that these forms of srd operate through housing instability and inadequate service access to increase ",NA,NIH,POLITICAL,"The term ""discriminatory lgbt community climate"" refers to social and political issues related to prejudice and unfair treatment based on sexual orientation within a community.
"
2,discriminatory," and anxiety, increased risk for suicide, substance use and poor physical health. these disparities are associated with internalized anti-tnb stigma, discriminatory interpersonal encounters, and systemic and institutional barriers to accessing necessary social, financial, educational, and health resources, and ar",NA,NIH,POLITICAL,"The term ""discriminatory"" is used to describe interpersonal encounters that contribute to disparities and barriers for a marginalized group (anti-tnb stigma). This directly relates to social justice and power dynamics, which fall under the political domain.
"
3,discriminatory," in the trust/rv368 study (84% men who have sex with men and 16% self-identified as women) experience a moderate-to-severe level of stigma related to discriminatory policies, and social norms that leads to avoidance of hiv care. prior to this proposal, we conducted a cross-sectional preliminary analysis, which su",NA,NIH,POLITICAL,"The term 'discriminatory' refers to policies and social norms, which are inherently political and social constructs impacting specific groups.
"
4,discriminatory," in the trust/rv368 study (84% men who have sex with men and 16% self-identified as women) experience a moderate-to-severe level of stigma related to discriminatory policies, and social norms that leads to avoidance of hiv care. prior to this proposal, we conducted a cross-sectional preliminary analysis, which su",NA,NIH,POLITICAL,"The term 'discriminatory' refers to policies and social norms that create stigma and avoidance of HIV care, indicating a social and political context related to marginalized groups and unequal treatment.
"
5,discriminatory,"cause underlying and driving these sexual orientation-based disparities in mental health. while structural forms of sexual minority stigma, including discriminatory laws, inequitable policies, and negative population attitudes, have been associated with adverse sexual minority mental health, evidence from us-base",NA,NIH,POLITICAL,"The term ""discriminatory laws"" directly refers to policies and legal structures, indicating a political context.
"
6,discriminatory,"-level and multi-methods evaluative approach guided by critical and intersectionality theories to evaluate nuanced experiences of bias and structural discriminatory practices as well as program successes at the individual, department, mentor, college and university levels of achieving inclusive excellence. our fi",NA,NIH,POLITICAL,"The term 'discriminatory' is used in the context of bias, structural practices, and achieving inclusive excellence, which are all concepts strongly associated with social and political discourse surrounding equity and fairness.
"
7,discriminatory,"developing modules to address microaggressions and discriminatory behaviors project summary/abstract background: structural racism, defined as all the ways in which society cultivates racial discrimination through r",NA,NIH,POLITICAL,"The text mentions ""structural racism"" and ""racial discrimination,"" which are explicitly political and social concepts related to systemic power imbalances and inequities.
"
8,discriminatory,the health outcomes that need to be measured. the proposed project will potentially address key structural factors related to the availability of non-discriminatory healthcare services and resources. we will address two core areas including promoting uninterrupted healthcare utilization and adherence as well as e,NA,NIH,POLITICAL,"The term 'discriminatory' is used in the context of access to healthcare services, which is a social and political issue.
"
9,discriminatory,"n unprecedented number of new policies across the us threaten the rights of lesbian, gay, bisexual, and transgender (lgbt) populations. in 2023, >500 discriminatory lgbt bills were introduced in state legisla- tures—four-times more than in recent years. such bills include those banning access to healthcare for tr",NA,NIH,POLITICAL,"The term 'discriminatory' is used to describe bills targeting LGBT populations, indicating a social, political, and identity-based context.
"
10,discriminatory,"nd websites) to find intimate partners is near ubiquitous among young sexual minority (sm) men. however, little attention has been paid to the unique discriminatory phenomena that occur in online spaces, and how these experiences impact the mental health of young sexual minority men of color (ysmmoc). one such ph",NA,NIH,POLITICAL,"The term ""discriminatory"" is used in the context of describing experiences that impact the mental health of a specific social group (young sexual minority men of color), which falls under social and political considerations related to identity and prejudice.
"
11,discriminatory,"ute stressors and may promote other stressors that lead to hiv-related outcomes. while much of the literature on minority stress has focused on major discriminatory events, this proposed study will examine microaggressions. we will comprehensively assess chronic, acute, and daily psychosocial stressors that are p",NA,NIH,POLITICAL,"The term 'discriminatory' is used in the context of minority stress and microaggressions, which are inherently linked to social and political inequalities faced by minority groups.
"
12,discriminatory,"torical trauma.  this cross-sectional, quantitative study is unique and novel, as it aims to measure the impact of racism- related experiences (major discriminatory events (overt), racial microaggressions (covert), internalized racism, and historical trauma) more comprehensively on ptsd symptoms and polysubstance",NA,NIH,POLITICAL,"The term ""discriminatory"" is used to describe experiences of racism, which are inherently tied to social, political, and identity-based power structures.
"
13,discriminatory,"textual effects through developing consistent metrics, to perform exploratory factor analysis and multilevel analysis of individual heterogeneity and discriminatory accuracy (maihda). training information: mr. carpino’s training will consist of advanced infectious disease epidemiological methodologies and social ",NA,NIH,SCIENTIFIC,"The term ""discriminatory accuracy"" is part of the name of a specific statistical analysis (Multilevel Analysis of Individual Heterogeneity and Discriminatory Accuracy - MAIHDA), indicating a technical, scientific usage.
"
14,discriminatory,"ary the barriers to research and career success for underrepresented groups in academic medicine have been widely documented—an inhospitable climate, discriminatory policies, lower financial compensation, lack of leadership opportunities, a sense of marginalization, and racism, among others. strategies to elimina",NA,NIH,POLITICAL,"The term 'discriminatory' is used in the context of barriers faced by underrepresented groups, specifically in relation to ""policies,"" ""lack of leadership opportunities,"" ""a sense of marginalization,"" and ""racism."" These are all social and political issues.
"
15,discriminatory,"re. other risk factors, such as hypertension, hiv, and covid-19, are thought to confer additional second-hit risks. structural racism (sr)—defined as discriminatory policies and practices promoted through reinforcing systems (e.g., housing, wealth, health care) –– is also widely understood to be a contributor to ",NA,NIH,POLITICAL,"The term 'discriminatory' is used within the definition of ""structural racism"" and refers to policies and practices that are inherently tied to social and political structures.
"
16,discriminatory,developing modules to address microaggressions and discriminatory behaviors address; awareness; behavior; belief; biomedical research; children's hospital; cognitive discrimination; curriculum; data; decision making,Developing Modules To Address Microaggressions And Discriminatory Behaviors,NIH,POLITICAL,"The context includes ""microaggressions,"" ""behavior,"" ""belief,"" and addressing discriminatory behaviors, which are all related to social and political aspects of human interaction and bias.
"
17,discriminatory,"ience discrimination. however, groups confront different types of discrimination, which creates a problem that may not have merely one solution. some discriminatory actions and practices involve taking advantage of racial and ethnic groups in ways that benefit some americans and keep relative group status and eco",NA,NSF,POLITICAL,"The text discusses racial and ethnic groups and how ""discriminatory actions and practices"" affect their status and economic well-being, placing it in a social and political context.
"
18,discriminatory,"e efforts focus largely on the experiences of individual students and have left systemic barriers, such as inequitable distributions of resources and discriminatory cultures, less well studied. in engineering fields, professional societies including the national society of black engineers, society of women engine",NA,NSF,POLITICAL,"The term ""discriminatory cultures"" refers to social inequalities and unfair treatment within a societal or organizational context, aligning with a political or social justice perspective rather than a purely technical or scientific one.
"
19,discriminatory,"ntrepreneurs face significant challenges due to various factors, such as limited access to entrepreneurship education, a lack of capital sources, and discriminatory social networks. this project aims to investigate entrepreneurship among both rm and non-rm students, while also implementing interventions to addres",NA,NSF,POLITICAL,"The term 'discriminatory' refers to social networks that disadvantage certain entrepreneurs, which is a social and political issue related to fairness and equity.
"
