id,term,context,title,agency,classification,explanation
1,disparity,"avior, black american, black populations, black race, covid-19, covid-19 impact, covid-19 misinformation, covid-19 pandemic, covid-19 vaccination, characteristics, chronic disease, communities, computer analysis, confusion, consent, consumption, county, data, data set, decision making, development, disparity, distress, economics, emergency situation, equity, facebook, future, generations, goals, hiv, hiv vaccine, habits, health, health campaign, health disparities research, health behavior, healthcare, heterogeneity, human, individual, inequity, institution, interview, knowledge, language, linguistics,",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The term 'disparity' appears alongside terms like 'equity,' 'inequity,' 'black american,' 'black populations,' and 'health disparities research,' indicating a focus on social and political inequalities in health outcomes.
"
2,disparity,"pling, testing, translations, treatment failure, underserved population, united states national institutes of health, viral load result, virginia, visit, work, black men who have sex with men, black women, cis-female, clinical practice, cost, cost effectiveness, data modeling, data platform, ethnic disparity, ethnic diversity, high risk, implementation design, implementation facilitation, implementation strategy, improved, innovation, interest, mathematical model, member, men who have sex with men, phase iii trial, pill, pre-exposure prophylaxis, racial disparity, racial diversity, resource guides, the",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The context includes ""ethnic disparity"" and ""racial disparity,"" which are terms commonly used to describe inequalities related to race and ethnicity in social, economic, or health outcomes, making it a political context.
"
3,disparity,"argeted interventions and improving the health of subsequent generations. address, adoption, american, area, assisted reproductive technology, behavior, biological markers, birth, bisexual, child, child health, complex, couples, data, data collection, data set, dimensions, discipline of obstetrics, disparity, enrollment, ethnic origin, evaluation, event, exclusion, female, gays, generations, goals, gynecologic, hiv/aids, health, height, heterosexuals, hydrocortisone, hypertension, intervention, knowledge, legal, lesbian, lesbian gay bisexual, longevity, low birth weight infant, maternal and child healt",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The context refers to ""sexual orientation-related disparities"" and includes terms like ""bisexual,"" ""gays,"" ""lesbian,"" ""heterosexuals,"" and ""ethnic origin,"" indicating a focus on social and identity groups, which aligns with a political usage. While the overall grant is scientific, the specific usage of ""disparity"" here relates to differences between groups defined by their sexual orientation.
"
4,disparity," the excess risks in heu infants can be ameliorated through interventions targeting breastfeeding-mediated microbiome and inflammatory pathways. address, africa south of the sahara, age, area, biological, biological factors, breast feeding, breastfed infant, child, clinical, counseling, death rate, disparity, fermentation, growth, hiv, hiv infections, hiv-exposed uninfected infant, health, high prevalence, human milk, infant, inflammation, inflammatory, intervention, intervention trial, investigation, lead, mediating, metabolic pathway, metabolism, morbidity - disease rate, mothers, observational study",Trial of Human Milk Oligosaccharide-based synbiotics for HIV-exposed uninfected children,NIH,POLITICAL,"The term 'disparity' is listed among terms like ""death rate,"" ""morbidity - disease rate,"" and ""high prevalence,"" suggesting it refers to inequalities in health outcomes for HIV-exposed uninfected infants, which falls under a social and potentially political context related to healthcare access and outcomes.
"
5,disparity,"ificial intelligence, asian, biological, birth, black populations, black race, cardiovascular system, caribbean region, caring, centers of research excellence, cities, clinical decision support systems, cognitive therapy, collaborations, communities, community healthcare, community hospitals, data, disparity, ecosystem, electronic health record, ensure, equity, evaluation, goals, government, government agencies, health sciences, health care facility, health system, healthcare, hispanic, hospitalization, hospitals, individual, inequity, infrastructure, institution, intervention, justice, knowledge, lead",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The context includes terms like ""equity,"" ""justice,"" ""black populations,"" ""hispanic,"" and ""communities,"" strongly suggesting a usage related to social and political inequalities.
"
6,disparity," adolescent and young adult, age, age years, area, asian, black race, boston, budgets, covid-19 impact, covid-19 pandemic, caring, cause of death, child, child welfare, clinic, clinical, communities, community health, community healthcare, community participation, data, dedications, discrimination, disparity, distress, early diagnosis, early intervention, early treatment, electronic health record, emergency care, equity, ethnic origin, evidence based practice, face, family, food, fostering, future, grief reaction, haitian, health alliance, health services accessibility, healthcare, healthcare systems, ",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,POLITICAL,"The presence of terms like ""discrimination,"" ""equity,"" ""ethnic origin,"" ""black race,"" and the overall focus on ""high risk youth"" within the context of health screening and treatment strongly suggests that ""disparity"" refers to disparities in healthcare access or outcomes related to social and political factors.
"
7,disparity,"etion of this study will lay the groundwork for future multilevel interventions to improve the care of and health of the older tgd population in the us. acute, address, adult, age, algorithms, birth, caring, chronic, cities, climate, clinical, cognition, data, data linkages, data set, data sources, disparity, elderly, environmental risk factor, future, gender identity, geography, goals, health, healthcare, healthcare systems, hormones, incidence, individual, intervention, interview, life cycle stages, link, medical, medicare, methods, operative surgical procedures, outcome, outpatients, patients, perso",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,POLITICAL,"The term ""disparity"" is used in the context of healthcare utilization and health outcomes related to gender identity, indicating a focus on social, political, and identity-related inequities.
"
8,disparity,"attitude, automobile driving, behavior, biological models, covid-19, covid-19 morbidity, covid-19 mortality, covid-19 outbreak, covid-19 prevalence, covid-19 prevention, covid-19 testing, covid-19 vaccination, common data element, communities, community networks, complex, crowding, data, diffusion, disparity, drug courts, ensure, environment, family, friends, general population, graph, health, health information system, health behavior, imprisonment, incidence, individual, inequity, infection, insurance, intervention, investigation, jail, legal, legal system, machine learning, medical, minnesota, misin",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,POLITICAL,"The context mentions ""COVID-19 morbidity, COVID-19 mortality, COVID-19 outbreak, COVID-19 prevalence, COVID-19 prevention, COVID-19 testing, COVID-19 vaccination, communities, community networks, disparity, inequity, imprisonment, jail, legal system"". This suggests disparities in health outcomes and access to resources within specific populations (persons involved with criminal legal systems) related to social factors and the legal system, making it a political usage.
"
9,disparity,"nerable, at-risk young adult population. accounting, address, adolescent, adolescent and young adult, age, anxiety, area, birth, black race, caregiver support, caregivers, caring, cause of death, collaborations, communication, communities, community of practice, consultations, continuing education, disparity, dose, education, educational process of instructing, effectiveness, equity, ethnic origin, evidence based intervention, face, family, feeling suicidal, focus groups, gender, gender identity, general population, health, health services accessibility, healthcare, heterogeneity, hispanic, hour, impro",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The grant title focuses on ""equity"" and the text includes terms like ""gender-diverse,"" ""black race,"" and ""ethnic origin,"" suggesting 'disparity' is used in a context related to social inequalities and differences, which falls under a political context.
"
10,disparity,"rix. the findings are intended to develop culturally appropriate cessation interventions to better support the needs of sgm individuals with smoking partners. abstinence, attention, automobile driving, awareness, behavior, cancer burden, cessation of life, code, couples, data, development, disease, disparity, environmental risk factor, future, gender identity, heterogeneity, impulsive behavior, impulsivity, individual, intervention, interview, knowledge, malignant neoplasms, measures, methodology, methods, motivation, outcome, parents, persons, randomized  controlled trials, research, sampling, sex ori","Randomized Controlled Trial of Dyadic Financial Incentive Treatment for Dual Smoker Couples: Evaluation of Efficacy, Mechanisms, and Cost Effectiveness",NIH,POLITICAL,"The term ""disparity"" appears in a list of terms related to social and health issues, including ""cancer burden,"" ""gender identity,"" and ""sex ori(entation),"" suggesting it refers to health disparities experienced by specific populations. This aligns with a political context focused on social inequalities and health equity.
"
