id,term,context,title,agency,classification,explanation
1,disparity,"recipients, caregiver strain, caregiving, caregiving research, cisgender, cognitive interview, community based participatory approach, community partners, community-level factor, dementia care, dementia caregiving, design, digital media, disability, ethnic diversity, experience, field study, health disparity, health equity promotion, indexing, informal caregiver, intersectionality, member, offspring, poor health outcome, racial diversity, recruit, response, social, social stigma, support network, surrogate decision making, theories",Enhancing Measurement and Characterization of Roles and Experiences of Sexual and Gender Minority Caregivers of Persons living with Alzheimer's Disease and Related Dementias,NIH,POLITICAL,"The term ""health disparity"" is used within the context of ""health equity promotion"" and related terms like ""ethnic diversity"" and ""racial diversity"", indicating a focus on social and political factors that lead to unequal health outcomes among different groups.
"
2,disparity,"h personnel, research priority, respondent, risk, risk factors, role, sampling, severities, social network, social isolation, specific qualifier value, stimulant, strategic planning, substance use disorder, surgeon, surveys, united states, well in self, adverse event risk, cohort, contagion, ethnic disparity, experience, health data, high risk sexual behavior, improved, indexing, interest, member, men, mortality, opioid overdose, overdose death, overdose risk, person centered, polysubstance use, pre-exposure prophylaxis, prevent, racial disparity, recruit, sexual minority men, social, social factors, s",Dissecting the role of loneliness on substance use- and HIV-related outcomes among sexual minority men in the United States and Canada,NIH,POLITICAL,"The terms ""ethnic disparity"" and ""racial disparity"" directly relate to social and political constructs and inequalities within populations.
"
3,disparity,"n, social environment, strategic planning, structure, surveys, testing, time, tobacco, tobacco dependence, tobacco use, training, withdrawal, withdrawal symptom, work, acceptability and feasibility, addiction, cigarette smoke, community advisory board, community engaged research, experience, health disparity, high risk population, informant, life span, marginalized population, mortality, negative affect, pilot test, prevent, programs, psychopharmacologic, recruit, skill acquisition, smoking cessation, smoking relapse, social health determinants, socioeconomic disadvantage, stressor, young adult",The Impact of Social-Contextual Stressors on Psychopharmacological Mechanisms of Smoking Cessation and Relapse among Socioeconomically Disadvantaged Young Adults who Smoke Cigarettes,NIH,POLITICAL,"The term ""health disparity"" is frequently used to describe differences in health outcomes related to socioeconomic status, race, ethnicity, or other social factors, placing it in a social and political context.
"
4,disparity,"uncover, describe, and plan for implementation issues so the optimized intervention can be rapidly scaled up by community-based and outpatient health organizations. address, adult, african american, altruism, american, appointment, behavior therapy, black populations, black race, covid-19, covid-19 disparity, covid-19 vaccination, covid-19 vaccine, cessation of life, characteristics, cognitive, communicable diseases, communities, complex, death rate, disease, disparity, dose, engineering, future, health benefit, health educators, health behavior, healthcare systems, hospitalization, immunization progra",Community - based behavioral intervention to increase COVID - 19 and influenza vaccination for African American/ Black and Latino persons: An optimization randomized controlled trial,NIH,POLITICAL,"The term ""disparity"" is listed alongside ""COVID-19 disparity"" and terms related to specific racial groups (African American/Black, Latino). This suggests its usage refers to health inequities affecting these populations, making it a social and political issue.
"
5,disparity,"se in smw research and practice and utilize smw advisory to carry out this study. results of this study will immediately inform clinical interventions to improve recovery from sa among this highly vulnerable group and help to prioritize and justify public policy changes to reduce this mental health disparity. address, adolescent, adult, advocacy, affect, age, anxiety, attention, bisexual, black race, censuses, characteristics, climate, clinical treatment, communities, data, data set, disclosure, discrimination, disease, disparity, environment, etiology, exhibits, exposure to, forcible intercourse, freq","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,POLITICAL,"The phrase ""reduce this mental health disparity"" implies a societal inequity that needs to be addressed through public policy, connecting it to a political/social context.
"
6,disparity,"attitude, automobile driving, behavior, biological models, covid-19, covid-19 morbidity, covid-19 mortality, covid-19 outbreak, covid-19 prevalence, covid-19 prevention, covid-19 testing, covid-19 vaccination, common data element, communities, community networks, complex, crowding, data, diffusion, disparity, drug courts, ensure, environment, family, friends, general population, graph, health, health information system, health behavior, imprisonment, incidence, individual, inequity, infection, insurance, intervention, investigation, jail, legal, legal system, machine learning, medical, minnesota, misin",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,POLITICAL,"The context includes terms like ""communities,"" ""inequity,"" ""legal system,"" ""health,"" ""general population,"" and the grant focuses on COVID-19 testing and vaccination among persons involved with the criminal legal system. This suggests a focus on social inequities and disparities in health outcomes, aligning with a political usage.
"
7,disparity,"advances research on determinants of alcohol use and adverse sexual health outcomes. address, adolescence, adult, affect, age, alcohol consumption, alcohols, area, attention, bisexual, chicago, cross-sectional studies, data, data collection, data set, development, development plans, discrimination, disparity, educational workshop, etiology, exposure to, general population, goals, greek, health, heterosexuals, individual, inequality, institute of medicine (u.s.), institution, interview, lgbt health, lesbian gay bisexual, life, life experience, literature, longitudinal cohort, measurement, measures, ment","Alcohol-Involved Sexual Assault among Bisexual Women: Disentangling Mechanisms of Risk at Individual, Interpersonal, and Structural Levels Across the Lifespan",NIH,POLITICAL,"The presence of terms like ""discrimination,"" ""inequality,"" ""lgbt health,"" ""bisexual,"" and the overall focus on a specific population (bisexual women) within the context of sexual assault suggests the disparity is likely related to social or political inequalities and health disparities faced by this group.
"
8,disparity,"ational institutes of health, work, acceptability and feasibility, behavioral construct, biobehavior, cisgender, comparative efficacy, design, digital, digital delivery, efficacy trial, empowerment, emtricitabine, experience, gender affirmation, health care availability, health care service, health disparity populations, implementation intervention, improved, interest, male, men, men of color, men who have sex with men, open label, peer, penis, pre-exposure prophylaxis, prevent, preventive intervention, primary outcome, recruit, scale up, self testing, sex, skills, social stigma, standard of care, tran",Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,POLITICAL,"""Health disparity populations"" is a term that refers to groups of people who experience systemic health disadvantages based on social determinants, which is a political and social construct.
"
9,disparity,"but knowledge gained will be relevant to future vaccine equity initiatives, such as covid-19 boosters (if needed) and seasonal influenza vaccination. address, adult, appointments and schedules, attention, authorization documentation, behavioral, covid-19, covid-19 booster, covid-19 burden, covid-19 disparity, covid-19 pandemic, covid-19 testing, covid-19 vaccination, covid-19 vaccine, clinic, communities, community health, community health aides, community healthcare, consolidated framework for implementation research, control groups, disparity, dizziness, dose, enrollment, equity, evaluation, family, ",REDES: a peer network and mobile health (mHealth) enhanced CHW model to maximize COVID-19 vaccination among low income Latinos,NIH,POLITICAL,"The term 'disparity' appears alongside terms like 'equity', 'low income Latinos', and 'COVID-19 disparity', indicating a focus on social inequities related to health outcomes.
"
10,disparity,"ll inform tailored harmful chb prevention interventions for diverse groups of ysgm, including future just in time interventions. address, affect, age, alcohol consumption, area, behavior, behavior therapy, buffers, cardiovascular diseases, censuses, communities, complex, cues, data, discrimination, disparity, ecological momentary assessment, environment, ethnic origin, ethnic population, event, exposure to, feeling, frequencies, future, gender, gender identity, geographic locations, geography, health, health behavior, heterosexuals, home, individual, inequality, interpersonal relations, intervention, i",Geographically-Explicit Ecological Momentary Assessment Protocol to Assess the Linkages Between Intersectional Discrimination and CVD Risk Among Sexual and Gender Minorities,NIH,POLITICAL,"The context includes ""discrimination,"" ""inequality,"" ""ethnic origin,"" ""gender identity,"" and references to specific populations (sexual and gender minorities), indicating a focus on social and political inequities related to health outcomes.
"
