id,term,context,title,agency,classification,explanation
1,diverse communities," multitude of healthcare facilities and resources. more effective partnerships that break down siloes and leverage the knowledge and strengths of our diverse communities, hospitals, academic institutions, and government agencies are essential to assuring equitable access to culturally congruent, patient-centered care,",NA,NIH,POLITICAL,"The phrase ""diverse communities"" is used in the context of equitable access, culturally congruent care, and partnerships, which are all inherently social and political concepts related to fairness, representation, and power dynamics within society.
"
2,diverse communities,"achers and students in conducting community-based science research on the causes and effects of extreme heat/urban islands in racially and ethnically diverse communities. doing research of this nature in schools is important, as students’ opportunities to engage in community-based science research usually occur in out",NA,NSF,POLITICAL,"The term ""racially and ethnically diverse communities"" is used in a context that emphasizes social and demographic categories, aligning with a political understanding of diversity.
"
3,diverse communities,"deas from science communication, this exhibit is designed to support new, productive types of engagement around the topic of climate change among the diverse communities of salt lake city, utah. this project will study how visitors learn from the exhibit, with the goal of developing guidelines that other informal stem",NA,NSF,POLITICAL,"The phrase ""diverse communities"" is used in reference to a specific geographical location (Salt Lake City, Utah), implying different social and demographic groups that exist within that area. This suggests a focus on social and/or identity-based diversity, rather than a strictly scientific categorization.
"
4,diverse communities,"tion, and sensemaking to articulate and co-develop a set of outcome measures. these measures will be piloted with heterogeneous organizations serving diverse communities and will result in finalized items and scales. in phase 2 (measuring impact) will explore: (3) in what ways do osel programs influence scientific and",NA,NSF,POLITICAL,"The term ""diverse communities"" refers to groups of people with varying social and demographic characteristics, indicating a social, political, or identity context related to community representation and program impact.
"
5,diverse communities,"us scholars, strategies for transforming stem departments to be more inclusive, and insights on approaches for successfully engaging in research with diverse communities to improve their representation in the stem workforce.    this award reflects nsf's statutory mission and has been deemed worthy of support through e",NA,NSF,POLITICAL,"The phrase ""diverse communities"" is used in the context of improving representation in the STEM workforce, which relates to social equity and political goals of inclusion.
"
6,diverse communities,"ude the cultural epistemologies (i.e., perspectives that guide how one sees the world) of racially, ethnically, linguistically, and socioeconomically diverse communities prompts a wider range of approaches and more imaginative responses to societal challenges. this project supports multiethnic youth in expanding epist",NA,NSF,POLITICAL,"The text uses ""diverse communities"" in relation to race, ethnicity, language, and socioeconomic status, framing it within a social and identity-based context relevant to addressing societal challenges. The mention of ""cultural epistemologies"" further strengthens this by linking diverse backgrounds to different worldviews and perspectives, aligning with political and social discourse on inclusivity and representation.
"
7,diverse communities,"ramp: advancing indigenous perspectives to address climate vulnerability in the southwest: research training for and by diverse communities southwestern landscapes are experiencing intensifying climate stress, which threatens to damage ecosystems beyond their capacity to provide culturall",NA,NSF,POLITICAL,"The term ""diverse communities"" is used in conjunction with ""indigenous perspectives"" and a reference to ""cultural"" impacts of climate stress. This points to a focus on social and cultural groups affected by climate change, indicating a political/social context rather than a strictly scientific one.
"
8,diverse communities," society membership. as such, geosciences-associated societies become active agents in developing their diversity profile, build social capital among diverse communities, broaden professional networks, and welcome diverse perspectives into professional societies.    this award reflects nsf's statutory mission and has ",NA,NSF,POLITICAL,"The term is used in the context of building social capital, broadening professional networks, and welcoming diverse perspectives, which all relate to social and political goals within professional societies.
"
9,diverse communities,"ate marginalized members in ornithology. the ultimate goal is to transform ornithology into an inclusive discipline that leverages the talents of the diverse communities of learners, scientists and practitioners to solve urgent problems in ecology, conservation and environmental justice.     a recent diversity assessm",NA,NSF,POLITICAL,"The phrase ""diverse communities"" is used in the context of inclusivity, environmental justice, and addressing marginalization within ornithology, which all point to a social and political dimension.
"
10,diverse communities,"ate marginalized members in ornithology. the ultimate goal is to transform ornithology into an inclusive discipline that leverages the talents of the diverse communities of learners, scientists, and practitioners to solve urgent problems in ecology, conservation, and environmental justice.     a recent diversity asses",NA,NSF,POLITICAL,"The context focuses on inclusivity, marginalization, environmental justice, and transforming a discipline. These are all strongly associated with social and political goals related to equity and representation.
"
