id,term,context,title,agency,classification,explanation
1,diverse community,"ose to close this gap by calibrating and genetically characterizing the gender self-report (gsr), a novel and broadly disseminable method for obtaining multidimensional gender for genomic research and broader research applications. first, we will facilitate partnership between scientists and gender diverse community stakeholders, and reduce paternalistic tendencies in this ethically complex field of research, by building on our established community partnerships with a purposively recruited stakeholder panel (n=50) to provide a final version of the gsr itemset. next, to advance the dimensional characterization",A novel approach for equitable characterization of gender and its use in exposing subgroup discrepancies in polygenic score associations,NIH,POLITICAL,"The term ""gender diverse community stakeholders"" is used in the context of building partnerships and reducing paternalistic tendencies, which aligns with social, political, and identity-related concerns surrounding research ethics and community involvement.
"
2,diverse community,"discrimination we recently developed, along with our prior validated self-report measure that is among the most widely-used measures in health research on discrimination. to ensure 350 participants per comparison group, we will recruit 1092 adult patient members and staff randomly selected from two diverse community health centers to address the following specific aims: aim 1. assess exposure to discrimination using implicit and explicit (self-report) measures, using the validated brief iat format, to enable time-efficient assessment of lifetime exposure in the us to discrimination based on: race/ethnicity, ge",Advancing novel methods to measure and analyze multiple types of discrimination for population health research,NIH,POLITICAL,"The term ""diverse community"" refers to a population with varied racial/ethnic backgrounds, which is a social and political characteristic, especially in the context of addressing discrimination.
"
3,diverse community,"earch. the pride-cares center takes on the challenge of reshaping existing research paradigms and ushering in a new era of patient-centered research by placing patients with sud from the sgm community at the forefront as co-developers of scientific research projects. by addressing the needs of this diverse community, pride-cares aspires to make significant contributions to the advancement of sud research and care for sgm individuals. this proposal delineates our objectives to establish the pride-cares center and implement the virtual patient engagement panel (vip panel) to actively engage patients and other st",PRIDE-CARES Center: Patient-Responsive Initiatives for Diverse Engagement - LGBTQ+ Community Action in Research to Eliminate Substance Use Disorder,NIH,POLITICAL,"The term ""diverse community"" refers to the LGBTQ+ community and is used within the context of patient-centered research focused on eliminating substance use disorder, highlighting social, political, and identity aspects related to healthcare disparities and community engagement.
"
4,diverse community,"aligning hiv services with gender diverse community priorities through person-centered care: a mixed methods study in india project summary background: to meet the unaids 95-95-95 fast track targets for hiv epidemic control by 2030, public health services must prioritize strategies that support high hiv burden communities to engage in hiv testing an",Aligning HIV services with gender diverse community priorities through person-centered care: a mixed methods study in India,NIH,POLITICAL,"The term 'gender diverse community' refers to a social identity group, indicating a political and social context rather than a purely scientific one.
"
5,diverse community,"ion to strengthen resistance to misinformation and reduce hesitancy and is well- suited for low-information audiences and ideologically polarized or conspiratorial groups. the proposed research project will leverage the infrastructure of the national chasing covid cohort, a large and geographically diverse community-based us cohort, to tailor and test the effectiveness of a brief digital attitudinal inoculation intervention to increase vaccination among adults with anxiety or depression symptoms. aim 1: characterize the relationship between symptoms of anxiety and depression and vaccine/booster uptake, and oth",Brief digital intervention to increase COVID-19 vaccination among individuals with anxiety or depression,NIH,SCIENTIFIC,"The phrase ""geographically diverse community-based US cohort"" refers to the scientific study's sample population, focusing on its geographic spread. This is a characteristic relevant to the scientific rigor and generalizability of the research.
"
6,diverse community,"rs and commissioners to diversify the accreditation decision-making bodies and increase leadership accountability; and 3) ultimately, to support diverse talent and equitable success of diverse women future engineers. the knowledge change model will be piloted and deployed on eight campuses within a diverse community of practice. outcomes will be disseminated through partner networks, asee’s engineering deans council, social media, and scientific publications. this work is aligned with the nsf advance program, which is designed to foster gender equity through a focus on the identification and elimination of org",ADVANCE Partnership: Engineering Deans’ Gender Equity Initiative: Aligning Systems to Ensure Inclusion and Equity in Advancement of Faculty,NSF,POLITICAL,"The phrase ""diverse community of practice"" is used within the context of gender equity initiatives and supporting diverse women engineers. This points towards a focus on social identity and equitable representation, aligning with a political context.
"
7,diverse community,"everal decades, the proportion of underrepresented minorities among phd recipients in the geosciences has stagnated. through training and directly supporting new researchers from a broad-spectrum of educational, racial, gender and ethnic backgrounds, this reu program invests in the future of a more diverse community of geoscientists.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.",REU Site: Climate and Atmospheric Science Research Experience in the Center for Climate and Aerosol Research at Portland State University,NSF,POLITICAL,"The phrase ""diverse community of geoscientists"" refers to the goal of increasing representation of individuals from underrepresented racial, gender, and ethnic backgrounds in a specific field, which aligns with social and political objectives related to equity and inclusion.
"
8,diverse community,"and (2) broadening participation and co-production of place-based research to address flood justice. key activities include hosting workshops that leverage the thematic expertise of steering committee members, fostering collaboration and knowledge sharing among participants. the network will engage diverse community perspectives by incorporating non-profit organizations and government representatives on the steering committee, facilitating workshops that develop strategies for flood justice. the network will also actively involve graduate students, providing opportunities to engage in convergence research and ",CHIRRP RCN: Catalyzing Flood Justice in the USA,NSF,POLITICAL,"The text discusses ""flood justice,"" ""broadening participation,"" and ""engaging diverse community perspectives"" by incorporating non-profit organizations and government representatives. These are all related to social justice and political representation rather than a strictly scientific context.
"
9,diverse community," the process, the project explores relations between aerospace, agriculture, and prison sectors in the community, local public education and workforce development, and environmental and public health effects of launch noise and emissions. the project’s significance is grounded in its integration of diverse community perspectives in understanding and evaluating the local effects of satellite launching. the study supports public knowledge of federally subsidized launch infrastructure and satellite technologies and provides collaborative research and educational opportunities for community members and university ","A Study of Launch Infrastructure and Sociotechnical Relations of Adjacency, Diversity, and Cosmology",NSF,POLITICAL,"The phrase ""diverse community perspectives"" suggests a focus on incorporating different social groups and viewpoints, which aligns with social and political considerations rather than a purely technical or scientific application of the term ""diverse.""
"
10,diverse community,"taff, and students in doing the work of dei as part of their regular jobs and engagement in our community. the objective of the center is to catalyze a culture change in ut-austin engineering by leveraging a servingness learning organization framework to recruit, support, nurture, and matriculate a diverse community of students. an important metric will be to more closely align the representation of hispanic/latino and black/african american engineering undergraduate and graduate students with that of the state of texas population of 18–22-year-olds. our efforts are organized around three pillars: (1) new and ",Center: Track 4: Learning to Serve: A Center for Equity in Engineering at an Emerging MSI,NSF,POLITICAL,"The term ""diverse community"" is used in the context of DEI (diversity, equity, and inclusion) initiatives, representation of specific ethnic groups (Hispanic/Latino and Black/African American), and alignment with the demographics of the state population, all of which are political and social concerns.
"
