id,term,context,title,agency,classification,explanation
1,diverse group,"tions. we will also pilot remote collection of hair samples to monitor prep uptake and use in a subsample of participants (n=30; 5 each si) and do in-depth intervention implementation evaluation. we expect that findings will significantly contribute to our understanding of how to communicate with a diverse group of tw, how to leverage social media as a powerful communication channel, and how to disseminate information to increase prep awareness and uptake by addressing the unique hiv prevention needs and concerns of tw. 3-dimensional, aids prevention, address, adherence, affect, area, attitude, awareness, ","Data-driven, peer-led messaging using social media influencers to increase PrEP awareness and uptake among transgender women",NIH,POLITICAL,"The term ""diverse group of tw"" (transgender women) is used in a context related to social identity and health disparities within a specific population. The grant aims to address the unique HIV prevention needs of transgender women, indicating a focus on a marginalized group and social factors influencing health outcomes.
"
2,diverse group,"nt leadership committee. sb3c awards diversity travel grants to enable students from underrepresented groups in biomechanics to attend the conference and keeps student registration fees low by seeking support from nih, nsf, and industry and academic sponsors. the 2023 sb3c organizing committee is a diverse group of experienced sb3c organizers and emerging leaders in bioengineering. we will continue successful scientific and diversity programs and innovate in several ways. the specific aim of this proposal is to support student participation in sb3c 2023-2025, with the goal of increasing the number of stude","Summer Biomechanics, Bioengineering, and Biotransport Conference",NIH,POLITICAL,"The phrase ""diverse group"" refers to the composition of the organizing committee and connects to diversity programs and underrepresented groups mentioned elsewhere, suggesting a focus on representation rather than a purely scientific diversity (e.g., diversity of experimental conditions).
"
3,diverse group," the proposed mypeeps intervention for ytm is a novel and evidence-driven intervention using mobile technology to deliver hiv prevention information to high-risk youth. this will be the first study to develop and pilot a scaled- up, mobile hiv prevention intervention designed by, and piloted for, a diverse group of ytm. the final product of this study will be the basis for an r01 application to conduct a large-scale efficacy study for this population. the proposed mypeeps mobile intervention for ytm is a novel and evidence-driven intervention using mobile technology to deliver hiv prevention information sp",Development and Testing of MyPEEPS Mobile for Young Transgender Men,NIH,POLITICAL,"The term ""diverse group of YTM"" implies a recognition of the different social, cultural, and experiential backgrounds within the young transgender men population. This relates to issues of identity and social categorization, making it a political usage in the context of health interventions.
"
4,diverse group,"fragile families summer data training workshop series 2021-2025 abstract this proposal seeks funds for a series of five summer workshops that will train a diverse group of early-career scholars on the use of the fragile families and child wellbeing study (ffs), a population-based, longitudinal, nih-funded birth cohort survey developed to further understanding of the social and behavioral factors affecting the development of urban children. compared with children b",Fragile Families Summer Data Training Workshop Series 2021-2025,NIH,POLITICAL,"The phrase ""diverse group of early-career scholars"" implies a focus on representation and inclusion of individuals from different backgrounds, which aligns with social and political considerations related to equity and opportunity in academia.
"
5,diverse group,"oses k12 and postdoctoral scholar funding for the university of california, san francisco (ucsf) and kaiser permanente northern california (kpnc) division of research’s building interdisciplinary research careers in women’s health (bircwh) program. program objectives are to: 1. recruit a superb and diverse group of early-career women’s health researchers; 2. provide tailored training and mentoring on sex and gender influences in health and disease; 3. build upon our existing program by targeting topics in women’s health of public health importance; 4. strengthen and integrate models of interdisciplinary re",UCSF-Kaiser Department of Research Building Interdisciplinary Research Careers in Women's Health (BIRCWH) Program,NIH,POLITICAL,"The term 'diverse group' in the context of recruiting early-career women's health researchers points to a focus on social identity and representation, aligning with the broader political and social goals of promoting inclusivity and addressing historical underrepresentation in specific fields.
"
6,diverse group,"onent, we will recruit 120 english and spanish-speaking financially-disadvantaged pregnant and postpartum women, including half who were vaccinated in pregnancy and half who are unvaccinated. guided by the theory of planned behavior and the five c’s model of vaccine hesitancy, and with input from a diverse group of community stakeholders, we will assess cognitive and affective factors, psychological symptoms, medical mistrust, and other contributors to vaccine decision-making. we will conduct qualitative interviews with a subset of women (n=30) to augment our understanding of factors driving vaccine reluct",COVID19 vaccine hesitancy among perinatal women at risk for health disparities,NIH,POLITICAL,"The term 'diverse group' refers to community stakeholders, implying representation from various social groups within the community, which aligns with a social and potentially political context.
"
7,diverse group,"plications to phd towards a phd program, by addressing the career, academic, and personal needs of diverse students. with grant support from the nih, selected undergraduate students become a part of our stanford network and obtain rigorous laboratory experience at a top-tier research institution. a diverse group of faculty, staff, and students will contribute to the action plan, central to the success of this plan is a commitment to diversity and inclusion as core values of stanford. building a culture and climate that values diversity and inclusion is the responsibility of all members of the stanford comm",Genomics Diversity Summer Program (GDSP) at Stanford,NIH,POLITICAL,"The context emphasizes addressing the needs of ""diverse students"" and explicitly connects diversity and inclusion to core values and responsibilities within the institution. This leans towards a social/political context focused on representation and inclusion rather than a purely scientific definition of diversity (e.g., genetic diversity).
"
8,diverse group,"n sud research. the primary focus is to address the critical need for research and innovation in sud treatment services tailored to the sgm community. the proposal encompasses three primary aims: aim 1 engagement panel: this aim involves research capacity building through the active engagement of a diverse group of patients, family members, and individuals in recovery, representing varying sexual orientations, demographic characteristics, and substance use profiles creating the vip panel. the vip panelists will be equipped with research training, will play a pivotal role in co- developing research prioriti",PRIDE-CARES Center: Patient-Responsive Initiatives for Diverse Engagement - LGBTQ+ Community Action in Research to Eliminate Substance Use Disorder,NIH,POLITICAL,"The term ""diverse group"" refers to a group representing varying sexual orientations, demographic characteristics, and substance use profiles. This highlights social identities and experiences, indicating a focus on inclusivity and representation, which aligns with a political context.
"
9,diverse group,"ch allows reporting of experiences of intersectional discrimination in real time while also considering the situational factors that are associated with these experiences to improve external validity. this study is significant because it will inform tailored harmful chb prevention interventions for diverse groups of ysgm, including future just in time interventions. address, affect, age, alcohol consumption, area, behavior, behavior therapy, buffers, cardiovascular diseases, censuses, communities, complex, cues, data, discrimination, disparity, ecological momentary assessment, environment, ethnic origin, e",Geographically-Explicit Ecological Momentary Assessment Protocol to Assess the Linkages Between Intersectional Discrimination and CVD Risk Among Sexual and Gender Minorities,NIH,POLITICAL,"The phrase ""diverse groups of YSGM"" (Youth Sexual and Gender Minorities) refers to a population defined by social and identity characteristics (sexual and gender identity) and the need for tailored interventions, indicating a usage within a social and political context.
"
10,diverse group,"inicians’ views and attitudes of this module and feelings of competence in caring for sgm people after participating in this module, using qualitative interviews. interview questions will be derived from a model highlighting five fundamental constructs to provide culturally responsive healthcare to diverse groups of patients, developed by campinha-bacote and colleagues. we will use an iterative process to improve the module content, based upon this qualitative data. in the second aim, we propose to learn the views and attitudes of sgm patients about the training module content using qualitative interviews,",Refinement of a Training Module to Improve Discussions of Sexual Orientation and Gender Identity in Cancer Clinics,NIH,POLITICAL,"The context discusses providing culturally responsive healthcare to ""diverse groups of patients,"" which refers to addressing the needs of patients from various social, cultural, and identity groups, aligning with a political or social justice perspective on healthcare equity.
"
