id,term,context,title,agency,classification,explanation
1,diverse groups,"ch allows reporting of experiences of intersectional discrimination in real time while also considering the situational factors that are associated with these experiences to improve external validity. this study is significant because it will inform tailored harmful chb prevention interventions for diverse groups of ysgm, including future just in time interventions. address, affect, age, alcohol consumption, area, behavior, behavior therapy, buffers, cardiovascular diseases, censuses, communities, complex, cues, data, discrimination, disparity, ecological momentary assessment, environment, ethnic origin, et",Geographically-Explicit Ecological Momentary Assessment Protocol to Assess the Linkages Between Intersectional Discrimination and CVD Risk Among Sexual and Gender Minorities,NIH,POLITICAL,"The term ""diverse groups"" is used to describe ""ysgm"" (youth sexual and gender minorities), which inherently involves social, political, and identity considerations related to sexual orientation and gender identity. The context relates to intersectional discrimination and tailored prevention interventions, further solidifying the political aspect.
"
2,diverse groups,"inicians’ views and attitudes of this module and feelings of competence in caring for sgm people after participating in this module, using qualitative interviews. interview questions will be derived from a model highlighting five fundamental constructs to provide culturally responsive healthcare to diverse groups of patients, developed by campinha-bacote and colleagues. we will use an iterative process to improve the module content, based upon this qualitative data. in the second aim, we propose to learn the views and attitudes of sgm patients about the training module content using qualitative interviews, ",Refinement of a Training Module to Improve Discussions of Sexual Orientation and Gender Identity in Cancer Clinics,NIH,POLITICAL,"The term ""diverse groups"" is used in the context of providing culturally responsive healthcare, which inherently involves addressing social, political, and identity factors related to patient populations. The grant focuses on sexual orientation and gender identity, which are explicitly political and social categories.
"
3,diverse groups," every fifteen engineering students in the u.s.  in the csu system about 25% of engineering students are of hispanic origin, 20% are women, and 16% are asian. the kind project will advance understanding of research, practices, and policies that bring about systemic changes to support equity for all diverse groups in the csu engineering professoriate.    the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions.  organizational barri",ADVANCE Partnership: Kindling Inter-university Networks for Diverse (KIND) Engineering Faculty Advancement in the California State University System,NSF,POLITICAL,"The term 'diverse groups' refers to specific demographic groups (Hispanic, women, Asian) and is related to equity and inclusion within the professoriate, which is a socio-political context. The grant's focus on systemic changes and addressing organizational barriers aligns with a political interpretation of diversity.
"
4,diverse groups,"ng degrees. specifically, the project aims to achieve a national target of 100,000/30,000 (bs/ms-phd) degrees for underrepresented minorities and women by 2026 and establish a future growth rate that can substantially close the gap. engineering depends on team collaboration, and research shows that diverse groups are typically more effective than homogeneous teams when complex problem solving is a critical goal. the u.s. must therefore educate a diverse engineering workforce to encompass the complex technological challenges faced by society. this nsf includes project directly addresses this critical challen",NSF INCLUDES Alliance: Engineering PLUS (Partnerships Launching Underrepresented Students),NSF,SCIENTIFIC,"The text discusses the effectiveness of diverse groups in problem-solving within the context of engineering research and team collaboration, aligning with a scientific perspective on team performance.
"
5,diverse groups," organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. to achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are planned over the four-year project period. in year 1, the researchers aim to use findi",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The term ""diverse groups"" refers to underrepresented students in doctoral engineering programs, indicating a concern with social equity and representation, which aligns with a political context.
"
6,diverse groups,"g technology careers, including women, first-generation college students, veterans, persons with disabilities, and racial/ethnic minorities. additionally, through strong partnerships with industry, the project team will have a mechanism to continue to provide access, opportunity, and empowerment to diverse groups to continue a sustained talent pipeline and direct connections to careers. this project fits well within the nsf exlent program, supported by the nsf tip and edu directorates, as it seeks to support experiential learning opportunities for individuals from diverse professional and educational backgr",Pivots: Enabling Access for Historically Underserved and Underrepresented Groups to Experiential Learning and Credentials in Artificial Intelligence,NSF,POLITICAL,"The term ""diverse groups"" in this context refers to historically underserved and underrepresented populations, aligning with social equity and inclusion goals, which falls under a political context.
"
7,diverse groups," organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. to achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are planned over the four-year project period. in year 1, the researchers aim to use findi",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The term 'diverse groups' refers to underrepresented groups in doctoral engineering programs, indicating a focus on social equity and representation, which aligns with a political context.
"
8,diverse groups," organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. to achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are planned over the four-year project period. in year 1, the researchers aim to use findi",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The phrase ""diverse groups"" is used in reference to students from underrepresented groups in doctoral engineering programs, suggesting a focus on social and political categories related to representation and equity.
"
9,diverse groups," society that serves groups underrepresented in stem fields, by creating a new community space for plant scientists of diverse backgrounds where they can be supported and mentored to achieve success in their careers. it is the hope that these efforts will also increase participation of industry and diverse groups from plant science related professional societies such as the american society of plant biologists (aspb) and the botanical society of america (bsa).    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and",Symposium: Increasing Awareness of Plant Science Opportunities among Students from Underrepresented Groups,NSF,POLITICAL,"The term 'diverse groups' refers to underrepresented groups in STEM and plant science, explicitly aiming to increase participation and representation, which aligns with social and political goals of inclusivity and equity.
"
10,diverse groups,"breaking barriers to participation: a cultural approach to increasing native hawaiian representation in engineering enhancing diversity can lead to success, not only for minorities, but for everyone. multicultural experiences can make people more creative, and diverse groups are more likely to think deeply and achieve higher quality outcomes compared to homogenous groups. in universities and in the workplace, embracing the talents and experiences of people from diverse backgrounds will be beneficial for society more broadly. yet certain groups are underrepresented in u",Breaking Barriers to Participation: A Cultural Approach to Increasing Native Hawaiian Representation in Engineering,NSF,POLITICAL,"The context emphasizes the benefits of multiculturalism, representation of minorities, and addressing underrepresentation, which are all related to social and political goals of equity and inclusion.
"
