id,term,context,title,agency,classification,explanation
1,diverse groups,"ch allows reporting of experiences of intersectional discrimination in real time while also considering the situational factors that are associated with these experiences to improve external validity. this study is significant because it will inform tailored harmful chb prevention interventions for diverse groups of ysgm, including future just in time interventions. address, affect, age, alcohol consumption, area, behavior, behavior therapy, buffers, cardiovascular diseases, censuses, communities, complex, cues, data, discrimination, disparity, ecological momentary assessment, environment, ethnic origin, et",Geographically-Explicit Ecological Momentary Assessment Protocol to Assess the Linkages Between Intersectional Discrimination and CVD Risk Among Sexual and Gender Minorities,NIH,POLITICAL,"The phrase ""diverse groups of ysgm"" (youth sexual and gender minorities) is used in the context of tailoring interventions and addressing discrimination. This points to a social and identity context, making it political.
"
2,diverse groups,"inicians’ views and attitudes of this module and feelings of competence in caring for sgm people after participating in this module, using qualitative interviews. interview questions will be derived from a model highlighting five fundamental constructs to provide culturally responsive healthcare to diverse groups of patients, developed by campinha-bacote and colleagues. we will use an iterative process to improve the module content, based upon this qualitative data. in the second aim, we propose to learn the views and attitudes of sgm patients about the training module content using qualitative interviews, ",Refinement of a Training Module to Improve Discussions of Sexual Orientation and Gender Identity in Cancer Clinics,NIH,POLITICAL,"The term 'diverse groups' in this context refers to patients and is directly related to providing culturally responsive healthcare, which is inherently tied to social and political considerations of identity and equity.
"
3,diverse groups," every fifteen engineering students in the u.s.  in the csu system about 25% of engineering students are of hispanic origin, 20% are women, and 16% are asian. the kind project will advance understanding of research, practices, and policies that bring about systemic changes to support equity for all diverse groups in the csu engineering professoriate.    the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions.  organizational barri",ADVANCE Partnership: Kindling Inter-university Networks for Diverse (KIND) Engineering Faculty Advancement in the California State University System,NSF,POLITICAL,"The text explicitly links 'diverse groups' to equity, gender, and the full participation and advancement of faculty, indicating a focus on social and political aspects of identity and representation within the university system.
"
4,diverse groups,"ng degrees. specifically, the project aims to achieve a national target of 100,000/30,000 (bs/ms-phd) degrees for underrepresented minorities and women by 2026 and establish a future growth rate that can substantially close the gap. engineering depends on team collaboration, and research shows that diverse groups are typically more effective than homogeneous teams when complex problem solving is a critical goal. the u.s. must therefore educate a diverse engineering workforce to encompass the complex technological challenges faced by society. this nsf includes project directly addresses this critical challen",NSF INCLUDES Alliance: Engineering PLUS (Partnerships Launching Underrepresented Students),NSF,SCIENTIFIC,"The context discusses team collaboration, problem-solving effectiveness, and the composition of the engineering workforce, framing 'diverse groups' in terms of scientific findings related to team dynamics and problem-solving capabilities.
"
5,diverse groups," organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. to achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are planned over the four-year project period. in year 1, the researchers aim to use findi",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The term ""diverse groups"" is used in the context of underrepresented students in doctoral engineering programs, focusing on diversity, inclusion, and intersectionality. This aligns with a political context related to social equity and identity within higher education.
"
6,diverse groups,"g technology careers, including women, first-generation college students, veterans, persons with disabilities, and racial/ethnic minorities. additionally, through strong partnerships with industry, the project team will have a mechanism to continue to provide access, opportunity, and empowerment to diverse groups to continue a sustained talent pipeline and direct connections to careers. this project fits well within the nsf exlent program, supported by the nsf tip and edu directorates, as it seeks to support experiential learning opportunities for individuals from diverse professional and educational backgr",Pivots: Enabling Access for Historically Underserved and Underrepresented Groups to Experiential Learning and Credentials in Artificial Intelligence,NSF,POLITICAL,"The term 'diverse groups' is used to refer to historically underserved and underrepresented groups (women, first-generation college students, veterans, persons with disabilities, and racial/ethnic minorities), which is a social and political context focused on equity and inclusion.
"
7,diverse groups," organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. to achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are planned over the four-year project period. in year 1, the researchers aim to use findi",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The term ""diverse groups"" is used in the context of underrepresented students in doctoral engineering programs, which aligns with social, political, and identity considerations related to representation and equity.
"
8,diverse groups," organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. to achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are planned over the four-year project period. in year 1, the researchers aim to use findi",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The phrase ""diverse groups"" is used in the context of underrepresented students in doctoral engineering programs, which directly relates to issues of social equity, inclusion, and representation, making it a political context.
"
9,diverse groups," society that serves groups underrepresented in stem fields, by creating a new community space for plant scientists of diverse backgrounds where they can be supported and mentored to achieve success in their careers. it is the hope that these efforts will also increase participation of industry and diverse groups from plant science related professional societies such as the american society of plant biologists (aspb) and the botanical society of america (bsa).    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and",Symposium: Increasing Awareness of Plant Science Opportunities among Students from Underrepresented Groups,NSF,POLITICAL,"The context discusses underrepresented groups in STEM and aims to increase participation of ""diverse groups"" from professional societies, suggesting a focus on social equity and representation within these organizations.
"
10,diverse groups,"breaking barriers to participation: a cultural approach to increasing native hawaiian representation in engineering enhancing diversity can lead to success, not only for minorities, but for everyone. multicultural experiences can make people more creative, and diverse groups are more likely to think deeply and achieve higher quality outcomes compared to homogenous groups. in universities and in the workplace, embracing the talents and experiences of people from diverse backgrounds will be beneficial for society more broadly. yet certain groups are underrepresented in u",Breaking Barriers to Participation: A Cultural Approach to Increasing Native Hawaiian Representation in Engineering,NSF,POLITICAL,"The passage argues for the benefits of diversity in universities and workplaces, specifically mentioning minorities and underrepresented groups. This aligns with a social and political focus on equity and inclusion.
"
11,diverse groups," organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. to achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are planned over the four-year project period. in year 1, the researchers aim to use findi",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The phrase 'diverse groups' is used in the context of underrepresented students in doctoral engineering programs, explicitly linking it to social equity and identity. The grant focuses on promoting the retention of these students, which aligns with a broader political agenda related to diversity and inclusion in STEM fields.
"
12,diverse groups,"s to access and inclusion, often excluding scientists and institutions with less financial resources and individuals for whom long-distance travel is difficult. the shift to virtual conferences during the covid-19 pandemic demonstrated these historical barriers, as conferences were attended by more diverse groups of scientists. this research investigates how and whether virtual and hybrid conferences in ecology, environmental science, and allied fields have increased participation by individuals from a diverse set of institutions, including academic organizations like universities and organizations outside ",EVALUATION: Improving institutional diversity in professional society participation through virtual and hybrid conferencing,NSF,POLITICAL,"The term 'diverse groups' refers to social identity and inclusion, aligning with a political context related to equity and accessibility in professional scientific spaces.
"
