id,term,context,title,agency,classification,explanation
1,diversify,"nt for members by developing and empowering environmental stewards within the saber leadership and by offering them travel support and mentoring activities, and (3) introducing structural changes that will ultimately affect the culture and climate of saber as an organization to create pathways that diversify the society’s leadership for diverse individuals. finally, as members of saber are members of other sub-fields of biology, these efforts will directly impact other professional societies in their efforts to becoming inclusive.    this award reflects nsf's statutory mission and has been deemed worth",Collaborative Research: IMPLEMENTATION: Broadening participation of marginalized individuals to transform SABER and biology education,NSF,POLITICAL,"The term 'diversify' is used in the context of broadening participation and creating pathways for diverse individuals within the society's leadership, reflecting a focus on social and political aspects of inclusion and representation.
"
2,diversify,"proposed research advances the field by applying theoretically-novel approaches to increase children’s structural reasoning about real-world inequalities. additionally, by studying the effects of structural reasoning on stem pursuits and inclusion, this research informs how structural reasoning can diversify stem participation in childhood. ultimately, this project can transform our understanding of the early-developing barriers underlying systemic inequalities in stem.    this project is also supported by the racial equity in stem education activity in the directorate for stem education (edu racial eq",Collaborative Research: SBP: Increasing Social Equality in STEM through Children's Structural Reasoning,NSF,POLITICAL,"The term ""diversify"" refers to increasing participation of underrepresented groups in STEM, which aligns with social justice and equity goals, a political context.
"
3,diversify,"as not examined a key lever that helps or hinders progress: faculty members’ attitudes toward diversity and their department’s bpc efforts. this project will seek to understand more about these faculty attitudes, supports, and obstacles to provide research-based recommendations to those who wish to diversify the students graduating with computing degrees. this diversification is important because today’s students are society’s future technologists, so they should reflect the society they will soon serve.    this research study will take a phenomenological qualitative approach to explore faculty attitud",ECR Core Research: Investigating Computer Science Departmental Diversity Efforts to Identify Levers for Change,NSF,POLITICAL,"The term ""diversify"" is used in the context of increasing representation of underrepresented groups among students graduating with computing degrees, which aligns with social and political goals related to equity and inclusion.
"
4,diversify,"training to future scientists and advance national health by broadening the pool of well-qualified biotechnology workforce members. this project aims to empower underrepresented minority students to actively participate in the biotechnology field and bring their unique perspectives to the table. by diversifying the stem workforce, the goals are to enhance innovation, foster creativity, and develop more inclusive solutions to global problems.    the initiative introducing molecular modeling experiences to underrepresented students (immerse) aims to promote a cross-sector partnership between laguardia co",Beginnings: Introducing Molecular Modeling Experiences to Underrepresented Students,NSF,POLITICAL,"The context focuses on broadening participation in STEM and bringing unique perspectives, aiming for a more inclusive workforce. This aligns with social and political goals related to representation and equity.
"
5,diversify,"uis stokes stem pathways and research alliance: ky-wv lsamp the louis stokes alliances for minority participation program is an alliance-based program.  the program's theory is based on the tinto model for student retention.  the overall goal of the program is to assist universities and colleges in diversifying the nation's science, technology, engineering and mathematics (stem) workforce by increasing the number of stem baccalaureate and graduate degrees awarded to populations historically underrepresented in these disciplines:  african-americans, hispanic americans, american indians, alaska natives, ",Louis Stokes STEM Pathways and Research Alliance: KY-WV LSAMP,NSF,POLITICAL,"The passage refers to ""diversifying the nation's science, technology, engineering and mathematics (stem) workforce"" by increasing participation of ""populations historically underrepresented in these disciplines."" This directly addresses social equity and representation, aligning with a political context.
"
6,diversify,"i williams-carter and professor renã as robinson on behalf of the national organization for the professional advancement of black chemists and chemical engineers (nobcche) to support students in chemistry, chemical engineering, or related disciplines to attend the organization’s annual conferences. diversifying the chemical enterprise is a national challenge and priority to strengthen the nation’s workforce and for the us to remain globally competitive. the nobcche annual conference provides opportunities for underrepresented students in chemistry, chemical engineering, and related disciplines to be ex",Conference: Increasing Underrepresented Minorities in STEM: The NOBCChE Annual Conference,NSF,POLITICAL,"The term ""diversifying the chemical enterprise"" refers to addressing underrepresentation and promoting inclusivity within the field, which is a social and political issue related to equity and workforce representation.
"
7,diversify,"t program (psdp) remains committed to building a diverse next generation of pediatrician scientist leaders, including: (a) to recruit diverse pediatric fellows whose outstanding potential for a successful investigative career can be developed in an intensively mentored setting and (b) to expand and diversify the pipeline of superbly trained pediatric physician-scientists, who will catalyze cutting-edge discoveries in child health and lead the pediatric departments of the future. despite the successful history of this program, the ongoing limited diversity of pediatrician scientist leaders and the chang",Pediatric Scientist Development Program,NIH,POLITICAL,"The term 'diversify' refers to increasing representation of different groups (implied based on the surrounding text) within the field of pediatric science, which is a social and political goal related to equity and inclusion.
"
8,diversify,"lsamp bd: lsu bd 9 2022 cohort, la-bridge: louisiana broadening resources for increasing diversity in graduate education the louis stokes alliances for minority participation (lsamp) program assists universities and colleges in diversifying the stem workforce through the development of highly competitive students from populations underrepresented in stem disciplines: african americans, hispanic americans, american indians, alaska natives, native hawaiians, and native pacific islanders. the goal of the lsamp bridge to the doctorate ","LSAMP BD: LSU BD 9 2022 Cohort, LA-BRIDGE: Louisiana Broadening Resources for Increasing Diversity in Graduate Education",NSF,POLITICAL,"The term 'diversifying' refers to increasing representation of underrepresented groups in STEM, which is a social and political goal related to equity and inclusion.
"
9,diversify,"building up abstract diversity on science teams has been shown to increase research productivity and creativity yet the scientific workforce lacks sufficient diversity. a range of approaches to diversifying the workforce have been initiated, such as the build and nrmn efforts, however we still lack scientific evidence as to which approaches work most effectively, with whom, and for what duration. going forward, we need both new methods for diversifying the workforce and better ways to assess their ",Building Up,NIH,POLITICAL,"The text discusses diversifying the scientific workforce, which relates to social and political goals of representation and equity within the scientific community, rather than a technical scientific application of the term.
"
10,diversify,"bpc-ae: leap alliance:  diversifying future leadership in the professoriate this award extends the current broadening participation in computing alliance, the leap alliance, which addresses the critical broadening participation challenge of increasing the diversity of the future leadership in the computing professoriate at research",BPC-AE: LEAP Alliance:  Diversifying Future Leadership in the Professoriate,NSF,POLITICAL,"The term 'diversifying' is used in the context of broadening participation and increasing diversity in the professoriate, which is a social and political goal related to representation and equity.
"
11,diversify,"gy workforce or continuing to graduate school.    co-funding for this award is being provided by navigating the new arctic (nna) program one of nsf's 10 big ideas. nna supports projects that address convergence scientific challenges in the rapidly changing arctic, empower new research partnerships, diversify the next generation of arctic researchers, enhance efforts in formal and informal education, and integrate the co-production of knowledge where appropriate. this award aligns with those goals.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation us",RaMP: Advancing Indigenous perspectives to address climate vulnerability in the Southwest: research training for and by diverse communities,NSF,POLITICAL,"The phrase ""diversify the next generation of arctic researchers"" refers to increasing representation of underrepresented groups, which aligns with social and political goals of inclusion and equity.
"
