id,term,context,title,agency,classification,explanation
1,diversifying,"building up abstract diversity on science teams has been shown to increase research productivity and creativity yet the scientific workforce lacks sufficient diversity. a range of approaches to diversifying the workforce have been initiated, such as the build and nrmn efforts, however we still lack scientific evidence as to which approaches work most effectively, with whom, and for what duration. going forward, we need both new methods for diversifying the workforce and better ways to assess their eff",Building Up,NIH,POLITICAL,"The term 'diversifying' in this context refers to efforts to increase representation of underrepresented groups within the scientific workforce. This is a social and political issue related to equity and inclusion.
"
2,diversifying,"building up abstract diversity on science teams has been shown to increase research productivity and creativity yet the scientific workforce lacks sufficient diversity. a range of approaches to diversifying the workforce have been initiated, such as the build and nrmn efforts, however we still lack scientific evidence as to which approaches work most effectively, with whom, and for what duration. going forward, we need both new methods for diversifying the workforce and better ways to assess their eff",Building Up,NIH,POLITICAL,"The text discusses ""diversifying the workforce"" in the context of social issues and initiatives aimed at increasing diversity in the scientific workforce. This aligns with broader discussions about equity and inclusion, which are inherently political.
"
3,diversifying,"step up for stem and health careers: an intervention to reduce stem-related biases and improve high school stem learning environments project abstract the national institutes of health has a stated commitment to diversifying the national scientific workforce. while diversity has many dimensions, women and underrepresented minorities (i.e., black, latinx, indigenous, and pacific islanders) are particularly underrepresented in science, technology, engineering, and mathematics (stem) and health careers. rather than abilit",Step UP for STEM and Health Careers: An Intervention to Reduce STEM-related biases and improve high school STEM learning environments,NIH,POLITICAL,"The term refers to addressing the underrepresentation of certain demographic groups (women and underrepresented minorities) in the scientific workforce, which is a matter of social equity and political action.
"
4,diversifying,"ment, mentoring, sponsorship, and promotion. the overarching goal of the utep first proposal is to drive significant change in the institutional culture at utep, thereby uplifting early-career faculty on their trajectory toward academic and research success. the vision is to be a national leader in diversifying the biomedical research workforce and a national resource for studying and implementing systemic change that support academic cultures of inclusive excellence. we will test the hypothesis that a cohort model of faculty hiring, sponsorship, continual mentoring, and professional development through e",UTEP FIRST: United Toward Equity and Progress: Faculty Institutional Recruitment for Sustainable Transformation,NIH,POLITICAL,"The term 'diversifying' is used in the context of the biomedical research workforce, aiming for a more inclusive and representative group of individuals. This aligns with social and political goals related to equity and inclusion.
"
5,diversifying,"unm first: promoting inclusive excellence in neuroscience and data science overall summary/abstract the national institutes of health (nih) have indicated a clear commitment to diversifying the national biomedical workforce. yet, the recruitment, advancement, and retention of historically disadvantaged and underrepresented minority (urm) faculty remains a significant problem within academia. the nih faculty institutional recruitment for sustainable transformation (first) initiative ai",UNM FIRST: Promoting Inclusive Excellence in Neuroscience and Data Science,NIH,POLITICAL,"The context refers to the NIH's commitment to ""diversifying the national biomedical workforce,"" which directly relates to social equity and representation of underrepresented groups, making it a political issue.
"
6,diversifying,"louis stokes stem pathways implementation-only alliance: southern nevada northern arizona the overall goal of the louis stokes alliances for minority participation (lsamp) program is to assist universities and colleges in diversifying the nation's science, technology, engineering, and mathematics (stem) workforce by increasing the number of stem baccalaureate and graduate degrees awarded to persons from lsamp populations lsamp populations are defined as persons from groups underrepresented in the stem enterprise: blacks and afri",Louis Stokes STEM Pathways Implementation-Only Alliance: Southern Nevada Northern Arizona,NSF,POLITICAL,"The term 'diversifying' refers to increasing the representation of underrepresented groups (blacks and African Americans) in the STEM workforce, which is a matter of social equity and political goals.
"
7,diversifying,"louis stokes stem pathways and research alliance: puerto rico-lsamp - expanding opportunities for underrepresented college students (2020-2025) the louis stokes alliances for minority participation (lsamp) program assists universities and colleges in diversifying the stem workforce through their efforts at significantly increasing the numbers of students successfully completing high quality degree programs in science, technology, engineering and mathematics (stem) disciplines. particular emphasis is placed on transforming stem education through innovative r",Louis Stokes STEM Pathways and Research Alliance: Puerto Rico-LSAMP - Expanding Opportunities for Underrepresented College Students (2020-2025),NSF,POLITICAL,"The text refers to ""diversifying the STEM workforce"" which implies addressing underrepresentation of certain groups, making it a social and political goal related to equity and inclusion.
"
8,diversifying,"ers aim to support physics graduate programs to become more inclusive and equitable, creating and sustaining a welcoming and supportive environment specifically for historically excluded groups, who in turn will matriculate, graduate and advance to academic faculty positions in far greater numbers, diversifying the discipline. by diversifying physics, the least diverse discipline, the researchers aim to create a model for stem graduate programs nationwide.    this project uses a novel structure that initiates deep and systemic change within a single stem discipline across multiple, high-ranking institutio",Inclusive Graduate Programs: An AGEP Pilot in Physics,NSF,POLITICAL,"The term 'diversifying' is used in the context of inclusivity, equity, and supporting historically excluded groups within a specific discipline (physics). This clearly points to a social, political, and identity context aimed at addressing representation and power dynamics within the field.
"
9,diversifying,"funded by the historically black colleges and universities – undergraduate program (hbcu-up), which provides awards to strengthen stem undergraduate education and research at hbcus, and the louis stokes alliances for minority participation (lsamp) program, which assists universities and colleges in diversifying the stem workforce.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.",NSF INCLUDES Alliance: National Data Science Alliance (NDSA),NSF,POLITICAL,"The term ""diversifying the STEM workforce"" refers to increasing the representation of underrepresented groups (minorities, HBCU graduates) within the Science, Technology, Engineering, and Mathematics workforce. This usage directly relates to social and political goals of inclusivity and equity.
"
10,diversifying,"ly draws on the knowledge and insights gained from, but not limited to, nsf-advance projects. the project is designed to facilitate broader adaptation of evidence-based gender equity and systemic change strategies, resulting in more diverse and inclusive stem academic workplaces and professions. by diversifying stem faculty, our project aspires to enhance the stem pipeline, improve student outcomes, and ultimately strengthen the u.s. stem workforce and global competitiveness.    the goal of this project is to transform stem departmental climates and cultures into psychologically healthy workplaces where l",ADVANCE Partnership: Transforming HSI STEM Departmental Climate for Faculty Success,NSF,POLITICAL,"The term 'diversifying' refers to increasing the representation of underrepresented groups (specifically related to gender equity) in STEM fields, which aligns with social and political goals of inclusivity and equity.
"
