id,term,context,title,agency,classification,explanation
1,diversity,"ence, flexibility, health communication, health disparity, health equity, individual response, infodemic, insight, lens, machine learning model, media use, mortality, novel, pandemic disease, patient oriented, population health, predictive modeling, preference, prospective, racial disparity, racial diversity, rapid technique, recruit, response, rural americans, rural area, rural dwellers, social, social media, support tools, synergism, theories, urban area",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The term ""racial diversity"" is used in conjunction with ""racial disparity,"" ""health disparity,"" and specific mention of Black and Rural communities, indicating a focus on social and demographic categories relevant to political discussions around equity and representation.
"
2,diversity,"anslations, treatment failure, underserved population, united states national institutes of health, viral load result, virginia, visit, work, black men who have sex with men, black women, cis-female, clinical practice, cost, cost effectiveness, data modeling, data platform, ethnic disparity, ethnic diversity, high risk, implementation design, implementation facilitation, implementation strategy, improved, innovation, interest, mathematical model, member, men who have sex with men, phase iii trial, pill, pre-exposure prophylaxis, racial disparity, racial diversity, resource guides, therapy development, ",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The terms ""ethnic diversity"" and ""racial diversity"" are used in conjunction with ""ethnic disparity"" and ""racial disparity"", ""underserved population"", and mentions of specific demographic groups (""black men who have sex with men"", ""black women"", ""cis-female""). This indicates a focus on social and political dimensions related to equity and representation within the context of health outcomes.
"
3,diversity,"semination, capacity building, and policy action. in aim 3, we will establish the career development and training core (cdtc) to transform the maternal health research culture and pipeline of early-stage investigators expertly trained in community partnerships, interdisciplinarity, anti-racism, and diversity, equity, inclusion, and justice. our vision is perfectly aligned with the priorities, needs, and assets of our communities and with the nih's improve initiative. ultimately, ny-champ will alter the underlying structural drivers of smm/mm in nyc and nys and shift the scientific paradigm for excellen",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The context of ""diversity, equity, inclusion, and justice"" within the framework of anti-racism and community partnerships suggests a usage related to social justice and political aims within the research environment, rather than a purely scientific or technical application.
"
4,diversity,", risk, sampling, services, shapes, source, stress, training, united states, united states national institutes of health, woman, work, acute care, beneficiary, cisgender, cohort, community barrier, community based research, community-level factor, comorbidity, experience, gender affirmation, gender diversity, gender minority group, health assessment, health care quality, health care service utilization, health difference, health disparity, healthcare burden, high risk, improved, innovation, marginalization, member, novel, peer, poor health outcome, racial minority, routine care, sex, sexual minority gr",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,POLITICAL,"The context includes terms like ""cisgender,"" ""gender minority group,"" ""racial minority,"" ""marginalization,"" and ""health disparity,"" indicating a focus on social identities and inequalities, which falls under a political context rather than strictly scientific.
"
5,diversity,", health disparity populations, health equity, health inequalities, high risk, hormone therapy, implementation evaluation, improved, innovation, insight, minority stress, multiphase optimization strategy, peer, pilot test, primary outcome, programs, provider networks, psychological distress, racial diversity, racial minority, reducing suicide, resilience factor, response, secondary outcome, sex assigned, simulation, social, social determinants, social health determinants, social stigma, structural determinants, structural health determinants, suicidal, suicidal risk, suicide rate, systemic intervention",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The grant focuses on health equity and addressing disparities in gender-diverse and racial minority populations, indicating a social and political context related to identity and access to healthcare.
"
6,diversity,"tes implementation, adoption and expansion. bh- works has been used in both clinical and non-clinical settings. in this project, we will adapt this program for lgbtq organizations. this project builds upon robust partnerships with two diverse lgbtq organizations (mazzoni center, in philadelphia and diversity camp inc., in rural southwest, virginia) and partnering behavioral health sites. we will use an effectiveness-implementation hybrid type 2 design (curran et al., 2013) with a historical comparison group to pilot the bh-works program within the two lgbtq organizations. informed by the consolidated f",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""diverse"" is used to describe LGBTQ organizations, indicating a focus on social identity and representation.
"
7,diversity,"cial factor, quality of life, research, research personnel, role, severities, site, social isolation, subgroup, system, techniques, testing, trauma, trees, united states national institutes of health, age effect, age related, aged, behavioral health, career, comorbidity, condomless anal sex, ethnic diversity, experience, health disparity, improved, indexing, innovation, insight, intersectionality, intimate partner violence, marginalization, marginalized population, men, minority stress, novel, older adult, pandemic disease, peer, physical conditioning, poor health outcome, pre-exposure prophylaxis, pre",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term ""ethnic diversity"" is listed alongside terms related to health disparities, marginalization, and minority stress, suggesting it's being used in a social and demographic context related to inequalities and underrepresentation within the population being studied.
"
8,diversity,"posal. a vision statement encompassing five themes – global impact, multidisciplinary science, integrated training with equal partnership, diverse generation of global health researchers, and highly committed environment– shapes our work. key innovations strengthening this proposal include ensuring diversity at the leadership level and across all research areas; leveraging our institutional commitments in global research training; amalgamating our strong foundations in clinical, behavioral and laboratory science; enacting a participatory monitoring and evaluation program; and launching emerging leaders",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,POLITICAL,"The context emphasizes ""diverse generation of global health researchers"" and ""ensuring diversity at the leadership level,"" indicating a focus on representation and inclusion, which are social and political considerations.
"
9,diversity,"posal. a vision statement encompassing five themes – global impact, multidisciplinary science, integrated training with equal partnership, diverse generation of global health researchers, and highly committed environment– shapes our work. key innovations strengthening this proposal include ensuring diversity at the leadership level and across all research areas; leveraging our institutional commitments in global research training; amalgamating our strong foundations in clinical, behavioral and laboratory science; enacting a participatory monitoring and evaluation program; and launching emerging leaders",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,POLITICAL,"The term 'diversity' is used in the context of ""diverse generation of global health researchers"" and ""ensuring diversity at the leadership level,"" which relates to social and identity considerations in representation and inclusion within the research team and field.
"
10,diversity,"high risk, improved, insight, intervention program, life span, minority stress, minority subjects, negative affect, nicotine use, novel, peer, peer victimization, physical conditioning, preservation, prospective, protective factors, psychologic, psychosocial, public health priorities, queer, racial diversity, sexual identity, sexual minority, sexual minority group, sexual minority stress, sexual minority youth, social, social norm, stressor, substance use, theories, therapy development, verbal",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,POLITICAL,"The term ""racial diversity"" appears alongside terms related to sexual identity and minority groups, suggesting its usage is in a social and identity context, which aligns with a political understanding of diversity.
"
11,diversity,"engagement, design, digital, digital intervention, empowerment, evidence base, experience, high risk, improved, innovation, mhealth, member, men, motivational enhancement therapy, novel, peer, pilot test, population based, pre-exposure prophylaxis, prevention service, psychological distress, racial diversity, recruit, response, social health determinants, social media, social stigma, substance use, surveillance data, surveillance study, therapy design, transgender, transgender women, uptake, web site","Tcher, Take Charge: Increasing PrEP Awareness, Uptake, and Adherence Through Health Care Empowerment and Addressing Social Determinants of Health Among Racially Diverse Trans Women in the Deep South",NIH,POLITICAL,"The term ""racial diversity"" is used in the context of a specific population (trans women in the Deep South) and aims to address health disparities, which aligns with social, political, and identity considerations.
"
12,diversity,"ent, experience, functional status, gender affirmation, gender diverse, healing, improved, interest, intersectionality, life span, parenting intervention, peer, physical conditioning, protective effect, protective factors, psychological distress, psychological symptom, racial discrimination, racial diversity, racism, resilience, sex, social, symptom self management, theories, transgender, transgender women",Interpersonal Protective Factors and Mental Health Symptom Self-Management Among Black Transgender Women: A Mixed-Methods Study,NIH,POLITICAL,"The terms ""racial diversity,"" ""racial discrimination,"" and ""racism"" within the context of a study focusing on Black transgender women suggest a focus on social and political factors impacting this population's mental health.
"
13,diversity,", research, research support, risk, risk factors, role, sampling, selection bias, sister, site, social isolation, suicide, technology, testing, time, unemployment, united states, vulnerable populations, work, cohort, contextual factors, demographics, digital, distrust, effectiveness testing, ethnic diversity, evidence base, experience, follow-up, gender affirming care, health disparity, literacy, mathematical model, men who have sex with men, multidisciplinary, multilevel analysis, national surveillance, neglect, novel, personalized approach, pre-exposure prophylaxis, preventive intervention, psychosoc",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,POLITICAL,"The term ""ethnic diversity"" is listed alongside terms like ""health disparity,"" ""vulnerable populations,"" and ""gender affirming care,"" suggesting a focus on social and demographic factors related to equity and inclusion, which falls under a political context.
"
14,diversity,"s, techniques, terminology, thinking, time, united states national institutes of health, voice, work, biobank, cisgender, community engagement, conflict resolution, design, diverse data, ethical  legal  and social implication, experience, gender affirmation, gender confusion, gender diverse, gender diversity, gender expression, gender fluid, gene editing technology, genetic analysis, genetic variant, genomic data, health care delivery, health disparity populations, health equity, health inequalities, male, member, nonbinary, people of color, physical conditioning, polygenic risk score, precision medici",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The context includes terms like ""community engagement,"" ""ethical legal and social implication,"" ""gender affirmation,"" ""gender diversity,"" ""health equity,"" ""health disparity populations,"" and ""people of color,"" indicating a focus on social, political, and identity aspects related to transgender and gender diverse individuals within the scientific research.
"
15,diversity,"ion, violence, waist-hip ratio, acute stress, alcohol abuse therapy, alcohol use disorder, cisgender, community organizations, community-level factor, comorbidity, contextual factors, design, ethnic identity, evidence base, experience, follow-up, gender affirmation, gender affirming therapy, gender diversity, health care service utilization, health difference, health disparity, individual variation, intersectionality, marginalization, meetings, microaggression, minority stress, minority stressor, nonbinary, outcome disparities, peer, physical conditioning, prospective, racial diversity, racial identity",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,POLITICAL,"The terms ""gender diversity"" and ""racial diversity"" are used within a list of terms related to social identity, marginalization, health disparities, and intersectionality, indicating a focus on social and political contexts related to identity and equity.
"
16,diversity,"cadre program for postbaccalaureate training in the neurosciences abstract despite the diversity of racial and ethnic groups in the us population, there is a marked lack of diversity amongst research scientists. this is progressively more apparent moving further along stages of training and of the profession, from undergraduate through graduate research to faculty. this is likely because in re",CADRE Program for Postbaccalaureate Training in the Neurosciences,NIH,POLITICAL,"The text discusses the underrepresentation of racial and ethnic groups in the scientific workforce, which is a matter of social equity and inclusion, aligning with a political context.
"
17,diversity," promotion, human centered design, implicit bias, improved, insight, minority health, minority health disparity, multidisciplinary, new technology, next generation, non-verbal, novel, patient engagement, patient-clinician communication, primary care clinic, prototype, provider communication, racial diversity, recruit, signal processing, simulation, social, tool, visual feedback",UnBIASED: Understanding Biased patient-provider Interaction And Supporting Enhanced Discourse,NIH,POLITICAL,"The term ""racial diversity"" is used within the context of minority health, health disparity, and patient-clinician communication, indicating a focus on social and political aspects of healthcare related to race.
"
18,diversity,"ience, follow-up, gender minority stress, high risk, intervention effect, intervention program, male, male couples, medication compliance, men who have sex with men, minority stress, pilot test, pre-exposure prophylaxis, prevention service, preventive intervention, primary outcome, programs, racial diversity, recruit, sex, sexual risk behavior, skills, social, social factors, social stigma, social structure, standard of care, theories, therapy adherence, transgender, transgender women, transmission process, uptake",A couples-based approach to HIV prevention for transgender women and their male partners,NIH,POLITICAL,"""Racial diversity"" in the context of a grant focusing on transgender women and their male partners points to a focus on addressing disparities and representation within a specific population, which is a social and political consideration.
"
