id,term,context,title,agency,classification,explanation
1,diversity," seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the stem enterprise. this activity aligns with nsf's core value of supporting outstanding researchers and innovative thinkers from across the nation's diversity of demographic groups, regions, and types of organizations. programs across edu contribute funds to the racial equity activity in recognition of the alignment of its projects with the collective research and development thrusts of the four divisions of the directorate.    this award reflects nsf's ",Collaborative Research: Black Girls as Creators: an intersectional learning ecosystem toward gendered racial equity in Artificial Intelligence education,NSF,POLITICAL,"The term 'diversity' refers to demographic groups and is linked to addressing systemic inequities, indicating a focus on social and political aspects.
"
2,diversity," populations of interest to the agep program. this agep fcpam will provide a framework for institutional change at private, highly selective research institutions that will enable all faculty to be members of a collaborative community. improving the experience of these faculty can lead to increased diversity in the engineering faculty and ultimately result in graduating more engineering students from diverse populations and increasing diversity in the engineering workforce.    improving equity and inclusion is critical to advancing engineering faculty, educating america’s future engineering workforce, ",Collaborative Research: AGEP FC-PAM: Project ELEVATE (Equity-focused Launch to Empower and Value AGEP Faculty to Thrive in Engineering),NSF,POLITICAL,"The term 'diversity' is used in the context of improving equity and inclusion for underrepresented groups in engineering faculty, students, and the workforce. This clearly relates to social and political considerations of representation and equity.
"
3,diversity," for junior faculty in  minority health and health disparities • priority activity 2: recruit/retain diverse faculty through a health education, awareness and research  in disparities scholarship (heard scholars) program in minority health and health disparities. • priority activity 3: increase the diversity of the biomedical, behavioral and clinical research workforce by  recruiting a new cohort of phd students from minority and underrepresented groups each year who focus  on health disparities. • priority activity 4: develop a mechanism for minority health and health disparity researchers to engage  ","Texas Minority Health, Research and Outreach (MiHERO)",NIH,POLITICAL,"The context emphasizes recruiting and retaining diverse faculty and students from minority and underrepresented groups, which aligns with addressing social and political inequalities in the research workforce.
"
4,diversity,"leges and universities who will work with community partners in alabama to develop curricular materials and a pilot workshop on the ethics of research. the project’s aim is to develop a network of researchers to respond to community directions rooted in best practices to facilitate justice, equity, diversity, and inclusion in environmental research. inclusion of community partners as knowledge keepers and mentors – and as co-creators of the project’s goals – offers a unique opportunity to develop ethical and responsible methods of collaborative research design and practice and to model such partnership",Project Incubation: Training Undergraduates in Collaborative Research Ethics,NSF,POLITICAL,"The terms 'justice, equity, diversity, and inclusion' are used together to promote social fairness and representation within environmental research, aligning with a political and social justice context.
"
5,diversity,"s seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the stem enterprise. this program aligns with nsf’s core value of supporting outstanding researchers and innovative thinkers from across the nation's diversity of demographic groups, regions, and types of organizations. funds for ehr racial equity are pooled from programs across ehr in recognition of the alignment of its projects with the collective research and development thrusts of the four divisions of the directorate.    this award reflects nsf's sta",Examining Blackness in Postsecondary STEM Education through a Multidimensional-Multiplicative Lens,NSF,POLITICAL,"The text explicitly links diversity to ""demographic groups"" and racial equity, indicating a focus on social and political representation.
"
6,diversity,"vcu national coordinating center for advancing gender inclusive excellence project abstract/summary background: institutional change in higher education regarding diversity, equity and inclusion, tends to be complex, contested, and slow moving. however, many institutions continue to design and implement change programs. among those are gender equity initiatives that aim to increase the participation and advancement of diverse women faculty in the science, technology, ",VCU National Coordinating Center for Advancing Gender Inclusive Excellence,NIH,POLITICAL,"The text refers to ""diversity, equity and inclusion"" and ""gender equity initiatives,"" which are concepts related to social and political goals of representation and fairness.
"
7,diversity,"diversity in practice: the quest for inclusion in precision medicine project summary/abstract broad recognition of a diversity gap in genomic datasets has fueled calls for targeted recruitment and retention of individuals from populations that have historically not participated in biomedical research. yet, d",Diversity in Practice: the Quest for Inclusion in Precision Medicine,NIH,POLITICAL,"The text explicitly mentions ""populations that have historically not participated in biomedical research"" and aims for ""targeted recruitment and retention,"" indicating a focus on addressing historical disparities and promoting inclusivity, which are political and social considerations.
"
8,diversity,"collaborative research: planning: crises: center for neurodiversity development and advancement about 15-20% of the adult population identifies as neurodivergent. these individuals offer immense unrealized potential as employees; however, they are a vulnerable community subject to extreme social and systemic inequities in jobs and higher education. neurodivergent a",Collaborative Research: Planning: CRISES: Center for Neurodiversity Development and Advancement,NSF,POLITICAL,"The term ""neurodiversity"" is used in the context of social and systemic inequities experienced by neurodivergent individuals in jobs and higher education, indicating a focus on social justice and equity, which aligns with a political context.
"
9,diversity,"s, sampling, science, self efficacy, sexual partners, sexually transmitted diseases, social network, social support, technology, united states, united states national institutes of health, woman, abortion, cis-female, cohort, data integration, digital, epidemiologic data, epidemiology study, ethnic diversity, experience, flexibility, health care availability, health care service, high risk, improved, infection rate, injection drug use, innovation, intimate partner violence, knowledgebase, male, men who have sex with men, multilevel analysis, open source, payment, peer, pre-exposure prophylaxis, racial ",Examining Social Ecological and Network Factors to Assess Epidemiological Risk in a Large National Cohort of Cisgender Women,NIH,POLITICAL,"The terms ""ethnic diversity"" and ""racial"" diversity in the context of a cohort study examining health risks related to social and network factors strongly suggests a focus on demographic representation and its potential influence on health outcomes, placing it within a social/political context.
"
10,diversity," education research study design, methods of measurement, and data analytical approaches for 60 early career scholars over three cohorts. each scholar's work will make valuable and immediate contributions to the literature around issues such as stem education access, achievement gaps, and workforce diversity.      this research institute involves a year-long training of three cohorts of 20 quantitative research methods (qrm) scholars via two intensive institutes on fundamental issues in research design, analysis, measurement, with both in-person and remote collaborative activities and meetings with the",Quantitative Research Methods for STEM Education Scholars Program,NSF,POLITICAL,"The term 'workforce diversity' refers to a social and political concept related to representation and inclusion.
"
