id,term,context,title,agency,classification,explanation
1,equality,"nation, disease, disparity, economics, enrollment, epidemic, face, florida, fostering, frequencies, future, gays, glean, hiv, hiv seronegativity, hiv diagnosis, hiv disparities, hiv risk, hiv/aids, health, health behavior, heterosexuals, high prevalence, impaired cognition, incidence, individual, inequality, influentials, link, literature, machine learning, marriage, medical, mental depression, mental health, methodology, methods, minority, minority groups, minority status, modeling, morbidity - disease rate, national institute of drug abuse, older population, outcome, pattern, population, post-trauma",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term ""inequality"" appears within a context heavily laden with social disparities affecting specific minority groups (older sexual minority men, gays, heterosexuals), HIV risk, health disparities, and minority status. This points to a usage concerning social and health inequalities rather than a strictly technical or scientific meaning.
"
2,equality," education, employment, enrollment, environment, environmental exposure, environmental hazards, environmental health, environmental pollution, equity, exposure to, factor analysis, female infertility, fertility, fertility study, government, government programs, green space, health, human, income, inequality, inequity, infertility, intention, intervention, investments, life cycle stages, link, live birth, maps, measures, medical, methods, modeling, modernization, national institute of environmental health sciences, neighborhoods, nitrogen dioxide, noise, occupations, outcome, ozone, participant, partic",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,POLITICAL,"The terms ""inequality"" and ""inequity"" appear alongside terms related to social determinants of health (e.g., income, employment, government programs), suggesting a focus on social and political dimensions of health disparities related to race and environmental factors.
"
3,equality,"use, alcohol consumption, alcohols, automobile driving, baseline surveys, belief, bisexual, california, cities, data, development, discrimination, disease, employee, environment, ethnic population, exposure to, feeling, gays, health, heavy drinking, heterosexuals, human, human rights, individual, inequality, inequity, institution, intervention, label, latinx, law enforcement, laws, lesbian, lesbian gay bisexual transgender queer, link, literature, measures, municipalities, outcome, participant, personal satisfaction, persons, policies, population, prevalence, process, research, resources, rights, role",The Role of Local Structural Stigma in Alcohol Related Inequities among SGM Young Adults,NIH,POLITICAL,"The context includes terms like ""discrimination,"" ""human rights,"" ""inequity,"" ""laws,"" ""policies,"" and specific SGM (sexual and gender minority) identities, indicating a focus on social justice and disparities, thus a political usage.
"
4,equality," child health, cities, collaborations, communities, county, data, databases, development, disinfection, disparity, dose, environmental health, epidemiologist, epidemiology, ethnic origin, evidence based intervention, exhibits, exposure to, funding, gestational age, health, hispanic, imprisonment, inequality, infant, infant health, infrastructure, institution, journals, lead, link, low birth weight infant, maps, measures, metal exposure, metals, modeling, monitor, multiple birth offspring, outcome, participant, peer review, policies, positioning attribute, pregnancy, premature birth, productivity, publ",Public Drinking Water Contaminants and Infant Health: Advancing Environmental Justice,NIH,POLITICAL,"The terms ""environmental justice,"" ""disparity,"" ""ethnic origin,"" ""inequality,"" and ""hispanic"" within the context of infant health strongly suggest the usage is related to social and political inequalities impacting health outcomes.
"
5,equality,"alcohol consumption, alcohols, area, attention, bisexual, chicago, cross-sectional studies, data, data collection, data set, development, development plans, discrimination, disparity, educational workshop, etiology, exposure to, general population, goals, greek, health, heterosexuals, individual, inequality, institute of medicine (u.s.), institution, interview, lgbt health, lesbian gay bisexual, life, life experience, literature, longitudinal cohort, measurement, measures, mentored research scientist development award, mentors, mentorship, methodology, methods, modeling, national institute on alcohol ","Alcohol-Involved Sexual Assault among Bisexual Women: Disentangling Mechanisms of Risk at Individual, Interpersonal, and Structural Levels Across the Lifespan",NIH,POLITICAL,"The term ""inequality"" in the context of the grant title and associated keywords (bisexual women, discrimination, disparity, LGBT health) suggests it is used to describe social and political inequalities that contribute to the disproportionate risk of alcohol-involved sexual assault within this specific population.
"
6,equality,"s, communities, data, data analyses, dedications, development plans, discrimination, economics, enrollment, evaluation, focus groups, funding, future, gender, hiv, hiv disparities, hiv prevention trial, hiv risk, health, health personnel, health promotion, health behavior, healthcare, individual, inequality, infrastructure, institution, international, intervention, intervention studies, interview, investigation, knowledge, link, measurement, medicine, mentors, mentorship, modeling, outcome, participant, pattern, persons, pharmaceutical preparations, policy maker, population, property, race, randomized",Mentoring clinical investigators in patient-oriented research on substance use and HIV,NIH,POLITICAL,"The term ""inequality"" appears alongside terms like ""discrimination,"" ""gender,"" ""race,"" and ""HIV disparities,"" indicating a focus on social disparities and therefore a political context.
"
7,equality,"mining sdh may be useful in identifying and monitoring hiv-related inequities, such as racial and gender disparities in hiv testing, engagement in care, and treatment. this proposal requests funding for a pre-doctoral research training program to address sdh including structural racism and gender inequality, intersectional stigma, residential segregation, aging, and marginalizing structures influencing hiv. combatting the ongoing syndemic of sdh, hiv, affiliated co-morbidities, and other potentially overlapping infectious diseases such as coronavirus, requires cutting edge public health research condu",Social Determinants of HIV,NIH,POLITICAL,"The text explicitly mentions ""gender inequality"" and ""racial disparities"" in the context of HIV testing, care, and treatment, linking it to structural racism and marginalizing structures. This clearly places the term within a social and political context related to disparities and power dynamics.
"
8,equality,"ult prevention and intervention programs. affect, alcohol consumption, alcohols, anus, attention, awareness, belief, buffers, cognitive, communities, complex, cues, data, development, discrimination, distal, emotional, ethnic origin, future, gender identity, heterosexuals, homophobia, individual, inequality, intervention, intervention studies, interview, intoxication, lesbian gay bisexual, link, literature, lived experience, methodological studies, methods, minority, modeling, oral, outcome, participant, penetration, persons, population, prevention, prevention program, psychopathology, public health, ","The Impact of Minority Stress on Alcohol-Related Sexual Assault among Sexual Minority College Students: An Intersectional, Mixed-Methodological Study",NIH,POLITICAL,"The word ""inequality"" (likely strongly related to ""equality"" in meaning here) appears in a list of terms related to discrimination, minority status, and lived experience, all of which fall under social, political, and identity contexts.
"
9,equality,"nia, characteristics, child, communities, coping behavior, data set, development, disadvantaged, disparity, ethnic origin, ethnic population, face, family, feeling, gays, gender, glean, health, health behavior, health behavior and outcomes, immigrant, immigrant community, immigration, individual, inequality, institutionalization, intervention, interview, language, latino, lesbian gay bisexual transgender queer, literature, location, measures, mediating, medicine, methods, minnesota, outcome, personal satisfaction, persons, population, positioning attribute, process, production, race, recommendation, r","Adolescent health at the intersections of sexual, gender, racial/ethnic, immigrant identities and native language",NIH,POLITICAL,"The term ""inequality"" is present in the provided context which also contains terms like ""disadvantaged,"" ""disparity,"" ""ethnic origin,"" ""race,"" ""gender,"" ""immigrant,"" ""lesbian gay bisexual transgender queer,"" and ""institutionalization."" These terms indicate a focus on social groups, power dynamics, and potential systemic disadvantages, aligning with a political usage of the term 'equality/inequality'.
"
10,equality,"tructive pulmonary disease, communities, continuity of patient care, data, data analyses, development, diabetes mellitus, discrimination, disease, disease clusterings, disease outcome, disparity, dyslipidemias, economics, exposure to, hiv, hiv risk, hiv/aids, health behavior, heart, hypertension, inequality, inequity, interdisciplinary study, intervention, interview, knowledge, lead, lung, maryland, measures, mental depression, military personnel, modeling, national heart  lung  and blood institute, nigeria, obesity, outcome, participant, police, policies, population, prevalence, public health, resear","Synergistic epidemics of non-communicable diseases, stigma, depression, and material insecurities among sexual and gender minorities living with HIV in Nigeria",NIH,POLITICAL,"The presence of ""inequality,"" ""inequity,"" ""discrimination,"" ""stigma,"" and the focus on sexual and gender minorities within the context of health outcomes strongly suggests a usage related to social disparities and thus a political context.
"
