id,term,context,title,agency,classification,explanation
1,equality,"diagnosis, hiv disparities, hiv risk, hiv/aids, health, health behavior, heterosexuals, high prevalence, impaired cognition, incidence, individual, inequality, influentials, link, literature, machine learning, marriage, medical, mental depression, mental health, methodology, methods, minority, minority grou",NA,NIH,POLITICAL,"The term ""inequality"" is used in the context of ""HIV disparities"" and ""minority groups,"" suggesting a discussion of social or political inequalities related to health outcomes.
"
2,equality," exposure to, factor analysis, female infertility, fertility, fertility study, government, government programs, green space, health, human, income, inequality, inequity, infertility, intention, intervention, investments, life cycle stages, link, live birth, maps, measures, medical, methods, modeling, modern",NA,NIH,POLITICAL,"The terms ""inequality"" and ""inequity"" suggest a focus on social or economic disparities, indicating a political context related to fairness and access.
"
3,equality,"ease, employee, environment, ethnic population, exposure to, feeling, gays, health, heavy drinking, heterosexuals, human, human rights, individual, inequality, inequity, institution, intervention, label, latinx, law enforcement, laws, lesbian, lesbian gay bisexual transgender queer, link, literature, measur",NA,NIH,POLITICAL,"The context includes terms like ""human rights,"" ""ethnic population,"" ""gays,"" ""heterosexuals,"" ""latinx,"" ""lesbian,"" ""lesbian gay bisexual transgender queer,"" ""law enforcement,"" and ""inequality,"" which strongly suggest a social, political, or identity-focused usage of 'equality.'
"
4,equality,"ologist, epidemiology, ethnic origin, evidence based intervention, exhibits, exposure to, funding, gestational age, health, hispanic, imprisonment, inequality, infant, infant health, infrastructure, institution, journals, lead, link, low birth weight infant, maps, measures, metal exposure, metals, modeling,",NA,NIH,POLITICAL,"The presence of terms like ""ethnic origin,"" ""hispanic,"" ""imprisonment,"" and especially ""inequality"" strongly suggests the term 'equality' would be used in a discussion of social, political, or health disparities among different groups.
"
5,equality,"plans, discrimination, disparity, educational workshop, etiology, exposure to, general population, goals, greek, health, heterosexuals, individual, inequality, institute of medicine (u.s.), institution, interview, lgbt health, lesbian gay bisexual, life, life experience, literature, longitudinal cohort, mea",NA,NIH,POLITICAL,"The presence of terms like ""discrimination,"" ""disparity,"" ""inequality,"" ""LGBT health,"" and ""lesbian gay bisexual"" strongly suggests the context is related to social inequalities and disparities, making it a political usage.
"
6,equality," gender, hiv, hiv disparities, hiv prevention trial, hiv risk, health, health personnel, health promotion, health behavior, healthcare, individual, inequality, infrastructure, institution, international, intervention, intervention studies, interview, investigation, knowledge, link, measurement, medicine, me",NA,NIH,POLITICAL,"The presence of terms like ""gender,"" ""inequality,"" ""disparities,"" ""health behavior,"" and ""intervention"" suggests a focus on social and political factors related to health outcomes, making 'equality' likely used in a socio-political context.
"
7,equality,"e, and treatment. this proposal requests funding for a pre-doctoral research training program to address sdh including structural racism and gender inequality, intersectional stigma, residential segregation, aging, and marginalizing structures influencing hiv. combatting the ongoing syndemic of sdh, hiv, af",NA,NIH,POLITICAL,"The term 'gender inequality' is used within the context of social determinants of health (SDH), structural racism, intersectional stigma, and marginalizing structures influencing HIV, all of which are inherently social and political issues.
"
8,equality,"complex, cues, data, development, discrimination, distal, emotional, ethnic origin, future, gender identity, heterosexuals, homophobia, individual, inequality, intervention, intervention studies, interview, intoxication, lesbian gay bisexual, link, literature, lived experience, methodological studies, metho",NA,NIH,POLITICAL,"The presence of terms like ""discrimination,"" ""ethnic origin,"" ""gender identity,"" ""heterosexuals,"" ""homophobia,"" ""inequality,"" and ""lesbian gay bisexual"" strongly suggests the grant deals with social and/or political aspects of equality, likely related to discrimination or disparities among groups.
"
9,equality,"mily, feeling, gays, gender, glean, health, health behavior, health behavior and outcomes, immigrant, immigrant community, immigration, individual, inequality, institutionalization, intervention, interview, language, latino, lesbian gay bisexual transgender queer, literature, location, measures, mediating, ",NA,NIH,POLITICAL,"The surrounding terms such as ""gays,"" ""gender,"" ""immigrant,"" ""latino,"" ""lesbian gay bisexual transgender queer,"" and ""inequality"" strongly suggest the term 'equality' is used within a social, political, or identity-related context related to health disparities and social justice.
"
10,equality,"ease clusterings, disease outcome, disparity, dyslipidemias, economics, exposure to, hiv, hiv risk, hiv/aids, health behavior, heart, hypertension, inequality, inequity, interdisciplinary study, intervention, interview, knowledge, lead, lung, maryland, measures, mental depression, military personnel, modeli",NA,NIH,POLITICAL,"The presence of terms like ""inequality,"" ""inequity,"" ""disparity,"" and the focus on health outcomes related to HIV/AIDS and mental depression suggest a concern with social determinants of health and unequal access to resources, indicating a political context.
"
11,equality,"ease clusterings, disease outcome, disparity, dyslipidemias, economics, exposure to, hiv, hiv risk, hiv/aids, health behavior, heart, hypertension, inequality, inequity, interdisciplinary study, intervention, interview, knowledge, lead, lung, maryland, measures, mental depression, military personnel, modeli",NA,NIH,POLITICAL,"The presence of terms like ""disparity,"" ""inequality,"" and ""inequity,"" alongside health-related keywords, strongly suggests the usage of 'equality' is in the context of social and health disparities, a common political and social justice concern.
"
12,equality,examining differential effects of state equality-promoting policies on harmful alcohol use among sexual and gender minority adults in the u.s.: an econometrics approach for causal inference abstract,NA,NIH,POLITICAL,"The term ""equality-promoting policies"" refers to legislative or governmental efforts aimed at achieving greater social and legal equality for specific groups, which is inherently a political context.
"
13,equality,"in, evaluation, family, funding, gender identity, goals, health, health status, healthcare, home, immigrant, immigration, imprisonment, individual, inequality, intervention, jail, latinx, law enforcement, laws, lesbian gay bisexual transgender queer, life cycle stages, mental health, methods, minority group",NA,NIH,POLITICAL,"The presence of terms like ""gender identity,"" ""inequality,"" ""minority group,"" ""immigrant,"" ""immigration,"" and ""lesbian gay bisexual transgender queer"" strongly suggests a social, political, or identity context for the use of 'equality'.
"
14,equality,"oadly, several factors beyond individual behavior have been associated with increased risk for hiv acquisition among women in the us such as gender inequality, income, exposure to domestic and sexual violence, homelessness, and sex partner’s characteristics. nonetheless, identifying the combination of chara",NA,NIH,POLITICAL,"The term 'gender inequality' is used in a social context to describe a disparity that increases risk for HIV acquisition, linking it to societal structures and power imbalances.
"
15,equality,"u.s. including them in precision medicine research (pmr) is vital to attaining tailored scientific findings, assuring health equity and upholding the equality of people with disabilities. studies of racial/ethnic minorities suggest that distrust of pmr thwarts fulfillment of these goals. studies also found ",NA,NIH,POLITICAL,"The term ""equality of people with disabilities"" is used in the context of ensuring fair treatment and social inclusion within precision medicine research, which aligns with a political and social justice perspective.
"
16,equality,"norrhea, hiv, health, health resources, health services, health status, health equity research, healthcare, high risk woman, incidence, individual, inequality, inequity, interview, knowledge, latina, measures, methods, mission, neighborhoods, nurses, patient self-report, persons, policies, pregnancy, preval",NA,NIH,POLITICAL,"The terms ""health equity research,"" ""inequality,"" and ""inequity"" strongly suggest a focus on social determinants of health and disparities, aligning with a political context concerned with fairness and justice in healthcare access and outcomes.
"
17,equality," lines max) incarceration, which disproportionately impacts minoritized and socioeconomically disadvantaged groups, is a salient form of structural inequality that impedes individuals’ sexual and reproductive health (srh) and autonomy. most research in this area, which focuses almost entirely on females, fi",NA,NIH,POLITICAL,"The term 'inequality' is used to describe structural disadvantages and disproportionate impacts on specific social groups (minoritized and socioeconomically disadvantaged), which falls under the realm of social and political discussions about fairness and justice.
"
18,equality,"collection, data science, data sources, diagnostic procedure, effectiveness, ensure, equity, ethics, funding, future, goals, health, health system, inequality, informatics, infrastructure, leadership, office of administrative management, outcome, participant, pattern, persons, pilot projects, population pro",NA,NIH,POLITICAL,"The presence of ""equity"" and ""inequality"" alongside terms like ""ethics,"" ""health system,"" and ""population"" suggests the term 'equality' would likely be used in a broader social and political context related to health disparities and access to healthcare.
"
19,equality,securing health equity: philosophical foundations for equality and social justice in public health and health care project summary/ abstract social justice is the primary ethical value underlying health equity. t,NA,NIH,POLITICAL,"The terms ""equality"" and ""social justice"" are explicitly linked to ethics and public health within a framework that addresses societal inequities, placing the usage firmly in a social and political context.
"
20,equality,race & place: the impacts of racial inequality on substance use and hiv outcomes in los angeles abstract it is well established that racial disparities in hiv care outcomes and use of substances a,NA,NIH,POLITICAL,"The term ""racial inequality"" is being used in a social and political context, referring to disparities between racial groups.
"
21,equality,"for ysgm. specifically, this study aims to; 1) examine how daily experiences of intersectional discrimination and chb differ by level of structural inequality, measured by the combination of individual gps and census data among ysgm; 2) examine how social protections (e.g., community relationships, social c",NA,NIH,POLITICAL,"The term ""structural inequality"" refers to systemic disadvantages based on social group membership, indicating a political context.
"
22,equality,", covid-19 mortality, covid-19 pandemic, caring, categories, collaborations, criminal justice, diagnostic procedure, ensure, health, heterogeneity, inequality, intervention, lead, life expectancy, measures, medical, medical technology, methodology, minority, morbidity - disease rate, new york city, onset of",NA,NIH,POLITICAL,"The term ""inequality"" (which is the opposite of equality) is listed alongside terms like ""minority,"" ""criminal justice,"" and ""health,"" suggesting a focus on social and political disparities in health outcomes.
"
23,equality,"rs, substance dependence); and (c) these survey data have been geocoded to characterize neighborhood context (e.g., residential segregation, income inequality, social capital). the specific aims of this project are to: (1) re-interview ~70% of surviving nsal participants (~2,600 people (64% female), who wil",NA,NIH,POLITICAL,"""Income inequality"" is a term typically used to describe disparities in income distribution within a population, reflecting a socioeconomic and political issue.
"
24,equality,"ogy, event, exclusion, family, fostering, fruit, funding, goals, grant, health personnel, health services accessibility, health status, individual, inequality, inequity, intervention, investigation, investments, knowledge, learning, link, low income population, measurement, medicine, mental health, mental d",NA,NIH,POLITICAL,"The presence of terms like ""inequality,"" ""inequity,"" ""low income population,"" ""health services accessibility,"" and ""exclusion"" strongly suggests the term 'equality' is being used in a social and political context related to disparities in health access and outcomes.
"
25,equality,"risk factor, epidemiology, equation, focus groups, future, gays, gender, health, heart diseases, heterosexuals, homicide, imprisonment, individual, inequality, intervention, knowledge, malignant neoplasms, marijuana, mental health, methods, mission, modeling, morbidity - disease rate, national institute of ",NA,NIH,POLITICAL,"The presence of terms like ""gays,"" ""gender,"" ""heterosexuals,"" ""homicide,"" and ""imprisonment"" alongside ""inequality"" strongly suggests a focus on social disparities and inequities within specific populations. This points to a political context related to social justice or public health disparities.
"
26,equality,"nd youth live under poverty levels with a median household income of $21,492. positions pr as the jurisdiction with the highest economic and social inequality for children and youth in the us. our main challenge is to reduce child poverty, increase mobility opportunities that foster equity, wellness, and he",NA,NIH,POLITICAL,"The term ""inequality"" is used in the context of economic and social disparities affecting children and youth, which is a social and political issue.
"
27,equality,"cs, educational workshop, ensure, environment, environmental health, faculty, family, fostering, funding, grant, gynecology, hiv/aids, immigration, inequality, infrastructure, institution, investments, mentors, methods, mission, national institute of child health and human development, national institute of",NA,NIH,POLITICAL,"The presence of terms like ""inequality,"" ""immigration,"" ""family,"" and ""environmental health"" alongside the mention of workshops and fostering, suggests the usage of 'equality' is related to addressing social or political disparities, rather than a strictly scientific or technical meaning.
"
28,equality,leveraging community-academic partnerships and social networks to disseminate vaccine-related inform... disparity in healthcare; health care inequality; health care inequity; healthcare disparity; healthcare inequality; healthcare inequity; health care a...,Leveraging Community-Academic Partnerships And Social Networks To Disseminate Vaccine-Related Inform...,NIH,POLITICAL,"The terms ""disparity,"" ""inequality,"" and ""inequity"" in healthcare are used to describe differences in access to or quality of healthcare based on social, economic, or geographic factors. This points to a political context related to social justice and fairness in healthcare access.
"
29,equality,examining differential effects of state equality-promoting policies on harmful alcohol use among sex... 21+ years old; address; adult; adult human; alcohol chemical class; alcohol drinking; alcohol ,Examining Differential Effects Of State Equality-Promoting Policies On Harmful Alcohol Use Among Sex...,NIH,POLITICAL,"The term ""equality-promoting policies"" directly relates to social and political efforts aimed at achieving equality, making its usage political.
"
30,equality,race & place: the impacts of racial inequality on substance use and hiv outcomes in los angeles aids virus; access to care; acquired immune deficiency syndrome virus; acquired immunodeficiency syn,Race & Place: The Impacts Of Racial Inequality On Substance Use And Hiv Outcomes In Los Angeles,NIH,POLITICAL,"The phrase ""racial inequality"" is explicitly used in the context of race, which is a socially and politically charged category, and its impacts on health outcomes.
"
