id,term,context,title,agency,classification,explanation
1,equitable,"ies, museums, and archives are grappling with questions of how to responsibly manage and care for scientific collections created under unequal power dynamics, this project explores the role of digital access in understanding these histories, redressing associated harms, and envisioning new and more equitable forms of research for groups that have been marginalized. through the collaborative construction of a digital archive, this project responds to requests from indigenous communities for the return of scientific materials such as photographs, audio recordings, and publications that document their liv",Collaborative Research: Digital Archives and Indigenous Afterlives of Scientific Objects,NSF,POLITICAL,"The term ""equitable"" refers to redressing harms and envisioning fairer research relationships with marginalized groups, indicating a concern for social justice and power dynamics.
"
2,equitable,"the agep university of california alliance: a model to advance equitable hiring of teaching-focused faculty in stem this collaborative research project brings together four university of california (uc) campuses: irvine, san diego, santa barbara, and santa cruz – all of which are hispanic-serving institutions (hsi) or emerging hsis - with the goal of developing, impleme",The AGEP University of California Alliance: A Model to Advance Equitable Hiring of Teaching-Focused Faculty in STEM,NSF,POLITICAL,"The term 'equitable' is used in the context of hiring practices and aims to address disparities, indicating a social and political goal of fairness and inclusivity.
"
3,equitable,"r researchers, policymakers, and community organizations to identify and address flood injustice through collaborative research and action. by focusing on interactions between the built environment, natural systems, and social vulnerability, the project seeks to inform public policy and create more equitable flood management strategies, benefiting communities nationwide. it also aims to enhance public understanding of flood risks and empower communities through education and engagement by creating educational opportunities and collaboration among students, researchers, and community members.     the ne",CHIRRP RCN: Catalyzing Flood Justice in the USA,NSF,POLITICAL,"The term 'equitable' is used in the context of addressing ""flood injustice"" and creating ""more equitable flood management strategies"" that benefit communities nationwide. This points to a concern with fairness and social justice, aligning with a political context.
"
4,equitable,"collaborative research: an equitable, justice-focused ecosystem for pacific northwest secondary cs teaching the university of washington, central washington university, western washington university, whitworth university, and washington state university will bring together leaders of pre-service programs, computer science teachers ass","Collaborative Research: An Equitable, Justice-Focused Ecosystem for Pacific Northwest Secondary CS Teaching",NSF,POLITICAL,"The grant title explicitly mentions ""justice-focused ecosystem,"" indicating a concern for social and political fairness within the context of computer science education. The term 'equitable' is thus tied to social justice issues, making it a political usage.
"
5,equitable,"sing through inclusion  of women's knowledge, priorities and perceptions engineers have studied disaster resilience of housing as structures, but with less attention to housing as homes that embody family, hopes and dreams, and financial security. this boosting research ideas for transformative and equitable advances in engineering (brite) synergy project conceptualizes a novel direction in engineering resilient housing to explore how women’s and other residents’ knowledge, priorities and perceptions can shape engineering problem solving for resilient housing at the individual, community and building c","BRITE Synergy: Engineering More Resilient Housing through Inclusion  of Women's Knowledge, Priorities and Perceptions",NSF,POLITICAL,"The term ""equitable"" is used in the context of promoting inclusivity and addressing the needs of women and other residents in housing resilience, which aligns with social and political considerations of fairness and equality.
"
6,equitable,"identifying community-informed doxypep implementation strategies to guide equitable delivery of syphilis prevention project summary/abstract in this r21 proposal, we will use implementation science approaches to study delivery of equitable syphilis prevention, doxycycline post-exposure prophylaxis (doxypep), in a clinic-based setting. innovative strategies for syphilis prevention ",Identifying Community-Informed DoxyPEP Implementation Strategies to Guide Equitable Delivery of Syphilis Prevention,NIH,POLITICAL,"The term 'equitable' refers to fair and just access to syphilis prevention, reflecting a social and political concern for equal healthcare opportunities and addressing health disparities within communities.
"
7,equitable,"epartments and other partners dedicated to improving racial equity, is one rare long-lasting initiative in this arena. studying this consortium provides the opportunity to inform organizational change and adaptive strategies to mitigate often long-standing institutional practices that have led to inequitable participation in the computing field. inspire’s goals are to (1) strengthen understanding of equity-centered student success strategies to mitigate systemic inequities in the computing enterprise, (2) support organizational sustainability of equity-centered student success strategies in hsis, and (",Collaborative Research: Inspiring Networks and Sustainability of Postsecondary Inclusivity and Racial Equity with the Computing Alliance of HSIs,NSF,POLITICAL,"The term 'equitable' and 'equity' are used in the context of racial equity, inclusivity, and addressing systemic inequities in participation within the computing field, which are social and political issues.
"
8,equitable,"building high-quality k-12 computer science education research across an outcome framework of equitable capacity, access, participation, and experience this award is funded in whole or in part under the american rescue plan act of 2021 (public law 117-2).    this project seeks to address the critical need for high-quality, equity-focused k-12 computing education research (cer) across the u.s. to meet","Building High-Quality K-12 Computer Science Education Research Across an Outcome Framework of Equitable Capacity, Access, Participation, and Experience",NSF,POLITICAL,"The term 'equitable' is used in the context of access, participation, and experience in K-12 computer science education, which relates to social justice and equal opportunity, indicating a political usage. The mention of the American Rescue Plan Act of 2021, a piece of legislation addressing societal inequities, further supports this classification.
"
9,equitable,"the effects of recasting engineering knowledge through the legacy of black intellectualism, and 2) advance educational justice by countering the epistemic violence within engineering and its sense-making practices. the anticipated outcomes of this study will equip engineering faculty with tools for equitable instruction, and more importantly, enhance black students’ sense of belonging by bridging the gap between their engineering learning and social reality. fugitive pedagogy will be used to investigate engineering faculty epistemic norms and explore ways to reconstruct disciplinary knowledge through b",CAREER: Learning from Black Intellectualism: Broadening Epistemic Foundations in Engineering Education to Empower Black Students and Faculty,NSF,POLITICAL,"The term 'equitable' is used in the context of addressing educational justice, countering epistemic violence, enhancing Black students' sense of belonging, and bridging the gap between their learning and social reality. These are all social and political considerations related to equity and inclusion.
"
10,equitable,"a's second largest school district.     the project's research questions are: 1. how does a community support network mediate nbts' transition to the profession? 2. how does a professional support network influence nbts' science and engineering instruction? and 3. how do nbts' dispositions to teach equitable bilingual science and engineering change during their professional transition? to answer these questions, the project uses a mixed methods multiple-case study design using an inductive approach. a multiple-case study design permits the generation of cases for comparison and/ or examination. illustr",Support Partnership for New Bilingual Science and Engineering Teachers,NSF,POLITICAL,"The term 'equitable' is used in the context of teaching, suggesting a focus on fairness and justice in access to and quality of science and engineering education for bilingual students, which aligns with social and political goals.
"
