id,term,context,title,agency,classification,explanation
1,equity," covid-19, covid-19 impact, covid-19 misinformation, covid-19 pandemic, covid-19 vaccination, characteristics, chronic disease, communities, computer analysis, confusion, consent, consumption, county, data, data set, decision making, development, disparity, distress, economics, emergency situation, equity, facebook, future, generations, goals, hiv, hiv vaccine, habits, health, health campaign, health disparities research, health behavior, healthcare, heterogeneity, human, individual, inequity, institution, interview, knowledge, language, linguistics, location, longitudinal cohort, machine learning, ",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The presence of terms like ""disparity,"" ""health disparities research,"" ""inequity,"" ""communities,"" and the focus on ""Black and Rural communities"" in the grant title strongly suggest that ""equity"" is being used in the context of social and health equity, which are fundamentally political concepts related to fairness and justice in resource distribution and outcomes.
"
2,equity,"w prep products as they emerge. aids prevention, adherence, affect, benchmarking, budgets, california, clinical, continuity of patient care, data, decision modeling, detection, development, drug resistance, economic models, economics, effectiveness, electronic health record, epidemic, epidemiology, equity, ethnic origin, focus groups, funding, gender, goals, hiv, hiv infections, half-life, healthcare systems, implant, incidence, inequity, infrastructure, injectable, injections, intervention, investments, laboratories, latino, maryland, methods, modality, oral, outcome, participant, persons, phase, p",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The term 'equity' is listed alongside 'ethnic origin' and 'gender,' suggesting a focus on fairness and equal access to healthcare and resources, which aligns with a political and social justice context rather than a strictly scientific one.
"
3,equity,"ny community-hospital-academic maternal health equity partnerships (ny-champ) overall: project summary/abstract the broad goal of the new york community-hospital-academic maternal health equity partnerships (ny- champ) is to upend the maternal healthcare ecosystem in new york city (nyc) and new york state (nys) by establishing a sustainable, highly co",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The term 'equity' is used in the context of maternal health disparities and partnerships aimed at addressing them within a community, hospital, and academic setting, indicating a focus on social and political factors influencing healthcare access and outcomes.
"
4,equity,"ng racial, ethnic, and language (rel)-minority youth. the proposed center for early screening and treatment of at-risk youth (the estory center) is dedicated to research and training to improve early detection of mental illness, to prevent adverse outcomes, to improve quality of care, and to foster equity in treatment for rel-minority youth. the estory center is designed to identify interventions that close mental health care access and treatment quality gaps among rel-minority youth. through a strong web of community-based connections, we will: a) collect and analyze real-time clinical and sociocon",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,POLITICAL,"The text discusses fostering equity in treatment for racial, ethnic, and language minority youth, which relates to social justice and equal opportunity, indicating a political context.
"
5,equity,"esting, covid-19 vaccination, common data element, communities, community networks, complex, crowding, data, diffusion, disparity, drug courts, ensure, environment, family, friends, general population, graph, health, health information system, health behavior, imprisonment, incidence, individual, inequity, infection, insurance, intervention, investigation, jail, legal, legal system, machine learning, medical, minnesota, misinformation, modeling, modernization, morbidity - disease rate, outcome, pathway analysis, persons, policies, population, positioning attribute, prevention strategy, preventive, p",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,POLITICAL,"The terms ""disparity"" and ""inequity"" alongside keywords like ""communities,"" ""population,"" ""policies,"" and the focus on ""COVID-19 testing and vaccination among Persons Involved with Criminal Legal Systems"" strongly suggest a focus on social and political inequalities related to health outcomes. Therefore, the term 'equity' is likely used in a political/social context related to addressing these inequalities.
"
6,equity,"transhealthguide: transforming health for gender-diverse young adults using interventions to drive equity transgender and gender diverse (tgd) young adults (ages 18-24 years), with gender identities differing from their sex assigned at birth, are a growing nih-designated health disparities population. tgd young adults suffer higher rates of suicide than their cisgender counterparts; over half contempla",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term 'equity' is used in the context of addressing health disparities and promoting fair outcomes for a specific population (gender-diverse young adults), aligning with a social and political goal of equal opportunities and outcomes.
"
7,equity,"pulation-level sgmy inequities in alcohol use. affect, alcohol consumption, benchmarking, coping skills, data, development, devices, discrimination, distal, empirical research, ethnic origin, evidence based intervention, feedback, fostering, foundations, frequencies, future, goals, grant, health, inequity, internet, intervention, interview, knowledge, lesbian gay bisexual transgender, life cycle stages, methods, morbidity - disease rate, national institute on alcohol abuse and alcoholism, outcome, participant, persons, population, public health, race, randomized  controlled trials, reporting, resear",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The phrase ""population-level sgmy inequities"" indicates a concern with disparities affecting a specific social group (sexual and gender minority youth), which falls under a political/social equity context rather than a purely scientific or technical one. The term is linked to discrimination and population health disparities.
"
8,equity,"ored research practicum. we will leverage institutional commitment of $1.5 million to support an additional 30 scholars over five years to maximize impact. outcomes: 90% of scholars completing training will submit grant proposals and/or publish their research. aim 3 – promote and support diversity, equity and inclusion in global health research training. we will leverage our existing initiatives and affiliations with minority serving institutions and pipeline programs. this will include broad outreach to departments, centers, and schools at partner universities; and engaging student groups and assoc",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,POLITICAL,"The phrase ""diversity, equity and inclusion"" is a common formulation used in discussions of social and political fairness and representation.
"
9,equity,"ored research practicum. we will leverage institutional commitment of $1.5 million to support an additional 30 scholars over five years to maximize impact. outcomes: 90% of scholars completing training will submit grant proposals and/or publish their research. aim 3 – promote and support diversity, equity and inclusion in global health research training. we will leverage our existing initiatives and affiliations with minority serving institutions and pipeline programs. this will include broad outreach to departments, centers, and schools at partner universities; and engaging student groups and assoc",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,POLITICAL,"The term 'equity' is used in conjunction with 'diversity' and 'inclusion' in the context of promoting these values in global health research training. This suggests a focus on fair representation and opportunity, which aligns with a social and political understanding of the term.
"
10,equity,"munities, data, data collection, district of columbia, dose, elements, enrollment, epidemic, evaluation, exposure to, frequencies, funding, gays, goals, hiv, hiv infections, hiv prevention trials network, health insurance, health personnel, health care facility, healthcare, incidence, individual, inequity, institutionalization, intervention, interview, job loss, laboratories, learning, length, life, methodology, methods, modeling, new york city, participant, pharmaceutical preparations, population, provider, psychosocial factor, public health, racial equity, randomized, randomized  controlled trials",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""racial equity"" clearly indicates a social and political context.
"
