id,term,context,title,agency,classification,explanation
1,equity,collaborative research: track 4: developing equity-minded engineering practitioners (deep) this nsf track 4 broadening participation in engineering (bpe) project aims to catalyze a culture change in t,NA,NSF,POLITICAL,"The grant focuses on ""broadening participation in engineering"" and developing ""equity-minded"" practitioners, which aligns with social and political goals related to fairness and inclusion.
"
2,equity,"increasing the effectiveness of justice, equity, diversity, and inclusion-focused institutional change teams through a community of transformation this project aims to serve the national interest b",NA,NSF,POLITICAL,"The term 'equity' is used in conjunction with 'justice, diversity, and inclusion,' indicating a focus on social and political concepts related to fairness and representation.
"
3,equity,utep first: united toward equity and progress: faculty institutional recruitment for sustainable tra... aaas; achievement; achievement attainment; administrator; adopted; adoption; a,Utep First: United Toward Equity And Progress: Faculty Institutional Recruitment For Sustainable Tra...,NIH,POLITICAL,"The term 'equity' is used in the context of faculty recruitment and institutional progress, suggesting a focus on fairness and representation within the university, aligning with a social/political goal.
"
4,equity,"advance catalyst: advancing kaulike (equity) focusing on stem intersectional experiences at the university of hawai‘i at mānoa. as one of six us institutions that is a land-, sea-, space-, and ",NA,NSF,POLITICAL,"The term ""equity"" is used in the context of ""advancing kaulike (equity) focusing on stem intersectional experiences,"" indicating a focus on social justice and fair representation within STEM, which is a political context.
"
5,equity,"collaborative research: engaging marginalized groups to improve technological equity this collaborative project investigates the lack of diverse, representative datasets and insights in the development and use of technology. it explor",NA,NSF,POLITICAL,"The phrase ""engaging marginalized groups to improve technological equity"" clearly places the term in a social and political context, focusing on fairness and inclusion of underrepresented groups.
"
6,equity,"tion, county, critical care, disparity, effectiveness, effectiveness of interventions, electronic health record, eligibility determination, epidemic, equity, family practice, feedback, focus groups, gender, hiv, hiv seronegativity, hiv risk, health, health system, healthcare systems, human immunodeficienc",NA,NIH,POLITICAL,"The term 'equity' is listed alongside terms like 'disparity', 'gender', and 'HIV', indicating its use likely relates to health equity, which is a social and political concept concerning fair access to healthcare and resources based on social factors.
"
7,equity,"advance catalyst: organizational change for gender equity in stem academic professions as the nation continues to focus on the importance and significance of diversity in science, technology, engineering, an",NA,NSF,POLITICAL,"The grant title explicitly mentions ""gender equity"" and ""diversity,"" indicating a focus on social and political aspects within STEM professions rather than a strictly scientific or technical application of the term.
"
8,equity,"nique role in facilitating culture change within stem disciplines by establishing and reinforcing norms and practices that advance greater diversity, equity, inclusion, justice, and accessibility (deija). they are also important avenues for training students and professionals in relevant skills and in dev",NA,NSF,POLITICAL,"The term 'equity' is used alongside 'diversity, inclusion, justice, and accessibility (deija)', which are all terms associated with social and political discussions about fairness and representation.
"
9,equity,"r choice, collaborations, county, data, development plans, discipline, disparity, education, educational workshop, elements, engineering, enrollment, equity, faculty, fostering, generations, goals, graduate education, graduation rates, individual, institution, investments, mathematics, measurable, medicin",NA,NIH,POLITICAL,"The presence of terms like ""disparity,"" ""education,"" and ""enrollment"" alongside ""equity"" suggests a focus on fairness and equal access within educational opportunities, which falls under a social and political context.
"
10,equity,"career: using equity metrics and reflective engagement to transform engineering classrooms towards racial equity within efforts to broaden racially minoritized (e.g., bla",NA,NSF,POLITICAL,"The grant text explicitly refers to ""racial equity"" and efforts to ""broaden racially minoritized"" groups, indicating a focus on social and political issues related to fairness and representation.
"
11,equity,"rganization are also members of other professional societies, which makes saber a critical lever for advancing systemic changes related to diversity, equity, and inclusion across various biology sub-fields and thus, helping to exert a larger impact on undergraduate biology education.     saber since its i",NA,NSF,POLITICAL,"The term 'equity' is used in conjunction with 'diversity' and 'inclusion,' which are hallmarks of social and political discourse related to fairness and representation. The context indicates a focus on systemic changes within the field, suggesting a goal of achieving fairer outcomes for underrepresented groups.
"
12,equity,compass health equity research hub at umb abstract despite decades of concerted efforts to eliminate health disparities experienced by minority racial and ethnic groups an,NA,NIH,POLITICAL,"The term ""health equity"" is used in the context of eliminating health disparities experienced by minority racial and ethnic groups, which is a social and political issue.
"
13,equity,"ain and restore its culture, language and landscape. tribal members who are proficient in coeur d’alene and western stem are needed to advance racial equity and address systemic racism in stem education for indigenous youth. increasingly, research is demonstrating how critical the inclusion of native hist",NA,NSF,POLITICAL,"The term 'equity' is used in the context of advancing racial equity and addressing systemic racism in STEM education for indigenous youth, which is a social and political goal.
"
14,equity,es by including marginalized community members as partners in each stage of the project. it is expected to improve society more broadly by increasing equity and inclusion in the public sphere by advancing (1) understanding of how technologies represent and distort individual identities; (2) the impact of ,NA,NSF,POLITICAL,"The usage of 'equity' is tied to increasing inclusion in the public sphere and addressing how technologies represent individual identities, indicating a focus on social and political concerns related to marginalized communities.
"
15,equity,"ect summary this proposal aims to improve the care of specific populations included in the special emphasis notice (not- hs-21-014) to advance health equity by increasing health services research involving transgender and gender diverse youth, youth who identify as black, indigenous, or people of color (b",NA,NIH,POLITICAL,"The term ""equity"" is used in the context of addressing health disparities among specific populations (transgender and gender diverse youth, BIPOC youth), which aligns with a social and political goal of fairness and equal opportunity in healthcare access and outcomes.
"
16,equity,"collaborative research: black girls as creators: an intersectional learning ecosystem toward gendered racial equity in artificial intelligence education this project will work with artificial intelligence (ai) creators and black girls, aged 9-14, to expand the rang",NA,NSF,POLITICAL,"The phrase ""gendered racial equity"" clearly indicates a focus on social justice and addressing inequalities related to gender and race.
"
17,equity,"ulty, value education excellence, inclusion of cultural perspectives, and have deep commitments to developing a diverse workforce founded on justice, equity, diversity, accessibility, and inclusion (jedai) principles. in partnership with these three msis, fellows can elect to work with education mentors w",NA,NIH,POLITICAL,"The term 'equity' is used within the framework of justice, diversity, accessibility, and inclusion (JEDAI) principles, which are inherently social and political concepts related to fair and just treatment within a community or organization.
"
18,equity,asian community-led health equity structural intervention (asian chesi) project summary/abstract title: asian community-led health equity structural intervention (asian chesi) asian c,NA,NIH,POLITICAL,"The term 'equity' is used in the context of community health interventions, specifically targeting an Asian community, suggesting a focus on addressing disparities and promoting fairness, which aligns with a political/social justice perspective.
"
19,equity," will deliver novel solutions for systemic change and cultural transformation long overdue in the geosciences. it will support and sustain diversity, equity, inclusion, and accessibility (deia)-centered programs, and will create resources and opportunities for new programs to flourish. the envisioned cult",NA,NSF,POLITICAL,"The term 'equity' is used within the context of ""diversity, equity, inclusion, and accessibility (deia)-centered programs,"" which clearly indicates a social and political focus on fairness and representation within the geosciences.
"
20,equity,strengthening community-driven safety-net interventions to improve health and economic equity address; affect; application context; businesses; caring; child care; clinical; collaborations; collection; communities; complex; county; data; decre,Strengthening Community-Driven Safety-Net Interventions To Improve Health And Economic Equity,NIH,POLITICAL,"The grant title explicitly aims to improve ""health and economic equity,"" indicating a focus on social justice and fairness, which falls under the political context. The listed context keywords such as ""communities"", ""child care"", and ""county"" further support this interpretation.
"
21,equity,"om five core communities: stem education research, formal education, informal education, participatory and community-engaged research, and diversity, equity, and inclusion (dei) research. through two in-person large meetings, multiple in-person small meetings, and virtual meetings, the network will plan t",NA,NSF,POLITICAL,"The term 'equity' appears within ""diversity, equity, and inclusion (dei) research,"" indicating its use in a social, political, or identity context related to fairness and representation.
"
22,equity,"te commitment of $75 million from 2013 to 2018. fsu leadership invested these funds to advance health-science research, including the creation of the equity research corner (a consortium of eight centers and institutes) with the mission to address equity issues related to health, social, and educational b",NA,NIH,POLITICAL,"The text explicitly mentions ""equity issues related to health, social, and educational"" indicating a focus on fairness and justice within these societal domains.
"
23,equity,"and reinforcing diseases or other health conditions, such as hiv, substance use, and mental health disorder, that are often a consequence of social inequity). national cohorts are critical to monitoring epidemic trends and how major events (e.g., epidemics, policy change, new biomedical interventions) imp",NA,NIH,POLITICAL,"The term 'social inequity' is used to describe societal disadvantages that lead to health conditions, reflecting a social and political context.
"
24,equity,collaborative research: increasing inclusion and equity of minoritized stem faculty: examining the role of epistemic exclusion in scholar(ly) evaluation practices the proposed project examines whether and ,NA,NSF,POLITICAL,"The term ""equity"" is used in the context of ""increasing inclusion of minoritized STEM faculty"" and examining ""epistemic exclusion,"" which are social and political issues.
"
25,equity,"er, community partners, cultural health, design, disparity reduction, evidence base, experience, gender affirmation, health care availability, health equity promotion, health inequalities, high risk, human centered design, improved, innovation, interest, intervention refinement, mhealth, method developmen",NA,NIH,POLITICAL,"The presence of terms like ""community partners,"" ""cultural health,"" ""disparity reduction,"" ""gender affirmation,"" ""health inequalities,"" and ""health equity promotion"" strongly indicates a focus on social and political issues related to healthcare access and outcomes.
"
26,equity,", data sources, development, disparity, environment, ethnic origin, etiology, family, gender identity, generations, goals, heterosexuals, hispanic, inequity, interruption, intervention, interview, lesbian gay bisexual, life cycle stages, mentored research scientist development award, mentorship, methods, ",NA,NIH,POLITICAL,"The surrounding terms like ""disparity,"" ""ethnic origin,"" ""gender identity,"" and ""inequity"" strongly suggest a focus on social and political dimensions of equity.
"
27,equity,"rs, digital, digital health, disorder prevention, effective intervention, ethnic minority, evidence base, experimental study, gender minority, health equity, health inequalities, improved, industry involvement, industry partner, innovation, meetings, member, mid-career faculty, model design, mortality, nu",NA,NIH,POLITICAL,"The presence of terms like ""health inequalities,"" ""ethnic minority,"" and ""gender minority"" alongside ""health equity"" strongly suggests a focus on addressing disparities in health outcomes based on social and demographic factors, which is a political and social concern.
"
28,equity,"oses. there are multi-level barriers to prep adherence among black msm, including interpersonal and institutional intersectional stigmas. to optimize equity in prep coverage, black msm must have access to service options that reduce their exposure to these stigmas. many men many voices (3mv) is a group-le",NA,NIH,POLITICAL,"The context refers to optimizing ""equity in prep coverage"" for Black MSM, framing it as a matter of access and reducing exposure to stigmas, which are inherently social and political considerations.
"
29,equity,"ematics approaches to teaching and learning. the project will also develop modules, resources, and tools for exploring how teachers' understanding of equity changes from their last year of the preparation program into their first year of teaching. the tools and resources can be shared with other teacher e",NA,NSF,POLITICAL,"The passage refers to ""teachers' understanding of equity"" and explores changes in this understanding during their preparation and first year of teaching. This strongly suggests a focus on social justice, fairness, and equitable practices in education, aligning with a political context.
"
30,equity,"includes ddlp: creating opportunities in the mathematical sciences through equity and inclusion (come-in) to strengthen the economic and technological future of the u.s., there is a need to increase the number of well-trained stem ",NA,NSF,POLITICAL,"The text explicitly links ""equity and inclusion"" to creating opportunities and strengthening the economic and technological future, indicating a focus on social and political goals.
"
31,equity,"s, hiv, hiv infections, hiv prevention trials network, health insurance, health personnel, health care facility, healthcare, incidence, individual, inequity, institutionalization, intervention, interview, job loss, laboratories, learning, length, life, methodology, methods, modeling, new york city, partic",NA,NIH,POLITICAL,"The presence of terms like ""inequity,"" ""health insurance,"" and ""job loss"" alongside ""health care facility"" and ""healthcare"" suggests a focus on social determinants of health and disparities, pointing towards a political context related to equitable access and outcomes.
"
32,equity,"munities, data, data analyses, data science, data set, development, discipline, doctor of philosophy, educational workshop, electronic health record, equity, evaluation, faculty, gender, goals, head, health personnel, hispanic-serving institution, historically black colleges and universities, individual, ",NA,NIH,POLITICAL,"The term 'equity' appears alongside terms like 'gender', 'hispanic-serving institution', and 'historically black colleges and universities', suggesting a focus on social justice and representation within the grant's scope.
"
33,equity,"ersity officer; since its inception, that program has successfully recruited 45 new tenure- track faculty with demonstrated commitments to diversity, equity and inclusion (dei). m-pact will broaden the reach of this robust pilot program by expanding from one unit to 11 biomedical and health science units ",NA,NIH,POLITICAL,"The phrase ""diversity, equity, and inclusion (dei)"" is a common expression referring to social and political goals related to representation and fairness.
"
34,equity,arch and development efforts that provide theoretical and empirical justification for proposed projects. this project is also supported by the racial equity in stem education program (ehr racial equity). the program supports projects that advance racial equity in stem education and workforce development t,NA,NSF,POLITICAL,"The term 'equity' is used in the context of racial equity in STEM education and workforce development, indicating a focus on social and political aspects.
"
35,equity,"plementation research, contact tracing, data, development, doxycycline, early identification, education, eligibility determination, ensure, epidemic, equity, evidence based intervention, face, future, hiv, health, health priorities, health services, health system, hispanic, illinois, individual, inequity,",NA,NIH,POLITICAL,"The presence of terms like ""health priorities,"" ""health services,"" ""health system,"" ""hispanic,"" and ""inequity,"" alongside ""equity"" suggests a focus on social determinants of health and disparities, placing the term in a political/social context related to fair access and outcomes.
"
36,equity,"ry, data, data set, descriptor, disease, disease susceptibility, dose, east asian, electronic health record, ensure, environment, epigenetic process, equity, ethnic origin, ethnic population, european, exclusion, failure, foundations, future, gene expression, genes, genetic, genetic determinism, genetic p",NA,NIH,POLITICAL,"The presence of terms like ""ethnic origin,"" ""ethnic population,"" and ""social"" suggests the use of ""equity"" refers to fairness and justice in access or outcomes related to health or research participation within different groups.
"
37,equity,"elds of reproductive epidemiology, environmental health, and health disparities. the centering of black women in infertility research advances health equity, combats racist stereotypes that propagate the idea that infertility is a non-issue for black women, and allows for the identification of opportuniti",NA,NIH,POLITICAL,"The term 'equity' is used in the context of addressing health disparities and combating racist stereotypes, indicating a focus on social justice and political considerations related to health outcomes for a specific population (Black women).
"
38,equity,restoring equity to measuring and preventing perinatal intimate partner violence (remap-ipv) project summary maternal morbidity and mortality in the united states (us,NA,NIH,POLITICAL,"The phrase ""restoring equity"" suggests an attempt to address imbalances or unfairness in the measurement and prevention of perinatal intimate partner violence, placing it in a social and political context.
"
39,equity,"e less likely to use condoms when having sex with people who have penises and are at least as likely as cisgender girls to be pregnant. this health inequity must be addressed.  access to inclusive sexual education, condoms, and sexual health support can vary widely across regions of the us, and within sta",NA,NIH,POLITICAL,"The term ""health inequity"" refers to unfair and avoidable differences in health outcomes linked to social disadvantage. This framing aligns with a political understanding of equity as it addresses disparities in access and outcomes related to social groups (e.g., cisgender girls vs. other populations).
"
40,equity,"orth carolina charlotte), combining multiple evidence-based approaches to provide mutual support towards institutional change that addresses racial inequity. the research support network will include: 1) mentoring by both black graduate students and black faculty, 2) culturally and socially relevant resea",NA,NSF,POLITICAL,"The term 'racial inequity' clearly places the usage in a social, political, and identity context.
"
