id,term,context,title,agency,classification,explanation
1,ethnicity,"ment in a non-randomized non- incentivized sgmy subsample (n=60) to elucidate intervention implementation under real world conditions. in aim 2, we will quantitatively explore if rct participants’ baseline minority stressors (across multiple distal and proximal domains) and demographics (e.g., race/ethnicity) interact with the intervention to predict changes in binge drinking and other outcomes (i.e., how intervention efficacy differs by subgroups). in aim 3, we will qualitatively explore (via post-rct interviews) the interplay between intervention participants’ binge drinking, minority stressors, and ",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,SCIENTIFIC,"The term 'ethnicity' is used alongside 'race' and other demographic variables to explore how these factors might interact with the intervention and predict changes in outcomes, indicating a scientific research context.
"
2,ethnicity,"articipation in nih cancer research. to advance measures, we will assess performance of each group on five validated cancer scales to compare cancer care experience, discrimination in treatment, and outcomes. finally, we will integrate and triangulate findings and assess intersectionality with race/ethnicity. this study will establish what recruitment strategies are effective across sgm populations, and which may be specific to each subgroup. acceleration, accounting, address, advertising, affect, alcohol abuse, area, attitude, belief, bisexual, cancer burden, cancer patient, cancer survivor, caring, c",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The term ""race/ethnicity"" is used in the context of intersectionality and disparities in cancer care, suggesting a focus on social and political dimensions of identity and experiences.
"
3,ethnicity,"e onset, progression, and mutable mechanisms that contribute to sgm-related disparities in au/m during adolescence. the objective of the proposed research is twofold. first, i aim to examine developmental trends of au/m across groups of youth defined by sexual orientation, gender identity, and race/ethnicity. second, i will explore how normative mechanisms of alcohol use (e.g., social norms, peer influence) coincide and coexist with sgm-specific experiences (e.g., stigma) to influence sgmy alcohol use. the project will leverage the california healthy kids survey, a unique population-based data source o","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,SCIENTIFIC,"The term 'ethnicity' is used alongside 'sexual orientation,' 'gender identity,' and 'race' to define groups of youth in a research study. This indicates a demographic and potentially biological or cultural classification within a scientific investigation, rather than a purely political or social discussion.
"
4,ethnicity,"e onset, progression, and mutable mechanisms that contribute to sgm-related disparities in au/m during adolescence. the objective of the proposed research is twofold. first, i aim to examine developmental trends of au/m across groups of youth defined by sexual orientation, gender identity, and race/ethnicity. second, i will explore how normative mechanisms of alcohol use (e.g., social norms, peer influence) coincide and coexist with sgm-specific experiences (e.g., stigma) to influence sgmy alcohol use. the project will leverage the california healthy kids survey, a unique population-based data source o","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,SCIENTIFIC,"The term 'ethnicity' is used alongside sexual orientation, gender identity, and race as a demographic variable to analyze developmental trends in alcohol use. This usage aligns with a scientific context focused on identifying and studying different population groups.
"
5,ethnicity,"on about prep's effectiveness, an exemplar's testimony). aim 1 is to determine the messaging strategies that enhance ymsm's engagement with prep messages, considering whether these message engagement patterns are moderated by prep type (injectable vs. oral). aim 2 is to test demographic (e.g., race/ethnicity) and psychographic (e.g., perceived stigma) predictors of engagement with these messaging strategies. aim 3 is to identify how selective engagement with different prep messaging strategies predicts intentions to use prep. we will accomplish these aims by conducting three studies with prep-eligible ",Enhancing Engagement with Online Health Messaging about Oral and Injectable PrEP Among Young-Adult MSM,NIH,SCIENTIFIC,"In this context, ""race/ethnicity"" is used as a demographic variable for statistical analysis in a scientific study. The grant aims to identify predictors of engagement with health messaging, and race/ethnicity is considered as a potential factor influencing this engagement.
"
6,ethnicity,"utcomes and adult patterns of substance use, the majority of research among sexual minorities to date has focused on college-aged populations. this gap in research with smy is critical to rectify, particularly for smy who experience multiple, intersecting forms of marginalization based on sex, race/ethnicity, and sexual orientation. building on our team’s prior work in this area, we propose to use pooled data from the local youth risk behavior survey (yrbs), a national biennial survey of high school students that assesses sexual identity and behavior, as well as health behaviors including alcohol use, ",Intersectional Approaches to Population-Level Health Research: Role of HIV Risk and Mental Health in Alcohol Use Disparities among Diverse Sexual Minority Youth,NIH,POLITICAL,"The term ""ethnicity"" is used in conjunction with ""sex"" and ""sexual orientation"" to describe ""intersecting forms of marginalization."" This strongly suggests a focus on social and political identities and how these identities relate to disparities and marginalization.
"
7,ethnicity,"epression, ptsd, etc.) and physical health outcomes (i.e., cardiovascular disease, sleep, etc.) for tgdas; aim 2: evaluate if differences in aim 1 direct and indirect effects are evident by tgd subgroup (i.e., gender diverse, transfeminine, transmasculine) and across intersecting identities of race/ethnicity; aim 3: examine whether aim 1 associations are moderated by resilience factors (i.e., healthcare utilization, social support), and aim 4: explore the mechanistic roles of acute and chronic daily stresses (assessed by biomarkers), controlling for sex hormones, in associations examined for aim 1. ano",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,POLITICAL,"The term ""ethnicity"" is used in conjunction with ""race"" and ""intersecting identities,"" which points to a social and political context concerning identity and potential disparities.
"
8,ethnicity,"patial, and legal epidemiology, the project aims are to: 1) estimate the time-varying prevalence of mental health symptoms (i.e., depressive, anxiety, and eating disorder symptomology) over the first year of the covid-19 pandemic across groups jointly defined by sexual orientation, gender, and race/ethnicity; 2) evaluate whether the prevalence patterns observed in aim 1 are related to the spatiotemporal distribution characteristics of covid-19 morbidity and mortality (e.g., county-level mortality rate); and 3) evaluate whether the prevalence patterns observed in aim 1 are related to the broader pandemi","Sexual Minority Mental Health During the COVID-19 Pandemic: An Intersectional, Social Epidemiologic Investigation",NIH,SCIENTIFIC,"The term 'ethnicity' is used alongside 'race' and other demographic variables (sexual orientation, gender) within a research context focused on estimating prevalence of mental health symptoms across different groups. This points to a scientific or social scientific categorization for research purposes.
"
9,ethnicity," on health benefits and risks. in aim 1, we will survey diverse cohorts of cisgender msm, transgender women, and cisgender women on interest in use of otc prep, reasons for potential use or non-use, and willingness and ability to pay. we will evaluate differences by demographics, including race and ethnicity, and by current and prior prep use. in aim 2, we will conduct focus groups to explore acceptability of otc prep and facilitators and barriers to implementation among key stakeholders, including clinicians, leaders of professional medical organizations, public health officials, regulatory experts, d","Over-the-Counter PrEP: Acceptability, Feasibility, and Potential Impact of Access without a Prescription (OFFSCRIPT)",NIH,SCIENTIFIC,"The term 'ethnicity' is used alongside 'race' as a demographic variable in a scientific study aiming to evaluate differences in interest and willingness to use OTC PrEP.
"
10,ethnicity," resources. using community-engaged and innovative approaches to rigorously over-sample tnb poc, we will identify within-group differences in the specific forms social support that promote health and mitigate risk across tnb communities. data from a total of 1299 tnb individuals diverse in race and ethnicity will be collected across several studies using multiple methods (e.g., qualitative interviews and focus groups; ecological momentary assessment, longitudinal survey research) to develop and validate a multi-faceted social support measure and test its function within an intersectional minority stres",A multidimensional investigation of social support for transgender and nonbinary people and its impacts on health and well-being: Measurement development using community engagement,NIH,SCIENTIFIC,"The term ""ethnicity"" is used alongside ""race"" as a demographic variable to describe the diversity of participants in a scientific study, aiming to identify within-group differences and understand social support within these populations. This aligns with a scientific context of data collection and analysis.
"
