id,term,context,title,agency,classification,explanation
1,ethnicity,"arch is twofold. first, i aim to examine developmental trends of au/m across groups of youth defined by sexual orientation, gender identity, and race/ethnicity. second, i will explore how normative mechanisms of alcohol use (e.g., social norms, peer influence) coincide and coexist with sgm-specific experienc",NA,NIH,SCIENTIFIC,"The term 'ethnicity' is used alongside 'sexual orientation,' 'gender identity,' and 'race' as a demographic variable for categorizing groups of youth in a scientific study.
"
2,ethnicity,"ealth biomarkers among add health respondents and consider how these associations differ by key factors (e.g., gender, socioeconomic status, and race/ethnicity). this database will promote research on health disparities for sexual and racial minority populations that is both rigorous and innovative. research",NA,NIH,SCIENTIFIC,"The term ""ethnicity"" is used alongside ""race"" and other demographic factors (gender, socioeconomic status) to analyze health disparities, a common subject in scientific research.
"
3,ethnicity,"ty couples project summary family formation plans (e.g., whether/when to have children) vary by micro-level factors like sociodemographics (age, race/ethnicity) and individual- and couple-level influences like finances and job security. these micro-level influences do not fully account for variations in repr",NA,NIH,SCIENTIFIC,"Ethnicity is used alongside other sociodemographic factors (age, race) to explain variations in family formation plans, fitting a technical/scientific analysis.
"
4,ethnicity,"usive excellence in the conduct of health disparities research. with support from the first program, we will hire and mentor a diverse (gender, race, ethnicity) group of 10 early-stage faculty in three clusters who are competitive for tenure-track research positions with joint or secondary appointments acros",NA,NIH,POLITICAL,"The term 'ethnicity' is used alongside 'gender' and 'race' to describe a diverse group of faculty, indicating a focus on social categories and representation, which aligns with a political context.
"
5,ethnicity,"ons. in addition, this project will aim to stimulate the ongoing collection of patenting and invention disclosure data, disaggregated by gender, race/ethnicity, and other identity dimensions. the njecc team will use a variety of channels to disseminate project findings and strategies for systemic change, inc",NA,NSF,POLITICAL,"The term ""ethnicity"" is used alongside ""gender,"" ""race,"" and ""other identity dimensions,"" indicating a focus on social and political identity categories.
"
6,ethnicity,"collaborative research: hsi-hubs: intersectionality as inquiry & praxis: race, class, gender & ethnicity for student success in stem with support from the improving undergraduate stem education: hispanic-serving institutions (hsi program), this hub proje",NA,NSF,POLITICAL,"The term 'ethnicity' is used alongside 'race, class, gender' within the context of student success in STEM, specifically at Hispanic-Serving Institutions. This indicates a focus on social and demographic categories relevant to equity and inclusion, aligning with a political or social identity context.
"
7,ethnicity,"the advance catalyst award to christopher newport university will support a two-year self-assessment into systemic inequities related to gender, race/ethnicity, and other aspects of social identity among science, technology, engineering, and mathematics (stem) faculty. the project’s goal is to create a profe",NA,NSF,POLITICAL,"The term 'ethnicity' is used alongside 'gender' and 'race' in the context of systemic inequities and social identity, indicating a focus on social and political dimensions.
"
8,ethnicity,"hey experience. intersectionality refers to ways in which power and privilege are structured based on interrelated social positions (e.g. due to race/ethnicity, immigrant status, native language) and how individual experiences reflect processes that confer privilege and disadvantage. mutually constitutive fo",NA,NIH,POLITICAL,"The text discusses ""power and privilege"" structured by ""social positions"" such as race/ethnicity, indicating a focus on social and political dynamics rather than a purely technical or scientific application of the term.
"
9,ethnicity,") measures, using the validated brief iat format, to enable time-efficient assessment of lifetime exposure in the us to discrimination based on: race/ethnicity, gender identity, age, sexual orientation, and weight, and assess different ways to combine individuals’ exposure to multiple types of discrimination",NA,NIH,POLITICAL,"The term 'ethnicity' is listed alongside other categories related to social identity and potential discrimination (race, gender identity, age, sexual orientation, weight). This indicates a usage focused on social groups and potential for bias, rather than a purely technical or biological classification.
"
10,ethnicity,"rollment and the subsequent intervention period by treatment group. additional outcomes will include vaccination rates by demographic, including race/ethnicity and primary language (i.e. do english speaking participants respond differently to specific intervention components compared to monolingual spanish s",NA,NIH,SCIENTIFIC,"The text uses ""ethnicity"" as a demographic variable alongside ""race"" and ""primary language"" to analyze vaccination rates and intervention response. This suggests a scientific approach to understanding how different groups respond to the intervention.
"
11,ethnicity,"/tw at elevated risk for recurrent stis which includes msm/tw who already experience significant health disparities, based on age (under age 30) race/ethnicity (black and latinx), living with hiv or are taking hiv prep. the roll-out of hiv prep in the us is an important reminder of the necessity to ensure eq",NA,NIH,POLITICAL,"The term ""ethnicity"" is used in conjunction with ""race"" to identify populations (Black and Latinx) experiencing health disparities, highlighting a social and political dimension of health inequities.
"
12,ethnicity,"in rural and/or centers for medicare & medicaid services-designated low- income areas) alongside other systematically excluded groups (e.g., race and ethnicity, sexual minority, gender minority). prospective uab doctoral students, as well as current doctoral students already enrolled in the schools of public",NA,NIH,POLITICAL,"The term 'ethnicity' is used alongside 'race,' 'sexual minority,' and 'gender minority,' indicating a focus on systematically excluded groups, which is a political and social context.
"
13,ethnicity,"ollow-up. the research aims will provide pilot data for an r01 assessing the intersectionality of sexual minority adults’ rurality, gender, race, and ethnicity on stb risk processes. to accomplish these research aims, i will complete training activities related to four training aims: (1) develop expertise in",NA,NIH,SCIENTIFIC,"The term ""ethnicity"" is used alongside ""race,"" ""gender,"" and ""sexual minority"" in the context of assessing health risk processes (STB risk) within a research study, indicating a scientific or research-oriented usage.
"
14,ethnicity," youth are often characterized as an exceptionally vulnerable population with the intersectionality of sexual orientation and gender, as well as race/ethnicity and class, and research has overemphasized the deficits of these young people. this project, therefore, uses an asset orientation in its theoretical ",NA,NSF,POLITICAL,"The text uses ""ethnicity"" alongside ""sexual orientation and gender"" and ""class"" to describe intersectional identities and vulnerable populations, framing it within a social and identity context often discussed in political and sociological discourse.
"
