id,term,context,title,agency,classification,explanation
1,excluded,"lth disorder, that are often a consequence of social inequity). national cohorts are critical to monitoring epidemic trends and how major events (e.g., epidemics, policy change, new biomedical interventions) impact hiv and other health conditions; this is particularly important for tw who are often excluded from national surveillance efforts. the objective of this proposal is to use a novel, hybrid “community hub”-supported digital cohort (“hub-supported digital cohort”) model to evaluate hiv incidence, risk factors, and syndemic conditions among tw in the us (n=3,000). in this model, on-the-ground co",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,POLITICAL,"The term ""excluded"" refers to the social and political marginalization of transgender women, leading to their underrepresentation in national surveillance efforts. This relates to systemic inequities and not a purely scientific or technical issue.
"
2,excluded,"d societal expectations of gender and beauty, are factors that can affect a tgd youth's relationship with their body, eating, and exercise. tgd youth are at higher risk of disordered eating behaviors (deb) and experience unique cognitions that contribute to deb; however, they have historically been excluded from deb research. additionally, extant deb research with tgd youth is limited due to a lack of representation of subpopulations of tgd youth participants, mainly non-binary youth and tgd youth of color. these gaps in research limit the field's ability to provide culturally specific clinical care t",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,SCIENTIFIC,"The term 'excluded' refers to the historical lack of inclusion of transgender and gender-diverse (TGD) youth in disordered eating behavior (DEB) research, a scientific domain.
"
3,excluded,"be to provide personalized and rigorous training to postdoctoral fellows who plan careers at the intersection of substance use and chronic pain. build-up’s mission includes prioritizing recruitment of postdoctoral fellows from diverse backgrounds, including people who identify as being from a group excluded based on ethnicity and race, being from a disadvantaged background, having a disability, or being lgbt+, and will also recruit individuals from a variety of training backgrounds. once enrolled, build-up fellows will be mentored on a longitudinal research project by experts in the field from the uni",Building an interprofessional and diverse workforce in substance use and pain,NIH,POLITICAL,"The term ""excluded"" refers to groups historically disadvantaged and underrepresented based on ethnicity, race, socioeconomic status, disability, or sexual orientation, which is a matter of social justice and political discourse.
"
4,excluded,"sional networks to recruit applicants from underrepresented backgrounds designated by nih (e.g., experience with homelessness, educationally and/or financially disadvantaged, raised in rural and/or centers for medicare & medicaid services-designated low- income areas) alongside other systematically excluded groups (e.g., race and ethnicity, sexual minority, gender minority). prospective uab doctoral students, as well as current doctoral students already enrolled in the schools of public health, nursing, or college of arts and sciences and who are in years 1 or 2 of their program, are eligible. intende",ADVANCE SGM Health for Research Diversity,NIH,POLITICAL,"The term ""excluded"" is used in the context of identifying underrepresented groups, referencing race, ethnicity, sexual minority, and gender minority, which are all social and political categories related to identity and equity.
"
5,excluded,"sional networks to recruit applicants from underrepresented backgrounds designated by nih (e.g., experience with homelessness, educationally and/or financially disadvantaged, raised in rural and/or centers for medicare & medicaid services-designated low- income areas) alongside other systematically excluded groups (e.g., race and ethnicity, sexual minority, gender minority). prospective uab doctoral students, as well as current doctoral students already enrolled in the schools of public health, nursing, or college of arts and sciences and who are in years 1 or 2 of their program, are eligible. intende",ADVANCE SGM Health for Research Diversity,NIH,POLITICAL,"The term 'excluded' refers to groups systematically disadvantaged based on social categories like race, ethnicity, and sexual/gender identity, indicating a focus on social justice and equity, aligning with a political context.
"
6,excluded,"orate environmental health disparities. we house a career development program that has successfully supported scientists at columbia university and will now also work with agents of change in environmental justice, a national program that trains and empowers emerging investigators from historically excluded backgrounds. our integrated health sciences facility core will integrate the expertise of six laboratories in sampling, processing, and state-of-the-art analysis of environmental and biological matrices. our study design and data science facility core facilitates the use of contemporary study desig",Center for Environmental Health and Justice in Northern Manhattan,NIH,POLITICAL,"The term ""excluded backgrounds"" refers to historical social and political exclusion, specifically relating to environmental justice and empowering marginalized groups.
"
7,excluded,"ilation and death. in addition to the direct impacts on the health of pregnant persons, there is growing evidence to suggest covid-19 adversely impacts fetal and neonatal health. as of may 2021, three vaccines have been issued emergency use approval in the us. however, because pregnant persons were excluded from initial phase 3 clinical trials, data to confirm the safety and effectiveness of covid-19 vaccination during pregnancy are lacking. driven by this limited data, obstetric and public health governing bodies do not currently directly recommend vaccination for pregnant persons. the american colle","Uptake, Safety and Effectiveness of COVID‐19 Vaccines during Pregnancy",NIH,SCIENTIFIC,"The term ""excluded"" refers to the exclusion of pregnant persons from initial Phase 3 clinical trials, a scientific and methodological aspect of vaccine research.
"
8,excluded,"e high short-term effectiveness of rzv in general practice, and we now propose to assess how long the protection against hz and hzo will last (aim 3). additionally, we will provide estimates of vaccine effectiveness and waning in the immunocompromised subgroup, a group at high risk for hz which was excluded from clinical trials. understanding the long-term vaccine effectiveness is critical for informing vaccine policy recommendations for different groups, including the need for and timing of re- vaccination. lastly, patients with a history of hzo are a subgroup for which there are concerns regarding r",The Impact of the Herpes Zoster Vaccine on Herpes Zoster Ophthalmicus,NIH,SCIENTIFIC,"The term 'excluded' refers to a specific group (immunocompromised) being left out of clinical trials, a standard practice in scientific research to control for confounding variables and isolate the effect of the treatment. This is a technical aspect of study design and participant selection.
"
9,excluded,"ills coaching sessions, and are evaluating its efficacy in a randomized trial. despite its promise, we have identified several critical gaps in couple-based hiv prevention: 1) live skills coaching is burdensome and not cost-effective, 2) many partnered msm are unable to enroll partners and are thus excluded, and 3) newer, high risk relationships rarely enroll in trials, so we need to deliver relationship skills to single msm before relationship initiation. our goal is to upgrade 2gether into a scalable and tailored intervention package for both single and partnered msm, consisting of: 1) a standalone ",Effectiveness of Relationship Education for Reducing HIV Incidence in Men Who Have Sex with Men,NIH,POLITICAL,"The term 'excluded' refers to a group of individuals (partnered MSM) being unable to participate in trials, indicating a social inequity and potentially a lack of access to resources, fitting a political/social context.
"
10,excluded,"ch to address the methodological challenges that have impeded research on the health of transgender people – specifically, to improve strategies for reaching, larger, more diverse samples of transgender persons in the united states. historically, research on sexual and reproductive health (srh) has excluded or misclassified transgender, nonbinary, and intersex (tnbi) people due to presumptions that pregnancy and related outcomes can be experienced solely by cisgender women. however, tnbi people plan for and carry pregnancies, and thus require high-quality and evidence-based healthcare. despite this ne",Advancing novel survey tools to increase participation and improve sexual and reproductive health data quality,NIH,POLITICAL,"The term 'excluded' refers to the systematic omission and misclassification of transgender, nonbinary, and intersex people in sexual and reproductive health research due to societal presumptions and biases, highlighting a social justice and equity issue.
"
11,excluded,"maternal covid-19 vaccination and lactation outcomes the efficacy of coronavirus disease (covid-19) vaccines available in the us is up to 95% against symptomatic covid-19. however, pregnant and lactating individuals were excluded from initial clinical trials. covid-19 vaccine trials are now underway in pregnant women in their second or third trimester but are not expected to conclude until 2022 or 2023, and evaluation of lactation outcomes is not planned. covid-19 vaccines are highly effective, and mounting evidence suggest",Maternal COVID-19 Vaccination and Lactation Outcomes,NIH,SCIENTIFIC,"The term 'excluded' refers to the scientific methodology of initial clinical trials where pregnant and lactating individuals were not included as subjects.
"
