id,term,context,title,agency,classification,explanation
1,exclusion,"ent generations. address, adoption, american, area, assisted reproductive technology, behavior, biological markers, birth, bisexual, child, child health, complex, couples, data, data collection, data set, dimensions, discipline of obstetrics, disparity, enrollment, ethnic origin, evaluation, event, exclusion, female, gays, generations, goals, gynecologic, hiv/aids, health, height, heterosexuals, hydrocortisone, hypertension, intervention, knowledge, legal, lesbian, lesbian gay bisexual, longevity, low birth weight infant, maternal and child health, mediator, mental depression, modeling, mothers, nurses",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,AMBIGUOUS,"The term ""exclusion"" appears in a list of keywords, making it unclear whether it refers to statistical exclusion criteria in data analysis (SCIENTIFIC), social exclusion processes contributing to health disparities (POLITICAL), or a combination of both. Without further context, it's impossible to definitively classify its usage.
"
2,exclusion,"ss, advertising, affect, alcohol abuse, area, attitude, belief, bisexual, cancer burden, cancer patient, cancer survivor, caring, clinic, clinic visits, comparative study, computerized medical record, conceptions, congresses, cybersex, data, data sources, development, discrimination, ethnic origin, exclusion, face, gays, gender, gender identity, hiv, heterosexuals, intervention trial, interview, lesbian gay bisexual transgender, literature, malignant neoplasms, malignant neoplasm of prostate, measures, mental health, methodology, methods, outcome, patient recruitments, patients, performance, persons, p",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The term 'exclusion' is listed among terms related to discrimination, sexual orientation, gender identity, and ethnic origin, suggesting its usage refers to social or political exclusion experienced by sexual and gender minorities.
"
3,exclusion,"lt, pandemic disease, peer, physical conditioning, poor health outcome, pre-exposure prophylaxis, prevention service, programs, protective effect, psychologic, psychosocial, racial diversity, reduced substance use, resilience, sex, sexual minority, sexual minority group, sexual minority men, social exclusion, sociocultural determinant, stressor, substance use, syndemic, theories",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"""Social exclusion"" refers to a social and political process by which individuals or groups are systematically blocked from rights, opportunities, and resources that are normally available to members of society, which aligns with the broader theme of social determinants of health within the grant.
"
4,exclusion,"on, address, adherence, adolescent and young adult, age, area, articulation, award, behavior, biological, bisexual, black race, caring, clinic, clinical trials, cognitive, cohort studies, communities, development, devices, diagnostic, discrimination, electronics, enrollment, epidemic, epidemiology, exclusion, friends, gays, geography, hiv, hiv infections, hiv seronegativity, hiv seropositivity, hiv risk, hiv/aids, hiv/std, human resources, incidence, individual, injectable, intervention, latinx, longitudinal cohort, longitudinal cohort study, medical, methodology, monitor, oral, participant, persons, p",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,POLITICAL,"In this context, ""exclusion"" likely refers to social exclusion or marginalization, which are factors that can influence HIV risk among vulnerable youth. This aligns with a social and political context rather than a purely scientific one.
"
5,exclusion,"vidual, provider, and community dynamics. trans women experience intersectional stigma due to the frequent association between trans identity, hiv, and sex work. these intersecting forms of stigma include internalized stigma in the form of applying negative beliefs and enacted stigma in the form of exclusion and discrimination. developing social cohesion can be a critical first step in community processes to address stigma. we adapted a multilevel intervention, abriendo puertas (opening doors), including individual counseling, peer navigation, and community mobilization for trans women living with hiv ",Piloting a multi-level intervention to promote viral suppression among transgender women living with HIV,NIH,POLITICAL,"The term 'exclusion' is used in the context of stigma and discrimination against transgender women due to their identity and association with HIV and sex work, which are inherently social and political issues.
"
6,exclusion,"hout the deep south. aids prevention, address, adherence, annual reports, awareness, bisexual, black race, caring, charge, clinic, communities, cost efficiency, cross-over studies, data, deep south, disparity, ecological momentary assessment, effectiveness, environment, evidence based intervention, exclusion, face, gays, goals, hiv, hiv infections, hiv seropositivity, hiv diagnosis, hiv/std, health, health services accessibility, healthcare, hearing, intervention, investments, letters, life, louisiana, measures, media campaign, mediating, methods, modeling, outcome, participant, persons, population, po","Tcher, Take Charge: Increasing PrEP Awareness, Uptake, and Adherence Through Health Care Empowerment and Addressing Social Determinants of Health Among Racially Diverse Trans Women in the Deep South",NIH,POLITICAL,"The context of the grant focuses on health disparities among racially diverse trans women, indicating that ""exclusion"" likely refers to social or systemic exclusion contributing to these disparities and impacting access to healthcare and HIV prevention.
"
7,exclusion,"ety, behavior, birth, bisexual, categories, characteristics, classification, clinical, cognitive, communities, complex, data, development, dimensions, discrimination, disparity, dissemination and implementation, drug usage, effectiveness, electronic health record, ensure, ethnic origin, evaluation, exclusion, feeling suicidal, female, focus groups, funding, future, gays, gender identity, grant, health, health care research, health surveys, healthcare, heterosexuals, individual, intersex, intervention, interview, label, lesbian gay bisexual transgender, literature, live birth, location, measurement, mea","Project Recognize: Improving Measurement of Alcohol Use and Other Disparities by Sex, Sexual Orientation, and Gender Identity through Community Engagement",NIH,POLITICAL,"The context includes terms related to discrimination, disparity, sex, sexual orientation, and gender identity, suggesting that ""exclusion"" likely refers to social or systemic exclusion based on these factors.
"
8,exclusion,"vernmental, and community to disseminate and translate discoveries. address, affect, anxiety, birth, black race, caring, centers of research excellence, childbirth, clinical, collaborations, communities, community networks, country, death rate, development, discrimination, epidemic, equity, ethics, exclusion, gender identity, generations, goals, grant, income, individual, infrastructure, institution, intention, intervention, justice, language, lived experience, maternal health, maternal mortality, mental health, mission, modeling, morehouse school of medicine, overdose, perinatal, persons, post-traumat",Center to Advance Reproductive Justice and Behavioral Health among Black Pregnant/Postpartum Women and Birthing People (CORAL).,NIH,POLITICAL,"The context includes terms like ""reproductive justice,"" ""equity,"" ""discrimination,"" and ""gender identity,"" strongly suggesting that ""exclusion"" is being used to refer to social or political marginalization and disadvantage related to reproductive health access and outcomes for Black pregnant/postpartum women and birthing people.
"
9,exclusion,"mobile driving, black race, cessation of life, cities, clinical trials, communities, coupled, data, death rate, development, disease, disparity, disproportionately impacts women, drug usage, economics, enhancement technology, enrollment, ensure, epidemic, epidemiology, equity, ethnic origin, event, exclusion, formulation, future, hiv, hiv seronegativity, hiv seropositivity, hiv risk, health, healthcare, high risk woman, homicide, hybrids, imprisonment, incidence, individual, inequity, intervention, latinx, measures, mental health, mental disorders, methods, modeling, monitor, overdose, participant, pat",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,POLITICAL,"The term ""exclusion"" in this context, alongside terms like ""equity,"" ""disparity,"" ""inequity,"" ""ethnic origin,"" and the focus on transgender women and specific racial groups (""black race,"" ""latinx""), suggests a concern with social and political factors that may lead to marginalization and unequal access to healthcare and research participation.
"
10,exclusion,"vocate, ally, area, benefits and risks, birth, categories, classification, collaborations, collection, communication, communities, complex, consultations, data, data collection, decision making, development, disclosure, discrimination, disparity population, ethics, ethnic origin, ethnic population, exclusion, explosion, female, gender, gender identity, genetic, genomics, geography, goals, guidelines, harm reduction, health, health services accessibility, individual, institutional review boards, interview, knowledge, laws, leadership, legal, liquid substance, literature, lived experience, measures, ment",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term ""exclusion"" appears alongside terms like ""discrimination,"" ""disparity population,"" ""ethics,"" ""gender identity,"" and ""lived experience,"" suggesting its use refers to social or political exclusion experienced by transgender and gender diverse people.
"
11,exclusion,"nuum and informing therapeutic targets for sexual minority stb prevention. acute, address, adult, age, award, birth, bisexual, cause of death, cellular phone, clinical, communities, data, data analyses, dedications, disparity, ecological momentary assessment, enrollment, environment, ethnic origin, exclusion, feeling suicidal, fibrinogen, future, gays, gender, geographic locations, goals, hiv/aids, health services accessibility, heterosexuals, hour, individual, institution, internet, interview, learning, lesbian, medicine, mental health, mentors, methods, modeling, participant, pattern, pennsylvania, p",Predicting acute and dynamic suicide risk in rural sexual minorities,NIH,POLITICAL,"The surrounding terms like ""bisexual,"" ""gays,"" ""lesbian,"" ""ethnic origin,"" ""gender,"" and ""heterosexuals"" suggest that ""exclusion"" refers to social or political marginalization or discrimination experienced by these groups.
"
12,exclusion,"xiety, applications grants, assessment tool, attitude, beauty, behavior, binge eating, caring, characteristics, clinical, cognition, communities, data, death rate, development, discrimination, distress, eating, eating behavior, eating disorders, ensure, equity, estrogens, ethnic origin, evaluation, exclusion, exercise, exposure to, family member, fasting, feeling suicidal, female, focus groups, future, gender, gender identity, general population, goals, group interviews, health, impairment, individual, intervention, intervention studies, interview, k-series research career programs, knowledge, literatu",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,POLITICAL,"The term ""exclusion"" appears in a list including terms like ""discrimination,"" ""equity,"" ""ethnic origin,"" and ""gender identity,"" suggesting it refers to social exclusion and marginalization, rather than a technical or scientific meaning.
"
13,exclusion,". academy, address, air pollution, articulation, award, awareness, biological, biometry, chemicals, collaborations, communication, communities, core facility, data, data science, dedications, development, doctor of philosophy, environmental exposure, environmental health, environmental risk factor, exclusion, fostering, funding, future, global change, goals, grooming, growth, health, health sciences, height, inequity, infrastructure, laboratories, low income, methods, minority, mission, molecular, national institute of environmental health sciences, neighborhoods, pilot projects, plastics, principal in",Center for Environmental Health and Justice in Northern Manhattan,NIH,AMBIGUOUS,"The term ""exclusion"" appears in a list of terms related to a grant. Without more context, it's impossible to determine if it refers to statistical exclusion criteria in data analysis (SCIENTIFIC) or social exclusion of certain groups (POLITICAL). It could even refer to the exclusion of certain chemicals or pollutants in an environmental study (SCIENTIFIC).
"
14,exclusion,"ting, address, advertisements, advertising, affect, age, age years, alcohol consumption, anxiety, behavior, behavioral model, bisexual, black race, clinical trials, communities, crime, data, discrimination, electronics, enrollment, epidemic, epidemiology, ethnic origin, evidence based intervention, exclusion, facebook, frequencies, funding, future, gays, geographic locations, hiv, hiv infections, hiv seronegativity, hiv seropositivity, hiv diagnosis, hiv risk, hot spot, incidence, individual, individual differences, instagram, institution, intervention, intervention studies, knowledge, latino, literatu",MyPEEPS Mobile LITE:  Limited Interaction Efficacy Trial of MyPEEPS Mobile to Reduce HIV Incidence and Better Understand the Epidemiology of HIV among YMSM,NIH,POLITICAL,"Given the surrounding terms like ""discrimination,"" ""ethnic origin,"" ""black race,"" and ""latino,"" 'exclusion' likely refers to social exclusion based on identity or other factors, making it a political rather than purely scientific usage in this context.
"
15,exclusion,"rogram improvement and institutional change. academia, american indians, arts, basic science, black race, communities, compensation, data, decision making, development, disparity, doctor of philosophy, early identification, education, engineering, environment, equity, ethnic population, evaluation, exclusion, faculty, fostering, funding, goals, health sciences, hispanic, inequity, institution, institutional policy, institutional racism, justice, latinx, lead, leadership, measures, medicine, mentors, minority groups, outcome, pacific islander, policies, positioning attribute, postdoctoral fellow, proces",Vanderbilt FIRST - Elevating Excellence and Transforming Institutional Culture,NIH,POLITICAL,"The term 'exclusion' appears alongside terms like 'equity,' 'inequity,' 'institutional racism,' 'minority groups,' and 'justice,' indicating a focus on social justice and the political dimensions of inclusion and exclusion within the institution.
"
16,exclusion,"lity, minority children, minority stress, obesity risk, population based, population health, psychosocial, racial minority, racial minority population, racism, response, sexual identity, sexual minority, sexual minority group, sexual minority health, sexual minority health disparity, social, social exclusion, social stigma, transgender",Contextual Determinants of Sexual Minority Health in the United States,NIH,POLITICAL,"The term ""social exclusion"" is often used in the context of social justice, inequality, and the marginalization of groups based on identity, aligning with a political context rather than a purely scientific one.
"
17,exclusion,"nd prevention (u.s.), cessation of life, clinical, clinical trials, cohort studies, computerized medical record, data, databases, decision making, discipline of obstetrics, disease, effectiveness, electronic health record, eligibility determination, emergency situation, ensure, epidemiology, event, exclusion, fda emergency use authorization, fetal health, goals, guidelines, health, health personnel, immunization, individual, infant, infant health, infection, intensive care, intention, learning, link, maternal health, mechanical ventilation, medical, mothers, nature, observational study, outcome, partic","Uptake, Safety and Effectiveness of COVID‐19 Vaccines during Pregnancy",NIH,SCIENTIFIC,"The term ""exclusion"" is likely referring to exclusion criteria within the context of clinical trials or cohort studies, a standard practice in scientific research to define which individuals are not eligible to participate in a study.
"
18,exclusion,"ect, affective, age, artificial intelligence, behavior, brain imaging, cellular phone, characteristics, clinical, communities, computational technique, data, data analytics, demographic factors, development, distal, distress, ecological momentary assessment, emergency situation, equilibrium, event, exclusion, face, feeling suicidal, frequencies, functional magnetic resonance imaging, goals, hospitalization, hotlines, hour, impulsive behavior, impulsivity, individual differences, intervention, interview, lesbian gay bisexual transgender queer, lesbian gay bisexual transgender queer questioning, machine ",Social-Affective Vulnerability to Suicidality among LGBTQ Young Adults: Proximal and Distal Factors,NIH,AMBIGUOUS,"The word ""exclusion"" appears in a list of terms, and without further context, it's impossible to determine if it refers to statistical exclusion criteria, social exclusion, or some other form of exclusion relevant to the study.
"
19,exclusion,"search, biomedical research, bisexual, black populations, caring, censuses, clinical, clinical research, cognitive, communities, community participation, complex, continuity of patient care, degree completion, discrimination, diverse workforce, education, elements, epidemic, evidence based program, exclusion, foundations, funding, gays, gender, graduate education, grant, hiv, hiv/aids, individual, institution, interdisciplinary study, intervention, knowledge, latinx population, literature, mental health, mentors, michigan, midwestern united states, names, national institute of mental health, pattern, p",Pipeline to Graduate Education and Careers in Behavioral and Social Science Research for URM Undergraduates: Addressing HIV in Sexual and Gender Minority Communities,NIH,POLITICAL,"The term ""exclusion"" in this context, given the focus on URM undergraduates and HIV in sexual and gender minority communities, likely refers to social or systemic exclusion experienced by these groups, making it a political usage.
"
