id,term,context,title,agency,classification,explanation
1,exclusion,"ta in the geospatial and social sciences. the research tests the tension between theories on the power of proximity and opportunity for individual outcomes, which drive most affordable housing policies in the us, and those of case studies that show persistent patterns of experienced segregation and exclusion inside mixed-income areas. geospatial, statistical, and qualitative methods examine segregation and access to opportunity to incorporate a wider range of experienced contexts through human mobility data in a granular and spatiotemporally contingent manner. findings nuance localized heterogeneity an",Measuring Integration in Affordable Housing with Location Data,NSF,POLITICAL,"The term ""exclusion"" is used in the context of segregation and mixed-income areas, which are inherently tied to social and political issues surrounding affordable housing policies and inequality.
"
2,exclusion,"ect advances knowledge on portfolio composition in the past and the causes and consequences of portfolio-choice differences, among other phenomena. associated papers will illuminate, among other things, the extent to which practical barriers to financial access shape portfolios; whether the initial exclusion of black households from social security can help explain their persistently higher participation in life insurance today, despite the decline in its returns; and the demographically redistributive effects of inflation. these papers explicitly consider the role of group identity at the intersection","How Demographics, Place, and Rules Impact Portfolio Composition: Data from the Historical Survey of Consumer Finances and Implications for the Distribution of Wealth",NSF,POLITICAL,"The text refers to the ""exclusion of black households from social security,"" which is a matter of historical social policy and discrimination.
"
3,exclusion,"ich science identity relates to intersectional identities is vitally important to broaden participation, and it is a critical gap in the literature on postdoctoral scholars. early studies have shown that environmental contexts in which postdoctoral scholars feel affirmed and valued can help counter exclusionary stem cultural norms and build a sense of belonging. there is no extant research to suggest the mechanisms by which the broader scientific community contributes to stem identity validation in postdoctoral scholars, nor the extent to which this is a factor. this project aims to examine the influen",Postdoctoral Fellowship: STEMEdIPRF: Scholars in the Margins: Historically Excluded Postdoctoral Experiences in STEM,NSF,POLITICAL,"The term 'exclusionary' relates to social and cultural norms in STEM that create barriers for certain groups, indicating a matter of social and political equity.
"
4,exclusion,"collaborative research: increasing inclusion and equity of minoritized stem faculty: examining the role of epistemic exclusion in scholar(ly) evaluation practices the proposed project examines whether and how epistemic exclusion, a form of scholarly devaluation, is a barrier to the full inclusion and participation of women faculty and faculty of color in stem. epistemic exclusion occurs when disciplinary biases defining wh",Collaborative Research: Increasing Inclusion and Equity of Minoritized STEM Faculty: Examining the Role of Epistemic Exclusion in Scholar(ly) Evaluation Practices,NSF,POLITICAL,"The grant focuses on ""inclusion and equity of minoritized STEM faculty"" and examines ""epistemic exclusion"" as a barrier to participation for ""women faculty and faculty of color,"" placing the term within a social and political context related to identity and power structures.
"
5,exclusion,"oks, brazil, characteristics, child care, china, chinese, chinese population, clinics and hospitals, coal, cognition, collection, comparative study, cost savings, country, county, data, data collection, data set, dementia, development, dimensions, elderly, england, environment, epidemiology, event, exclusion, family, foundations, frequencies, funding, future, goals, grant, health, health insurance, health status, health and retirement study, health behavior, health care facility, height, household, india, individual, influentials, information services, international, internet, journals, life, light, li",China Health and Retirement Longitudinal study,NIH,AMBIGUOUS,"The provided list of terms is a collection of keywords and topics. Without further context, it is impossible to determine if ""exclusion"" refers to exclusion criteria in a study design (SCIENTIFIC), social exclusion of a group (POLITICAL), or something else entirely.
"
6,exclusion,"rations, communities, community health, community health aides, crowding, data, data aggregation, data analyses, data collection, development, diabetes mellitus, diet, discrimination, disease, disparity, district of columbia, education, ethnic origin, ethnic population, evidence based intervention, exclusion, face, faith-based organization, fright, funding, goals, government, guidelines, hiv/aids, hate, health, health care rationing, health disparities research, health insurance, health services accessibility, health behavior, healthcare, heart diseases, height, hepatitis, home, hypertension, immigrant",Asian Community-Led Health Equity Structural Intervention (Asian CHESI),NIH,POLITICAL,"The term 'exclusion' in the context of health equity, community health, discrimination, disparity, ethnic origin, and hate suggests it refers to social, political, or systemic exclusion that contributes to health inequities.
"
7,exclusion,"ffinity, back, covid-19 pandemic, collaborations, common data element, communities, community of practice, community-led health equity structural intervention, consultations, data, data aggregation, data collection, data science, development, ecosystem, education, ensure, ethnic origin, evaluation, exclusion, fair principles, faculty, faith, feedback, fostering, funding, goals, growth, health, health equity research, housing, immigrant, indigenous, inequity, infrastructure, institution, intervention, intervention studies, investments, lead, leadership, learning, measures, methodology, needs assessment,","Advancing Health Equity Through Innovative Community Capacity Building, Data Science & Delivering Community-Centered Structural Interventions & Outcomes: Drexel's ComPASS Coordinating Center (C3)",NIH,POLITICAL,"The term 'exclusion' appears in a list of terms related to health equity, social determinants of health, and community-based interventions. In this context, it likely refers to social exclusion, which is a key concept in understanding health disparities and inequities.
"
8,exclusion," six iracda postdoctoral scholars per year when the program is fully populated. address, benchmarking, biomedical research, collaborations, communication, creativeness, degree program, development, disparity, doctor of philosophy, education, educational process of instructing, educational workshop, exclusion, faculty, funding, goals, grant, institution, instruction, low income, mentors, mentorship, minnesota, modernization, occupations, population heterogeneity, positioning attribute, postdoctoral fellow, publications, research, research personnel, research training, stem research, science, science  te",The Minnesota IRACDA Program,NIH,POLITICAL,"The term ""exclusion"" appears in a list of terms related to addressing disparity, low income, and population heterogeneity, suggesting a focus on social inclusion and equity within the program, indicating a political context.
"
9,exclusion,"ns about the spread and trend of sars-cov-2 infection in their communities. our project will accomplish two aims: 1) develop next generation wastewater assessment technology and 2) implement and evaluate the next generation wastewater assay. for aim 1 we adapt technology invented by our team termed exclusion-based sample preparation (esp) to simplify and improve rna extraction from wastewater. we will pair esp with loop-mediated isothermal amplification (lamp) technology for rna detection to create a sensitive, robust, and field-friendly platform for testing wastewater for sars- cov-2 rna. we will comp",Wastewater Assessment for Coronavirus in Kentucky: Implementing Enhanced Surveillance Technology,NIH,SCIENTIFIC,"The term ""exclusion-based sample preparation"" describes a technical process within a scientific methodology for RNA extraction.
"
10,exclusion,"search, biomedical research, bisexual, black populations, caring, censuses, clinical, clinical research, cognitive, communities, community participation, complex, continuity of patient care, degree completion, discrimination, diverse workforce, education, elements, epidemic, evidence based program, exclusion, foundations, funding, gays, gender, graduate education, grant, hiv, hiv/aids, individual, institution, interdisciplinary study, intervention, knowledge, latinx population, literature, mental health, mentors, michigan, midwestern united states, names, national institute of mental health, pattern, p",Pipeline to Graduate Education and Careers in Behavioral and Social Science Research for URM Undergraduates: Addressing HIV in Sexual and Gender Minority Communities,NIH,POLITICAL,"The term ""exclusion"" in the context of addressing HIV in sexual and gender minority communities, specifically within a program aimed at increasing URM representation, suggests a focus on social and political barriers faced by these groups. The surrounding terms like ""discrimination,"" ""diverse workforce,"" and specific minority populations further support this interpretation.
"
