id,term,context,title,agency,classification,explanation
1,expression,"d prep use, will be abstracted from medical records at month 12. we will use social network analysis to: (1) identify how lmsm experience intersectional stigma in their social networks across diverse social context (i.e. types of social relationships [e.g. family, friends, sex partners, providers], expression of intersectional identities [e.g. acculturation, outness, masculinity]) (aim 1, primary). (2) prospectively evaluate the effect of social network exposure to intersectional stigma on hiv testing and prep use (aim 2, primary). (3) identify novel points of intervention to reduce the harmful effects ",NEXUS: A novel social network approach to study the effects of intersectional stigma on HIV prevention among Latino MSM,NIH,SCIENTIFIC,"The term ""expression of intersectional identities"" is used within the context of social network analysis, a scientific method, to examine how different aspects of identity manifest within social relationships and impact health outcomes. This usage is related to the measurement and analysis of social phenomena, aligning with a scientific context.
"
2,expression,"minology, thinking, time, united states national institutes of health, voice, work, biobank, cisgender, community engagement, conflict resolution, design, diverse data, ethical  legal  and social implication, experience, gender affirmation, gender confusion, gender diverse, gender diversity, gender expression, gender fluid, gene editing technology, genetic analysis, genetic variant, genomic data, health care delivery, health disparity populations, health equity, health inequalities, male, member, nonbinary, people of color, physical conditioning, polygenic risk score, precision medicine, sex, sex assign",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term ""gender expression"" is related to identity and social constructs of gender, rather than a strictly scientific concept.
"
3,expression,"ne fibroids on the cellular level and quantitatively assess the role of mechanotransduction through targeted modulation in vitro. specifically, i hypothesize that uterine smooth muscle cells (usmcs) derived from fibroids will exhibit reduced responsiveness to different substrate stiffnesses and overexpression of focal adhesion kinase (fak), a key mechanotransductive molecule, when compared to myometrial usmcs. i further hypothesize that fak inhibition of fibroid usmcs will alter the cell behavior in such a way as to mimic the healthy myometrial phenotype. as such, this study will establish the validity ",Biomechanics and mechanobiology of human uterine fibroids,NIH,SCIENTIFIC,"""Expression"" refers to the overexpression of focal adhesion kinase (FAK), a key mechanotransductive molecule, which is a scientific and biological context.
"
4,expression,"iations, abstinence, accounting, american, area, biological, biological markers, biological process, birth, blood specimen, cessation of life, chronic, chronic stress, cohort studies, complex, dna, dna methylation, data, data collection, discrimination, epigenetic process, exposure to, gender, gene expression, genes, hiv, health, health behavior, incidence, infection, injury, investigation, lesbian gay bisexual transgender queer, longitudinal studies, longitudinal cohort, longitudinal cohort study, malignant neoplasms, measurement, measures, mental disorders, methylation, modification, molecular, nation",Substance use and DNA methylation at the intersection of sex and gender,NIH,SCIENTIFIC,"The term ""gene expression"" is a well-established concept in molecular biology and genetics, fitting within the scientific context of the grant focusing on DNA methylation.
"
5,expression,"birth, blood specimen, cd4 positive t lymphocytes, caring, cell survival, cells, chromosomes, clinical trials, clonality, dna, data, dependence, disease remission, disproportionately impacts women, drug kinetics, enrollment, estradiol, estrogen therapy, flow cytometry, gender, gender identity, gene expression profile, genetic transcription, gonadal steroid hormones, gonadal structure, hiv, hiv therapy, hiv-1, hormones, immune, immune plasma, immune response, immunologics, immunology procedure, immunophenotyping, individual, inflammation, inflammatory, interferons, intervention, knowledge, longitudinal c",Impact of Gender Affirming Hormone Therapy on HIV Viral Dynamics and Immune Responses in Transgender Women,NIH,SCIENTIFIC,"""Gene expression profile"" and ""genetic transcription"" are scientific terms related to molecular biology and genetics.
"
6,expression,"l calcium activity to determine if the presence of glioma causes pathological stimulus-evoked responses in neurons and microglia. in aim 2, i will utilize electroconvulsive seizure (ecs) induction to determine the effect of seizures, a known instance of pathological neuronal activity, on microglial expression of inflammatory cytokines as well as on glioma growth. in both aims i will administer brilliant blue g (bbg), a selective p2rx7 inhibitor with known cns penetrance to interrogate if these effects are mediated through purinergic signaling between neurons and microglia. acceleration, acute, automobil",Targeting Neuron-Microglia Interactions at the Margin of Glioma,NIH,SCIENTIFIC,"The term ""expression"" refers to the production of inflammatory cytokines by microglia, a biological process in a scientific context.
"
7,expression,"y receptor choice in single cells project summary remarkably, chromosomes avoid entanglement as they are organized into various spatial domains that support diverse functions in the nucleus. among these functions, 3d organization of the genome is uniquely essential for constraining patterns of gene expression. this is perhaps best demonstrated by the phenomenon of olfactory receptor (or) choice in the mammalian olfactory epithelium. olfactory sensory neurons (osns) of the olfactory epithelium stochastically choose 1 of ~1400 or genes to stably express. the chosen or defines an osn’s receptive field and ",Deciphering mechanisms for olfactory receptor choice in single cells,NIH,SCIENTIFIC,"The term ""gene expression"" is used to describe the process by which genetic information is used to synthesize a functional gene product (protein or RNA), a core concept in molecular biology. The context refers to patterns of gene expression related to olfactory receptor choice, making it a scientific usage.
"
8,expression," been shown to reduce fat levels, protect against a high-fat diet, and prevent obesity. using drosophila melanogaster, the shirasu-hiza lab developed a robust trf diet that extends lifespan and delays molecular signs of aging, such as protein aggregation, and showed that trf enhances circadian gene expression and requires the circadian clock to confer lifespan benefits. in addition, we found that trf seems to reprogram lipid metabolism; after trf treatment, flies responded to fasting by utilizing lipids much faster than controls, leading to increased rate of triacylglyceride loss and starvation sensitiv",Mechanisms underlying the effects of time-restricted feeding on lipid metabolism,NIH,SCIENTIFIC,"The text discusses ""circadian gene expression"" which refers to the process of genes being transcribed and translated into proteins within a circadian rhythm. This is a molecular biology concept and therefore falls under a scientific context.
"
9,expression,"ation of neuritic amyloid pathology and fibrillar amyloid on in vivo imaging, and increased numbers of human microglia with small, thick processes, and a rounded morphology compared to the rs3865444aa protective genotype. individuals with the load associated rs3865444cc risk genotype have increased expression of full-length cd33, the isoform containing the sialic acid binding domain, compared to those with the rs3865444aa protective genotype, suggesting that the sialic- acid binding domain may be critical to the genetic association to ad. based on the known inhibitory function of cd33, my hypothesis is ",Inhibition of CD33-sialic acid binding in Late-Onset Alzheimer's Disease,NIH,SCIENTIFIC,"In this context, ""expression"" refers to the production of a gene product (CD33), a concept central to molecular biology and genetics.
"
10,expression,"7014, which has been linked to susceptibility, cytokine levels, and clinical features in sle. the rs4917014 snp has been studied by other groups for potential effects on a neighboring gene, ikaros family zinc finger 1(ikzf1), which encodes the critical b cell transcription factor, ikaros. increased expression of ikzf1 has been reported in patients with sle, and interestingly, we have observed that lnc12 can bind to the gene promoter and 3’utr of ikzf1, as well as members of the transcription machinery and spliceosome complex. we hypothesize that lnc12 regulates gene expression in b cells through its eff",A Novel Long Noncoding RNA Associated with Systemic Lupus Erythematosus Pathogenesis,NIH,SCIENTIFIC,"The term ""expression"" refers to gene expression, a fundamental process in molecular biology. The context discusses the regulation of gene expression in B cells by a long noncoding RNA (lnc12), linking it to the pathogenesis of Systemic Lupus Erythematosus (SLE).
"
