id,term,context,title,agency,classification,explanation
1,expression," reactivation. while past studies have identified and manipulated these ensembles in the context of ad, researchers have not fully elucidated the molecular changes occurring in engram cells that contribute to this memory deficit. this proposal addresses this gap in knowledge by determining the gene expression landscape that distinguishes engram cells from non- engram cells in the hpc, and how this landscape changes with age and ad. these experiments will use cutting- edge labeling techniques and single-nuclear rna sequencing (snrna-seq) to test the hypothesis that engram cells show transcriptional signa",The impact of Alzheimer's disease on novel genetic signatures of hippocampal memory traces,NIH,SCIENTIFIC,"The phrase ""gene expression landscape"" and the use of ""single-nuclear rna sequencing (snrna-seq)"" clearly indicate the term 'expression' is used in a biological and scientific context referring to gene activity.
"
2,expression,"arginalization of those “others”? (2) how did the ‘otherizing’ depend (or not) on the widely accepted thesis surrounding the emergence and translation of ‘medicalized’ understandings of sexuality in the nineteenth century? (3) in a colonial and post-colonial context, how did certain forms of sexual expression become criminalized? (4) how did the structural marginalization of certain types of sexuality manifest itself and impact public health of e.g., populations impacted by the hiv/aids epidemic? project findings will contribute toward a doctoral dissertation, a book manuscript, and the data generated w",DDRIG: Intimate Crises: The history of notions of sexuality and gender in the 19th and 20th century,NSF,POLITICAL,"The term ""sexual expression"" is used in the context of criminalization and marginalization, directly relating to social and political structures and power dynamics related to sexuality.
"
3,expression,"turally appropriate treatment among transgender individuals. mhealth interventions may be appropriate among transgender individuals, as emergent evidence suggests that virtual spaces are used to access gender affirming support and resources. moreover, mhealth interventions may enable authentic self-expression among transgender individuals, which is not always possible offline. over the past 7 years, our team has developed decídetexto, a culturally accommodated smoking cessation text messaging intervention for u.s. latino smokers. decídetexto has been expanded to different latin american countries/region",TRANSforma Tu Salud Dejando de Fumar: Advancing smoking cessation among transgender individuals,NIH,POLITICAL,"The term 'expression' is used in the context of ""authentic self-expression"" for transgender individuals, relating to their identity and social experiences, which falls under a social/political context.
"
4,expression,"ne fibroids on the cellular level and quantitatively assess the role of mechanotransduction through targeted modulation in vitro. specifically, i hypothesize that uterine smooth muscle cells (usmcs) derived from fibroids will exhibit reduced responsiveness to different substrate stiffnesses and overexpression of focal adhesion kinase (fak), a key mechanotransductive molecule, when compared to myometrial usmcs. i further hypothesize that fak inhibition of fibroid usmcs will alter the cell behavior in such a way as to mimic the healthy myometrial phenotype. as such, this study will establish the validity ",Biomechanics and mechanobiology of human uterine fibroids,NIH,SCIENTIFIC,"The text discusses ""overexpression of focal adhesion kinase (fak)"" and alteration of ""cell behavior"" to ""mimic the healthy myometrial phenotype."" The term 'expression' is used in the biological sense to describe the level of a protein (FAK) in cells.
"
5,expression,"co-design for climate justice: youth expression through science-rich public art broadening access to stem for members of the public can be challenging, as many stem-focused media channels and recreational venues primarily cater to those with a pre-existing interest in stem. this is especially problematic when learning about climate change becaus",Co-Design for Climate Justice: Youth expression through Science-rich Public Art,NSF,POLITICAL,"The context of ""youth expression"" linked to ""climate justice"" and ""public art"" indicates a focus on social and political agency, specifically the ability of young people to voice their concerns and perspectives on climate justice issues.
"
6,expression,"racteristics, clinical, clinical services, common cold, communicable diseases, communication, communities, cost sharing, data, data analyses, disease, disease outcome, educational workshop, enzyme-linked immunosorbent assay, epidemiology, facility accesses, fire - disasters, fostering, future, gene expression, genetic, goals, health services, household, immune, immune response, individual, infection, infrastructure, institutes, knowledge, laboratories, leadership, longitudinal studies, maintenance, methodology, molecular, monoclonal antibodies, natural history, observational study, ohio, outcome, pathog",Center for Serological Testing to Improve Outcomes from Pandemic COVID-19 (STOP-COVID),NIH,SCIENTIFIC,"""Gene expression"" is a fundamental concept in molecular biology and genetics, referring to the process by which information from a gene is used in the synthesis of a functional gene product.
"
7,expression,"tlases, automobile driving, autopsy, biological, biology of aging, blood, brain, cell aging, cells, central nervous system, cerebrospinal fluid, clinical, collaborations, communities, data, data analyses, data collection, data science, dermatologic, dermatology, ensure, environment, fostering, gene expression profile, genome, genomics, geographic locations, goals, heterogeneity, human, image, indirect immunofluorescence, individual, knowledge, leadership, maps, medical center, modality, molecular, molecular profiling, neurology, new york, pathologic, pathology, phase, phenotype, population heterogeneity",A Multi-scale Atlas of Senescence in Diverse Tissue Types,NIH,SCIENTIFIC,"""gene expression profile"" clearly indicates a technical usage within the field of molecular biology/genetics.
"
8,expression,"ronic, communicable diseases, compensation, cytomegalovirus, data, data analyses, data set, disparity, environment, environmental risk factor, epidemiology, epigenetic process, equilibrium, erythrocytes, estrogens, exposure to, female, four core genotypes, gender, gender identity, gender role, gene expression regulation, generations, genes, genetic, genetic determinism, genetic models, genetic variation, genomics, gonadal steroid hormones, hiv risk, hematopoiesis, hematopoietic, histones, hormonal, hormones, hospitalization, human, human genetics, hypocellular bone marrow, immune, immune response, immun","The roles of genetics, hormones, and gender in sexually dimorphic immune response",NIH,SCIENTIFIC,"The surrounding terms like 'gene expression regulation', 'genes', 'genetic', 'genomics', 'hormones' clearly indicate a biological and scientific context for the term 'expression'.
"
9,expression,"crii: satc: rui: understanding and collectively mitigating harms from deepfake imagery this crii research is taking an innovative approach to augment underserved communities’ cybersecurity and privacy. although generative ai can support creative expression and boost worker productivity, it also enables the creation of seemingly-real images, video, and audio —known as deepfakes. deepfakes are being used to silence, steal, extort, and defraud, manipulate stock prices and public opinion, and harm the reputation of people and organizations. these actions",CRII: SaTC: RUI: Understanding and Collectively Mitigating Harms from Deepfake Imagery,NSF,POLITICAL,"The context refers to ""creative expression,"" which aligns with the social and potentially political implications of generative AI's capabilities and limitations on freedom of expression.
"
10,expression,"s vascular physiology in tmya. the paucity of data in this area has been leveraged in successful legislative efforts to restrict gaht in minors. there is an urgent need for higher-quality data. the higher physiologic circulating e2 in cisgender women (cw) causes a long-term increase in the vascular expression of the e2 receptor's (er) alpha and beta isoforms. these stimulate acute and chronic endothelial nitric oxide (no) production, critical for a healthy vascular endothelium. reduced no bioavailability increases cv event susceptibility; cw's unique capacity to augment endothelial no through higher e2 ",Cardiometabolic Impact of Gender-Affirming Hormone Therapy in Transmasculine Young Adults,NIH,SCIENTIFIC,"The term ""expression"" refers to the vascular expression of the estrogen receptor's alpha and beta isoforms, a biological process.
"
